,Date,Reviews,Ratings
0,"June 12, 2020",Mercedes should take this dealership back from AutoNation! We purchased a used car and have had a major issue and they would not let another dealership perform warranty work demanding we bring the car back to them from out of town. We have called Keith in customer service many many times and he has never returned our calls. This place sucks. Find another place to buy a car! ,1.0
1,"May 21, 2020","
I recently had three deaths in just two weeks prior to this, and the day of my appointment for an oil change was the day of my fathers services followed by his burial the next day. My previous call to this dealership to inquire about possibly having a loaner car during my maintenance wasn’t very pleasant however I still choose this service department to perform the first maintenance of my vehicle. I had been under the impression my contact person would be Steve Davis, however when I arrived Chris Montoya was the gentleman who checked me in. Besides having an oil change, I brought up two other issues I asked to be looked into. Three hours after waiting in the lobby I had a hard time locating Chris and when I finally did find him he had already began working with another client, I asked if he would check the status of the work being done because it was not going on three hours. He continued to work with the other clients rather then do a quick check of my status to give my an update. After another 15 min I asked the cashier to speak to the manger to possibly get Chris some help since I felt he might be over extended with clients being that I got left on the back burner, at that time another employee over heard my request and said she would look into the status for me, Now my emotions were running high, I had more things to do then time allowed especially after being told loaner cars were not available nor provided for oil changes. After the three hours of waiting, my car was pulled up immediately just to find out I have to reschedule the two other issues I asked to be looked at, so all this time was wasted sitting around while my vehicle just sat there. This brought on tremendous stress as I was already dealing with the death my of uncle, sister in law and now my father. Had a loaner vehicle just been provided I could have left my car all day if need be but the way I was treated with no regard of my time was so disappointing, and to be pushed to the side so another customer could be help after waiting for three hours should not have happened.  That morning I sent an email explaining my disappointment to Eriek Griggers and Darrell Williams and never got a response from anyone. ",1.0
2,"April 16, 2020","These guys are all about the ""Sale"".  Customer service is bottom of the barrel, and the GM and his team are right out of a crappy movie with their one liners.   

Finance department is super high pressure and want to sell you everything under the sun.



",1.0
3,"March 20, 2020","If I could leave a zero star review, I would.  We purchased a 2019 GLS-450  in December of 2018.  While Dutch, the salesman was fine, the dealer rating is dragged down by the absolute worst experience in finance department.  The Finance person, Tariq, was absolutely condescending and extremely high-pressure, especially when he found out we weren't going buy the ""Platinum"" package that ""every S-Class purchaser must have.""  

Fast forward to December 2019 and the introduction of the 2020 GLS-450 with second row Captain's Chairs and a touch screen infotainment display.  We made the decision to trade in our 2019 for the 2020 because it works better for our situation.

Because of the awful experience at Houston North, we drove out of our way to Mercedes of The Woodlands to trade-in and purchase the new GLS.  The difference in the process was amazing and I can see the difference in a locally-owned dealership and one owned by AutoNation.

Because we had purchased an extended warranty and prepaid maintenance for the 2019, we are due a 100% refund on these products as we never did use them.  Unfortunately Mercedes requires the selling dealership to process the paperwork.  

We have been trying for over a month to get this paperwork processed as Mercedes owes us quite a bit of money.  We have provided all of the necessary paperwork to process the refund.  All calls and emails to the Finance Manager, Frank Castenada, go unanswered.  The times I have gone to the dealership in person, there was ""no finance person available to assist you.""

I have also reached out to the Assistant General Manager as the General Manager, Ivan ""was not available.""  The AGM has not responded to us, either.  I am amazed that someone would do business in this manner.

What is required to process my refund??  C'mon AutoNation!",1.2
4,"March 06, 2020",Terrible customer service and poor management skills and communication. Never called back. I had to initiate every conversation only to be met with my time completely wasted. Don’t recommend at all,1.0
5,"February 07, 2020","A week ago, I finally received the notice that the Takata airbag replacement had arrived.  I have waited for years for this recall notice.  So, I immediately called for an appointment at this dealership.  I bought the car there.  I requested a loaner and the service operator said no problem.  The appointment was 5 days after the call.  Upon arrival, I met with my service representative and another representative who join in.  At that time, I was thinking why do I need two reps on a simple service.  The second rep tells me, ""if i want to wait the 3 hours"".  I said no, that I have a loaner scheduled and I need to be in Court.  I practice Law.   He tells me that he does not have any loaner available.   I was in utter disbelief.  My question, why, and what happened to the reservation for a Loaner?  He just repeated the same and that I can reschedule.  I just walked out.   On the way downtown Houston, I called the dealership and requested to speak with the service manager.  I was directed to his voice mail.  I left a message.  As of writing this, 24 hours later,  I have had no one reach out to me from the dealership.  I could understand that they could have overextended the loaners, but they could have called me before I my appointment.  The two service reps showed very little interest in helping me.
I left the dealership with the impression that this dealership did not want to deal with the recall.   Very poor service and customer relationship.",1.0
6,"December 27, 2019",We bought a gla250 over the internet & had a great experience!  Car was in great shape when it arrived & kelvin was great to work with! ,5.0
7,"April 16, 2019","It was bad enough that this ""certified pre-owned"" had to be in the shop from March 25, 2019 though April 15, 2019.  (It was just DELIVERED March 11, 2019).  However, this is not the subject of my complaint. 

I would like to know why my car was parked at the Toyota Center on Sunday April 7, 2019 at 6 PM?  Do you routinely let your customer's S class cars off the lot after-hours?  It was for a Rockets vs Suns game.  April 7, 2019, the car was SUPPOSED to be in your repair shop!!!!!!  (see attached)

Please have someone check some cameras and see which of your employees either did this or allowed this to happen?   The only good thing about this whole experience was my salesman JaJa and my service adviser Stephanie Cabrera.   I now understand why so many employees have left your dealership and fled to MBOTW!!!!  

I am very upset about this.  I would appreciate a response from management.  

UPDATE:  06/13/2020:  I have now fled to MBOTW and found where the BEST of the MB of Houston North employees have fled to also.  Two of my old MB North service advisors and one salesman is at MB of the Woodlands now.   I have bought 2 more cars from MBOTW since then!!!!",3.0
8,"February 20, 2019","Don’t even know where to start. Have had nightmarish experience with a 2014 ML350 and after having left us stranded for the 4th time service team asked us to speak with sales team to see if we could work out a deal on a more reliable vehicle. Said they would work with us, proceeded to waste 8 hours of our time. Frankly one of the most bizarre car shopping experiences I’ve ever had; made an offer on one vehicle, totally ignored it and came back trying to sell us a vehicle that cost $20k more and then sales mgr acted like I was being unreasonable. Salesman very good, sales manager simply a waste of time...

Only reason dealers like this survive is because they have a captive market area and unless you want to invest a lot of time traveling around to another dealer you’re stuck if you want their product. Fortunately, I no longer want their product and the Lexus buying experience is the opposite end of the spectrum. ",2.0
9,"December 13, 2018",your service department overcharge; what ever you fix fails again in short time. Even insurance is having the same problem.LAST TIME SERIOUS PROBLEM WITH BRAKES.DANGEROUS,1.0
10,"December 12, 2017","NEVER GO HERE, THE MANAGERS ARE ARROGANT AND RUDE. I thought for a minute I needed to call the police, the manager was holding on to my car keys, refusing to give me my keys, I kept asking him for my keys - he ignored me because he was trying to make me buy one of their cars. The sales girl was in tears! The managers name name is Keith. Something needs to be done about this place. ",1.4
11,"November 21, 2017","
I cannot fathom how disappointed I am with the ""poor"" quality customer service I am getting after purchasing a brand new car!

I purchased my first brand new Mercedes the beginning of October and was not provided with a window sticker for my vehicle. I am aware that it is illegal to sell a brand new car without the window sticker.  Pete Pieternelle told me there was a way to order one was given an estimate time of delivery of 7-10 days from October 4th.  Every time I tried to follow up to check the status of my window sticker NO ONE will take or return my calls and voicemails.  Almost 2 months later I was finally informed that the order was refused and that I was NOT getting my window sticker.  This is how long this dealership will take to handle your simple matters!

I honestly thought this would be a SIMPLE request but this is becoming ridiculous. I am now aware of the Monroney Law and will move forward with legal actions. I do not recommend this dealership to anyone!
",1.2
12,"October 24, 2017","Mercedes Benz North has to be one of the worst dealerships out of all of the Houston locations. From the time that my husband and I came in Nov 2013 to inquire about purchasing a vehicle from here we were treated bad. No one greeted us, asked if we needed any help, or anything. We actually had to find a salesman to assist us. I was interested in the CLA250 & wanted assistance with customizing one. The gentleman was very rude and hurriedly rushed through the process of how I would go about doing so. I placed the order for my vehicle and paid the money to have them to get started because I wanted the car February 2014 for my 30th birthday. We continuously called to check on the status of my order and were told that the vehicle was in production as of late December. By mid January we began to worry due to us not hearing from anyone. We decided to go in and speak with the gentleman that originally assisted us. He then informed us that there was no way we could get the vehicle by February. I was extremely disappointed but decided I would just purchase a new vehicle that was already there and included the features that I wanted. The gentleman there seemed extremely irritated, he was not helpful, and ultimately we left and ended up purchasing our vehicle from the Mercedes Benz Sugarland location (30 miles away). Fast forward to present day every time that I've needed service I've taken my vehicle into either Mercedes Benz North or the Woodlands location. The 2 locations are like night and day. The Woodlands provides exceptional service but the North location is kind of hit or miss. My last straw that caused me to write this long drawn out review was my most recent experience Oct 2017. I took my vehicle in to be checked out due to a few issues I was having and was assigned a sweet and amazingly helpful representative (Natalie) she was very informative and went out of her way to communicate with me concerning my service needs. After she sent over an estimate I talked things over with my husband and he was able to find service through another company for a much cheaper rate. So I called in to inform them that I would not like to get my repairs done thru them I would like to pick up my vehicle. Well unfortunately Natalie was not in. So I had to speak with someone else. The gentleman was very pushy and persistent about me getting the repairs done there even after I declined several times. He even made me hang up and attempt to call my husband to find out which estimates he had for the other repair shop (mind you my husband was at work) I called back to tell him that I could not reach him and that I wanted to come get my vehicle. He then became rude and told me that if I was coming soon it was not going to receive the complimentary wash that is normally done when bringing your car in for service. I told boo I would wait to have it done and he hung up. When I got there an hour later my car was filthy. The guy said it was because they parked it under a tree. Also I had no help with switching from the loaner to my vehicle. *I had my 6 month old with me and my 76yr old grandmother* There were 4 gentleman standing there watching me as I struggled to carry the car seat, base, stroller, diaper bag, my purse and assist my grandmother with getting to the other vehicle. The guy sprayed some type of car cleaner on a towel and attempted to wipe off the thick black dirt off of my white car. I then asked could it possibly be at least just rinsed off. He hurriedly took it to be done and came back with the car as if I irritated him by asking for that to be done. I said all of that to say this. They have made my experience absolutely horrible. I'm tempted to trade my car in and go with another make and model. My husband drives a BMW & he has never been treated this way. I would advise anyone not to ever purchase or receive services from this location. They are seemingly uncaring, unhelpful, inconsiderate and somewhat seemingly prejudice. And it's a shame that with the fine merchandise they are trusted to sale and provide service for they don't feel the need to do better and be better. ",1.0
