,Date,Reviews,Ratings
0,"May 26, 2020",The folks at Hurst Autoplex Mitsubishi were awesome to work with and bent over backwards to get me in my new Outlander! Steve Glynn and Kevin Sparger made me feel at home and went to work for me! The entire experience was second to none and worthy of great praise!  Thanks Hurst Autoplex for a great experience!,5.0
1,"January 29, 2020","I purchase a used 2019 Toyota 4Runner in December from hurst Autoplex Mitsubishi, Steve Glynn was my salesperson. My experience was fantastic and made an out of town purchase simple and seamless. When the 4Runner arrived it was everything that was advertised if not better. I highly recommend Hurst and Steve for any purchases. ",5.0
2,"January 07, 2020","Absolutely wonderful experience Trevon is extremely nice, polite, understanding, Patient and courteous. He made the process painless easy and explained and answered every question I had. His costumer service is the best I have ever seen from any person before. And has gone above and beyond for maximum effectiveness. I would recommend him above anyone.",5.0
3,"November 30, 2019","My husband has been looking for his weekend car for months. He found exactly what he wanted at Hurst Autoplex. We started working with Steve on Black Friday, he worked with us over the phone and the deal was done by end of day! We jumped on a plane got to the dealership at 9:45 AM and were out within 2 hours! We appreciate everyone’s professionalism and help making this an easy, painless transaction. ",5.0
4,"November 17, 2019",We knew which car we wanted to see and it was as advertised on Edmunds Autotrader!  Trevon worked with us and was not pushy at all.  I’d go there again!,5.0
5,"November 13, 2019","Trevon is one of kind !!!! He listens and truly makes you feel special. We have purchased several cars from him over the years and will continue to be a faithful customer of his !!!!! 
The whole staff from Ryan to Trevon to Giorge I’m finance are awesome guys. ",5.0
6,"November 05, 2019",Such great people and really respectful and got amazing options and great inventory. I will definitely be going back to get my son a car soon,4.8
7,"November 02, 2019","Trevon was very nice and helpful and really worked with us to get our car.  Mike was great as was Giorge, and we will recommend Autoplex Mitsubishi in the future!  Thanks guys for the wonderful experience!  ",5.0
8,"October 24, 2019",Trevon did a great job with us. He showed us everything about the car and helped us in every aspect with our purchase. Will be happy to recommend Trevon and Autoplex to anyone searching for a vehicle in this area.,5.0
9,"October 24, 2019","After several weeks of looking for just the right vehicle my wife and I chose a 2018 Jeep Renegade from Hurst Mitsubishi Autoplex. The vehicle might as well be brand new as it only has less then 10k miles. Fantastic value + a beautiful vehicle = a GREAT deal for us. Our sales person, Trevon, was very professional and a class act. Our credit is not the best and Hurst worked hard to get us financing we can live with. Good job all the way around guys. Highly recommended.",5.0
10,"September 27, 2019",It was a get experience because everyone I dealt with was professional and took the time to explain everything about the vehicle and was willing to change the vehicle back to original.,5.0
11,"September 25, 2019",Our car had a warranty issue on the catalytic converter and fix some recall items. Did a great job and informative on all items needing done,4.8
12,"September 24, 2019","I am delighted with their service department!  Their service manager, Nathan, has overseen maintenance on the last 3 cars (Eclipses) that I have bought.   I am a customer for life😃",5.0
13,"September 20, 2019",Trevon was very helpful and had a refreshing no pressure approach. Once I decided to make the purchase they had all the paperwork ready and again no pressure to sell any add on’s  Overall a great experience. ,4.8
14,"September 05, 2019","Great car buying experience. Michael was truly. amazing. Purchased my car through Hurst after finding the vehicle I wanted on the internet. From start to finish, Michael ensured that no detail was overlooked. He arranged for, and oversaw, cosmetic detailing, acquiring an additional key and having the vehicle shipped to my home. 

I would definitely recommend Hurst and would buy from them again. 

",5.0
15,"August 29, 2019",Quick and easy. No pressure to buy the vehicle I was looking at.  Breece Higgins  was great and very helpful.  I will recommend him and Autoplex to everyone I know.  ,5.0
16,"August 06, 2019","There was some initial misunderstanding about the features of a vehicle. The Outlander PHEV apparantly doesn't get a lot of attention around here. I was pretty upset about it at first and I felt like it took longer but over all they really did make a lot of effort to help me out and come to a solution where everybody would be happy again. There was no high pressure during sales.  Jonathan Lopez is very personable and did a great job with handling things. Their service department did a lot a legwork in trying to research and to help me learn more about the car.

In the end I'm happy with the car it just had a surprising learning curve that I didn't expect. (It can be driven simply but there's a lot you can do with it). The people here defied my expectations of car sales men and really went above and beyond to help me out.",3.8
17,"July 13, 2019","My family came into the dealership knowing what we needed and Trevon listened to everything and brought us out exactly what we pictured. Being my first car on my own, I was nervous about the process but Trevon was there to help every step of the way with any confusion I had. He was very clear with everything and there was no haggling involved. It was a very simple, easy process and now my family and I get to enjoy this amazing ride! Go see Trevon !",5.0
18,"July 06, 2019",I always receive great customer service from this dealership. Nathan always provides great customer service and keeps me informed of the status of my vehicle while it is being serviced.,5.0
19,"June 27, 2019","I have to say , my experience with this dealership was amazing. Had a horrible experience at another dealer and ended up giving the car back. I was not only treated amazing but they worked extra hard to get me the car I always wanted and then some. I got a better car, more options and upgraded details all for cheaper than what I was gonna pay for a base model at the other dealer. I went from crying to smiling so big and feeling so happy . Thanks again for all that you did. You all were truly a blessing. And I know I will refer all my friends and family . I will also be a loyal customer for life. What a wonderful experience ",5.0
20,"June 25, 2019","Make a purchase from out of state is not simple, but Trevon and Kevin made the purchase experience easy. Clear communication, fast and accurate responses and ease of transaction was second to none. 

Trevon was there from the beginning to end and was great. Kevin had everything we agreed upon ready to go by the time I got to the dealer. 

Thank you both!",5.0
21,"June 06, 2019",Nathan and Trevon are the best and caring for people. The best automotive family ever. I truly appreciate you all and will continue here for all my automotive needs.,5.0
22,"June 06, 2019","I rated a 5 due to the care that the staff gives to you, Nathan Hausser in service always exceeds my expectation with great service.",5.0
23,"June 06, 2019","I looked for a vehicle for over 6 months, every place gave me the run around. I called Hurst Auto plex and they helped right away. Ryan Miller and his staff are great guys. We drove from Texarkana to Hurst to make the purchase. There were a few things wrong with the Durango when we test drove it. They didn't hesitate one time to not try to fix what was wrong. Things couldn't be fixed that day since it was a holiday so Ryan offered for us to go home and they would deliver the car to Texarkana. A+ in my books for that. I would recommend this dealership to anyone that is looking. Thanks guys from staff that was working that day to making us feel comfortable as we waited,  to the Manger that made everything correct. By far the best experience!!!",5.0
24,"June 06, 2019","I purchased my first car from Breece on Tuesday, and I can’t say enough good things about him or Hurst Autoplex. My husband and I bumped into Breece on Sunday by accident, and even on his day off he still took the time to help us out. Fantastic customer service!

Breece was awesome to deal with when purchasing my first car. My husband and I actually ran into him on a Sunday when we were looking at the Ford Explorer they had for sale. Breece was loading up a vehicle on his trailer to go deliver it to another customer, but stopped what he was doing and took the time to get us the keys so we can view inside the car (we didn’t request to view the car and didn’t expect to on a Sunday – but him going out of the way really showed the passion he had for customer service). We had planned to go view four or five more Explorer’s after visiting this location, but decided against it. We were both pretty sold on this Explorer.

I applied for financing online on Monday for the Explorer, and Hurst Autoplex made the whole process so easy! My husband had called them, and was able to work with them over the phone about the financing and made sure I got a pretty good deal with low interest rates. I don’t have the best credit, but I was truly impressed by how low my interest rate was and couldn’t have been happier. 

When we went in on Tuesday it was the easiest transaction I had ever made in my life. We walked in and Breece was there to meet us. We walked to his office and were in there for about fifteen/twenty minutes. Once they had my folder put together we walked over to the financing center, and waited an additional five/ten minutes before Giorge met with us. 

Giorge is one of the nicest people you will ever meet. He took the time to go over everything with us, and answered all of my quirky questions I had about financing. Handing over my trade-in (title in hand) and signing for a new car was smooth, quick, and easy. They did add in a leather package thing, but that was standard and I didn’t mind having it. We were done in about 10 minutes!

After signing for the new car Giorge walked us back over to the sales center, and Breece handed us the keys to my new Ford Explorer Limited! Breece took the time to go over the car with us, and show us all the bells and whistles it had. He and my husband had a fun time learning how to flip the back seats, and just basically going over everything. It was nice to have someone go the extra mile to make sure we were comfortable with our new car, and didn’t just wave us goodbye and not care after I bought the car.

I had heard horror stories about car dealerships, but none of those horror stories happened here. This was a no bull dealership, and we will definitely come back here to purchase another vehicle for my husband in the future. Highly recommend!",5.0
25,"June 03, 2019",Referral from family friend the best experience ever. Friendly and great people he did what’s best for me and helped me to get the car I wanted. ,5.0
26,"May 30, 2019","Nathan and the entire service department are wonderful. They are helpful,trustworthy, and really care. It is nice to always have high quality service and the confidence that your car is in good hands.",5.0
27,"May 29, 2019","We went to by my daughter her first car. Trevon was our salesman and he was wonderful. Didn’t try to sell us a more expensive vehicle, just helped us with the one we wanted. We were able to get the vehicle at the price we wanted with zero waiting. He was very personable, friendly and honest. The financial part was quick with no up-sales or add-ons. I highly recommend Trevon to buy your next vehicle.",5.0
28,"May 19, 2019","I completely recommend this dealership. They were friendly, welcoming and knew their business. They wanted to make us feel at home the entire time we were there. 
I did the online inquiry and Trevon was on top of his information. Easy to talk with, very knowledgeable. ",5.0
29,"May 18, 2019","If you're looking for a vehicle with some upgrades already, this is by far the best place to look. Trevon is an awesome salesperson wiyh a great future ahead of him. He was very knowledgeable, friendly, corteous, and fun, which goes a long way in my book. He is super easy to work with, and makes everything as simple as can be. We are beyond happy with our purchase, and we recommend him to anybody looking for something new!",5.0
30,"May 14, 2019",By far one of the best experiences I have had with a dealership. Trevon stayed in contact during our 3 week long process between my work schedule and getting finances in line and still checked in and made sure everything was great after the purchase. Overall a fantastic dealership with great salesman and staff! ,5.0
31,"May 07, 2019",I have a great experience each time I get my vehicle serviced at this dealership! Nathan always provides excellent customer service and always keeps me informed of the status of my vehicle while it is being serviced. ,5.0
32,"May 07, 2019",Great experience Trevon was very friendly and helpful. I would be happy to recommend this dealership to friends or family. Easy in and easy out.  Paperwork was just right. I already had financing in place and you did not pressure me to change. ,4.8
33,"May 06, 2019",Have always worked with Eugene Garcia. Bought 5 vehicles from here. Always friendly and efficient. Love my fuel efficient vehicle.  Always satisfied with service department as well. Highly recommended!,5.0
34,"May 04, 2019","The sales person was very friendly and helpful, but they did the worst touch up I ever seen ! I could have done a better job ",3.6
35,"April 27, 2019",This was by far the easiest car purchase.  The staff is amazing and my salesman was AMAZING!!!! Definitely a place I will have repeat service with !!,5.0
