,Date,Reviews,Ratings
0,"January 06, 2015","I am a Vietnam Vet. This gentleman, who did such an impeccable demonstration of the vehicle earned my personal respect and trust was build due to such a great service and truthful answers. We paid cash for the vehicle and they were very upfront about the price and rebates of this 2015 Outlander. 

We are very happy with our vehicle and service provided by this young man. To all of you who are considering purchasing a vehicle (Whether new or pre-owned) Contact this gentleman first before you go anywhere else and be given the ""Run around"", he will prioritize your individual interests and will be a professional through out the whole process. 

Thanks again Mr. Pacheco. 
 ",5.0
1,"December 06, 2014",After looking for days to get my hubby his birthday gift traveling from dealership to dealership I decided to stop by and give it one last try.  My hubby and I were welcome with a huge smile by the best salesman here in Houston. We were straight to the point and now we are walking out of the door with my hubby truck  (bday gift).  Marcos really works for his customers and willing to go above and beyond.  So with that being said everyone STOP BY and give him a CHANCE OR look him up on the internet. Thanks once again Marcos from Jordans.,5.0
2,"December 04, 2014","When I was 18 I was young and dumb and got my car repoed and my credit ruined... But I had gotten recommended to a sales person by the name of Marcos pacheco from my cousin. I visited the dealership and spoke to Marcos, as soon as I go there Marcos with excellent with customer service and friendly, he helped me out, made sure I saw and got what I wanted, did some wonders and got me approved! I named this tittle 2nd chance because of him, he gave me that 2ns chance to redeem myself and raise my credit score.... Thank you Marcos pacheco and gillman Mitsubishi.",5.0
3,"May 14, 2014",Let me start by saying over all great. I would defiantly recommend this dealership to others. They find several cars in your budget then they find the perfect car for you and your family. So if your look for a good car this is the place to go!!!,5.0
4,"April 30, 2014",Of course like a Salesman they are very friendly. However I came in to refinance and left feeling like I had been scammed.I was pressured to basically pay the same rate even though my interest has dropped seven percent.when it was all said and done I was re sold my own car for about $3000 higher than its current valueand about $1000 less then what I initially bought it for.yes my interest to went down but they dumped my principal so now when I want to get another car and possibly trade this one in I'm going to be upside down and owe more than the car is worth. I'm sure all dealerships do this to the naive but I personally fill this way about this dealership since I was dealing with them. their job is to make you feel like you're getting a deal when in all actuality there is no such thing.,2.8
5,"April 13, 2014",The service was great and the employees were very helpful.  I walked out with the best deal for me and was glad that I went and left with the car that I wanted. ,5.0
6,"April 07, 2014",I am a first time buyer who recently purchased a vehicle from Gillman Mitsubishi North.  I was pleasantly surprised by how helpful the staff was and by their ability to negotiate a good price for a vehicle. I would highly recommend these guys.,5.0
7,"April 05, 2014","This is the first dealership I've worked with that got it the first time around and truly listened to my request and expectations without hassle....and I've been to many....loved the staff and all the personality there....just awesome experience all the way around
",4.8
8,"February 11, 2014","I purchase a new 2013 Mitsubishi Lancer on December 21, 2013. My overall experience was great! MD Hassan was so patient and kind to me during my overwhelming process. I thought that I would leave without making a purchase, but Hassan worked with me and my mother until he found the perfect vehicle for me! I greatly appreciate the time and effort that he made to make my overall experience a positive one. I would recommend Gillman to my family and friends, and I would definitely ask them to request Hassan as their salesman!",5.0
9,"January 24, 2014","My salesman was new and knew nothing about the Mitsubishi brand.  The managers were not helpful.  The 'sale tag' was grammatically incorrect, saying 3600 off AFTER all rebates and incentives - only a manager told me ""too bad"", the 1500 rebate was included in that 3600.  Theft-proof etching is supposed to be an option.  I was told that it was $1495 and every vehicle on the lot had it, it was not optional.  I ended up purchasing from a different dealership.",1.8
