,Date,Reviews,Ratings
0,"June 15, 2020",Great help and service while trying trying to sell my car! Scott and his team did a great job and were very helpful with my sale. Thanks!,5.0
1,"June 12, 2020","Outstanding patience and service. No pressure sales tactics. Made the entire process a smooth, stress free event. I highly recommend making them your first stop when you shop. ",5.0
2,"June 01, 2020",A friend referred me to Scott at Don Herring in Plano after a few bad experiences trying to find a car. He gave me the best deal and I was very happy with the experience. I'll be buying from him again!,5.0
3,"May 28, 2020","Scott is the best! We bought two vehicles from him and he made the process of buying a car so pleasant, smooth and trouble free.  ",5.0
4,"May 16, 2020",Scott Fickert was excellent in helping me to find a used car for my son. Don Herring was excellent in from the price to financing.,5.0
5,"May 14, 2020",Everyone made the car buying experience and positive one. We were approved by the time we got back from our test drive. We were very pleased. ,5.0
6,"May 12, 2020","Working with prior dealerships, we had spent a full day (literally) trying to get a deal done.  Going into the dealership, there was a lot of uncertainty because of our credit issues and we were mentally preparing ourselves for the long day ahead.  We met with Scott and he immediately put our minds at ease.  Initially, we were looking to get into a used car (2008 Ford Ranger) but with our credit issues, this would have required us to make a substantial down payment.  Rather than go this route, and at Scott’s advice, he said that he could possibly get us into a new car with a much lower deposit.  In hearing this news, we decided to take a test drive with the 2020 Mirage ES.  

We went around the block and to our amazement, Scott had advised us that they had found a lender!  Rather than going home, either empty handed or with a used car, we were able to head home with a brand new vehicle.

Based on this experience, we would HIGHLY RECOMMEND the Don Herring dealership and especially Scott Fickert to our friends and family.

Thanks again Scott, for making this one of the best buying experiences that we have ever had!

Best regards, 

Randy and Erica Cremar
",5.0
7,"May 10, 2020",Scott was great to work with and was a great help with all the phone setup and Sirius setup on the Outlander.  I enjoyed my buying experience and everyone at the dealership I met was really great. They made everything as easy as possible and probably the best car buying process I have ever done. Scott answered all my questions and was very professional. Both my mom and sister are repeat customers looks like I will be also. Shane was also really great to help with the financing and paperwork . Thank you Shane and Scott both.,5.0
8,"April 28, 2020","Gracias por su extraordinaria comprensión en las necesidades del comprador,como también un trato amable, agradable dándole el tiempo correcto a cada cliente, espero volver a verlo",5.0
9,"April 28, 2020","Nada más agradable, que sentirse cómodo y seguro, cuando uno va a comprar un auto. Ud. señor Scott, nos brindó su maravilloso tiempo, para tomar una sabia decisión. Gracias por su ayuda.",5.0
10,"April 24, 2020","Scott was very helpful in helping me purchase my first car. He was able to answer all of my crazy and random questions. I was very appreciative of his help, especially during this Social Distancing time. ",5.0
11,"April 04, 2020","Was so nice to meet and deal with a awesome salesman. Best personality, done everything to help me reach my goal of getting a new car. I would come back and ask for him personally. Thank you Scott your terrific. ",5.0
