,Date,Reviews,Ratings
0,"August 13, 2019",I went to this beautiful dealership to have my oil changed and by 4 tires. They told me it would take less than an hour and I was shocked that my car was finished I just sat down to enjoy a snack and Demi came and got me and said your car is washed and ready to go. This was an amazing experience. I took the time to look at some new vehicles and sent Tucker showed me around. she was outstanding and knew so much about all the new products and think neurology. After my lease is up I plan to come back and visit with Sandra to buy my first Nissan ever.,5.0
1,"December 15, 2018","Tienen gran disponibilidad,  amabilidad, paciencia y conocimiento en su ramo. Realmente fue una excelente experiencia. Muchas gracias por brindarme y haber sido parte de mi primera experiencia en la compra de un auto nuevo. Es verdaderamente emocionante y un gran logro obtenido.",4.8
2,"November 22, 2018","On October 27th we drove a Nissan Maxima Platinum at Nissan of Boerne with 8,000+ miles on it.  The car seemed to have all the features we wanted.  We left that day when we could not come to an agreement on price.  Meanwhile, I was searching on line and was contacted by Brien Foose , of Nissan of New Braufels, with Maxima’s he had available.  We returned to Nissan of Boerne on October 29th, but still could not come to a deal on their used Maxima.
The night of October29th Brien sent us a video of the Maxima SL he had for sale.  It seemed to have all the features we were looking for except the Maxima Platium had some additional features we decided we could not live without.  That same day I went to NissanUSA and found a 2018 Nissan Maxima Plaitum that was “in-transit” to your dealership…that he was not aware of.  We notified Brien that was what we were looking for in a car, mainly based on interior/exterior colors.
From our first discussion with Brien we impressed upon him that we were in our 80’s and insisted on a car that had ALL the then available safety features.  We came to their dealership on October 30th with check-in-hand to buy this car.  We were their for nearly six (6) hours trying to just buy a car!  Their appraiser took for ever to look at our car and then gave us a “low-ball” estimate for my wife’s trade-in.  We had a KBB and an Anciera appraisals with us which indicated her car was worth $4,000 to $5,000 more than they were offering.  We almost left but after more hours of waiting the dealership came up with a trade difference of about $28,286.  We said make it $28,000 and we have a deal.  More waiting…before Brien came back and said that that was as low as they could go.  By then, we were so tired and angry we said forget it and went outside, started the car and was backing out when Brien chased after us and said they could do the deal.  More waiting, an hour or more, while we waited to sign papers.  Meanwhile, we cleaned out our car and Brien brought us a 2015 Nissan Altima to drive until our car came in.  I stuck my head in their sales manager’s office and said that there is no way that it can take this long to buy a car!  No reaction.
So we signed the papers on October 30th.  No car on November 2nd, Brien said any day now.  Car came in late on November 6th.  He indicated he could have the car ready by noon on the 7th.  We came over at 10 AM to sign any final papers and bring in our title.  Two more hours of waiting before we had to leave to get back to Boerne for a medical appointment.
On Noverber 8th we realized we had no paper work indicating we had even bought the car.  I called Trish and she indicated she would get it in the mail to us.  November 12th, no paper work.  Called Brien.  November 14th, no paper work.  Called Brien, no answer.  Called and asked for the sales manager…was given over to Tiffany who indicated this was the first she had heard we needed our documents and she promised to send them out that day.  They were received today, November 15th, 17 days after we though we had bought this car.
Meanwhile we have been trying to learn how to use the safety features of our new car.  When we could not find a way to activate the lane departure warning system, like the system that was on the 2015 Altima they had loaned us, we called Brien.  Guess what our new car does not have that safety feature.  By then we had occasion to drive the car at night only to discover that the car does not have LED lights.  Our 2016 RAM truck has LED lights!  It has been shown that LED tail lights increase the capability of those behind us to stop before hitting us.  In addition, the SL Brien had shown us had some sort of lighting under the door sill which would be of help to my disabled wife in getting in and out of the car at night.  Ours does not have that!  As far as I know, this Maxima Platium is the “TOP of the Line” for Nissan and yet it does not have features that were available on pick-ups and run of the mill cars several years ago.  
Bottom line, we are exceedingly disappointed in: 
Number one, this dealership for the run-around we have experienced in the purchase and communications since the purchase.

Number two in the car we have purchased for it’s total lack of modern safety features.

Number three we were being charged interest on our Nissan Motor Acceptance Corporation car loan from 10/30/18 until 11/7/18…even though we did not have the car.

Should have read all the negitive rewiews on this dealership…we would have never come there in the first place.",1.0
3,"February 10, 2018","Harry Dawes at Nissan NB was a very helpful, patient salesperson. Very knowledgeable and honest. I would definitely recommend him to my friends and family. ",4.6
4,"December 10, 2017","Chad Hennig at Nissan of New Braunfels (my salesman) was very pleasant, knowledgeable and helped me get just the right Rogue I was looking for! I highly recommend him!!   ",5.0
5,"November 29, 2017","Renata did an excellent job and we will refer her to our friends and family.  She made it a great purchase experience. Very friendly, honest and not pushy. Keep up the good work!!",5.0
6,"November 27, 2017","Renata was so friendly & wonderful! She immediately helped us when we arrived, listened to our wants & needs. She answered all questions we had & if she didn't know the answer, she found out for us. I've bought cars from several dealerships & she was by far the most honest & kindest one I've ever worked with. She got us into a 2017 Nissan Pathfinder that we absolutely love!",4.6
7,"November 27, 2017","Stay away from this dealership!!  These people will harass you.  They call me multiple times a day.  I get phone calls from different salesman who work there.  Some are saying I am interested in a car I never inquired about.  

I contacted them because of their bait and switch advertisement.  They are advertising a free polaris with a purchase of a Titan.  One salesman tells me that the free polaris is only with a Titan XD diesel or lifted diesel.  Then another salesman tells me that it is not in conjunction with any rebates or incentives, so basically you pay msrp on the truck.  Then another salesman says they will ""work a deal"" if I just come in.  Then one of the original salesman says no, again it cannot be with incentives or discounts.  

I tell these multiple salesman that it's ok, I am not interested.  Now I have had a weeks worth of phone calls from this bait and switch dealership.  I ask their salesman how to stop these calls and I get no response.  But guess what, an hour later and I receive another phone call!!!  These people will harass you after you don't fall for their bait and switch tactics.  I blocked their number but I still have to go to my voicemail and delete multiple messages from them a day. ",1.0
8,"October 28, 2017","Bryan Woodrom and the entire team at Nissan of New Braunfels FAR EXCEEDED our expectations. From the initial phone call with Bryan I could tell customer service was top notch and he never let us down. They were entirely HONEST and up front about everything. He helped me stick within my budget and was extremely kind, respectful and not pushy. I had gone to Nissan of San Marcos first and spent a total of 5 hours over two days with them and I was lied to, my time was not valued, and I was not listened to. Terrible experience at San Marcos Nissan. But Bryan and Theresa Vincent at NBN worked hard to get me what I wanted WITHIN my budget and never made me feel inferior for not wanting to spend more. Definitely go see Bryan at Nissan of New Braunfels if you are in the market for a new Nissan. EXCELLENT CUSTOMER SERVICE!!! Great product!!!",5.0
9,"October 26, 2017","Easiest car buying experience I've had!  Price was fair for both trade in and sale. 

He even delivered the car from San Antonio to my hotel in Dallas!

Thank you!",5.0
