,Date,Reviews,Ratings
0,"June 08, 2020",I received excellent customer service from both Chad West and Eric Moore. Everyone made the process easy and convenient. Don’t go anywhere else. 10/10 would recommend!,5.0
1,"June 04, 2020",I had an amazing car buying experience with this company! Highly recommend talking to Chad! He is very helpful and incredibly sweet! Will definitely go back!!,5.0
2,"June 03, 2020","Had a great experience with Douglass Nissan of Waco. Chad West was very friendly and informative. When it came to working out a deal, everything was very straight forward, no game playing. We will recommend him to anyone who is interested. ",5.0
3,"June 03, 2020",Douglas Nissan was great people to work with. Chad West my salesman was very helpful. And took care of me and everything I needed. Awesome ,5.0
4,"June 03, 2020",Chad West at Douglass Nissan is always awesome to work with.  I’ve purchased multiple cars from him and the team at Douglass Nissan always takes great care of me.  I highly recommend this dealership.,5.0
5,"June 03, 2020","Always friendly, knowledgeable, and fast! I’ve always had a great experience coming to Douglass Nissan. I highly recommend Chad West as well. I wouldn’t buy a car from anyone else! ",5.0
6,"June 03, 2020","I’ve purchased 6 cars now from this dealership, and I highly recommend them to everyone. Chad West is amazing at finding exactly what I want for exactly what I want to pay. No pressure sales, great service, and great cars at a great price!",5.0
7,"June 03, 2020",Chad West is the reason I returned to Douglas Nissan for my purchase. And their service department is top notch. I lov my Rogue! It’s drives so good !,5.0
8,"June 03, 2020","I purchased a car during the COVID crisis in April 2020.  I received excellent care and everything was handled very well, even in the middle of a pandemic.  I had heard that buying a car was a horrible process.  Not so at Douglass Nissan!  Everything about buying my car went very smoothly, from the test drive to driving off the lot.  I am a very satisfied customer, and I absolutely love my car! ",5.0
9,"March 24, 2020",Great place to buy a car. Very friendly people from sales to service. Ask for Chad for exceptional service. They truly are Home of the nice guys. ,5.0
10,"March 23, 2020",Great dealership - had an awesome sales consultant - Chad West - helping us.  Was very knowledgeable & explained everything!  He showed us how to use all the extras on this car!,5.0
11,"March 13, 2020","Great service with no pressure they did a wonderful job on finding the vehicle the way we wanted it at a great price. 

Thanks again ",5.0
12,"March 10, 2020","We have purchased 3 vehicles from this dealership and have always had an excellent experience. Our family needs have been different each time, and they always strive to offer what is best for us. It really is the “home of the nice guys”!",5.0
13,"March 09, 2020","Chad West over at Douglass Nissan was fantasic, friendly, knowledgeable and really helpful when looking and searching for a new car/suv. Would highly recommend! ",5.0
14,"March 09, 2020",I have never dealt with a dealership who makes buying a car so easy. Everyone is so nice and helpful from the sales staff to the service department. ,5.0
15,"March 09, 2020",The dealership is well presented inside and out with the overall appearance the salesmen are excellent as well I had the pleasure of Chad West being my salesman and he made the whole experience a breeze and was really helpful through the whole process.,5.0
16,"February 27, 2020","From the moment we walked in to the final hand shake to seal the deal, everything was made easy! I can't thank Chad West enough for all the help in buying our new truck. If you are looking for a down to earth salesman who truly makes you feel like a friend, Chad is your guy. We absolutely love our new Titan and have never had a better buying experience than what we had at Douglass Nissan. We have had several negative experiences in the past with pushy salesman and finance guys trying to get you to buy every add on available. We didn't have anything close to that at this dealership or with Chad. If you are looking for a new or used vehicle and an enjoyable car buying experience go see Chad West with Douglass Nisan of Waco! We will definitely be using him for all our car buying needs from now on.",5.0
17,"February 26, 2020",The best experience I ever had buying a car. He was nice and didn’t try to push me to anything I didn’t want and he found the truck I wanted with a great price.,5.0
18,"February 25, 2020",Everyone at the entire dealership is so nice and willing to help.  My salesman (Chad West) went above and beyond to get me into the car I wanted.  He put in more time and effort for me and never once lost a smile or friendly words.  ,5.0
19,"February 19, 2020","I have bought 5 cars from this dealership.  Several friends and family members have purchased here as well.  

If you want an HONEST and TRUSTWORTHY person to work with, I highly recommend Chad West.  I promise you will not be disappointed.

",5.0
20,"February 07, 2020","This was absolutely the best car buying experience we have ever had.  We were able to check inventory and prices on line before we went to the dealership, and their up front pricing was true to word.  Our meeting with Chad West was very convenient and comfortable.  We ended up very happy customers - with an awesome 2020 Altima SR!  We definitely recommend Douglass Nissan and Chad West!!!!",5.0
21,"February 07, 2020",I went and bought a car we love all in an afternoon! It was an easy and pleasant experience. I would recommend to anyone looking for a good deal!,5.0
22,"February 06, 2020",Chad was a blessing to work with.  He made the process easy and got me exactly what I wanted. I would recommend this dealership and Chad West to all my friends.,5.0
23,"February 03, 2020",I enjoy dealing with all the people at Douglass Nissan in Waco. There is only one salesman I work with and that’s Chad West. He is a no pressure guy and explains everything clearly. Actually cares about his customer’s happiness.,5.0
24,"January 07, 2020",Excellent service couldn’t ask for better people between the sales man and finance i will be back to buy another vehicle from the same guy thanks for everything ,5.0
25,"December 30, 2019",This is our second experience working with Chad at Douglas Nissan and he and his co-workers answered our questions and made the process easy ,5.0
26,"December 12, 2019",i dont know who wrote those reviews but you all aare crazy the service dept mgr robert  broke car seat and said it was me called my phone and started yellin at me because i did not give his dept all 10s he stated because we talked you broke the driver seat you are rude ,2.4
27,"November 13, 2019",Chad West is the best salesman I have ever worked with. He is very knowledgeable and care about his customers. I love love  my car and my experience.,5.0
28,"November 09, 2019","Found Nissan to be very curtious and friendly place. I'm glad I decided to go to this dealership for a new car. The sales man, was Chad West. It was awesome, to learn that he is a man of God. This is the reason, I trusted in the fealership",5.0
29,"October 19, 2019",I was in a tight spot and the team took care of me and got me into a 2019 Nissan Rouge Sport and I love it!,5.0
30,"October 17, 2019","Douglass Nissan of Waco is an excellent dealership.
They are quite helpful, and they don't ""pressure"" customers.
This is not my first purchase from ""the nice guys"".",5.0
31,"September 21, 2019",Chad is a professional in every way who treats us with respect and kindness --- we totally trust and value how he does his job.   It is wonderful to enjoy buying a car - he is a credit to your company.    ,5.0
32,"September 12, 2019",This is the 3rd vehicle I have bought from Chad West.    My experience has been wonderful Each time and Chad has been awesome.  I will be back next time ,5.0
33,"September 03, 2019",This is our fourth Nissan purchase from not only this dealership but from this dealer. I have learned that loyalty should always flow both ways. We are loyal to our salesman because he works for us and that shows his loyalty towards us. sometimes going back to the sales sheets 3-4 times to help make a deal happen that is great for the customer.,5.0
34,"July 25, 2019",I have worked with Chad before on purchasing my previous Altima. He delivered great service again! I would recommend him to anyone looking to purchase a new car.,5.0
35,"July 24, 2019",Chad West does his very best for me and my family. This is the 4th vehicle we have purchased from him. We feel appreciated by the dealership. ,5.0
36,"July 23, 2019","I think the fact that this my fourth Murano should tell the tale. I love the look, but most of all the ride. The Murano is comfortable, reliable, and retains its good looks over the years. 
Douglass Nissan is a great dealership. Chad West made the experience extremely pleasant and expedited the entire process with a smile. And I know when it comes time for service, I’ll be in good hands. 
Looking forward to another great time with my new vehicle. ",5.0
37,"July 22, 2019","Great service and awesome people!  They really are home of the nice guys.  Our salesman, Chad West went above and beyond for us.  Highly recommend him!  ",5.0
38,"July 22, 2019","I have never been more comfortable with a big purchase, and I can highly recommend Chad West at Douglass Nissan of Waco.  He will bend over backwards to fulfill your requests, you can’t ask for a better salesman. ",5.0
39,"July 21, 2019","I have purchased and serviced vehicles through this dealership for 10 years. No disappointments from sales or service.  Always treated with respect when I conduct business with them.  Brandon listened and responded to my needs, even when my needs were to downsize and spend less.  They are my dealership and I recommend them to others.  ",5.0
40,"July 01, 2019",Chad was very knowledgeable and made sure my experience from beginning to end was a positive one. He made sure that my purchase needs were met and answered every question I asked throughly. Chad made sure to follow up after my purchase to ensure I was enjoying my new vehicle. The rest of the staff was friendly and helpful as well!,5.0
41,"June 27, 2019","I recently bought a 2019 Rogue at Douglas Nissan in Waco.  Eric Moore was extremely helpful, no pressure & very knowledgeable.  I highly recommend Eric & Douglas Nissan.",5.0
42,"May 28, 2019","Very courteous, very honest and proficient. I told the salesman what I wanted and he brought the truck up front quickly. We took a test drive and then made a deal. The vehicle was already on sale at a special price.",5.0
43,"April 29, 2019","A co-worker I work with got in contact with chad west . 10/10 to chad west very professional, informative. Recommend this car dealership to anyone. Outstanding experience. 
Thank you",5.0
