,Date,Reviews,Ratings
0,"May 18, 2020","I bought a used 2016 Camry with an extended warranty and after a week of driving it the battery died, check engine light goes on and off, and the tire pressure gauge is always saying low pressure when it's not. Not sure what kind of point inspection these guys run but not a very good one. Also, whenever I try to call someone up there is it rude people hanging up on me or saying I'm xxxx out of luck. My salesperson Edmund Freeman was decent and so was the floor manager at that time. Forget about any help AFTER buying the vehicle with an extended warranty. I hope this helps anyone who's trying to buy a vehicle from this place, just be aware that once you buy that's it they don't care anymore. ",1.8
1,"April 30, 2020","
     Just wanted to let you know I had a frustrating experience at your dealership. Please don’t quote something you can’t honor. Please call if a vehicle gets sold. I’m a mother on a budget going to school and working and paying a house. A new car would be nice but I’ll drive my Honda 2009 until I can find a better deal. There’s a dealership in every corner anyway.  We even came back from Toyota because you could “talk numbers” but don’t honor what I came in looking for which was a Nissan Pathfinder for the price listed and when I came in the sales lady said she had something in the same style. Don’t be wasting my time if you can’t honor what you post. Call your customers before going to waste their whole day looking for a vehicle. That’s misleading in prices. Of course you want to sell a car for more and took forever just figuring out the price. 
I don’t work with people who don’t have INTEGRITY aka MONA( saleslady) ",1.0
2,"April 07, 2020","I'm very disappointed with the service I've received with Town North Nissan. Let me start by saying this, my sales guy was awesome, and continues to be awesome. Unfortunately, it seems like he's the only one who cares about my business. He's worked his butt off to get me into some sweet deals.

But the finance team is unresponsive, the management team is unresponsive, and I don't think anyone else here is held to high standard of professional business conduct / accountability.

I purchased a brand new car in January, and then 2 weeks later, for personal reasons, traded that new car in (along with a used car), to get a smaller commute new car.

Tell me why - it's now April, and the cars still haven't been fully paid off. I understand COVID-19 sucks, but as a business, you have the responsibility to continue providing quality service to your customers.

I had 2 other people I was referring to this dealership (that just moved in from California and need new family vehicles), but I've now asked them NOT TO shop here after all.",1.0
3,"February 28, 2020","We saw a reported price on Carfax, which gets all listing info from the dealerships. So we called TNN to make sure the vehicle was still in inventory and drove quite a distance only to discover they would not honor the advertised price because we did not qualify for the ""discounts""-  on a used car. When we asked what the discounts were that we didn't qualify for, we got a song and dance about rebates, etc. On a used car? The ad did not state there were any qualifications or restrictions on the advertised price. They were totally unwilling to reasonably negotiate the price to even come close to the price they were advertising. Beware of false internet advertising! ",1.0
4,"January 29, 2020","This dealer pulled a bait and switch on me. I researched suv's and crossovers for a year before I decided the Rogue was the best looking one. Then I searched local Nissan dealers for several weeks looking for a deal. I went in to the dealer with my ipad and some notes. I sat down with a sales person and gave them the stock number and vin number of the vehicle I wanted. I also verbally stated that I did not like the Rogues that didnt have the roof rails on it. The sales person went and pulled the stock number I gave her. I looked at it, liked it, thought I was making a deal on it. That was the ONLY one shown to me. We went and got it from another location and brought it back to be cleaned up to go home with me. I had been at the dealership since 11am. It was getting dark outside and I wasnt feeling good. Im ready to be done and go home by this time. Finally got into the finance guy to sign and go. Did all that and went home. Proud of my new car. I loved it. This was Saturday November 23. I got a call from the sales person on December 27. I was on my way to South Padre Island. The sales person seemed frantic. She said I needed to bring the car in and she needed to see me when I came in to pick up my plates. I went in and the sales manager told me that I had the wrong car. I was confused. He said the vin# on my contract was for a different vehicle. One I never looked at until that day and one that I did not like at all. It was the same color but there were lots of differences. No blinkers on the mirrors, no chrome door handles, no roof rails (exactly what I first said to the sales person was I wanted roof rails) no seat warmers etc... I could not believe what he was telling was going on. I cant remember for sure wether it was him or the sales person that told me the sales person was going to be fired. That it was a huge mistake. He said the car that was titled to me would now have to be sold as used if I didnt take it and they were going to take a huge loss on that one and the one I had been driving was going to have to be sold as a demo because I had put almost 1100 miles on it. Now my head is spinning. I specifically said which car I wanted and that was the one shown to me but Im feeling bad that the sales person was going to be fired. The sales person asked if I would take the one I didnt want. I first said no. I dont like the other one but dont want to get her fired. Since the rails were what I liked, I said if you can put rails on that one I will consider it. He went and talked to the parts department and told me they couldnt do it there but I could do it aftermarket. He also said he would add the seat warmers and lifetime maintenance if I would take it. In order to save the person from getting fired I figured oh well, I can spend a couple hundred bucks and put them on myself. So fast forward to this past Monday January 13th. I was supposed to take the car in to have the seat warmers put in and receive the resistal treatment I had already paid for. I dropped the car off and went over to the parts department to ask for the part number to the roof rails so I could go online and buy them and put them on myself. The parts guy told me. You cant put rails on that model. It is not equipped to add them after market. Now Im really mad. The manager knew that when he told I could add them later that I could not. He just wanted me to hurry up and get out of there. Because I felt sorry for the sales person and didnt want them to get fired and because I believed what he told me, I am now stuck with a car that I do NOT like at all. It looks completely different from what I wanted. I was shown one and led to believe that is the one I was dealing on. So, Im waiting for them to call and tell me they were done with the seat warmer install and resistal treatment. I was without my own car (that I hate) for two days. I finally get it back and its some cheap look aftermarket seat warmer, and my car is as dirty as it was when I took it in. The resistal treatment would have required the vehicle to be cleaned. I purposely put one of the seats down in the back seat to see if it would be lifted to treat. The car came back to me the same as it had left me. No evidence that a resistal treatment had been done. I ended up paying 28000 dollars for that piece of crap. When I made the deal I was ok with that because it had the extras I wanted on it. It was listed for sale on their website for 22 or 23 thousand plut tt& l . What I ended up with is a watered down version of what I really wanted and no cost adjustment. Also as of this morning January 17 the vehicle I was first given (The one the dealer said he was going to take a huge loss on) is still listed on their website as brand new with 4 miles on it.I put almost 1100 on it, and drove it for almost 5 weeks.. Same vin # same stock number. They have had ample time to update the inventory on their website. That was another lie told to me. If you go into this dealer to buy, Check your paperwork and check it thoroughly to make sure they havent given you the switch up. I have no doubt in my mind that it was intentional on their part, in kahoots with the finance guy. They threw the sales person under the bus. I also posted this review on their facebook page. The manager Kevin responded to the post stating he wanted to make things right and to contact him. I did. Over a week ago and nothing. ",1.0
5,"November 28, 2019","JUNK PLACE
PLEASE DON'T BUY A CAR FROM THEM
I bought a car from them not even two weeks ago and the car broke down. After being able to take the car at a good mechanic place, they told me the engine is done. They enjoy my difficult life situation to sell me that xxxx. 

",1.0
6,"November 07, 2019","I've taken my truck to Town North for service for the last couple of years with no issues. They are the only service department who has serviced the vehicle for the last two years. Today it was taken in for an oil change. Afterward, the skid plate was hanging down. When the truck was taken back to their service department the service rep said that the screws holding the skid plate on were stripped. They then said that they're not willing to do anything about it because they can't account for work that may have been done elsewhere where someone else might have stripped the screws...even though they're they only ones who have serviced the vehicle for two years and not once in those two years did they ever mention anything about the screws being stripped. It seems pretty clear that they're not willing to stand behind their shoddy work. To add insult to injury, they then said that they could retap the holes and that they would be willing to produce an estimate for the work if requested. 

",1.4
7,"August 15, 2019","If I could give negative stars I would. This has absolutely been the worst car buying experience. All they are interested in is the sale. They do not care about customer satisfaction at all. If there is a problem, they do not return phone calls. It took two weeks for us to get our car after the purchase and when we did the things that were supposed to be fixed were not. I have been trying for over a month to get the issue resolved and as of now, I have had four people on seven different occasions tell me they would call me back. I have yet to receive a phone call. Do not buy from them!",1.0
8,"August 06, 2019","Brandon’s sales tactic includes: repeatedly attempting to get us to purchase a “protection package” for $2,000 while we were working out numbers on the car; this was included into the negotiations even though I refused to purchase this package multiple times.  He did not say what else came with this package besides a window tints, wheel locks, and protection for the door cup.  When asked if this was mandatory, his only response was “it is negotiable”. He refused to remove this as part of the price of the car.  

We specifically wanted a fully loaded trim with leather seats, but he repeatedly informed us that it was cheaper to buy a lower trim model that has cloth seats and then purchasing aftermarket leather seats through a company he/ his dealership can recommend.

I’m glad Brandon at least offered us water, but all we were given was a styrofoam cup with cold water.  I’ve never been to a new car dealership that does not have bottled water for customers.",1.0
9,"July 25, 2019","Lee was exceptional!! Very pleased with my purchase and the entire team made it a very enjoyable experience. Coming from a guy who doesn't like to shop for anything, that says a lot!! 😂 Thank you so much Lee for hooking a brother up and making me very happy with this investment! I'm going to recommend you guys to all family and friends who need a car.
Dan Wood ",5.0
