,Date,Reviews,Ratings
0,"February 13, 2020","McGavock of Abilene made by purchasing of the vehicle very easy, no pressure.. This experience is nearly unheard of.. I will definately be sending prospective buyers to McGavock.  Thank you Denise",4.7
1,"October 02, 2019",Been a total blessing to have got to get a car through you. I loved the atmosphere and all the help they gave to us. I couldn’t be more happier with my new vehicle.,5.0
2,"September 29, 2019",Always great customer service and fast and great service mechanics. Everyone is always friendly and ready to help.  I Never had any issues so far,5.0
3,"September 28, 2019",This is the fifth car I have bought from McGavock. All the people take interest in helping and very friendly. Impressive place! They love me there.,5.0
4,"September 18, 2019",I have bought multiple vehicles over the last 11 years from McGavock and I have always been extremely impressed with the selection of vehicles and customer service received by both the sales department and service department.,5.0
5,"September 16, 2019", I felt comfortable from the moment that we met throughout the whole experience he was very professional he knew what we were looking for even knew that my wife wanted a red one so he found one for her it was overall the best experience I’ve ever had at a car dealership I would recommend this  dealership to anyone who wants to buy a new vehicle. ,5.0
6,"September 16, 2019",No pressure. Joseph Solven actually listened to the type of car I wanted and how much I could afford. Worked with me until we could agree to a plan. ,5.0
7,"September 10, 2019","Warranty work X's 2 this year. Loaner vehicle provided in spite of limited availability. Unexpected resolve to a windshield replacement set up by the service department with exceptional resolve from the service department. Great receptivity by the dealership at any given need. These people are the best at customer satisfaction. McGavocks of Abilene have had my business for years. Comes Highly reccomended by a satisfied 'family member,' customer.",5.0
8,"September 10, 2019",Joseph was great. No sales pressure and easy to get along with. Everyone there is great. Brandon in service is brilliant. Probably the best dealership I have dealt with,5.0
9,"September 10, 2019","The staff at McGavock has always been the best. Jay as sales manager goes above and beyond to make the deal work. This was my first time having Paul Satterfield as my salesman. And without a doubt he is the best salesman I've ever dealt with. From the top to bottom, all the McGavock employees make you feel like family!",5.0
10,"September 04, 2019","When I arrived at McGavock as I parked I was greeted, in the parking lot, by Tim Shackelford. He immediately took me into the dealership and was very professional from step one. Even though I was interested in leasing a vehicle and that wasn’t his expertise, he listened and took clear notes and recommended two different vehicles for me. By the end of my time there, I had selected my Murano and have been so pleased. Even when my new tags came in, Tim not only put them on for me but also washed my car!  Service beyond the call!  I would highly recommend this dealership. (By the way, I’m a very picky woman shopper who loves to deal on a car,)",5.0
11,"September 03, 2019","Working with Rudy “Happy” Perez was an absolute pleasure. Our experience couldn’t have been better with another sales associate. He was courteous, listened to our wants and needs, and didn’t pressure us in any way to buy something we didn’t need. I’ve never been happier with the over all purchase process at another dealership. His customer service is exemplary and is the reason I seek him out every time we’re at the dealership for service, just to say hi.",5.0
12,"September 01, 2019","I am a new car owner because of the awesome salesman who meet all my car needs in such a great concern to help! Mr. Rudy Perez is one of the best salesmen I have encountered.  He was friendly, helpful and listened to what I needed for my family. I really appreciate is professional experience in sales he also was very well informed on details  on the vehicle like fuel mileage ,safety 
features, ext. Because of his genuine desire and interest in helping me I am now enjoying my 2019 Nissan pathfinder ",5.0
13,"August 31, 2019",We buy all of our cars at Mcgavock Nissan! Thank you Rick for great customer service! I’ll recommend you to all of my friends!,5.0
14,"August 30, 2019",Paul was awesome!  He worked hard to get me in the vehicle that I wanted and make the numbers work within my budget.  I felt like he was working for me and not just the sale. I would definitely recommend using Paul for any future purchases. ,5.0
15,"August 23, 2019",Service was good and everyone was friendly. I was treated like I was royalty.  I would recommend Nissan to everyone I see. I am so glad I was recommended to this dealership. ,5.0
16,"July 30, 2019","Everyone there from the dealers, the help desk and refreshments desk. Are all so welcoming and helpful. We'll be doing more business there and getting other family members to join.",5.0
17,"July 26, 2019",This dealership will bend over backwards to help you buy a vehicle.  I would reccomend Joseph at the Abilene branch.  Friendly at every service appt.  I reccomend Mcgavock Nissan ,5.0
18,"July 21, 2019",They made it very easy for me to find the right vehicle that best suited my needs. The Employees were very genuine and kind also very efficient and helped me in a timely manner. ,5.0
19,"July 15, 2019","They were the only dealership that did not give us a run-around. They told us up front what we could get approved for, and they worked hard to make it happen for us. We love our 2019 Rouge. Thank you Nissan of Abilene. ",5.0
20,"June 12, 2019",Had a great experience and worked with a great team thank you Arnie! I'm totally recommending every I know to Arnie well appreciated. Thank you as well Christian! Nice folks all the way!,5.0
21,"May 25, 2019",Mr. Joseph Solven is an excellent sales Rep.  He worked diligently to find the perfect car for us and within our price range.  His customer service is top notch!  Will highly recommend his services to friends and family.,5.0
22,"April 14, 2019",John Hamilton was awesome. Was quick and answered all my questions and was very accommodating. Over all it was a great experience. We hope to have more great experiences with him in the future,4.8
23,"April 01, 2019","Rudy ""HAPPY""  Perez and Drew in Finance went above their Jobs to make sure we were well taken care of and were not Pressured into getting something we didn't want. We are very Satisfied with our New Nissan Armada. It is such a Great Vehicle with so many Safety Features that our Insurance Premiums Dropped by $65.00 per month. Rudy went over every Feature on this Vehicle. 
   Drew went over all the Paper Work and explained the Extended Service Policy and Gap Insurance. 
We are vey pleased with our Experience. This is the 3rd Purchase from McGavock Nissan.",4.8
24,"March 06, 2019",It was the best experience I've had purchasing a vechile arnie the carfarther was amazing and Christian all in all it was the best and I highly recommend both of them if you're buying or looking for a new vechile nissan mcgavock is the best,5.0
25,"January 15, 2019","Curly Stewart is a great salesman, listens to our needs, patient & understanding.  This is the second vehicle we have purchased and both times we have been pleased.  Samantha Bryant had to step in for Curly for our closing & pickup our new vehicle.  She was pleasant and very helpful.  We love doing business w/McGavock Nissan in Abilene.",4.8
