,Date,Reviews,Ratings
0,"June 13, 2020","Bunch of liars and scammers was preapproved thru capital one on new Altima submitted price to capital one 10k higher than advertise price, then ask me for mor money down unbelievable. Drive 30 minutes to be lied to, salesman blamed capital one for not having right prices. Worst experience ever , take your business elsewhere you’ve been warned!!!",1.0
1,"May 27, 2020","DECEPTIVE & SHADY... Take your business elsewhere. The prices they post on Autotrader and their dealership website are $6k-$7k less than the true sales prices. Online, the car we were interested in was marketed as $16,200 plus TT&L. When we got there, they let us know they couldn't sell it for less than $23k. They also marketed the APR as 0.9% for those with near perfect credit. Surprise, surprise when we came in, their best interest rate for 60 months on new cars was suddenly 3.99%. When we walked out, they followed us saying that if we'd stay, they'd give us the car for $16,900 out the door after ALL fees and features. We agreed, but while we were signing final paperwork, they removed features originally included with the car without telling us even though those features were part of the car we agreed to purchase. Now, no one at the dealership will take our calls, return our emails, or send us copies of the paperwork we signed showing that these features were specifically listed on the paperwork we initially signed for the vehicle. Our 18 yr old daughter is now forced to either return the new car she worked so hard to earn or get over the fact they stripped it of the bells and whistles we were specifically looking for to protect her and her new car. ",1.0
2,"May 15, 2020","I don’t know if it gets any worse in car buying expensive...they will tell you anything you want to hear until they have that cash in their hands. I recently purchased a car from them first they told me there’s two warranties that I could NOT decline “they come with the car” there was no way of declining them, CPO & ELO, they told me all the benefits, okay fine I guess if I can’t decline what can I do...there were some things they told me they would fix, they take care of all of them. They took of the ELO that was “impossible” to take off when I asked, they didn’t bother mentioning it to me, and didn’t bother lowering that price that they quoted me that it cost. When it was time to get the things “fixed” that they promised, they fixed one thing the rest they said they never told me they would fix. These are a bunch of dishonest people who tell you anything at first to sell you a car...GET EVERYTHING IN WRITING BEFORE BUYING!!!!!! Better yet go else where. They care about one thing only and that is their sales.",1.0
3,"February 18, 2020","Reluctantly had a buy a car (auto accident), but Tony Walston was great. Car salesmen need to follow his lead. He wasn't pushy. He wasn't snaky. He didn't have a noticeable agenda. Tony's a good dude, and that's why I stayed. I wasn't going to purchase, but his customer service was top-notch.",4.4
4,"December 16, 2019","Recently purchased a truck here.  They gave me an excellent deal including exactly what I wanted for my trade-in and exactly what i wanted to pay for the truck I bought.
Anyone looking for a replacement or new vehicle they should look at this place. Christ Tatum really took care of me.",5.0
5,"December 07, 2019","Todo esta mal ,no contestan mis llamadas ,las personas miy amables solo hasta que te vendan el carro, jamas vamos a comprar otra vez alli,el peor compania de vehículos en Lewisville.",1.0
6,"October 22, 2019","Bad experience! The dealership technician has changed my fuel pump, and service adviser Brandon  Bristow said that I need to install the new battery as well.  Brandon told me that my original battery is completely down/uncharged. I paid for the new battery and fuel pump, but then I decided to check the condition of my 1 year old battery at Walmart. I have purchased my battery from Walmart. Walmart technician told that my battery is good. My battery has 2 years warranty and passed load test. I have attached the the receipt from the Walmart diagnostic center to this feedback. Conclusion: please stay away from this place because employees there are not honest. They are lying to the customers. I won't by Nissan again.",1.0
7,"September 14, 2019","I have been a loyal Nissan customer for about 17 years. For the last several years I have been bringing my vehicles to Autonation Nissan in Lewisville.  It anymore. I’m sitting in the Servicing department waiting area, writing this as I speak. They used to be awesome! I don’t know what has happened, but the last time (a couple of months ago) I brought my daughter’s car in to get it serviced, ended up spending almost $2k and the guy who was handling my ticket was barely responsive. He was eager to sell me a bunch of stuff, but forgot to follow up or just got to busy, and when i showed up the next day after trying repeatedly to call and check status, he had nothing ready. Then he said his system was not matching the quote (sounded like he was trying g to get more $), so we had to haggle in front of everyone. It was so embarrassing. I hesitated to come back again, but I believe in second chances. This time I brought my car. All I needed / wanted was an oil change and star inspection. I chose to work with a different service advisor than last time (although I could see the same guy was still working here that waited on me last time). She was ok at first. Seemed friendly enough, but then about an hour and a half later, she said they couldn’t do inspection because car died (I have a 2014 Nissan Juke that I keep in pristine condition. I always bring it here!). I asked if we could go ahead and just replace the battery, so they could complete inspection and she said she would have to check. A few minutes later, I saw her return from talking to mechanic, but she just sat back down at her desk. I had to go to her to get a status. This time she wasn’t very friendly. She said the mechanic said he would try to inspect it. I said I thought it couldn’t be inspected because of dead battery?  She then just told me “I know...it’s a little confusing” (huh?) and said they would see what they can do. I told her again to go ahead and just put in a new battery, but she said I have to wait an additional 10-15 min to see what they can do. If the battery is the problem (she confirmed I need a new battery) and I’m willing to pay for one, why can’t she just put it in and do the darn inspection?! So frustrated. Never coming back!!!",1.4
8,"August 08, 2019",AutoNation Lewisville has no professionalism and they don't respect their time and their customers time. Anthony Gonzales is the worst sale person i met. they don't have the attitude and willingness to close the deals and sell cars in their inventory. they claim to have best price online but i got even better deal from another dealership and i was spared to get into their trap. Stay away from them.,1.0
9,"July 18, 2019","They are relentless and even after being asked to stop contacting me John Williams continued to contact me. Not sure what was so hard for him to understand I'm taking my business elsewhere and don't want to buy from them. Because of reasons like this, they don't have the capacity to listen to what they are being told. WORST EXPERIENCE!! ",1.0
10,"July 17, 2019","F better business bureau rating.  Will not accept or return calls.  Failed to payoff a loan leaving us to pay $2500.  Sure, everyone says ""worst experience of my life"".  I really mean it.  Traded in a leased car.  Didnt pay it in full.  Now our home loan is denied  insurance rates higher due to credit score.  Credit bureau reached out  no response.  Nissan reached out  no response.

Dispicable service.  ",1.6
11,"July 07, 2019","Came for service because my engine light was on.  I had my car placed on a diagnostic machine prior to coming to the dealer. I brought the code with me and explained the problem. Aaron said he would get back to me once they had run their own diagnostic.  I called later that day...nothing. I called the next day...nothing. Day 3 he said the couldn't find anything but that I needed my AC flushed. Mind you I had no trouble with my AC at all prior to the visit for service. $540 later my engin light came back on after 2 days of driving the car. When I called back, I was told it would be another $95 to see why the engine light was on.  This was the initial reason for bringing the cat in and you said the cat had been repaired and that the work was guaranteed.  How is this a guarantee?  Then 2 weeks later my AC goes out completely.  I will never go back to this place again for any reason. The poor service,  high prices and unethical practices are very disappointing. ",1.2
12,"May 15, 2019","Let me start off by saying I’m proud of my son. He works hard for what he wants. He was finally able to buy his FIRST car. One of his proudest moments. Look at that smile. He bought him a BMW 5 series. The “staff” was even happy for him.  (See Pics)

This is where it gets bad. 5 days after purchase the engine started knocking and wouldn’t start. We tried contacting Autonation Nissan Lewisville  1st day(Thursday) NO ANSWER OR CALL BACK. 2nd day(Friday) SAME THING. The 3rd day(Saturday) we finally got in contact with AutoNation and they told us that there was no one at their place of business that’s certified to work on BMWs on a Saturday but my son needed to get the car towed to their shop. So we asked him(Steve service manager) WHY do we need to have the car towed to them? That is when he offered to get it towed but it had to be Monday. Of course days has passed. So now we’re passed the “5 day” mark. They came got the car Monday and needless to say they’ve had the car every since. My son has been calling/texting them and as you can see in the pictures of text msgs they are full of s*** and not trying to help. My son cried because now he just want his money back and they are NOT trying to help him. Granted 2 weeks later they gave him a loaner car and offered to “help” him with another car BUT IT HAS TO BE A NISSAN SENTRA. WHAT? My son is 6’2 soak and wet, why in the xxxx would he want to fold himself in a Sentra? 

Till this day we are still waiting to see what AutoNation is going to do. I am going to help my son fight this. He or anyone else doesn’t deserve this. So I have contacted BB and the business licensing board. I will NOT stop until my son gets what he worked hard for. I hope this helps others from going through this nightmare. 
DO NOT, I REPEAT DO NOT BUY FROM  AutoNation Nissan Lewisville FOR YOU WILL REGRET IT. 

SIGNED THE ANGRY PARENT. 
Please share. My son still don’t have his car. Thank you..",2.2
13,"May 08, 2019","I have purchased a few cars from AutoNation and this is the first time I over paid for a trade in. I called spoke with the accounting dept. and was informed that they owed me $287.00 for the balance and was waiting for the title to clear. The lady in accounting (Riegn) said it would take two weeks. I waited three weeks and nothing. I called Reign back a couple of times and she had another person call me back(Dode). I spoke with Dode on Friday morning and she was going to call me back that day. I never heard from her, so I called her back on Tuesday without a return phone call. I called on Wednesday and asked to speak with the sales manager and was transferred to the operator. I called back and asked to speak to the sales manager and was transferred to a guy named Spencer and was informed that I needed to talk with accounting across the street at AutoNation Honda. I informed him that I have called them 6 times and have never received a call back. He forwarded my call to the finance dept. were I was informed to call the accounting dept. I have called around 15 times and have never spoke to anyone that was willing to help me figure out who I really need to speak to and get this resolved. It is going on seven weeks and still have not got to speak to the sales manager. I will say that he did thank me when I was buying the car seven weeks ago. I am so disappointed in the treatment that I have received after I purchased the car, it has been horrible. I am buying another car next week and it will not be from the AutoNation Corporation!!! Maybe this will get resolved in my lifetime!!",1.0
14,"May 03, 2019","Do not buy a car here. I bought a car here, we had left a garage opener in the car we traded in. When I left, I called and asked the Salesman to get it, his name was Que. He said he did and put it in the safe. I have called multiple times, we even went to pick it up, when we came to get, they said it was locked in safe and no one was there to get it. Said they would mail it to me. Never have got it. My salesman no longer works there, called and talk to Spencer another salesman. He promised he would fix and call me, he didn’t. 

As far as the car buying experience, find another dealer. I was promised so much for my trade, once we got to the deal it changed. I was promised they could match the interest rate my credit union had, once we got ready to sign papers it changed. 

Bottom line, the lie and cheat and can’t keep their word. Now since they have my garage opener and know my address they could rob us. So if you are thinking of buying here look elsewhere. I can’t stand people who lie, because if they lie what else are they capable of. I hope this review helps someone so they don’t make the mistake I made. ",2.2
15,"April 23, 2019","I purchased a 2003 Ford Focus from Stephen Goodrick with sales manager being John Williams, CFS Manager Marcus Rojas. This happened 11/29/18. It did not have a license plate or registration sticker.  After about 4 1/2 months still not received, Phone calls were ignored with no callbacks. I got hail damage from a storm, filed claim with my insurance company.  Car is totaled with back windshield blown out and hail damage on the top of the car. Turns out my car is not in my name so I cannot get my insurance money.  Went back there (I live off US 75-and traveled to I35) and got stonewalled. One guy named Irvin told me it would be taken care off. Irwin went into the office next door who has a sign ""I was a master drill sergeant"" and this guy just laughs.  ",1.6
16,"March 12, 2019","I recently bought a used car at this dealership.  They sold me an extended warranty that was supposed to cover ""ANYTHING"" mechanical.  Within a week of buying the car, the engine started running rough and the parts of the engine that were broken, were not covered under the warranty.  I was never sent the warranty information, what it covered, or anything!  I have sent numerous emails and made calls to get this information ,because my car is now experiencing more problems and no one will return a call or email.  I am about to spend $3,000 in repairs, for a car that I have not even made the first payment on!  It was a low mile car, and so far the mechanics I have had look at these issues say the dealer should have been able to assess and fix before they sold the car.  I know all car places suck and are some shady xxxxxxxx, but they take it to a whole new level.  Bunch of cowards that work here and I DO NOT RECOMMEND THEM AT ALL.  In fact, they pissed me off so much, I will avoid all Auto Nation dealers for the rest of my life.",1.0
17,"January 25, 2019","Nick was great! He greeted us with a smile, asked us questions to help us have options in vehicle choices, and was super patient.  Then the manager helped when trying to get me financing. ",4.8
18,"January 15, 2019",Was sold a new with a recall found out couple of day after taken delivery . Dealer insisted that there is no recall. Three months later recall still not fixed. Sales person or the customer service rep will take my call. The managers are always in meetings and will not reply back. Left several dozen messages still not reply. Was lied to about the extended warranty. HORRIBLE SERVICE stay away from this dealership.,1.0
19,"September 26, 2018","I have called and left voice mails, been lied to ""oh the trade will be paid off on Thursday"" by a desk mgr there.  Called finanace dept, accounting dept (not here they are at our honda shop)...all told i am sick if these people and the way they don't handle business. If reputation brings repeat customers they are doomed.  It has been like an act of congress for them to payoff a car they have had for over a month.",1.8
20,"September 18, 2018",I took my 370z in today because I took my key out of the key fob and put it in the ignition switch and got it stuck and Stephen King helped me get it out!  He was awesome!!! Thank You Stephen for your kindness and knowledge and for helping me out immediately!  It’s people like Stephen that keeps me coming back!!! You deserve more than a 5 star!,5.0
21,"September 14, 2018",Highly recommend Sales Consultant Matu Ambaye and New Car Director Vijay Desai. Bought new Altima. Some issues came up regarding negotiations made via email and phone conversations. Both gentleman went out of their way to make this deal go down. Car was for my 85 year old father. I can not thank you enough. ,5.0
22,"September 01, 2018","Throughout the entire process, they threw almost every devious used car scam at us. For anyone who is thinking of buying from this dealer, I kindly listed them all below with our experiences.

1.	Hiding add-ons in the Agreement
After test driving the vehicle I called Capital One to tell them which vehicle we chose so we could get approximate figures. They gave us everything we needed, including advice on what to look out for from the dealers. Feeling good about the process they described to us we go back to pick up the vehicle that we test drove 2 days before.

Manny (Salesman), upon getting our finance from Capital One paperwork, leaves and comes back with a short agreement detailing the sale and asked us to sign. I look it over carefully and see $389 for tint. What is this I ask, he said that if for the tint. I tell him that I don’t want tint I’m fine with what’s already on the vehicle. After unsuccessfully trying to convince me about this add-on, I tell him no deal and tell my wife let’s go. At this point, he goes into the dealership and before we pull off, the sales manager comes out and apologizes. He says, he is losing money on the deal and that was an add-in to offset his loss. REALLY… I told him that I was only paying for what was advertised online which was on the dealer sticker, nothing more – nothing less.
He tells us if he can get the bank to take back their banking fees (whatever that means) he would do the deal. So the waiting game began.

2.	Internet Low-Balling
The sales manager was insisting he was losing money on the deal due to the online advertising guys. I didn’t care either way. I just wanted them to honor what they had advertised and what I drove over 40 miles (twice) to get.

3.	Changing Figures in the Lease Agreement/ Focusing on the payment
After sitting for close to an hour, Manny comes up apologizing again about the tint and says we took the tint off, now you can sign. He throws in, “and we got it at the price you wanted with the monthly payments you had before”. Now, I’m really looking at it closely; and I see it. What they had done was taken the APR which was 12% and jacked it up to 15.9% somehow giving me close to the monthly payment but making the deal more expensive. REALLY!!! 

I ask Manny how many more tactics they were going to try. I told him to stop playing games before I leave. He apologized (AGAIN) and went back to the “Little Den of Thieves”. At this point, I’m wondering if it’s even worth it. But the deal that they advertised (that they were trying to renege on) was a good deal. I figured they just wouldn’t blatantly go back on the deal especially after being caught doing all the above; so I played the waiting game.

4.	Flat Out changing the window sticker
The dealer sticker clearly had the 90 day 100% warranty checked. When they bring the sticker to us to sign, it had “As Is” checked. I tell Manny, “Are ya’ll kidding me!” He assures me this was the original sticker and I vehemently tell him that it wasn’t. We go to John who now really kicks on with the “Good Guy – Bad Guy” act, he tells me this cannot be. He tells Manny to go back to where they cleaned the car to see if he could find the other sticker. Manny comes back with it all crumpled up and says it was in the trash, again apologizing to us. At this point, I’m ready to go, but John says ok, let me make this right, so we can get your business. We wait longer

5.	Good Guy – Bad Guy & Bait and Switch
After almost 4 hours John the sales manager comes over and says this deal is costing me too much, we’re not going to do it. I will sell you another car but not this one for that price. (Bait and Switch) Really!!!
I jump up and tell me wife let’s go and we leave. As we’re driving off, I look over and see her crying. I asked what’s wrong. She asks “Was it a bad deal?” I told her it wasn’t a bad deal, but it wasn’t the deal they advertised; I did not come to get a bad deal or even a fair deal, I came because it was presented as a Great Deal. 

6.	Packed payments
I guess a fair deal is better than a disappointed wife. I turned around and end up buying the vehicle for my wife, without the warranty that they initially advertised. They convinced me into buying their warranty and gap insurance. I had to wipe my hands on my shirt from all the Vaseline that I got on it by shaking their hand to seal the deal. I end up dropping the extended warranty and gap a week later after discovering how much I would end up paying them for the life of the loan. 

7.	Delay Tactics
Frustrated by a buying experience that was touted by their website as being “hassle-free”, “comfortable”, and with “no-pressure”, we ended up staying over 5 hours.

8.	Multiple Unauthorized pulls on Credit
We came in with APPROVED financing and told them, on more than one occasion, “Do not shop us to other finance companies”. 2 WEEKS AFTER PURCHASE WE GET MULTIPLE “WE’RE UNABLE TO APPROVE YOUR CREDIT APPLICATION LETTERS” FROM LENDERS. They did it anyway. Of course, our credit score has taken the hits. If you have read this far RUN FROM THESE GUYS!!!
",1.2
23,"August 17, 2018","The best thing with AutoNation is their pricing which is set by a nationwide team. But the sales team at Lewisville Nissan is unfriendly, terrible, lazy and full of lies. I had good experience with AutoNation Ford but these guys need a better management. I approached them giving business but they never called back. After taking an appointment I traveled 40mi to be told that the vehicle is in transit. Their sales will make you lose interest in buying with their lackluster engagement. They make you wait for hours and ask you to come back later. experience with this dealership is rock bottom. ",1.2
24,"June 02, 2018","Hi, 
Today i bought a 2018 Nissan Sentra SV from this dealer, but the dealer gave the vehicle with 563 miles driven vehicle. Atleast when they sign the deal, they should have informed about this.They didn't say anything about this. At the time of delivery, when we ask about this, they are asking me to take a vehicle with 1755 miles.I can understand its a new vehicle, but they would have told this before..they have showed the vehicle with 50 or 60 miles, but given the one with very high miles. Moreover we found many dirts in the car, the Sales Rep asked us to find the dirt and the car went for cleaning 3 to 4 times. We felt very bad about that. I agree those are the only dealer providing the low price for Nissan cars than all other dealers. That's why we are coming to them and there should be some negotiations and anger..but i'm expecting them to be little friendliness to the customers..",2.8
