,Date,Reviews,Ratings
0,"October 31, 2018","Purchased two Fords from this dealership. The sales staff and finance department are professional, we have no complaints whatsoever. We are very please and grateful for all they did for us.  I highly recommend to anyone. 
God Bless
Sr. Pastor Ezequiel T. Garcia III and Charlotte
Maud, Texas",5.0
1,"August 14, 2017",I had a very great experience. I've never been treated so well from a dealership. I would say Pete Mankins is the greatest dealership I've been to and the employees treated us with the utmost respect and care. I most definitely will recommend friends and family. ,5.0
2,"August 11, 2017","These gentlemen saved the day for me! Classic Dodge had really given me a bad experience and the best decision we made was coming to Pete Mankins instead. They were so patient, thorough, and understanding throughout the whole process. They got me approved in under an hour, and made sure I got the car I really loved.",5.0
3,"August 04, 2017",We were greeted by a very nice car salesman named Benito Ochoa. He was very attentive and helpful in explaining the Murano we were test driving. ,4.8
4,"August 02, 2017","We had a very good experience. This purchase was for my daughter who is going off to college and she is very happy with her purchase. Cherie, Lance, and the whole staff was amazing. When we are ready to purchase a vehicle for my husband we will be back.",5.0
5,"July 31, 2017",Pete Mankins Nissan is a great car lot the do there best to help you into a new car the about there business and that's what I like bout them if your look for a car please go there an ask for Adam Pfister,5.0
6,"July 30, 2017",Excellent experience I loved how they did everything they could to help me get a new car i would recommend pete mankins to all my friends,5.0
7,"July 30, 2017","Staff is friendly and curteous, and the cars are top quality! The price on their vehicles are not bad either. I am a repent customer.",5.0
8,"July 29, 2017",Steve worked really hard to get us in a nice car we could get into our price range.  Very pleasant experience with finance dept also.,5.0
9,"July 29, 2017","I purchased a smart car. Great help during the entire process. Had a couple of problems but the finance and service department took care of the situation right away. Second vehicle I have purchased from Pete Mankins. Great dealership with knowledgeable sales, finance and service people. ",5.0
10,"July 28, 2017","Outstanding!  Having just blown a 6"" gash in my Tracker's radiator just around the corner from the dealership, I was frantic. But no worries. From first  contact to negotiations to final sale, they were knowledgeable, professional, & delightful to work with. Definitely lived up to their reputation. Highly recommended by a happy, calm driver!",5.0
11,"July 28, 2017",I was really in need of a dependable vehicle and Cody Thompson did what ever it took to get me in one. Great car buying experience.,5.0
12,"July 09, 2016",Lie on internet pricing then switches price on you. Verbal agreement of price then changed on paperwork.  Would not answer or return my calls. Finance department VERY deceptive!!!!BUYER BEWARE!!!!!!,1.0
13,"February 09, 2016","I am writing a review and wishing I would have read prior reviews of Pete Mankins Nissan. I can say honestly every negative review I have read on them is spot on. They are liars from the word go and will leave you feeling so uncomfortable and disgusted. Do your self a favor and shop elsewhere, I swear you won't regret it.",1.0
