,Date,Reviews,Ratings
0,"May 25, 2020",I wanted to extend my great appreciation to David and Esmeralda in the pre-owned department for assisting us obtain our QX 60. They made the process simple and transparent. We love our Ifinity QX 60. David and Esmeralda come highly recommended.,5.0
1,"May 25, 2020","Angel the finance director was very helpful, welcoming and he had great communication. Anytime I needed help he was there. I strongly recommend Angel for all your needs in your next new or used car purchase!!
",5.0
2,"March 03, 2020","I was told over the phone no credir check and $0 in any vehicle so when i got there they ran my credit over 7 times and then i was told i only needed a cosigner when i got a cosigner they now said i need to turn in my car and $4000 down they kept running my and my girlfrien credit until i left so then they kept calling me they were tryng to work out a deal to wait a few day and what not, they lied to get you in and they go back in their word once your there, worst service and car dealershio i ever been to.",1.0
3,"February 27, 2020","Be aware buyers, This Dealer have the most rude sales person.
I visited the South Houston Nissan on 02/25/2020, Waleed AlHamra was rude when I met him !
We couldn’t agree on a price, and The saleswoman who tried to sell me a car called me two days later 02/27/2020 to follow up with me, I told her that I just bought a Nissan Kicks from another dealer, she got upset and hanged up the phone on me !!!!!!
I should have left the dealer the minute I met Waleed AlHamra.
I will definitely share and write this review on all the web page has the name of South Houston Nissan.
",1.0
4,"January 24, 2020","Possibly the worst car buying experience I’ve ever had.  Was offered a price online and went to the dealership to buy the car at that price.  When we got there, that price wasn’t available.....classic bait and switch and very predatory.  Go somewhere else, for your own good.  ",1.0
5,"January 21, 2020","Do not go to that place is the worst place to buy a car. the shopping experience there is horrible, 3 months ago I bought a truck and I still do not receive my  car plates other than that the deal is super bad! DO NOT BUY IN THAT PLACE",1.0
6,"January 12, 2020","These guys are shady. Buyer beware and don’t waste your time with them.I was literally going there to write a check for not just one but possibly two cars and they couldn't get out of their own way. I wasn't trying to haggle or argue, I was ready to buy.",1.0
7,"January 03, 2020",Great customer service !!! It’s been an amazing experience there at the express service department . Will always trust and go see William Lopez my service advisor . ,5.0
8,"December 03, 2019",If only I could give a zero I def would. They think you’re stupid. They tell you one thing over the phone to get you in and another when you get there. They act like they work some kind of magic to get you a car and if you try to tell them you don’t want it they will keep submitting your info to different banks making your credit drop and their GM has also told his finance ppl to make sure you don’t get another deal anywhere else if you don’t work with him. BBB for sure.,1.2
9,"November 25, 2019","Best dealership in the world, I came in for service but realized I could save money monthly after talking to the floor manager. Thank you Akash for your help. ",5.0
10,"November 21, 2019","I bought my Nissan Murrano from David McDavid.  I called to make an appointment to replace a fog light assembly.  The gentleman said the part would be in the next day and I could come at any time.  He was scheduled to be off but he assured me there would be capable service technician to assure.  I went to the service center the next day.  The jerk at the counter was rude, unhelpful and dismissive toward me.  The part wasn’t available and my time schedule was short as I was there for MD Anderson appointments.  I will find another service center that treats customers like worthwhile people!",1.0
11,"November 06, 2019","💯 happy with the services I received in buying my truck.
I received prompt and professional/hands on services and Swift closing. These guys were great.",5.0
12,"October 17, 2019","If I could put a zero I would. I was told that they would work out a deal for getting my first car (Sentra) traded in, which they didn't. What happened instead, is they took my ""trade-in"" ,never notified that lender that my car had been left and allowed payments to continue to be drafted from my bank account. In addition, I never received documents  saying that the Sentra had been left in their possession.Meanwhile they sold me a second car, 8,000 over the blue book value. When I went to see why I was still being charged for the first car, the Lead supervisor, Mario< told me to get a lawyer. He never tried to correct the problem nor does he know where the first car is. In fact, he tried to say that I never left it at all. I contacted Corporate, Mario called me and said he would give me documents saying that they had my car, but when I went to pick them up , he told me he would not speak to me except through my lawyer. I never got the documents. So now, payments are being deducted for the first car, which they won't tell me where it is, i'm being charged for the second car and I have no proof of them taking possession of the Sentra . In fact, the Finance salesman, Ollie told me to just say the car had been repossessed. Why would I do that when I've made on time payments since taking possession of the Sentra? What a scam! Beware people cause this could be  you.",1.0
