,Date,Reviews,Ratings
0,"March 21, 2020","Chris was great. I've bought many cars and this was one of the best car buying experiences I've had. If you need a vehicle, ask for Chris G.",5.0
1,"March 16, 2020","ON MARCH 7, I BOUGHT A NEW ROGUE SPORT SL, MY SALESMAN VINCE VALENCIA WAS THE MOST WONDERFUL GUY I HAVE DEALT WITH.  HE WENT ABOVE AND BEYOND TO HELP ME, A SENIOR CITIZEN.  HE SAID HE WOULDN'T LET ME LEAVE UNTIL I WAS SURE I UNDERSTOOD EVERYTHING ON MY NEW CAR.  WOULD HIGHLY RECOMMEND FT WORTH NIISAN AND VINCE VALENCIA.
LESKA CHRISTIE-ABILENE TEXAS",5.0
2,"January 18, 2020","Chris G was amazing I helping me get my 2020 Versa, great customer service and hassle 
Free purchase. Chris made my first dealership experience pain free, stress free and I got exactly the car I wanted and needed. Will definitely return and refer!",5.0
3,"January 16, 2020","Great experience with Fort Worth Nissan. My sales associate Chris was very attentive and understood my needs. Thanks to them, I have a new 2020 Nissan Altima and I'm in love. Thanks Fort Worth Nissan for all your help. ",5.0
4,"January 15, 2020",Chris Guillory and Charles Horsely was a great help with my husbands new Titan. Thanks Fort Worth Nissan for all your help having a great staff. I will be back!,5.0
5,"December 23, 2019",Dealership was amazing! Chris Guillory and Edgar were wonderful! No stress decision! We were in and out in less than 3 hours! Thank you guys!,5.0
6,"November 12, 2019","This past weekend we were on the hunt for a new or even used van. After visiting several different dealerships throughout the day, this was our last stop. From the moment we arrived we were greeted with friendly and sympathetic smiles and warm personalities. Our salesman Chris Guillory was wonderfully pleasant to work with as well as very informative on the NV 3500 passenger van. As with any process questions and concerns would come up in our conversation and he as well as the dealership manager Al was there to answer them immediately. Then in addition their wonderful service, we were expecting a lengthy time to sign paperwork and once again we were surprised on how fast and easy the entire process was as a whole. We headed back to our hotel feeling wonderful about the entire process and knew we made the right decision on our purchase. If you are looking for wonderful and friendly service, Nissan of Fort Worth is an exceptional choice. ",5.0
7,"October 21, 2019","I'm so pleased with my new vehicle purchase. I had a wild hair to trade in my vehicle and upgrade to something larger. Chris made my experience positive, easy, and not stressful. His communication was fantastic and he understood my budget and needs. If one idea didn't work out, he had a new idea ready, Absolutely great experience. Pete Ballard was also fantastic to get me into my new vehicle. Kudos to these gentleman for dealing with me and my five year old daughter! =)",5.0
8,"August 16, 2019","Chris Guillory was amazing. He helped me get what I wanted and what I needed. He showed my all the features on my nissan rogue. He was sincere and honest, which ultimately helped me in choosing the Rogue. Thanks Chris! You made the whole process 10x easier. ",5.0
9,"July 24, 2019","Have been extremely satisfied with all employees that I have dealt with at this dealership. Customer courtesy, friendliness and sincerity are of utmost importance to me and I truly enjoyed the atmosphere in my purchase.",5.0
10,"May 14, 2019","Great dealership buy a car from. Atmosphere was non-threatening no pressure everything was smooth.
Chris was our salesman, he was a 10 very knowable and  Friendly. Ask for him! 

The new ""start my purchase"" online is awesome. You can do everything from getting the price of the car getting your trade in value and financing before you even go into the dealership.

There are no games on the trade-in allowance with the black books that is what they gave me. I would recommend this place to anyone that wants to buy a Nissan.",5.0
11,"April 17, 2019","On the 3rd of April, I attempted to purchase a Nissan Altima 2019, we spoke with George the Fleet Manager and Micheala the financial Adviser. We went through the whole process of negotiating and came to an agreement. We put a trade in Jeep of a value of $9,000 something along with $2,000 down. We sat down with the financial adviser, which is the normal step when everything is said and done. We signed all the contract and agreements. We were told they would contact us the next day to give us our copies of the contract. We never heard back from the Fort Worth Nissan off of 3451 W Loop 820 S Forth Worth, TX 76116. There were a few issues with the car I purchased, such as the sun roof was not working right, the right side wheel frames were bent in, and the back speakers were crackling. I contracted George the Fleet manager about these issues and he told me to take it to service and ask for Ryan, which he would help me and get me straight. Not once did George mention there was an issue with our contract. So naturally I didn’t worry. A week after having the car on 10 April 2019, I took the car to get service while my brother went to the financial adviser to get copies of our contract. The manager of the dealership sat us down and told us that the contract was not accepted anymore and in order to keep the car, we would need to put down another $5,400 dollars. This was unacceptable, we had already come to an agreement and we already had a bank that approved our loan. The manager didn’t know what to say other than, the financial adviser was not the final step. When we spoke with the Financial Adviser, she even thought we were done and didn’t understand what the manager was talking about. The manager in our opinion dropped the ball somewhere. We were never notified of any issues or that the bank came back and denied us. The manager claimed that George the Fleet manager should of told us, which he did not. They have also lost our paper work as well as the power of attorney we gave them for the trade in. So if we would have never gone in for service, we would never had been told there was an issue with the contract. Then what? If I would never gone in, would they have contracted us? This is unacceptable. I have been to many dealership where the financial adviser was the last step in the process of buying a car. The Nissan in Fort Worth really needs to learn how the system works. They took time away from us and plain out drop the ball. I don’t know what they were doing but they messed up somewhere and we paid for it. Correct me if I’m wrong, but I have purchased a lot of cars in my day and every time we go to the financial adviser, which has ALWAYS been the last step. That is where we all came to agreement and we sign on the dotted lines. I have contacted the Better Business Bureau as well as put my reviews for the Nissan in Fort Worth. They took my time and my money and I came out empty handed. This is not how you run business and I feel you need to retrain that manager and team on how the process works, because apparently they don’t know how it works or the steps they need to take to finish a contract. I love Nissan, but this was the worst sale I have ever been in and it makes me doubt Nissan. I have owned a Nissan before and I was trying to own another one, but with this kind of personnel, I don’t know if I want to do business with Nissan if they don’t know how to work the process. I am not happy with how things turned out! Very disappointed!!",1.8
12,"April 06, 2019","Chris Guillory was my sales rep. He did an awesome job of getting me a vehicle. He was honest, patient and very caring. He went over my financing options and showed me vehicle options. I was very pleased with his knowledge and customer service. I recommend this dealership to everyone who is looking for a vehicle and specifically i recommend Chris Guillory. ",5.0
13,"April 02, 2019","Excellent customer service,good prices.Mr Chris Guillory was very patience and helpful I will go back in the future and purchase another vehicle there ",5.0
14,"April 01, 2019","Chris Guillory helped me out tremendously finding my new car! Sales process was smooth and easy! I would recommend these guys any day! 

H.Hardin",5.0
15,"March 31, 2019","I went in as a first time buyer at 23 years old. As soon as I walked in i was welcomed and greeted with energy and respect. I went in worked with Chris Guillory and WOW is an understatement! He was so professional, ongoing and was extremely patient! Did not ay any point try to force a car on me, he was open to all my options and never made a face or stuck with one car. He showed me all the possibilities and we went from there! He worked with me as best as possible and didn’t treat me like a “young buyer” I went to a different dealership (not Nissan) and they didn’t expect for me to leave with anything! Chris and most of the staff were super welcoming! Would definitely buy from him and Nissan Fort Worth again. ",5.0
16,"March 28, 2019",This is my 3rd car that I have gotten from Nissan Chris is a wonderful salesman making it an easy process getting the car you want ,5.0
17,"March 28, 2019",I was in the market for a car for over a year.  My dealer Devan was very informative and pleasant and a pleasure to work with.  I ended up purchasing the Maxima Platinum and have to say was one of the best experiences I have had purchasing a car.  He answered all my questions and made sure everything was done.   Thank you Devan!!!!!,5.0
18,"March 23, 2019",Owned a Maxima and went for normal maintenance. Ended up leaving with a new 2019 vehicle. Thank you Chris Guillory and Brad Hawkins for the great customer service and actually caring about my financial budget. ,5.0
