,Date,Reviews,Ratings
0,"June 04, 2020","James made my first car purchase a great experience! He was patient, informative and really went out his way to help me find what I needed, If you need anything he is your man! ",5.0
1,"May 15, 2020","My Murano caught fire with my my wife onboard and burned to the ground. This was eight days ago and the dealer who I have bought two vehicles from keeps saying they can’t help and Nissan America has given me a case number and will not even respond to us. It’s been eight days.
I expect at least some response.",1.0
2,"May 06, 2020","I usually don't leave reviews, but I wish I could give this review more than 5 Stars. Sales Manager, Mr. Calvin Williams most definitely exceeded my expectations! I dreaded going to car dealerships. Prior to Tom Peacock Nissan, I’d visited many car dealerships where I felt uncomfortable and pressured, but my interaction with Mr. Williams was the total opposite (thank GOD)! Moments after meeting him, it felt like I was talking to an old friend. He was very welcoming, knowledgeable, and honest about the line of vehicle I was looking to purchase. Mr. Calvin Williams was very patient with me and my credit situation. He also ensured that I was completely satisfied with my vehicle purchase before signing any paperwork. He was committed to helping me make the right choice for my personal interest and financially. When it was time for me to sign my documents, Mr. Williams sent me to a very nice and easy-going Rep (I can’t remember his name…. sorry guys). Which I felt was very important since this is the final and very important step in purchasing a vehicle.  This guy really knew his stuff and could answer all my questions without hesitation (I really wish I could remember his name). In all, my experience at Tom Peacock was a true blessing. Mr. Williams and the other guy sincerely showed me that I was a valued customer. Look no farther! Tom Peacock is the go-to spot for your next vehicle! ",5.0
3,"April 15, 2020",Great customer service - always quick to answer questions and make sure that I understand everything being done with my vehicle when in service. Will continue t o use..,5.0
4,"April 11, 2020","Great customer service, fixed my AC and replaced my Radiator hoses.. Explained all the repairs and cost and repairs were done in a timely manner. ",5.0
5,"April 10, 2020","Had some issues, but managed to get them resolved. Just make sure you understand your deal completely, have it in writing, and if anything doesnt doesn on the contract you sign and the deal you were promised, do not sign it until you have in writing, the specific details hashed out and signed by the manager. After everything, they did make good their deal with us, and things are moving along. ",4.0
6,"March 27, 2020",I have bought several cars from Tom Peacock and they did a great job and took care of all my needs. Will bring friends and family here also.,5.0
7,"March 13, 2020","I was in the market for a ""gently used"" Ford F-250 Super Duty Diesel 4x4 truck - and was searching Car Gurus and other online sales sites. I got the lost leader BS from a few, another even told me I was approved for financing and to come get the truck - which was no longer there when I arrived after filing out the online application. My time is valuable - to me anyway so I took a stab at what looked like way to good to be true. Tom Peacock Nissan had a 2019 F250 FX4 6.6L turbo diesel with only 30K miles on it for under $50K - they actually sold it to me for $43K. I couldn't find any other vehicle within a 100 miles even close to that for a comparable unit so I inquired.

My Sales Rep Jon Wasserman called me and with no pressure simply asked if I was interested in the vehicle he would gladly hold it for me. In the meantime I submitted the application he sent and within about 10 minutes he called to say I was approved and he would be available whenever I was ready via his personal cell phone. I drove down a few hours later , did the test drive and couldn't believe the truck was really the one they agreed to sell. Jon suggested pulling the CarFax and reviewing it together which showed no negative history outside of routine service - and is still under warranty. Mr Wasserman is quite young but beyond his years in professionalism, understanding, and customer service - when you operate like that you really don't have to be closer. I have already told a few of my friends about Jon and Peacock Nissan and would definitely buy another vehicle from them. ",5.0
8,"March 09, 2020",The sales associate MC was really knowledgeable and informative. He was patient a professional. I'm positive that if he wasn't the sales associate I worked with I would not purchased a vehicle.,5.0
9,"February 27, 2020","First I will like to say thank you for giving me the opportunity to purchase a brand new vehicle from Tom Peacock Nissan. I will like to say that Valerie Williams was a awesome sales consultant. She was very multi task with her customers. She was very polite, helpful & patient. I can say she really know what she is doing and how important it is to help someone get finance. I appreciate how she went step by step of getting the job done. Valerie stayed in touch with me and not only that, if I called her-she answer,  if I text her-she text back, and if I emailed her-she emailed me back immediately. I will recommend Tom Peacock to any of my family and friends and highly recommend Valerie Williams to be their sales consultant. She is a very pleasant person and a good listener. Good job Valerie Williams and thank you so much for taking the time out to get me finance. Valerie has great & intelligent customer service. This is the best service that I have ever received when purchasing a vehicle. If I have to do it all over again, Valerie Williams will be the one that I would go to. Valerie I wish you the best. Job well done. (My star rating for Valerie is 10+)..Extremely awesome. ",5.0
10,"February 22, 2020","She is a great person , made me feel in love with a car 
If you need a sales person look for her 
She is the best person that has attended me ",5.0
11,"February 22, 2020","My wife and I had our first vehicle purchase at Tom Peacock with excellent custom service and care from Lauren and her team! I highly recommend Tom Peacock Nissan, they’ve got great deals, good vibes, and a family feel. Will definitely have future business at this location with Lauren C. Thanks again!",5.0
12,"February 19, 2020","Our experience with Tom Peacock was great. Lauren was the best! Her personality, energy, and over overall customer service was awesome! She made my husband and I purchase excellent! I would absolutely refer anybody who wants a great deal, and great customer service over to Tom Peacock. Lauren Cathey was phenomenal! ",5.0
13,"February 19, 2020",Thank you Lauren Cathy for being so patient and helpful with my family you’re the best! The vehicle is AWESOME!! They enjoyed you from start to finish. Great customer service and would definitely recommend her when looking for your future car purchase. ,5.0
14,"February 19, 2020",I purchased a brand new Versa today and our salesman was AWESOME! I felt comfortable and trusted his suggestions and opinions. He worked hard to get us the best possible deal. I am very pleased John Leveston of Tom Peacock Nissan is the best! ,5.0
15,"February 01, 2020","We purchased a 2019 Nissan Sentra at this dealership last night, our sales person was Sam and he was amazing, so patient and helpful, he made us feel welcome and important this was by far the best experience I have ever had at a car dealership, Sam ""Thank you so much"" I also want to say that everyone we had contact with last was wonderful,
The best customer service, I highly recommend this dealership.",5.0
16,"January 29, 2020",I liked the fast and friendly service.  My oil and filter change took 45 minutes and that included the great car wash.  I was kept up to date on my car at all times.,4.8
17,"January 18, 2020",I like everything about it.  The staff is very informative and welcoming.  I like watching tv while waiting. I really makes the wait easier. Great,5.0
