,Date,Reviews,Ratings
0,"August 05, 2019","The service department was extremely helpful! When the issue occurred with my car initially, Anthony truly cared and did everything he possibly could to help me out! Thank you so much! ",5.0
1,"May 17, 2019","We have owned several vehicles purchased at Peltier Nissan in Tyler, Tx. Our last one was a 2016 Altima.  We were talked into a Lease on this vehicle.  BAD MOVE!!!  However, we trusted our salesperson, Rob Adkinson, but come to find out he is just another car salesperson. I'm sure you know what I mean!! At the signing of this lease, we were NEVER told of a ""Lease Termination Fee"", Maximum miles allowable, an Inspection of the vehicle......NOTHING!!  Also, at the signing of this lease we purchased one of the high end maintenance programs.  You know Oil, Filter, Tire Rotation, Tire/wheel repair/replacement, paint chips/small dings, etc.  Multiple times we took our car in for routine maintenance and requested the tires be rotated.  THE ROTATION NEVER HAPPENED...  This was even acknowledged by the GM.  Bottom line we did NOT get what we paid for on this maintenance program.  We had the Inspection done, however, again we were never told of this.  We learned from a letter received from Nissan.  So now we are at the end of our Lease and we had a cracked windshield.  WE HAD THAT WINDSHIELD REPLACED THE DAY BEFORE WE RETURNED THE VEHICLE TO PLETIER NISSAN.  We were told by both the salesperson and the GM the day we returned the vehicle (and windshield was replaced) that we owed nothing as a result of the End of Lease Liabilities.  Now we received a letter from Nissan stating we owed $ 662.35 for Excess Mileage.....Excess wear......Lease Termination Fee.  Excess Wear means Nissan wants us to pay $215.00 for THE cracked windshield we already replaced.  This is nothing to do with a Lease or a Purchased.  It's all about NOT believing everything you are told.

Oh, one more thing.... Mitch in the Service Area is Extremely Great to work with.  When Mitch was not available we used another Service Writer and on numerous occasions things were added to our work order request that we DID NOT request, I guess so the Dealership could be reimbursed for things that were not requested and most likely not performed.  Kinda like the Tire Rotations!!


I am sorry it has come down to this and I am sure some will be upset at my review.  But, you know  sometimes the truth without all the sugar coating needs to be revealed to open eyes.

Will be the LAST Nissan or at least from this Dealership for us.  


Jim Morgan, USAF Retired
Golden, Texas
 


  ",2.5
2,"March 31, 2019",The service department was really friendly from the start. I left my vehicle with them for service. They notified me their concerns regarding my vehicle in a knowledgeable way. I choose for the dealership to fix my truck and I'm so glad I did. It could have cost me the expense of a new engine. They ordered the parts and had my vehicle ready in a timely manner. ,5.0
3,"March 19, 2019","Brought my Rogue in for service. They quoted a MASSIVE job amount, but we needed the car fixed so told them to go ahead with the work. After calling other businesses throughout the day we find out that their price is DOUBLE most other places, including OTHER NISSAN DEALERSHIPS! When we went to ask them why it’s double the price, we were told by a manager that “Peltier doesn’t compete with anyone in Tyler. All of our dealerships are like that.”  Not only that, but they INCREASED our bill and never told us. Now we owe them even more without ever being told the price was going to go up even more than double everyone else we called. Do yourself a favor and bring your vehicle ANYWHERE ELSE to get serviced. They intentionally charge 200% markups on their parts over other Nissan dealerships just because they can. They charge $200 per hour for labor, and tack on hours of labor for work that should take minutes. They charged me 1 hour of labor at $200 for changing out 4 spark plugs. Email me if you want and I’ll send you a copy of the invoice so you can see for yourself.",1.2
4,"February 11, 2019",They have excellent service and great staff.  They make you feel comfortable and right at home when you enter the lot.  A special thanks the Greg Strickland for his excellent customer service and helping me find the right vehicle for me.  Any needing a dependable ride for great cost visit Peltier Nissan Tyler.  ,4.8
5,"January 01, 2019",Traveling all the way from  New Orleans was definitely worth it! Kendrick Price (Sales) was extremely patient and accommodating. Considering the cancelled and missed flights. LOL!!!! He still managed to make it the best car buying experience I’ve ever had.  I’d also like to thank Jeremy Pollard (Finance). Jeremy was kind enough to answer all of my questions. He worked expeditiously so that I travel back home. I did not me feel pressured during this deal at all! Thank you guys and I will definitely be recommending you to all my family and friends!!!!! WHO DAT!!!!!! ,5.0
6,"August 15, 2018","Dealership service bay opened on time. Employee smiling, processed my car quickly for the inspection & service.  Afterward went over results of inspection and other items checked.",5.0
7,"July 29, 2018","I don’t really have the time to write a long explanation but I’ll be brief.

Bought my car from them and was told that it went through a full inspection check, I’m not confident that it did. This was in March.

We’ve been having terrible noise and issues with our brakes. After taking it in to get looked at three times at different places. The mechanics have  said that the brake pads are new but the rotors are terrible and it looks like the guys cut corners and only did the brake pads to cut cost. It also won’t start after filling up(probably why he didn’t let me start the car when I test drove it)They are saying it’s a bad sensor and this problem has been reoccurring since we purchased it. 

Reached out to my sales guy(cool guy)
Robert, asked him if I could bring it back so they can fix the issue that they should have fixed at first and he said it was normal wear and tear. I’m not sure I believe that with the three random mechanics saying the same thing on the issue and how the dealership should have done that.

Robert mentioned he would pass my info along to the service manager and I have not heard anything or gotten a call and it’s been about three weeks.

I thought highly of this dealership with the customer service but experienced different.

1. Integrity- if you say something’s been done and that you will have someone get in touch with me “do it!”  
I guess next time I’ll just need to ask for a itemized inspection sheet or something to make sure they are speaking the truth.

I’m not trying to be sour but I’m just rating my experience overall up this point with this dealership and vehicle. 

Hope something can be done because this is just inconvenient. Also having my wife and 2 year old daughter I drive around everyday makes me concerned about their safety.

I felt like corners were cut,lied to,and with this kind of situation I feel like “make the sale no matter what” came before customer service!

From one sales man to another",2.0
8,"July 09, 2018","Blake Hightower is the Salesman I worked with. And Donnie. Blake is professional, personal with attention to business. I came away with appreciation for his respectful politeness and assistance..  Definitely recommend that my friends and family to ask for Blake ,when needing a car.  Thank you Blake. Wish you the best .  Thank you Donnie.for also helping us. ",5.0
9,"April 25, 2018",The sales people go very far to help you to get a car on your terms. I have bought 3 cars here and it's been a pleasure working with them.,5.0
