,Date,Reviews,Ratings
0,"June 08, 2020","I just want to say THANK YOU to the salesperson that went above and beyond to bring paperwork to my house for me to sign to finish up the deal with my daughter, Because of health reasons, I was not able to come to the dealership. The drive one way is almost a hour., so it was not a quick drive for him. Thanks to him the deal was sealed and my daughter is now the proud owner of a Jeep Cherokee. I would also like to thank the finance department who worked with her until they were able to reach an agreement that she was very happy with. I will definitely refer anyone to your dealership for their next vehicle.",5.0
1,"May 08, 2020",David Benitez was our sales person throughout our car buying experience.  He was extremely helpful and was very responsive throughout the process.   He got us the car we wanted and was great to work with.   ,5.0
2,"March 20, 2020","When my husband and I are in the market for a new/used vehicle, he does a great deal of research and shopping before deciding to make a drive to a dealership.  This was the case today.  After much online shopping, he found a vehicle that was worth taking a look at, a specific vehicle... not just any car on the lot.  We made an appointment.  We had to make an almost 2 hour drive.  When we were 30 minutes away, we let the salesman know so that he could have the vehicle ready.  He agreed he'd have it out front ready for us.  Five minutes after that email, he sends a message saying that someone is test driving it.  Literally two minutes before we arrived, he emails us to say it has sold.  We were LIVID.  This transaction went down a little too quickly and coincidentally.  The car had been listed for around 3 weeks according to CarFax.  It seems unlikely that two people would show up within minutes to look at the same vehicle.  We had an appointment and had to take a day off of work.  This is deceptive and underhanded.  We feel like this was used as a hook to get us to the dealership when it was never really available.  If a person has an appointment for a specific vehicle, it needs to remain available, particularly when that person has to a)travel some distance and b) is already on the way and almost there.  This is not good business practice, and we will never use this dealership in the future.",1.0
3,"February 28, 2020",Sold my 2014 Ram 2500. I was well treated and received a fair price. Samuel Gutrieeze was excellent. When we are ready to buy a new car we'll be back. ,5.0
4,"January 19, 2020","For such a big dealership I can't believe that they would bring themselves down so low! I just bought a car a month ago from David McDavid Acura in Plano and I wish they had the car that I was looking for because I would reccomend this dealership a million times more! This Nissan did not honor what they agreed upon! I went to this dealer to check a Suburban, I test drived it and came down to an agreed upon price with tax, title, and reconditioning. The next day, we were going to stop by and bring the check. They said that they did not agree upon that price we had agreed upon. I was actually trying to negotiate to get it lower. And I have text recipts of this promise of theirs to back it up! So, I don't know what to say except that this is a dealership full of lies! Additionally, I talked to 2 different sales people for the same car. And don't ask to finance through someone else because there will be a total change in attitude. I will not recommend going here to anybody. I haven't even had someone call to see how everything went. By far the worst experiance!",1.0
5,"January 04, 2020","My service is experience was excellent. Not only were they friendly and knowledgeable, they kept me updated on the timing, etc. Mike was simply the best!!!",5.0
6,"December 02, 2019","Francis made my first car purchase the best experience ever! I been looking for a car for the past year and every dealership I’ve been to in Tyler, tx I was walked away from and not welcomed. I went online and saw a car at McKinney. Y’all It was worth the two hour drive all the way to McKinney. Thank you Francis!! He answered all my questions and all my concerns. He made everything hassle free and everything explained in detail and all the employees I talked to were very welcoming and I’ve never seen a dealership like this one. I can’t emphasize how worth my two hour drive was. I left driving back with my new certified pre-owned car! Thank you Francis for all your excellent work! ",5.0
7,"November 12, 2019","This was our third Nissan purchase, second from Nissan of McKinney. We have been very satisfied with the reliability of the vehicles. 
Unfortunately, this time we dealt with an individual named Oscar. After a back and forth hassle we agreed on a monthly rate and a down payment. We both signed on the offer and moved forward on the purchase. Oscar was kind enough to charge my card and shortly afterwards infotmed me that the monthly rate increased. I was not happy, we agreed on a different number. Oscar never apologized, acted completely unprofessional whenever I confronted him about the issue. 
I would be very cautious closing a deal with Nissan of McKinney. They will try to increase the closing price if you do not pay close attention. 

",1.0
8,"November 01, 2019","Overall I did not expect this kind of unprofessional from this company.

To start with, even the very first experience was not awesome.

I reached them to appraise my car for sell. The entire process was not informed in the beginning and sales person did not even have a courteous gesture. After the appraisal, first they confirmed 13,200 but after immediately a director full of attitude(to show us that buying a car is big favor to us), reduced the quote to 11000 giving few reasons. Not sure why they could not do enough due diligence in advance and present me the final number. Looks like its all a game to show the customer that its all favor whatever they offer.

Though they commit to meet KBB numbers, even though everything was excellent in the car, they couldn't keep the KBB sale price offer of 12,300.

As I could not have any other deal in the meantime, I approached sales person over e-mails and he confirmed (sales agent Aaron Bantu) 11,500 as the final offer after negotiation.

When I arrived to sell my car, there were many surprises -

After half an hour of starting the process, sales person tells that they cannot provide the check upfront. - Why this could not be told in advance, I am not able to apprehend.

By now, they knew, I need to sell the car that day due to my international move. After some more time, the manger or director full of attitude, comes up and tells that they can only offer 11,300 and totally negates what was committed over e-mail, putting all the blame on sales person who was interacting. It was all appearing as acting and pre-setup.

The other senior person when I approached to verify about any other possibilities of getting the check upfront, did not loose any opportunity to convey again that's its favor not the business and told, I am still open if don't want to sell my car since they already knew it is the last minute deal for me. I could not expect this entire setup and game played by the entire team.

Finally, they did all the paper work but NOT even provided a receipt first till asked in number of ways to a number of people. There is not bill of any sort for this transaction.

WORST EXPERIENCE INTERACTING WITH THEM!!!",1.0
9,"October 22, 2019","Our entire experience with Nissan of McKinney left us so frustrated.  They deceived us about what the extended warranty covered.  We were told we would get a rental car whenever we needed service and they fought us or tried to charge us for a car each time we brought it in for service.  It was brought in 5 times because they wouldn't give us a rental car, they would take days instead of the hours they said it would take, they had the wrong part, excuses, excuses, excuses. After 5 months, 5 visits, the car still isn't properly fixed so we traded it at a different dealership.  What a waste of time, money, energy.  Now they won't answer the phone so I can fight to get my full refund on my extended warranty that they never honored. ",1.0
10,"June 30, 2019","My wife and I had originally gone in to get an oil change on our 2018 Frontier. She has always liked the Midnight Edition Frontier but we couldn't afford it first time around. We talked to Curtis, the dealer there, who shuffled numbers and finally got her the truck she's always wanted in the price range we could afford. Curtis was not only very nice, courteous and helpful, he really went out of his way to understand our needs and work within the very tight budget restraints we had. I told my wife on numerous occasions there was no way he was going to get that truck for us and I'll be damned if he didn't do it. Curtis is our man now and we will make sure to deal with him anytime when we have vehicle needs.",5.0
11,"June 04, 2019","I just purchased my third vehicle from this dealership and will be loyal to them going forward.  Extremely professional and over the top customer service!  Thank you Chris Nix for running a top notch dealership  and Peter Sayroo for making this the best purchase experience so far!  As a long time BMW girl, they don’t even come close to you in comparison.  ",5.0
12,"May 14, 2019","I recently went to Nissan of McKinney and worked with Chris Saxton on buying a new truck. I was in dire need of a new vehicle, and Chris took really good care of me. I always knew what was going on, knew where I stood with my ability to finance, the price and payments for the truck, and the next steps. I never ever felt pressured or rushed, I knew I had the keys to the conversation. With the help of Sales Director Chris Nix and Finance Manager Chris Douglas, I left confident and that I received the best deal for the best vehicle.",5.0
13,"April 18, 2019","I shopped for a used car and had a wonderful experience. Abraham Awkal was very helpful and made the process painless and quick. I even had two crazy kids with me during the process. I highly recommend Nissan of McKinney and Abraham. He answered all of my questions through text throughout the day and had cars ready for me to test drive when I arrived. I was able to leave with the vehicle I’ve wanted for the last 15 years with payments I can afford in record time. Thank you, again! This is the 3rd car I’ve purchased from them. I won’t shop anywhere else.",5.0
14,"April 06, 2019","Smart xxx in the service department told us to take a Nissan under warranty and a safety recall, to the dealer we bought it from. Also said our car had been wrecked, all the while he hadn’t even looked at it! No problem Nissan if McKinney will not ever bother you again! ",1.0
15,"March 05, 2019",I like the way they took care of and got a good deal for me will all features including lane assist and all safety features on platinum model for a good price. ,4.8
16,"February 15, 2019","I wrote below review and gave one star to dealer a few weeks ago.  I wanted to give 4 stars now, because service manager Mr. Clint Givens and I had a discussion.  Mr. Givens is decent, fair, and professional. He gave me full refund.  The only reason why I didn't give 5 stars is because I believe dealer should improve its electronic car key testing process.  I still don't understand why dealer did poorer job than locksmith.

 would put no star there is an option here.

I am driving a Nissan altima I purchased from them. The electric car key stopped working, so I took it to them hoping them they can repair it. They charged me $154 for telling me my car key was not repairable, and need a new key with price of $350. I took the same key to a local locksmith. After putting a new battery, the car key works fine.

Bottom line: don't go there, they are not worth your trust.",4.6
17,"February 09, 2019","Bad experience with the service with my car, never recommend to anyone going here , they actually pretend that they did service, they didn’t do anything ",1.0
18,"January 01, 2019", had very bad experience with Sales Team They don't know How to sales  team should be work  Specially Jeneva Brenson Sales Manager has attitude I recommend to peoples if they want buy Nissan cars or any Vehicle please go another dealer they trying to rip off.,1.0
19,"November 07, 2018","I just purchased my 6th Nissan and it’s always been a positive experience. From the moment I pulled in and spoke with David, and also Louis in sales... to working with the manager Jeneva, I never felt pressured to purchase my vehicle. They worked with me and found a way for me to get my daughter what she wanted. They all went above and beyond to make the transaction happen where we were all happy. Even Vern in finance worked wonders with me and made things happen. I already recommend Nissan of McKinney to everyone. Even people who aren’t looking for a car. I have NOTHING negative to say about anyone. ",5.0
20,"October 12, 2018","
My name is Tyrone Peoples. Me and my wife both bought new vehicles. The customer service was excellent. The Salesman did and excellently job. I will buy my next car from him. Cause he really made us feel welcome. Thank you.",5.0
21,"August 20, 2018"," The service department is great and after I had a major issue (not the fault of the car itself) they were happy to assist.  Easy for insurance to deal with as well, etc.  Thank you! ",5.0
22,"June 09, 2018","WARNING Autotrader shoppers.  The salesman was nice. Management changed price as I sat there.  REQUIRED $2,500 reconditioning charge! Would not sell at advertised price.  ",1.0
23,"March 12, 2018",I had the best experience purchasing my 2015 Nissan Pathfinder at Nissan of McKinney. My salesman Stefan Milller made by buying experience very pleasant.  Oscar Arango the Business Manager helped me with getting a lower interest rate and making me feel at ease.  I will admit...I do not like going to dealerships because of the pushy salesmen.  At Nissan of McKinney they made me feel like family and I can tell they really cared. Best car purchasing experience I’ve ever had!  I highly recommend Nissan of McKinney ,5.0
24,"March 04, 2018",Amazing service with very personalized experience. Makes you feel like  a family. Highly recommend it to everyone for any future car purchase. all the staff members were very curtious and friendly.,5.0
25,"February 24, 2018","Great sales experience from beginning to end, would definitely recommend and return. Will definitely consider when I need another work truck or van for my business",5.0
26,"January 30, 2018",What a great car buying experience they worked with me every step of the way and I know they will do the same for you.,5.0
27,"January 23, 2018","I had the best experience with the Nissan sales people who were very accommodating and professional. They answered all my questions, of which there were many, and made me feel like I was special. There was no sales pressure. They went out of their way to find just the right car for me, and when they couldn't provide it they went and swapped out one of their vehicles for mine through another dealership, which included a drive of several hundred miles. This meant I had my car in just 2 days. Can't say enough about the great experience. I might also mention the dealership was extremely clean and probably the cleanest I have ever seen! Love them!!",5.0
28,"January 09, 2018",Salesman Kyle cake outside and met us before we even got to the door! He was super nice and friendly and not in a fake way! Very knowledgeable about the vehicles and procedures and efficient in explain g things the whole process! Not pushy.  I wish all my previous car buying experiences were like this! I’d recommend this dealership and especially this salesman to everybody . Very pleased with the price and my vehicle . ,4.6
29,"January 05, 2018","If you're looking for a new Nissan, this is the place to go!!.  Definitely ask for Braydn - he will not push you into buying a car you don't truly want or need!  He's professional and listens to your needs and wants in a vehicle.  Drew, the finance guy, was super as well.  Highly recommend this dealership and personnel!!!",5.0
30,"December 31, 2017",Nissan of McKinney is an awesome dealership to purchase a vehicle. We just purchased our 4th vehicle from the dealership. Would highly recommend Nissan of McKinney to anyone who wants to purchase a vehicle. The staff is very courteous and knowledgeable during the purchase process.,5.0
31,"November 30, 2017","Nissan Of McKinney is a great place to buy a vehicle.We just bought our 5th, and 6th Automobiles there. Everyone there is very professional, knowledgeable and courteous. Check them out!!! ",5.0
32,"November 29, 2017",I just purchased my 3rd vehicle from Nissan of McKinney and appreciate the professional and courteous staff. My salesman name is Andrae Gibson and I recommend Him to anyone looking to buy a vehicle. Very pleasant to work with during the buying process.,5.0
33,"November 26, 2017",I’m changing cars every three years and always lease it at Nissan of MC Kinney. Very nice and professional staff working at this dealership. Thank you very much!,5.0
34,"November 12, 2017",I do not remember the names but every employee we met were friendly and helpful. The reason we purchased a vehicle at this time was the way were treated by all the employees.,5.0
35,"October 25, 2017","Good experience Pete Sayroo he was great, everybody were great 
all the employee are great people and like the Rogue Sport like the Ruby Red ",5.0
36,"September 15, 2017",Avoid this service department and save yourself the trouble and headaches of babysitting them. Their work is sloppy and their advice isn't consistent. Cannot say I have had one good experience with the service department as long as I've had the car. ,1.0
37,"August 19, 2017", Very good experience.  David Benitez was wonderful.  No pressure.  Very little haggling.  I hate the game playing of back and forth.  Only 2 trips to the sales closer.  I like the car,5.0
38,"August 08, 2017","Went to this dealership from out of state prepared to buy a car they had advertised on the internet. The car had undisclosed issues, one of which was only having one key fob. I asked if they would get me another key fob and the used car manager said NO. A new key fob would have cost around $300 and said she had ""put all the money in that car I'm going to."" Two days later it was still on the internet but for $1,000. less!! Makes a lot of sense doesn't it? I was paying asking price! They were unfriendly, impersonal and very difficult to communicate with. I went elsewhere and bought a much nicer car, with less mileage for $5,000 less. Don't fall for the tricks!",1.0
39,"August 01, 2017","Ask for Steve Weide in pre-owned vehicles. He was amazing and help full. I bought a 2016 Nissan Juke that had 12,000 miles on it and he helped me with my payments and where they needed to be! ",5.0
40,"July 13, 2017","My wife and I are really felt the dealership was up front, We did not have to do a lot of back and forth bickering, It was laid out from the beginning and we new what we had to deal with from the start,
No pressure, sales person (Gene) was very helpful.",5.0
41,"July 01, 2017","Dustin Rud was my sales professional. He was honest, friendly and quick! The management team was awesome as well. My 3rd Nissan and second purchase from Nissan Of McKinney. I can't imagine driving anything other than a Nissan!",5.0
42,"June 24, 2017","Easy, no hassle purchasing experience.  It was straight forward.  Go in, test drive and buy.  I received a great price, and the dealership had great employees to work with.",5.0
