,Date,Reviews,Ratings
0,"March 03, 2020","This is the worst case of old-school, used car dealer xxxx I’ve seen in my 25 years of car buying experience.  After hours spent waiting and the salesman stalling on every step of the process so they can wear you out and waste your time, they add $1000 to the advertised price of the car in BS, nothing warranties (wheel-lock warranty, anyone?) just to rip you off.  And then try to waste another hour of yours wearing you down about why they can’t remove those “options.”  I can not recommend anyone LESS than Sterling-McCall and I personally will NEVER go back.  This is why internet-only dealers with up-front pricing will win in car sales.  Sterling-McCall is filled with nothing but thieves and liars who don’t value their customers at all.  Never again. ",1.0
1,"January 27, 2020","We own a 2018 Infinity Qx60, the Infinity version of the Nissan Pathfinder. Before this vehicle, we owned a 2014 Nissan Altima. The maintenance service products used for our QX60 are the same products used at our local Infinity dealer, only more cost effective. Gonzalo Gomez has been our Friend and Service Adviser for both vehicles. His attention to detail and level of expert customer service is UNPARALLELED. Gonzalo Gomez treats us like family and always, and I mean always, takes ownership of our issues and makes them his. We have been loyal customers of Sterling McCall Nissan since 2014. And because of Gonzalo Gomez, we will never, ever go anywhere else.",5.0
2,"January 11, 2020","Excellent service. Great pluses in the waiting area. Chair massages today were excellent.  Service advisor Wm. Crabtree was very nice and helpful. I'll be back.
",5.0
3,"October 24, 2019","The sales personnel and vehicle variety is on par or better than most other dealerships. However, once you start taking your car for a service, you will regret your purchase. We have owned vehicles from Sterling McCall Lexus, Sterling McCall Toyota, and made the mistake thinking that the Sterling name will provide the same excellent service uniformly. This is not the case at Sterling McCall Nissan. 
My car has been for a service 5 times now and it has never taken less than 2.5-3 hours - even for the very first one, which was just an oil change. YES, IT IS A NEW CAR. It now has around 25,000 miles and still new. I love the product but will be getting rid of it soon. Nissan makes the most comfortable cars its segment, but the service department ruins it - just not worth staying with the brand any longer because of this dealership. I will give Mossy a try, but after that I am done.
Most recently a speaker needed replacement - under warranty. It takes them 3 hours to investigate the problem. Then they agree to replace it and will call me when the part arrives (generally this takes 24 hours). Three weeks later, I have to call them but they cannot find record of it, and I had dealt with the service manager!!!!!!. Finally they figure it out, source the part and when we go in to replace it, we have to put up with the most arrogant of service advisers. He should not be in a service roll. Get the chip off your shoulder or leave. You are not doing anybody a favor by working there. We as the customers pay your salary and we are doing you a favor by supporting the brand and providing jobs. Your attitude, arrogance and nonchalant demeanor is unacceptable. But then again I am not surprised as you are right next to the service manager and he has a major attitude too - he will never admit fault or apologize, just keep defending the dealership. Please send him for training to Sterling McCall Toyota or Lexus or fire him cause his attitude is infecting the others. 

I hope you are still reading - but let me tell you, one way to avoid these types of complaints is picking up the phone or returning phone calls. 

Regards
Soon to be ex-customer",1.6
4,"October 03, 2019","Unfortunately I have a Part II to my last review.  My friend's car buying experience at Sterling McCall Nissan included another totally dishonest person that took advantage of her as well. Justin Tran, a Finance Manager, took advantage of my naturalized citizen friend, with broken English, to the tune of $3,000. My friend told Justin over and over again that she DID NOT wanted any kind of warranty. Couldn't afford it. Justin, being the dishonest person that he obviously is, added a $3,000 extended warranty to the price of the car anyway. When I spoke with him face to face he said three times ""we'll refund the price of the warranty, we refund the price of the warranty."" He simply wouldn't answer my question ""Justin, why would you add a $3,000 warranty when she told you over and over again she didn't want one in the first place?"" Fortunately I was able to get the $3,000 refunded. Justin is a prime example of why most people absolutely dread going through Finance at a dealership. Don't ever be fooled into thinking that Finance represents your best interests. Save yourself a lot of money and hassle. Finance your vehicle through a credit union. I got my friend's Nissan refinanced with a credit union. From 5.07% at the dealership to 3.22% at the credit union. She'll save $4,500 over the life of her note.     ",1.0
5,"October 03, 2019","A good friend of mine called to see if I could help her get out a terrible situation at SMN. She is a naturalized citizen that speaks broken English. Salesman Patrick Agbebaku took advantage of her to the tune of $5,000. When I confronted Patrick he said he simply couldn't ""remember the price"" he gave her. Oh really? Of course he remembers screwing someone out of $5,000, unless that is his normal course of business. If you choose to do business with Sterling McCall Nissan, please don't work with Patrick Agbebaku. Your time and money are too precious.  ",1.0
6,"June 06, 2019",Great customer service.All the services that I requested was performed with the best of quality.  I really appreciated the car was and vacuum to my car,5.0
7,"June 05, 2019","The new car sales department was very friendly and helpful in finding the Nissan Murano that I wanted. My sales consultant Jesus Rodriguez did an excellent job of showing us the car, providing a test drive and making sure we got the right color and style we wanted.",5.0
8,"May 28, 2019","Karim greeted me when I dropped my 2013 Z off for service. Kept me updated through the process and phoned me when the work was complete.

Great Experience-

B Roffey
",5.0
9,"May 28, 2019","Great service, was taken at my appointment time and the advisor did great job. Everything was taken care of in a timely manner, will come back.",5.0
10,"May 28, 2019","I love Nissan and their service they provide, i've been with them now 3 years, and yes I would recommend them to everyone i know! and not to mention, the free coffee, yes that's a plus for me, God is good and so is Nissan!",4.0
11,"May 26, 2019","My experience with the Service Rep was  
Excellent. Everything was professionally done in a timely manner. I was supplied with a loaner car while my vehicle was being repaired and I was able to conduct my business as normal.",5.0
12,"May 26, 2019","William Crabtree is great. I have been to central houston nissan before. It is a terrible experience. I like here. professional, friendly. I will set Sterling McCall Nissan as my destination for car service.",5.0
13,"May 26, 2019","Excellent and good services?Place is good, coffee and snack is free?People is welcome,job doing is fast,also car wash free?Everything is ok, very good?",5.0
14,"May 24, 2019",Mehma was my advisor this time. Mehma greeted me with a smile and asked me what brought me in today. I told her what brought me in and repeated what I had told her and told me when my car would be ready. Sure enough to the the time she told me my car would be ready it was. All the work performed as expected and my car runs just like brand new. Thank you Mehma  it was also nice to see sales manager Kyle. Glad I’m not just a number. Kyle still rememberers my sale. Great to be remembered. ,5.0
15,"May 23, 2019",The service consultant was very courteous. The wait time for service was excellent. I was notified when my car was ready and was given a detail description of the work that was done.,5.0
16,"May 21, 2019","Service person looked for coupons and discussed things that needed to be addressed. Changed windshield wipers, changed oil and also changed out the brake fluid.",5.0
17,"May 18, 2019","Exelente trato de adrian . El trabajo fue muy bueno , el tiempo de espera fue razonable todo muy bien , el lugar esta muy limpio y organizado por lo que es muy confortable para esperar por tu auto . En realidad es muy bueno",5.0
18,"May 17, 2019",The financial department I give then a big 0. I felt cheated by the way they did the  financing .good thing I checked the paperwork.,2.8
19,"May 17, 2019",It was fast and I was happy with the service recieved by the employee that heldped me. I would recommend friends and family in the future,5.0
20,"May 17, 2019","I was friendly greeted by everyone in the company.. The cleanliness of the place was awesome. The atmosphere was so clean and well arranged. Nice and relaxing.i was also offered a meal while waiting. So very nice for the company concerns for us to. Thank you. And it was free too.when I got my car back it was washed too and looking all shined up.The advisor made me feel so comfortable and when I got my car back I was smiling because the job was well done... GREAT JOB, WELL DONE",5.0
21,"May 15, 2019",Great customer service. all the service person work friendly and move fast job done quick than I expected waiting area clean and nice fell more relax.,4.8
22,"May 15, 2019","I didn't make appointment just drive by to the service department.
They took care my care very quickly.
And inside is very nice place to stay and I got myself cup of coffee.
They finished the work pretty quick too.",5.0
23,"May 11, 2019",Service advisor was extremely professional and courteous. She made sure all my needs were met and questions were answered. She went above and beyond expected. ,5.0
24,"May 08, 2019",Great customer service. My sales person had lots of patience and ran the extra mile to find me a vehicle that pleased me.  Will recommend to others.  ,4.2
25,"May 05, 2019","I decided to buy out my Roque lease.  Mr. Billy Bui of sale and Mr. Milton of finance helped me with all the paper works.  They were very professional and friendly through out the process.  There were no pressure with up selling, which I appreciated.  I have no hesitation in working with Mr. Bui and Mr. Milton with my next lease or purchase from Sterling McCall.",5.0
26,"May 03, 2019","The associates helping me at the service department were very friendly, professional and helpful. The waiting area is very clean and comfortable and easy to make the appointment.",5.0
27,"May 03, 2019","i waited for my car while being servised. Thanks for the complimentary breakfast,nice and comfortable waiting area.My advisor Megan keeps us updated on whats going on with my car.I would highly recommend this place to my family and friends.",5.0
