,Date,Reviews,Ratings
0,"January 31, 2020",The people at Clear Lake Nissan were friendly and helpful during purchasing my pre-owned vehicle.  I asked a lot of them and they accommodated every request.   Would shop here again!,5.0
1,"November 07, 2019","SCAM!!! Watch out for $1700 Apex GPS add on. The advertised sales prices look good, but they hit you with unscrupulous add-ons and fees. The worst is a $1,699 fee for an ""Apex GPS security system."" 

Apex is an inventory management system created for car dealerships. They've just figured out a way to pass the cost onto unsuspecting buyers by packaging it as a high tech anti-theft system. What's worse is that Apex is used for target marketing. After you drive your car home, Apex tracks and sends mileage and other info to the dealer so their service department can send you advertising and coupons at just the right moment.

They tried to sell this to me on two different occasions. The first time, I told the salesman to take it off. He responded by offering me a ""great deal."" Since I didn't want it, he would take off $1,000 and just not activate the security monitoring. 

What a great deal - I'll pay you an extra $699 for an inactive GPS security system! What a joke.

The second time I tried to buy a car (different car, different salespeople) they tried to charge me $1500. I stuck to my guns. I was willing to pay the sales price of the car plus taxes, title, license, and even some doc fees. But they wouldn't drop the $1500 Apex fee. The used car sales manager straight up told me that the low advertised prices are necessary to get people in the door in this internet marketing age. He said all the dealers do it with an expectation that they will make money with a big addendum.

So there it is... Clear Lake Nissan's modus operandi. They advertise a low price to hook you, but they won't sell you the car unless you agree to the dealer fees and add-ons. Save your self the frustration and buy a car somewhere else.",1.0
2,"October 30, 2019",Terrible terrible terrible bad deals not hassle free  they go back on their word and act as if they aren’t helping customers but only themselves ,1.0
3,"October 15, 2019","Clear Lake Nissan has an outstanding sales staff.  Kristyn met us at the door with a smile and went beyond the call of duty to help us find our ideal used truck.  Wonderful service at all levels -- online sales, in-house sales and finance.",4.6
4,"September 23, 2019","Well I am very upset because I emailed back and forth with a “Jasmine Miller” in internet sales or whoever or whatever responds to your emails yesterday.  I did not appreciate the fact that she, or whoever, lied by informing me the red SRX was still available then scheduled me for a test drive at 6p, when we last communicated after 4p. I ran a little late, but I did go yesterday. However, upon arrival was told it had already been sold yesterday Morning!!! If that was the case, I should’ve just been told that instead of being lied to...I don’t appreciate playing these games where apparently I was just reeled in even though they knew the vehicle I inquired about had already been sold thinking they could make a sale anyways if I showed!!! Your staff should be considerate about the fact that I lost my vehicle in the recent flood and don’t have time to be messing around with their games. Whether it be “Jasmine Miller” or whoever runs your email responses, either way, they didn’t even have the decency to tell me in my face. Instead they had the audacity to have the salesman which greeted me to relay the message, after which I walked out. Y’all should do better business!
",1.0
5,"July 03, 2019","I will never buy from this dealership. I own a nissan and think very highly of their vehicles being reliable. The salesman I spoke with was very customer oriented and professional throughout my time test driving the car I was interested. The poor experience went all down hill from there. After the test, the salesman brought me back to his desk, while he apparently went to get his sales manager to discuss the numbers. This poor excuse for a human being had NO customer service skills what so ever much less professionalism about him. He totally negated my time and effort for travelling across town in Houston traffic to see a car and asked me on 3 occasions if I was 100% satisfied with the vehicle. I had asked him 3 different times what is the best price he could make on the car, is the internet price the best price, what makes you think I would not be interested in the car considering where I traveled from. Needless to say, the car profile shown on their website stated false information about NEW TIRES and the price listed being valid ONLY if you finance through the dealer. Also, the car was equipped with some APEX tracking system that the dealership adds to every car both new and used and the cost is $1200 with is added to the total cost of the vehicle. So BE WARE! I have bought quite a few vehicles, I believe 10 plus in my lifetime so far, and have never had an experience like this. I am in disbelief on how this dealership has such a good rating as it does. I was really disappointed in the total experience all together minus the salesman I dealt with.",1.4
6,"July 01, 2019","I was merely comparing vehicles for a friend. Budget wise I like the Rogue. Fantasy wise, I like the Armadi. The salesperson didn't treat me as if I was financially unworthy. We test drove both cars as if I was a you tube celebrity guest.",5.0
7,"June 21, 2019","I had the best customer service hands down, my salesman Serrick Auzston was very informative, knowledgeable, helpful, easy going, and he was not pushy.  He did not bug me, he let me look around without bothering me every five minutes.  I highly recommend this dealership and the salesman Serrick Auzston. ",4.8
8,"June 21, 2019","Serrick Auzston was awesome...very knowledgeable, respectful and patient with me. I will certainly request his service again. Please be sure to let him know!",5.0
9,"May 24, 2019","We walked into this dealership ready to buy. When we arrived, the Certified Pre-Owned Murano was waiting for us to test drive. The moment we stepped into the vehicle was when the horrible experience began. Besides our sales person, Andre, nothing we OK about this ""Certified Pre-Owned"". Cigarette burns in the seats, broken parts and pieces, broken shocks under the hood and very obvious repairs done under the hood....Certified pre-owned? Really? I could have bought this vehicle off the street. Once inside the ""used car sales manager"" was quick to tell us that he would drop the vehicle only $800 for the issues and we needed to take the deal now or it's off the table. He assured us we couldn't find a better deal on a certified pre-owned (if only the car was even close to that standard). When my fiance explained all the issues with the vehicle, the manager's tone changed and the only words out of his mouth the rest of the conversation was ""take the deal now, or I can't guarantee you anything."" although we were trying to logically discuss the issues with the vehicle, he obviously wanted nothing to do with us or selling the sub-par vehicle. Andre was the only saving grace and the only reason I am giving this dealership 2 stars. Good luck to Andre trying to sell cars that are falsely advertised and a sales team with that attitude around him. Can't be easy! We did end up buying a vehicle that evening from DeMontrond. Thank you to the DeMontrond team for the excellent service and showing us how a car dealership should treat their customers.  ",1.6
