,Date,Reviews,Ratings
0,"April 01, 2020","I know no one really buys a car painlessly during a pandemic- but this was a truly amazing, painless buying experience. Joe did a great job with my info, and my 2020 Murano was delivered to my door within 36 hours of my initial contact!! Love my car, matched the price I asked for! I’ll go back here again!",5.0
1,"February 18, 2020","We searched the web looking for an appropriate car for our family. We inquired about a particular vehicle that was on the Pre-Own lot for Southwest Nissan. The internet salesperson Luis Garcia immediately reached out to me. I did not schedule a time at this point. On a Friday evening my wife and I were in Weatherford so we randomly  dropped by to see the vehicle. In turn, we did not like this particular car but my wife spied one next to it she absolutely loved. Luis and his Managers were so helpful and courteous. We actually had an appointment with another dealer to view a vehicle that they had but the staff at SW Nissan impressed us so much that we immediately returned to see Luis Garcia and his Managers to purchase our new Nissan Armada. Southwest Nissan and Luis Garcia just earned a new customer for life as far as we are concerned. Highly recommend this dealership! Go see Luis! #verypleasedcustomer",5.0
2,"January 07, 2020","Worked with Luis and Jesse in the used car department on pricing, gave them the email address to send the bank draft, offered to put $3,000 down on vehicle, told them we would be back around 7:00 pm to finalize everything. Called at 6:00 and spoke directly with Luis and told him we were on our way. Arrived at dealership at 7:00.  Another couple was looking at the car. Luis assured us the car was ours. He distracted us and let us test drive the car again. Again assuring us the car was ours.  Waited around 30 minutes for him to tell the other couple the car was ours. Waited another few minutes and he finally came in and told us he had sold the car to the other couple. Don't trust this company. Jesse never even sent the bank draft either.  No wonder people say he's about as trustworthy as a used car salesman? If I could give this dealership a 1/2 star I would!",1.0
3,"October 28, 2019","Went to look at a used car, and it was so dirty out on the lot I should have walked away at this point. Ryan agreed to have it cleaned up and ready in a couple of days. Then the car was in an accident while it was being fueled. So here I am stuck with a rental for 3 weeks, and the only response from the staff is ""Not out fault, nothing we can do"" ",2.0
4,"September 02, 2019","After having a very bad experience at another Nissan dealership in Burleson TX, we went to Southwest Nissan in Weatherford TX, and had a great buying experience. Their selling price was the one they had listed, and the trade was valued fairly, and most importantly no hidden fees. All of the managers were attentive and straight forward, and the sales person was very helpful. I would buy from them again and recommend them to anybody.",5.0
5,"July 24, 2019","I purchased a 2017 Titan XD in late December,  2017 at Southwest Nissan through a salesman named Skip Seaman.  Although the purchase made had its challenges, they managed to find a vehicle equipped the way that I wanted from another dealer and Skip delivered it to me in Stephenville, TX early in 2018.

No problems until 2019 when I was involved in an accident in the vehicle.  The vehicle was repaired at a local body shop, NOT Southwest Nissan.  

After getting my repaired vehicle back, I had a relatively simple question that I needed answered from someone at the dealership.  I called and found that Skip Seaman was no longer employed there.  I called back and asked the person answering the phone to let me speak to a sales manager, as I figured the question I had could not be answered by a regular salesperson.  Instead of a sales manager  I was transferred to a salesperson named Demarcus.  I decided to explain my problem and request to him.  As I suspected, he couldn't answer my question without consulting with someone else, but he said that he would and get back to me in ~40 minutes.  No call back came from him...in 40 minutes, or the rest of the day OR even the next day!

So, the next day, I again tried to call and talk to a sales manager.  The first two times I called someone named Cheyenne answered.  Each time, she transferred me to some generic ""voicemail"" box.  Rather than leave a message to some person whose name I did not even know, or if that particular voicemail even had an owner, I hung up after determining there was NO OPTION to get back to Cheyenne or another REAL person without hanging up and calling back.  Their phone system SUCKS, folks!

Finally  the third time I called, a person named Julie answered the phone.  After explaining my frustration with their phone system, I again asked for a sales manager.  Julie appeared to actually check if one was available.  She came back on the line and said the sales manager was helping another customer, but she got my name and number and assured me he would call me back as soon as he was free.
I asked what his name was and she said that I would receive a call back from Anthony Snyder.  

Guess what, folks?  It has been over 24 hours now and no call from Anthony Snyder or anyone else from Southwest Nissan!

Even though I was referred to this dealership by Ed Wallace and his website, I guess I spent my money at the wrong Nissan dealership.  Perhaps those reading this should think twice before shopping at Southwest Nissan.  It appears to me that their advertised ""commitment to great customer service"" comes to an end once they have your money in their pocket.

",1.0
6,"July 22, 2019","I live 2 hrs away. Called in and talked to Tony Ballard and asked if he had a specific Murano in stock and he said yes. Asked for a specific price. Tony texted me back a short while later and said you got a deal! Next day I drove in to Weatherford and Tony had EVERYTHING READY TO GO! In and out in 1.5 hrs. Would have been even less time except for a small cosmetic issue that the Shop took care of. Great dealership. No games, no gimmicks, no problems. Call Tony Ballard. ",5.0
7,"July 08, 2019",I usually don't like dealing with car salesmen because they are too pushy. Bryan found what I was looking for.  He was never pushy. I would recommend him and the dealership to all my friends.,5.0
8,"May 31, 2019","Bryan come out of the dealership promptly to greet us. He didn’t waste our time, we drove two vehicles and we bought a car that day and drove it home. Everyone we dealt with was very courteous and professional.",5.0
9,"April 24, 2019","  I recently had to replace my KIA optima with another used vehicle, do to it being totaled in a accented. So i did my research online and found myself wanting a little larger vehicle than what my KIA was. Southwest Nissan in Weatherford, TX, web site made it very easy to see the inventory and prices of the dealership.  When i arrived at the dealership, i remembered seeing a couple of sales person waiting in the parking lot and thinking to myself how they could be compared to vultures circling their prey. Little did i know how much i would enjoy being proven wrong.  The gentleman greeted me and with a firm handshake and introduced himself as Mr. Tyler Weidler.  
   I informed Tyler that i was interested in a 2016 Nissan frontier, he promptly informed me, with a great deal of joy, that they had 2 and encouraged me to have a look and test drive them both. It was during this time he explained to why he was so happy about the Frontier with a story about a family member that may have been lost if it were not do to the vehicle exceptional safety performance. Now I know this could be a sales tactic but Tyler proved himself to be down to earth and honest with his responses to my questions, answering me with his knowledge or promising to find out and following though on it, all while sharing his jokes and stories. 
   After the test drive i found myself desiring of the trucks, but just to be through i wanted to think it over and get a second or third opinion of someone i trusted about the vehicle. So i informed Tyler that i would like take some time and come back to the dealership after lunch. He immediately  countered with "" why don't you take the truck with you to lunch?"" Seeing the opportunity i had to actually take the truck to the people i trusted i took him up on the offer. And with in a hour or two, i had multiple people confirming many things, if not all what Tyler had informed about the truck. 
 The Price was a great deal for the truck, but more importantly this dealership does pride itself with honesty, always questionable for a business to claim but the way i was treated and the fact that Tyler is still willing to answer any annoying question i might have about my new truck. Shows me that Southwest Nissan in Weatherford are indeed trying to live up to doing an honest business by putting the costumer first.
PS           I LOVE My Nissan Frontier",4.4
