,Date,Reviews,Ratings
0,"January 28, 2019","Took vehicle in for new transmission ($5000) and the vehicle came out with a totally new problem. The strut was damaged and popping real bad. I took it back and they blamed an old dent on oil pan, which made no since. They refused to take any blame for it even though they know ot wasn't a problem before. So i am out another $500 after buying 2 cars from them in the last 4 years and a $5000 transmission job. Needless to say I'm never going back!

",1.0
1,"October 28, 2018","My husband and I just bought a Titan XD truck from Jaime Garcia, and we found him to be extremely competent and personable.  He gave us time to do what homework we felt necessary before making a decision, while still giving us all information we required.   He has an easy-going personality and we did not feel pressured at all, which is our style.  He called us with a sales price and payment amount, and that it what we paid without having to go through all the back-and-forth that has made vehicle buying such torture in the past.  We really enjoyed doing business with Jaime, and we will call him when we or our family and  friends are in the market for a vehicle.
Cindy and Rob Tate",5.0
2,"September 09, 2018","My experience was a great one. Kind,courteous, and efferent. This is my fourth car from Nissan. Mr. Marc Bane was a great sales person and his associates. Thank you so much.",5.0
3,"September 05, 2018","I was greeted as soon as I pulled up to the garage. The gentleman asked what I needed and it was a simple oil change. They offered me a complimentary car wash but refused since it was going to rain. As I entered the waiting room I was offered complimentary water, coffee and snacks. I was very appreciative. Then Paul Wilson joined me and gave me some tips and offers as far as keeping my truck running smoothly as well as the special buy 3 get 1 free for tires which I hopefully plan to take part in. He's helped me previous times before and is always nice and very efficient. As I left I teased the staff that hopefully Ed Hicks is paying you guys time and a half for Labor Day.",4.6
4,"September 05, 2018",Great customer service. Tech will print out approx $ n explain what service needs to be serviced. Another tech assisted me in programming to add on my New Iphone music.,4.6
5,"September 04, 2018",Very satisfied with the work that was done on my car. Also satisfied with the updates Joseph Garza would give us throughout the time we were there. ,5.0
6,"September 04, 2018","This was for an oil change and license plate light, as well as transmission and rear differential oil change.  Great service as usual. I always feel that I am well taken cared of. ",5.0
7,"September 03, 2018","Vehicle was there for over a week and a half, pick up the vehicle and still did not fix the problem, even when the tech said the oroblwm was fixed with the automatic seat belt system. I would not recommend getting service done here. Very disappointed, now I have to figure out where else to take the vehicle ",1.4
8,"September 03, 2018",I am going on my third time leasing ..Love that I decided to lease from Nissan..It's been great ..Frank has been great to deal with . Everyone is always friendly ,4.8
9,"September 03, 2018","Ben, the service advisor, was helpful in having the repair of a front bumper support that was broken when my Armada was service last year.",5.0
10,"September 03, 2018","Mr. Robert Trevino Worked with me to solve my transmission problem, great customer service. I always take my 2012 Nissan Frontier to get service here. Great Job!!!",5.0
11,"September 01, 2018",Marc Bane took excellent care of me and I would recommend him to anyone looking for a car nissan is one of the fairest dealers in my area and I will be doing future business here,5.0
12,"August 31, 2018","I would like to thank the wonderful Mechanic for the great job that was done on my 2013 Juke.  It cools like it should.
Ben was a wonderful Service Advisor and the Cashiers were very great.
Thank you again ",5.0
13,"August 30, 2018","Fixed the panic button but, again, the dash lights refused to malfunction while in the shop.  Tried several times over the summer with the same results.  Guess I'll just have to learn to live with it thru no fault of the dealer or the servicemen.",5.0
