,Date,Reviews,Ratings
0,"May 12, 2020","I will never buy another car here let alone have my car serviced here. I had brought my car in last October to see why my car was making noises and after Baytown Nissan having my car for 4 or 5 days, they finally called me to inform me of the problem and an estimate of the cost. At the time of me dropping my car off Angie said that she would put me in a rental and that Nissan would cover the cost. I picked up the rental and after about 2 or 3 weeks I got a call that my car was ready. I went to pick it up and paid around 6 or $700 for the repairs and my car was in fact running worse than it was when I dropped it off and I then placed a call to Nissan in forming them of the problem and Angie then told me to bring my car back and she'll have the rental extended. I dropped my car back off and I find out that the ""certified Nissan mechanics"" hadn't even test drove it to see if it was fixed. They kept my car my car for another 2 weeks. After it was finally ready, I paid another $848 and dropped the rental off. Fast forward to February 2020, I received a bill from Enterprise Rental stating that I owe $1,023 for the rental in October and November. I immediately called the service manager Valeriani Fukuichi and was told he would look into the situation and would get back with me. In the meantime I called Enterprise and was told that Nissan said that I was responsible for this charge. A week or 2 goes by and nothing from Mr. Fukuichi. I called back, left a message and nothing. I called at least once a week and still he hasn't gotten back with me. It wasn't until Enterprise debited $500 from my account to satisfy some of the payment. I then went to Nissan to try to get this resolved since my calls weren't getting returned to which Mr. Fukuichi said his general manager said for him to do his due diligence and make a decision. Now I have my receipt stating that Baytown Nissan is to be billed for this rental and who to Attn: it to but now I get a call from Val saying that his GM will not pay for the rental. I will never ever return there for any type of service. His attitude was very disturbing, disgusting for the whole matter. He was not and could not be at least interested in anything that I had to say and I wonder if he treats all women like that. I will never buy another car from here. For him to state that Baytown Nissan is not making any money which has nothing to do with me.... I will not stop as I am not liable nor responsible for this. 
If I could give a negative star I would",1.0
1,"March 16, 2020","They do not honor their trade in car agreements. They are a scam and will raise the price for your new vehicle, and will have you thinking that everything is good when it’s not. Next, you start receiving phones calls from your last lender on the old car that was supposed to be used for the trade in and find out that your old car has not been paid off by the dealership. Now I’m stuck in a messy trade in car situation. My old lender now wants me to pay off balance for a settlement for the old car that I traded in years ago. Please keep your families and friends away from this dealership.",1.0
2,"February 27, 2020",I'm just graduating from college and I was looking around for a better car for my graduation present. I came to Baytown Nissan first and let me tell you it was the best experience I've had in a while. I had an amazing sales person that treated with the up most respect and put me in a car that I loved!! I went home with a 2020 Rogue Sport and I thank my salesman Jesus so much for helping me out! I recommend you go and ask for him if you are looking to buy a car lol I walked in there not expecting anything but Jesus really took care of me and my husband. He didn't pressure us into anything and throughout the whole thing I was happy to be here with the right people. My overall experience was amazing! I wouldn't have changed it for the world.,5.0
3,"January 19, 2020","DON’T GO TO BAYTOWN NISSAN!!! Baytown Nissan service department customer service is the WORST I’ve ever dealt with! I dropped off my husband’s truck off on Friday morning (1/17/20) at 7:30am for oil change, tire rotation and some warranty work that needed to be done. My husband (who is out of state working) received a text Friday night around 6:00 pm saying his truck was ready! He called when he received the text but was told the service dept was closed. So, he called Saturday (1/18/20) morning at 8:30am to verify it was indeed ready for pick up. He was told yes. Around 1:00 pm, I had my sister drop me off to pick up the truck. I went to the cashier, signed my paperwork, she gave me the copy and was told she couldn’t find my keys so she would go see where they were. I waited. She comes back, says it is getting washed and it would be a little while. I waited for about 15 minutes before I realized that my truck had been parked in the back “holding area” the whole time I was waiting and looking out the back window. I told the cashier that my truck was just sitting out there, not in the wash as she said it was. She proceeded to tell me that her manager Val told her that my husband had called 5 times in the last couple of days and he was told it wouldn’t be ready until 2pm. I told her that wasn’t true because we just dropped it off yesterday and he hasn’t called 5 times, he did call this morning and was told it was ready. She AGAIN told me “No, my manager told me your husband called 5 times and it’s not gonna be ready until 2pm.” I called my husband and he confirmed he only called 1 time today. My husband then said he was calling up to talk with the manager. I told her to just get my keys and her manager, I don’t want it washed! She went to tell him, and he comes in a few minutes later with a key fob and said he pulled my truck around and he had to pull it mid-wash because it wasn’t ready. I said MY truck is still sitting back here, I POINTED TO IT, and he said that’s not your truck! He said your truck was way back there in the wash area! I told him I wasn’t understanding what the problem and attitude was because we were told it was ready this morning! He said, “No you weren’t!” I said are you calling me a LIAR? He said, “I’m TELLING you I talked to your husband and told him it wouldn’t be ready until 2pm.” I said no sir you did not, and he continued to ARGUE with me. He said your husbands on hold now, I’ll tell him. So he put my husband on speakerphone and my husband could hear VAL arguing with me and said #1 you will not talk to my wife like that and #2 what is the xxxx problem because he talked to someone that said it was ready this morning! VAL told my husband he talked to him at 12:30pm and my husband told him he had only called at 8:30am this morning and DID NOT SPEAK at all to someone named VAL. Then Val said, “then who did I talk to?” I said EXACTLY!!! Who did you talk to? He then walked to his office to “check his notes”, I turned around to the drop off/pick up bay and didn’t even see my truck that he “pulled up”, so I clicked the unlock button on the key fob he had handed me and YEP, IT UNLOCKED A RED/MAROON TRUCK! I opened the door to his office and said THATS NOT EVEN MY xxxx TRUCK, MY TRUCK IS THE GREY ONE PARKED BACK THERE THAT YOU TOLD ME WASN’T MINE!!!
He goes, gets my truck and says sorry I got customers confused! I told him he could keep his xxxxing sorry’s because he should have gotten his xxxx straight before arguing with and calling his customers liars and I would be contacting his general manager!!! Both My husband and I called the GENERAL MANAGER JOEY YESTERDAY and an online chat with Nissan and STILL have not gotten a call back!!! Apparently, BAYTOWN NISSAN IS OK WITH IT'S CUSTOMERS BEING TREATED THIS WAY!!!",1.0
4,"December 26, 2019",Customer Service was a complete nightmare! Dealership does not care about their customers! Money was stolen from my car & management would return my call regarding the issue! Will never recommend them to anyone!!!!,1.0
5,"November 04, 2019","The old manager decided to put a block on my account(not to my knowledge) after mentioning the item i had done should not be charged to my card that is fraud it was later  found out that it is covered on warranty. This month  I brought my car in to get service did not know their was  block on my account, service refused. I went to other nissan  problem solved no issues, > I was about to purchase another car that weekend for kiddo big mistake nissan baytown... and new manager claims cant get the block off or would not TRY... So unprofessional . I came there for over 10 years no problem and then one manager that know he is quitting do something conniving and leave. ",1.0
6,"September 13, 2019","call for a quote 9/12 transmission oil $209 injectors cleaning $132 then I went 9/13 drive from Atascocita to find out $289 and $199 because the service specialist gave me a wrong prices, really she didn’t let me speak to a manager but she new supposedly new employee and new she gave me that price she didn’t want to work out nothing just said this is a Nissan but has a owner so this are the prices 
Not happy with experience 
False advertising 
Not coming back here
Please before going here call other dealers they have better prices lower than here or at least they are honest ",1.0
7,"June 29, 2019","First of all, I entered my information on the internet to see if the vehicle was still available and as expected I received a call from someone (I cannot remember the name) and was informed it was available. Once I arrived to the dealership I asked for the individual that called me and I never got to meet them. I was directed to another salesperson...and that is when things went downhill. We walked out to look at the vehicle that inquired about and the vehicle was a mess (dirty). There appeared to be no attempt to clean the vehicle prior to advertising it on the internet. Then came the time for the offer for my trade. I had been dealing with one salesperson at this point but as the offer for my trade was time to be announced to me, I was approached by the salesman, the sales manager and someone else. I pretty much knew by the way they approached me that the offer was going to be ridiculous and of course it was. I politely told them no thanks and to please give me my keys but the sales manager could not accept that and kept on and kept on. Thankfully the salesman had enough respect for customers to quickly retrieve my keys so that I could leave. I have to admit...that was the worse car buying experience I have ever had and will certainly never step foot on that car lot again. ",1.0
8,"June 15, 2019","Transparency and Honesty are very hard to find in the car business and when you find it you cherish it and most important you don’t feel like a fool in a room full of liars 
Thank you Ryan,angel,Claudia,Ivanna oh and let’s not forget to mention Miguel in finance thank you for treating me like Family. ",5.0
9,"April 23, 2019",This young lady had all the answers I was looking for not including she made me and my friends feel like we were at the right spot the second we pull in thanks Roxanna for your outstanding customer service I sure will Recommend Baytown Nissan to everyone !!.,4.0
10,"March 07, 2019","We loved our salesperson, Roseanna Gomez. We arrived late on a Saturday evening and she was patient and very accommodating and never rushed us or pressured us into buying a car.
she was very informative and knew a lot about the car and the most important part to me, service after the sell. 
",3.6
11,"March 05, 2019",I brought a nissan leaf in to check the chademo charger. This dealership charged me almost 600 dollars and never fixed the leaf. On a subsequent return for the charger repair I was charged for the work but the charger still does not work. Then when I return home a portable ev charger costing 800 dollars is missing.  The dealerships response. We won't work on your car any more. Lawyers pending. ,1.2
