,Date,Reviews,Ratings
0,"April 23, 2020","This is the absolute WORST dealership I have been to, (and trust me I’ve been to Charlie Clark). However Bert Ogden Nissan in McAllen does not know how to treat its customers. I went in looking to purchase a brand new Titan for myself, after driving an hour to get there the reception said the sales man would be ready for me. After a while of waiting he shows up not even introducing himself, I really thought he was just some random guy and didn’t really put any effort into the sale. After calculating a few numbers for around 20 minutes AND CHECKING MY CREDIT he said he couldn’t do better but that he’d try tomorrow and call us back. He never did. So I CALLED THEM BACK. The lady then transfers me to ANOTHER sales man who promises to put his 100% into getting us a solution and call us back within a couple of hours. He never did. Long story short I went to Luke Fruia in Brownsville and got my self a new GMC Sierra instead. Best service and best thing I’ve done in my life. I guess things do happen for a reason.",1.0
1,"January 21, 2020",Avoid these people! Told me that a vehicle had features that it did not. No response to simple questions. Zero integrity and no follow up when you’re actually interested in purchasing a car. ,1.0
2,"August 22, 2019","#Nelson Garcia and #Paula Regalado

I sent this complaint again Hector Megias 5 days ago to Mr. Nelson Garcia and Paula Regalado. I have not got any feedback so far or confirmation that they are dealing with the case. 
From my own experience, I think that this company and the dealer in my complaint should definitely be avoided. With my complaint, I want to take further steps, including towards the BBB and other possible forum.",1.0
3,"June 22, 2019",I was impressed at how quickly I was attended to. Great service and always a joy to chat with Jaime with fantastic personality. Thank you,5.0
4,"November 24, 2018","Went there to look at a vehicle listed/described on their internet site; upon arrival, I was told that said vehicle was in an Edinburg shop getting 'detailed', then I was shown other comparable vehicles but with a higher price.  I gave them my name and cell number and asked them to call me when the vehicle was returned to their lot; meantime the sales manager appeared with an offer to sell me the replacement vehicle; the offer was lopsided on their favor, I don't mind them making a profit but the figures were ridiculous.  Never buying anything from anything 'Bert Ogden'.",1.6
5,"May 11, 2018","I set up our first appointment for the service of our car. It was easy and they knew who we were right away. They took the car in on time and it was ready within an hour, for an oil change and tire rotation. Word of advise....schedule an appointment and Tuesdays and Wednesdays(they are slower). ",5.0
6,"April 03, 2018","On March 8th a new battery was replaced on my car because it was defected.  March 30th I was charged $ 34.50 for a diagnostic.  They determined it was only the positive terminal that was broken and replaced it, but I'm still having trouble with my car starting. I'm not a mechanic, but have had similar problems with my Mazda 3 and it was my alternator causing problems to the battery.  Michael and Mary from Service Dept. gave me excellent customer service, it just the service on my car that was bad. I'm having to carry cables to jump start my car. I called yesterday, 04/02/18 to the dealer and was transferred to Service Dept., but no one answered. I will try again today. ",3.0
7,"March 08, 2018","Worst place to buy a vehicle. DO NOT GO HERE. They are rude and snobby. They tell you to sign papers, but they don’t tell you what you’re signing. You have to ask what you’re signing. They also tell you they’re running your credit through one bank, but they run it through multiple banks without letting you know. We went there for a specific car, but they kept trying to get us to buy a newer one even though we told them we didn’t want that one. They kept insisting and told us to look at the car at least before we made up our minds. So we agreed to at least give it a look. We waited and waited, but they NEVER showed us the car they were trying to get us to purchase. After waiting for two hours, we decided to leave. The manager caught us leaving, and asked us if we were no longer interested. We told him no that we originally wanted the other one. As my husband was telling him we were interested in the other vehicle, he made an ugly face at us, pulled out out his phone and walked away mid sentence.",1.0
8,"November 25, 2017","Our salesperson Diana Vega, was amazing giving us the best deal ever and most importantly what we had asked for. We truly recommend her service",5.0
9,"August 30, 2017","It started by being met in the parking lot by a friendly, helpful salesman, Jorge Talovera.  Jose Cansdales then worked with us throughout the process and is an outstanding professional. As we moved through the decision making, financing and then the sales paperwork we were treated by everyone involved with kindness, friendliness and good humor from start to finish.  My wife and I both commented that this was the best car buying experience that we have ever had.",5.0
10,"July 26, 2017",Don't go into any of their dealerships with bad credit.  They have no programs for bad credit customers.  Had to go to their competitor to purchase. ,2.0
11,"June 23, 2017","To begin with, I really want to thank Bert Ogden Manager Nelson Garcia for his management  professionalism in regards to informing on pricing, product, and sales of my new vehicle. Special recognition goes out to Saleswomen Diana Vega for going out her way to giving me the best customer service in Procedures for car purchase like rental, tint, accessories, etc.....  The Best to allllllllllll give my word on this.",5.0
12,"June 22, 2017","My first stop was at bert ogden nissan. The sales person Diana Vega treated us with alot of respect and Professional Service. Then after visting other nissan dealerships we decided to come back to Bert ogden nissan to purchase our vehicle. The sales person and Mr Cruz the manager took the time to get us the best deal posible. And they did, I got an excellent price and great customer service from ever person at bert ogden nissan. I recommend bert ogden nissan for your next vehicle purchase from a new to pre owned vehicle. ",5.0
13,"March 14, 2016","The service provided was very fast and friendly. Jose Cantu approached us and showed us vehicles within the price range we asked for without trying to get us to go up on price. He also mentioned that he didn't want to give us false information when we asked a question he didn't have an answer to, which helped us feel at ease that he wasn't just trying to sell just any car to us. He was very nice and well mannered. Cole Denckla also helped us out with financing in a big way, the stress and hassle of buying a car was gone when working with Bert Ogden Nissan.",5.0
14,"November 28, 2015","I cannot find a survey where we can rate the salesman.  But, I do want you to know that Alan Marquez was efficient, honest, and very pleasant to work with.  He has followed up and checked on my satisfaction.   He has made my experience with Bert Ogden very pleasurable, and  I would recommend him, specifically.
",5.0
15,"October 29, 2015","Approached a sales man to help look at the vehicles. Was told lie after lie. We asked to see a base model of the Versa. Walked around and the salesman did not show us what we asked for. We were shown higher end Versas but was told they had been on the lot for a long time, and they would honor a discount. Manager greated us and he was the most disrespectful person I ever experienced at a car dealership. When I asked about the discount he looked at me and said who told you that. The salesman was right behind us and never spoke up. The manager was asking the same questions as the salesman and we told that guy to tell his mansger what we discussed. Again he stayed quiet. The manager was rude and would not answer specific questions from us. I will never return to this dealership. They lost a sale due to their lack of ability to make a car buying experience good. It was nothing short of asking us to leave. So we did. ",1.0
16,"September 30, 2015","Purchased used 2012 Sentra was told it had never been sold had 27,000miles was lied to; found documents stating name of previous owner-filing complaint for fraud with AG this week. Also told car in excellent condition-have replaced driver side mirror; front right fender loose-had front wheels aligned; front struds need replacing. would never go there again.",3.0
17,"July 30, 2015",This guys are the bomb! I traded in my truck and didn't ask for a down payment. The customer service is great! The best part is that payment change very little! ,5.0
18,"July 30, 2015",Want to thank josh and Nahum for making my buying experience here at Bert Ogden a very pleasant and stress free one. Thanks for everything!,5.0
19,"June 29, 2015","I recently tried to purchase a used Nissan altima. I went to Bert Ogden Nissan on Jackson . There was a salesperson by the name of Jaime pulido that I spoke to. I told him that I have always purchased from Altima, maxima, Sentra. Only one time from Bert Ogden. Bert Ogden always asks for money even with my trade in. I have to eventually have to go elsewhere where they don't ask for additional money down. I have tried to give Bert Ogden on many times. They do not try to help you at all. I have 6 sisters and they all used to drive nissans and have all traded in their vechiles and have bought a vechiles elsewhere. They all left for this same reason and won't go back",1.0
20,"April 28, 2015","About two months ago, I was looking around for a new car. Mr. Juan Aguilar was very helpful and assisted me in the purchase of my car. He adviced me on the new 2015 Pathfinder and showed me all the features of this new model. He was very patient and answered every single question that I had. On the other hand, Mr. Santiago Balderas guided me step by step through out the finance process on this purchase. All I can say is that your employees were extremely friendly and helpful. I really had a great time buying my car  in your company and would highly recommend this place. ",5.0
21,"April 23, 2015","his is my 3 vehicle purchase at this dealership. I just purchased the 2015 Rouge, and it's a sweet ride. Omar Ochoa my salesman was great and answered all my questions (and I had alot of them) . Plus he showed me how to use all the new technology on my Rouge. Gabriel, the finance manager helped me get the deal that fit my budget. I really appreciate the hard work Gabe did to get me the best finance deal. Great customer service guys! Thank you! 

",5.0
22,"April 07, 2015","Purchased 3 cars since 2012 at Bert Ogden-McAllen and would highly recommend for anyone to make their car purchase there. Ruben Quintanilla and Ernie Fong were friendly, professional and made our shopping experience a great one! ",5.0
23,"April 03, 2015",The entire shopping process was great. Dealership staff were attentive and considerate from beginning to end. Next day follow up was also excellent. Overall outstanding experience!,5.0
