,Date,Reviews,Ratings
0,"June 26, 2020",Excellent staff.  Answered all questions and made the buying experience easy. I will plan to use the dealership again for all of my future needs.  ,5.0
1,"June 24, 2020",Mike was very helpful in the sales and delivery process.  He has been knowledgeable about the car and kept me up to date on the shipping timetable.  The Taycan was definitely worth the wait! ,5.0
2,"June 20, 2020",I just purchased my 4th Porsche from Autobahn spanning 30 years.  John Hamilton is very knowledgeable and was most helpful in suggesting which options to include on my ordered Cayenne.  He made the delivery to my house which I appreciated during these times.  Zoran Gutic and everyone I dealt with at the dealership were extremely professional.  Great experience that will keep my business for my next Porsche purchase.,5.0
3,"June 17, 2020",They never fail to meet me at the car and remember my name. Always polite and always on time with the service done. My car is always returned in top shape.,5.0
4,"June 16, 2020","I have been doing business with Autobahn VW and  Porsche for approximately 20 years, have always been treated fairly and in a professional manner.  I will continue to do business with them.",5.0
5,"June 10, 2020","Got one of those critical messages, check engine error, proceed to workshop. Service Advisor greeted me by name. Tech immediately diagnosed issue and repaired it. Only delay was waiting a complimentary car wash. Wow! It’s all why I’ve always had my service done at Autobahn ",5.0
6,"June 10, 2020",I have always received excellent service from Autobahn and this visit was no exception.  My service writer handled the visit very professionally and everyone made my visit pleasant.,5.0
7,"June 07, 2020","I made my appointment 2 weeks in advance.  When I pulled up, my loaner car was waiting and they addressed me by my name.  Everyone is very polite.  I was in and out of the service department within 7 minutes.",5.0
8,"June 05, 2020",Another Porsche quality customer experience from a dealer that has gone the extra mile since pre purchase to date. People here have been super accommodating and easy to work with on multiple occasions. A very well run organization.  ,5.0
9,"June 02, 2020",I came in for a warranty repair. Service took one hour. Waited there. Service was excellent and car looks great. Very professional service and no cost. ,5.0
10,"May 27, 2020","Low pressure, rewarding purchase experience.  Prompt replies to my queries helped with my decision to buy this make/model for the first time.  Based on past experience with Autobahn  I’m sure I will remain pleased I went with Autobahn Porsche on this purchase. ",5.0
11,"May 22, 2020",These guys are incredible. Never felt better taken care of. Tony in the body shop was awesome. Kyle took super good care of me. Justin was as usual great,5.0
12,"May 20, 2020","Quick and easy, vehicle doesn't have a spare so Autobahn arranged for a quick pickup of the vehicle from my home- the only thing that would have made it better is if they delivered it back to my home.",5.0
13,"May 19, 2020","Autobahn provides consistent service excellence no matter the problem or difficulty. All of the staff is friendly, outgoing and very competent. Always a pleasure to visit them.",5.0
14,"May 13, 2020",Zach was my Service Counselor at Autobahn BMW.  Now he is the Service Manager at Autobahn Porsche.  He remembers his customers and even the prior service of the car.  It's that kind of attention to detail that make him the Best There Is. ,5.0
15,"April 29, 2020",I am so please with Mike Mahan and Porsche.  This was truly a wonderful experience from start to finish.  I could not have asked for a more knowledgeable person than Mike.  Well done Porsche.  Thank you so much!!,5.0
16,"April 26, 2020","Purchased a Macan S for my wife. The entire buying experience was pleasant and enjoyable. We were always made to feel special, no pressure, Mike went over our car with us and gave us lots of good information. Ryan walked us through the paperwork, and again, helpful, friendly, and pressure free. Truly felt at home and like we were their only customers! ",5.0
17,"April 23, 2020","Friendly, helpful, professional, and knowledgeable! Justin took care of the service on my 911 and Mike showed us around the Macan on the showroom floor.",5.0
18,"April 17, 2020","I made an appointment to bring my Macan in for a factory recall and I was told by the Service Manager that he would take care of another recall issue also.  I had my brakes flushed too, received a nice service car, and all went well!",5.0
19,"April 08, 2020",Great!  They cleaned everything touched and had very limited amount of folks at the service check area and a cleaning crew inside the show room location and got the work done in no time.,5.0
