,Date,Reviews,Ratings
0,"June 06, 2019","I own a 1987 Porsche 930S, factory orange, 3000 miles. Because it is not driven much, the ethanol in gasoline ate through the rubber fuel-line. So, I trailered the car in to this so-called dealer. The so-called service mgr told me that it was a $15,000 repair. I asked why so much? ...he replied “it’s a classic” 
I had it put back on the trailer and sent it to Ft Worth Porsche. They did the repair for $2000, and I had to spend $700 on trailering fees. 
These pathetic people are criminals! ",1.0
1,"January 16, 2019","We recently purchased a Cayenne Diesel from Porsche Plano and were pleasantly surprised at the knowledge, attention, and helpfulness from the dealership.  All questions were answered, the CPO car was flawless, and we were in and out within a few hours.  I'd gladly use this dealership in the future!",5.0
2,"December 28, 2018","We recently bought a used 2015 Mercedes cla250 for our daughter. After we picked up the car we noticed the front end was shaking while braking  We contacted Christopher Allen or salesman. We brought the car back and they fixed the problem by replacing the rotors,brake pads and sensors. Mike the GM of the dealership came out and personally thanked us and Becky who’s over the service manger and Fred are mechanic were all very friendly and went out of their way to make our visit as pleasant as possible.. they even gave us a loaner so we could go eat lunch. Would definitely recommend this dealership and we’ll be going back for the next vehicle we need!!",5.0
3,"November 21, 2018","I leased a 2018 Macan from Porsche Plano early last year. It was a smooth and pleasant process. All of the employees I worked with through the transaction were kind, professional, and helpful. I have had my Macan serviced several times since then and have been impressed by the efficiency of the service department. I couldn't recommend this dealership more! ",5.0
4,"September 13, 2018",They lie and dont back up their promises. This dealership will do anything to sell you car. Managers don’t return phone calls. Deceptive Trade Practices ,1.0
5,"August 31, 2018","I have a 1987 930 S, factory orange, with only 3000+ miles, because it’s in storage, the ethanol eats through the fuel lines, this so-called dealership quoted me $12,000 just for fuel lines, I asked the so-called service manager why he said “because it’s a classic” I then had it trailered to Ft Worth and had the work done for $2,000",1.0
6,"August 29, 2018","Purchased a used car from Porsche Plano with clean CarFax report shown to me at the time. I paid top dollar for a clean used car. Now when I go to use it for a trade-in, CarFax shows damage on the report. 
Dealership issued falsified CarFax report, My purchase decision was based on the report that was provided prior to purchasing the car. The CarFax report given to me by the dealership had been altered.",1.0
7,"August 23, 2018","I went to buy a car and the treatment was indifferent towards me , like I was not able to afford any of their cars , I would not recommend to any body ",1.0
8,"July 16, 2018","I purchased a 2017  Cayenne from this dealership last fall and had a good experience with the salesman - Josh.  I must say that I went into my first Porshe purchase expecting to have a superb customer service experience, but from there it went downhill fast.  First a rat got into the engine compartment and bit through a wire and it was giving me weird warning lights.  When I took it in they said it would cost $1,800 to replace the harness as it was not covered by warranty.  I asked them to send me a picture and quickly could see that it was just one wire, which I asked them to repair, not replace the whole harness.  They would not do it, so I told them to do nothing and took it home and fixed it myself in less than 10 minutes for nothing.  The wire that was chewed in two had been stuffed far back up into the bundle of 50 or so wires, so it was hidden from view, which I did not appreciate.  I complained to the service dept, the customer service dept, and ultimately wrote a letter to the Manager of the dealership explaining my frustrations and offering to come meet and discuss it.  Never heard a word from him.  Next, I had a glancing collision with the corner of a curb near George Bush which blew out 2 tires.  Thank God I bought the $1,800 tire protection package.  Oooopps!  Does not cover hitting a curb.  So I complained and requested to cancel the policy and get a refund.  They agreed, but now 8 weeks later, I don't have the refund and Suzanne, the woman who sold me the policy (from Auto Nation) has not responded to my last e-mail, sent a month ago.  I am due for my 20K service and checked to see what is included and what it costs.  Not much and $1,100.  I checked with Kwik Kar and they will do the same things including changing all the filters (air and a/c) and flush the brake system for $350.   Hmmmm - what to do?",1.8
9,"July 01, 2018","Worst service dept. do not return calls, do not return emails. Think twice before using this dealer. Park Place is a better choice to have service done. You will be treated better. ",1.0
10,"August 07, 2017","Recently bought 2004 911 Turbo x50 Cab to add to my collection.  Based on all assurances that all systems fully functional and operational - and service records from recent 30,000 mile service and 125 point Autonation warranty inspection - I bought the car sight unseen and had shipped to NC. AND paid their list price. The car arrived with inoperative rear spoiler - and dash warning light had been turned off. After many emails, phone calls etc to Arron in service, Chris Moore (salesman) and Mike Marsh, General Manager I was told to go away. The service technician said""I don't know what is included in the 125 Autonation inspection"". They would not tell me about their service history on the spoiler although I was told the same technician had serviced this car since new - for 13 years!  
I had diagnostic test done by dealer locally and was told that Porsche Plano could not have been unaware of the defective spoiler- and got $4000 estimate to repair. No question in my mind Plano shipped the car with defect knowingly and management WILL NOT SUPPORT SALE DEPT REPRESENTATIONS AFTER THE SALE. 
I have owned 16 Porsche cars bought from dealers all over the US and this is my first problem and first review. Porsche Club Of America members and serious enthusiasts - stay away from this dealer or be burned. ",1.0
11,"May 23, 2017","All of them are great, from Mike Marsh to everyone else. Long time car buyer there. Service top notch, parts top notch, everything. Keep it up
",5.0
12,"January 26, 2017","In soo happy with this buy, car have all what im looking for.Colin is very helpfull guy with good care customer,all dealershop is friendly people.Paperwork is fast.recomended to everybody",5.0
13,"December 28, 2016","Purchased a 2016 Porsche Targa had it delivered after weeks of stories and now its been over 45+ days and they will not provide plates nor any info regarding my title and all that I get is the run around.

At this point seems as if I am left with NO choice nut to contact the FBI & the Attorney Generals office to investigate this matter.

BEWARE

Jason was the representative and Nicole is unresponsive - NO HELP - BUYER BEWARE ",1.0
14,"September 15, 2016",I worked with a salesman name Jason and he was outstanding.  He know how to operate every button in the car.  I highly recommend this nice young man.,5.0
15,"March 27, 2015","Buying a car is generally an exhausting and taxing on the nerves. Not so with my experience with Porsche of Plano.  I've purchased cars from other dealerships e.g. Honda, Toyota, Acura, Lexus and BMW; but the entire buying and ordering experience with this dealership exceeded all of them. I special ordered a Cayman GTS and Mark Laurenzi helped me through the maze. No muss or fuss.  Highly recommended and Kudos to Mark Laurenzi and Suzanne Andries!!

L.Lee",5.0
16,"December 15, 2014","This is the fourth Porsche I buy from those guys and the third time I have dealt with Mark. This man knows every detail about every model. I am definitely a car guy and consider myself rather knowledgeable, yet Mark still helped me pick the best option for me, adding this or deleting that. I am now the happy owner of a '15 GT3 and this is not the last car I buy from Porsche Plano. For those who live in Dallas, go the extra distance, drive to Plano and buy from them instead of the T-Rex Dallas-based dealer. You'll save money and enjoy a truly great experience, from the purchase to the amazing service. I know everyone there and consider them as friends as they all treat me better than one. 
Bernard Lucien",5.0
17,"November 16, 2014","We wanted a new Macan in the sapphire blue color (the color that was in all of porsche advertisements before it was available to customers). Mark Laurenzi kept a watch for when the color was available and notified us the day it became available. We ordered it then he updated us every step of the way as it came out of the factory, where it was located on the ship, when it got to port, and called us as soon as it arrived. Suzanne made even the paper work for the purchase nearly enjoyable. She is great! This is not my first purchase from Mark at Porsche Plano nor will it likely be my last. ",5.0
18,"October 30, 2014","Cars are a passion for me. Regrettably, I buy and sell them too often, usually losing a bunch of money in the process.  But, I do that voluntarily, so, for the most part, I have only myself to blame.  I got a bug for a Porsche earlier this year, and, long story short, bought a 2014 Cayenne from Porsche Plano.  For reasons that aren't important here, the Cayenne didn't last long, and I then bought a 2015 911. All along the way, dealing with Porsche Plano has been a joy.  The management is honorable, the sales team is superbly knowledgable, and the overall experience has been a true joy.  While I'm not real fond of the Porsche brand (a story for another time), I could not be happier with Porsche Plano, and could not recommend them any more highly.",5.0
19,"June 09, 2014","My wife and I were very pleased with the experience we had while looking for a new car at Porsche Plano. Our test driving with J.D. was very enjoyable and he knew a lot about the Panameras we were looking to buy. 
When it finally came time to negotiate, J.D. and the sales manager were very professional and courteous and made the least enjoyable part of buying a car a pleasurable experience. 
We would recommend J.D. and Porsche of Plano to anyone considering a Porsche. ",5.0
20,"May 17, 2014","Being an out of state buyer, purchasing a car sight un-seen is a scary proposition.

Working with Plano Porsche and David Loder, the process could not have gone smoother.  David gave an honest assessment of the car to insure no surprises upon my arrival.

David and the dealership were very competitive in their pricing and paid special attention to customer service.

I would highly recommend this extraordinary honest car dealer.",5.0
21,"April 20, 2014","My wife and I had been driving our vehicles for 6 and 7 years, respectively, and the annual service spend for each car was tantamount to an annual car payment. So we decided to shop for 2 new cars. After much brand consideration, we settled on Porsche. So, I asked a friend of mine, who has owned several Porsches over the years, if he had a sales professional he would recommend. Without hesitation he said, Mark Laurenzi at Porsche Plano. My friend told me Mark definitely would take care of me, and would remove all the angst one normally experiences when buying a new car. Boy, was my friend correct. 
Within 3 minutes of my friend providing my contact information to Mark, he called me. I told him what I was looking for, and he said he would send me relevant car descriptions that day for what he had in inventory. Upon receipt of these descriptions, I called Mark back to schedule a time for us to come for test drives. Mark was prepared, enthusiastic, professional, understanding and, above all else, friendly. Furthermore, he is incredibly knowledgable, and demonstrates that he truly want to find the right car for each person, which he did for us. In addition, Mark was honest about pricing and how he could work with us - very fairly I might add. 
Since purchasing two new cars, we have brought both cars back to the dealership for some after-market services. Both times Mark and our service professional, Tim Shaffer, have been incredibly professional and helpful. We have never had such an incredible car buying (and service!) experience. We most definitely would buy our next cars at Porsche Plano, and highly recommend Mark (and Tim) to anyone looking to purchase a Porsche. ",5.0
22,"February 11, 2014","Great overall experience.  Friendly and knowledgeable sales person.  Great test driving.  The car is excellent, great showroom and customer area, neat, clean and organized.  Service department looks very professional.",5.0
23,"January 29, 2014","I stopped by on a Saturday in January 2014 to test drive a pre-owned vehicle that they had on inventory.  Neil Conklin from sales helped me with the test drive, negotiations, and after sales work.  Neil is a fantastic sales professional who is knowledgeable about cars.  He was never pushy about selling the vehicle.  Neil was very patient with helping me test drive the vehicle and provided me all the necessary time and information to become comfortable with the purchase.  In fact, he addressed and fixed any issues that arose with the vehicle, no questions asked (post sale, there were some necessary non-mechanical repairs). 

This dealership prides themselves on delivering high levels of customer service and Neil was a great representative of the dealership's culture. 

When I am in the market for a Porsche, I would definitely return to this dealership and work with Neil on the purchase.  ",5.0
24,"January 09, 2014","I drove all the way to central Louisiana to Plano to take a look at an SLK 55 AMG listed on Porsche of Plano website. When I arrived I was promptly greated by salesman Neil Conklin.  After a walk around of the vehicle, he arranged a test drive and explained the features of the SLK.  I could tell he was very passionate about cars and knew his stuff. I didn't buy the car that day as I wanted to do more research and sure enough Porshe of Plano had the best deal i could find on an SLK 55 AMG.  Needless to say I Santa delivered a hot sports car to my garage this Christmas...Thanks Neil.  ",5.0
25,"November 22, 2013","Our experience at this dealership with Neil Conklin was PERFECT. It was FUN to buy a new car. Neil was informative, available and helpful without being pushy or overbearing.",5.0
26,"November 19, 2013","The best in the business. jeromy is the sales person to seek as he is very responsive and prompt. John Gladwell is a master at keeping Porsches in better than factory shape. Kevin is a fantastic service advisor that is always there for me.Larry in service is the cream of the crop and runs a great department. Mike Marsh has done a great job with this dealership. It's a great atmosphere there and everyone is down to earth, no pretense. ",5.0
27,"October 31, 2013","Neil was very helpful and attentive. He took the time to get the right price for my trade. In my opinion, I  he is a very good asset for the dealership. I would not hesitate to call him for my next Porsche which I hope it will be soon! I would recommend him to all my friends who are in the market for a 911.",4.8
28,"October 12, 2013",Colin was wonderful to work with. He was very patient and concerned that I got into the proper car for a good price.  Excellent customer service.,5.0
29,"October 09, 2013","Mark was very professional, friendly, and courteous.  He listened to our  questions, and helped us find the car that met our criteria.  He was very thorough in his explanations and followup.",5.0
30,"August 04, 2013","Porsche of Plano is a very friendly and welcoming environment.  For a high-end, and exclusive brand like Porsche, one might expect a bit of arrogance or stuffiness, but there is none of that at Porsche of Plano.  I went there about 8-10 times prior to purchase and a probably just as much since taking delivery 2 months ago.  They always welcome you and are glad to see you return.

Mark Laurenti is a great sales advisor and very easy to work with.  He is a true car guy that will share his knowledge and passion, even after order placed and delivery of vehicle.  At other brands and dealers, I never saw the sales guy again after purchase and you are simply directed to the service department.  Mark and I have had probably 6 or more chats AFTER the sale.

Even the people in the 'administrative areas' are great to work with, like Suzanne Andries and Nicole Clarke.  These ladies assisted me with various paperwork issues with Texas DMV and Porsche NA HQ - far beyond the assistance you would get anywhere else.  They took care of several 'issues' for me (issues outside the dealership) and kept me informed.  They are truly committed to customer service.

I find the 'passion and excellence' that is evident in Porsche vehicles is also demonstrated by the employees at Porsche of Plano.",4.8
