,Date,Reviews,Ratings
0,"June 25, 2020",Have been servicing my 911 at this dealership since 2014.  They have continuously improved all aspects of their service to the point I would rate them as best in ATX.  Most recently had my car serviced and required new tires.  They quickly contacted me and took ownership for premature wear.  They admitted to having a bad alignment over 12 months before and replaced my tires.  Honesty Ian’s transparency is hard to find.  I applaud their values.,5.0
1,"June 24, 2020","I had a wonderful experience purchasing a new Porsche Macan and traded  my 911 Carrera 4S, I missed my 911 sooo much this dealership resold me my 911 at the same price they gave me for trade-in with the exception of necessary fees. I had a pleasant experience all the way from the sales &  finance departments. Extremely impressed with my sales person and her manager Christian Ames. I will definitely recommend this dealership to anyone I see in the Porsche community. I have owned a 911 Porsche since my early 30s, I am now 76 years of age! I guess they’ll bury me in one LOL
Thank you.",5.0
2,"June 22, 2020","Work was done in a timely manner.  Arrived early for appointment, car was taken back immediately. Jordan responded almost immediately when text about status of work.",5.0
3,"June 16, 2020","Bought a used car and was going to pick up 3-7 days later after they fixed a few things on it. The salesman let me know that things were on schedule and when we got to the 7th day and I stated that I was getting a little annoyed that was it. I wouldn’t tell me what the issue was why I wasn’t able to pick it up. I finally let the salesman know that I was coming up there and he said OK. When I got there the used car sales manager told me that they found another issue after repair for a longer period and that they did not know when they would get the part in from Porsche. They had very little knowledge about the 996 they were selling me. When asked about the IMS issue...they said that I had the “good one”! Porsche didn’t have a “good one” which is why they were sued years ago. I then decided to cancel the sale. They tried to put my debit down payment on my debit card and said that they couldn’t. I was told I need to wait for a check to be sent to me and that could take up to one month.
Live and learn.",1.0
4,"June 08, 2020","Chase, Service Rep, accommodated my immediate need to replace a battery and perform some factory recall improvements. Had the 911 back the next day washed up and ready. Very attentive.",5.0
5,"June 02, 2020",Service great. Work done promptly rattle in cab roof seems to be gone.  Service advisor Jordan is great. the tech who helped was a pro. ,5.0
6,"May 26, 2020",good service，friendly and professional staff，timely status updates，easy to make an appointment pretty soon，loaner car was clean，service was done quickly，very satisfied,5.0
7,"May 12, 2020","Managment is terrible.

They have zero interest in creating relationships with customers.
50% of the experience of owning a vehicle is the dealership. This one does not qualify. 
",3.0
8,"May 07, 2020","All the staff outstanding wonderful people very hard workers they work as team ! Excellent job keep it moving !

Thank you all and be safe !

Best 

Arturo ",5.0
9,"May 07, 2020",Great service and very responsive! My car was picked up serviced and returned cleaned within a few hours. I would definitely recommend this dealership for any or all your service needs.,5.0
10,"May 01, 2020",Porsche Central Austin has always provided excellent service to its customers. We are very satisfied with Chase who has been our service representative since our inception of servicing our Macan in Austin dealership. The dealer and it’s employees are always friendly & willing to assist us. ,5.0
11,"April 23, 2020","Received exceptional service during this month of April 2020 for a recall. Thank you for valuing the customer, while taking care of yourselves during this time. Covid 19 did NOT cause Josh to “socially distance” from stellar service, as he  adhered to precautions and considerations  intended to keep us all safe. 4 stars only because as great as he was (is), no room for the big head (lol). Stay excellent! ",4.0
12,"April 22, 2020","Great service from Josh our service manager. We brought our Macan in for a recall issue that was immediately resolved. We were given a loaner Macan for our wait time.,All in a positive experience.",5.0
13,"April 15, 2020","I’ve just moved to Austin and had no idea where to service my Porsche when it was due.
I found Austin Porsche and called for a pickup and delivery of my car for service.
Jordan the service rep I spoke to couldn’t have been more helpful and courteous!!
The car was picked up serviced and dropped off on the same day with a full tank of gas!
Truly remarkable service!!!
Wouldn’t trust my car to anyone else but them !!",5.0
14,"April 07, 2020",Excellent experience. Thanks. Everything was taken care no problem. Clean car to drive in the meantime and my car returned clean as well. Thanks so much,5.0
15,"April 02, 2020","Quick and competent diagnosis of an issue with my central door locking system. Also resolved a problematic tire pressure sensor issue at no added expense. Provided convenient option to perform brake maintained. Courteous and under virus threat, careful staff ",5.0
16,"March 02, 2020",Chase performed as the true professional that he is. Excellent from start to finish. And the service on the car was excellent. Kudus to Porsche Austin. ,5.0
17,"February 18, 2020","Very helpful, courteous, accommodating. High quality used vehicles that are exactly as represented. Shaun and Mike are great and care about my satisfaction. I’ll be back. ",5.0
18,"February 13, 2020",I got the car. I wanted at a great price and it was a hassle-free transaction. I would definitely buy from these guys again.,5.0
19,"February 12, 2020","I was dreading the service diagnosis. The car was failing to start, even after being driven a while, and in the past I have been stung for either a new battery, or alternator, or starter motor, or any combination of the above. Porsche Austin asked if they could study the problem for 2 or 3 days and sorted it out. The problem was on my side on how I drove the car and how often, and they sent me on my way with no charge for the diagnosis / service / battery charge.
Excellent service with daily updates from Shealea as to progress on the repair,
I would recommend to everyone.",5.0
