,Date,Reviews,Ratings
0,"August 17, 2019","Highly recommended, great car salesman, customer service & works with any situation. Thanks James, for going above & beyond for me & my family! Awesome dealership! Ask for James at Freedom Dodge!",5.0
1,"March 17, 2019",I do not recommend this dealership to anyone the sales person and the managers are very unprofessional they say that they will put you in a vehicle and that’s a lie I was with the sales guy and I guess his manager called him and told him something he did not even reply one word to me he just walked off and left Standing there like a piece of trash and when I walked to my car I realize that he had the keys to my car..He didn’t even have the courtesy to give them back to me I had to ask him for them I guess he wanted me to walk home!👎🏼,1.0
2,"March 01, 2019","Went in to test drive a two door Jeep Wrangler and had the worst experience I had ever had trying to purchase a vehicle. I was treated very nice till it came to sitting down at their desk to write up some paper work. The sales manager took over and was trying to rush us into just signing for the vehicle and pushing us out the door. As soon as I mentioned the word ""negotiate"" his demeanor changed and said that they do not negotiate. I tried to mention what I found the vehicle going for at another dealership and he just said no and tore up the paper work and walked away. I ended up finding the exact same Jeep for the price I wanted the following month at Dallas Dodge Chrysler Jeep Ram.",1.0
3,"December 23, 2018","Stay away from this dealerships Service department.
Completely unprofessional and unethical.
Had vehicle in service for 2 weeks before ""diagnostics"" even run.
Upon ""diagnostic"" results, it was determined a $715 ""fix"" would resolve issue.
After ""fix"" issue was not resolved and exactly the same as before.
Upon 2nd ""diagnostics"" it was determined that ""fix"" would require another $785 ""fix"".
Fool me once , shame on me, fool me twice...you know the deal.

Stay very far away from these thieves....
Merry Christmas!",1.0
4,"September 18, 2018",This is a great dealership. I’ve dealt with this dealership multiple times and I always leave satisfied. The salesman Carlos Gutierrez is great he’s always a huge help. I highly recommend this place to anybody !,5.0
5,"September 17, 2018","I definetly recommend coming here for your next Jeep.. James treated me and my wife like family.. Carlos was very helpful as well, they both went above and beyond to help us find what we were looking for.. Thanks guys!! ",5.0
6,"September 15, 2018",Had a great experience at the dealership. Everyone was nice and Carlos was very helpful and answered all of my question I had. I highly recommend this dealership. ,5.0
7,"September 08, 2018",Outstanding Customer Service. Love my Jeep Grand Cherokee. Will definitely recommend Carlos to my friends and family and I will definitely be back for any service that is required.,5.0
8,"September 08, 2018","Everybody was really nice. They truly know how to treat their customers, and truly know how to accommodate to our needs. Definitely two thumbs up!",4.8
9,"September 08, 2018",I want to give out a special thanks to Carlos. He helped me find my dream car at ease and helped me with everything by answering every question. Very honest!!!! ,5.0
10,"March 23, 2018","I had a fantastic purchase experience buying my 2018 Dodge Challenger. I worked with Melisa DeBolt.
She is a true professional and handled every detail perfectly. From the time I ordered the car to the day it came in. She constantly kept me updated every step of the way. I bought my car from my patio in Florida. Dealing over the internet and by email and text can be tricky.
Melisa is the best iv’e ever worked with. I love the car, I love the deal I got at Freedom.
Melisa has a customer for life.
Call, email or go see her. You will be glad you did !",5.0
