,Date,Reviews,Ratings
0,"January 29, 2019","These folks went well above and beyond any service I’ve ever had when buying a vehicle.  Everyone there treated my family and I as if we were a part of theirs. I will always recommend Blake Fulenwider in Eastland to anyone who is in search of a new or used vehicle. They have extremely knowledgeable employees that will do whatever it takes to get you what you want, and for that I am thankful. ",5.0
1,"January 24, 2019",Wesley was so much fun to deal with. Everyone made buying a car a painless experience. I knew what I wanted they went above and beyond to get the price I needed. ,5.0
2,"December 18, 2018","This dealership has friendly, caring staff they work around your schedule to get you in and out as quick as possible. They've helped me purchase ever vehicle I have bought",5.0
3,"December 11, 2018","My first time to buy a car has been an incredible experience, thanks to this dealership! My family and I are immensely impressed with everyone helping and all that was done to assure I left with a brand new car. All of the employees, especially Wesley, Shawn, Heaven, and Quintin were so friendly and helpful, and worked very well with each other. Wesley did an amazing job making this experience enjoyable and not as scary as I had intended it to be. I am in love with my new car, Tiger Lilly! 💜",5.0
4,"December 10, 2018",Jeffrey was great to deal with! Definitely recommend this dealership. They take good care of their customers. Treat you like family. Would definitely buy from again.,5.0
5,"December 10, 2018",Amazing and friendly personnel. Answered all my questions and had no issues at all. Amazing work done and fast as well. Would recommend this service to others. ,4.6
6,"December 10, 2018","Even though I didn't have an appointment, the service team got me in quickly, changed my oil, rotated my tires and replaced my windshield wiper blades.  ",4.8
7,"December 10, 2018","The team at Blake Fulenwider Dodge of Eastland is definitely the best I have ever worked with. They all come together as a team...no as a family to get what needs done, done!! I am very impressed with this team!!",5.0
8,"December 08, 2018","They had my vehicle for months, and brought it back to my house telling us it was fixed when reality is it actually has more issues now than before. Manager Shane is very rude, disrespectful and can’t seem tell the truth, or face the fact that his dealership failed . I would not recommend them to not one single person. ",1.0
9,"December 07, 2018","Easiest car purchase ever, Quintin Bass extremely helpful, also Jimmy Carter. Would buy from them again
From start to finish great experience. Highly recommend them",5.0
10,"December 05, 2018","Wes met us with a smile,respectful,LISTENED...
Shane? (sorry) really helped us get our ram..
Quinton finance very nice guy
dealer move closer to Ft W👍",4.8
11,"December 03, 2018","Our salesman, Wesley Hernandez, was very friendly and helpful. This was my first purchase from a dealership and he made it easy on us. He wasn't pushy whatsoever.",5.0
12,"December 03, 2018",Justin Wharton and Shane made the buying process easy. Test drove the truck overnight and then it was ready to go the next day by noon. ,5.0
13,"November 28, 2018",GREAT SERVICE!!! Friendly people got my vehicle serviced there walked in and out within 20 mins. Would not take my vehicles anywhere else. Blake Fulenwider you ROCK!!,5.0
14,"November 27, 2018",The service writer Jonathan was very helpful and friendly. The mechanic was friendly and knowledgeable. I felt they appreciated my business and treated me well. I would definitely recommend them for service.,5.0
15,"November 26, 2018",Jeffrey was very helpful an informative on everything with the vehicles I was looking at. The overall experience with the dealership an salesman was wonderful. ,5.0
16,"November 26, 2018","I knew I needed to buy a car but I didn't know if I was able to get the car I wanted, 2018 JEEP GRAND CHEROKEE. When I passed by Blake Fulenwider Dodge of Eastland and I saw this car, down to the rim color....I HAD to check it out. I felt welcomed from the start!!! Test driving the car was amazing, I fell in love instantly. Next thing I know I am giving my information and trying to see if it was possible for me to put ZERO down......IT WAS!!!! Wesley was really patient with the anxiety I had going on, they got my payment lower than I originally wanted to pay. I had to hurry to work that day so they offered to fill up the tank, detail and wash the car AND deliver it to my job in a different town!!!!! I got the car that same day while I was working my shift........I AM STILL IN LOVE WITH MY NEW BABY!!!!!",5.0
17,"November 22, 2018",They got me in and out in a timely manner. The atmosphere was freindly. They were very customer friendly and knowledgeable. They checked out everything I asked them to check out.,5.0
18,"November 20, 2018",Service was friendly and helpful. They made it really simple to find and buy my perfect vehicle and all of the details were clearly explained.,5.0
19,"November 19, 2018",Everything went great with my visit to the service department. Everyone was very friendly and helpful and most of all professionals! My time is important and they done their work in a way to get me up and going!,5.0
20,"November 18, 2018"," A safety recall for the braking system was completed this past week by the service department at Blake Fulenwider’s dealership. My service manager was courteous, friendly, and efficient. He got the work scheduled at a good time for me and it was completed correctly and quickly.",5.0
21,"November 18, 2018","Staff was friendly and helpful , offered me a vehicle to go eat if I wanted to, kept me up to date on progress on my vehicle ",4.8
22,"November 15, 2018",This is my 7th Ram!i refuse to go to another truck mode. The guys ar the dealership are awesome! Some of the best people in town! I was treated very well and very professional by everyone! Will go back!,5.0
23,"November 14, 2018",Everyone was very helpful and service was done in a very timely manner.  Would highly recommend this dealership if you need maintenance on your vehicle!,5.0
24,"November 14, 2018",Jeffery did an amazing job in getting me out of my used car into a new Durango! The sales team is great here at Blake Fulenwider in Eastland. Always a pleasure to do business with them! Thank you!!,5.0
25,"November 11, 2018",They were very professional & informative. Forrest updated me daily on status of vehicle repairs. He checked with me a few days after I picked vehicle up to see how it was doing. I am very happy with the work they did. They will be my 1st call from now on! ,5.0
26,"November 09, 2018","The staff were very friendly and helpful. I had not been to this dealership before, so one of the sales staff took me over to the service department. I did not have to wait long for the recall issue to be fixed.",4.8
27,"November 07, 2018",Always great when they get you in and out! Never had any problems with the my service. Great service and courteous to people. Thank you!!,5.0
28,"November 04, 2018",It was time for my first oil change and a quick check of my 3/4 ton Ram truck. The service people are well trained and top notch. I was out of there quickly.,5.0
29,"November 03, 2018","Chris was very knowledgeable with the car that I brought, he answered all my questions that I had.  He was also very through and spent close to an hour giving me tips on some of the features with the car. He was very helpful throughout the entire process.  ",5.0
30,"November 02, 2018",The service department was very helpful and quickly took care of my recall in one day.  I had been told by another dealership that my vehicle would need to be in the shop for at least one week while checked out and part ordered for the recall..,5.0
31,"November 02, 2018",You are comfortable from start to finish. This is my second purchase from them. Will be back again. The service department was respectful and willing to help when deciding the truck we needed. ,5.0
32,"October 29, 2018",Blake Fulenwider Dodge is a great dealership to purchase from! They really did their best to get me into the car I wanted! Customer service is awesome! Highly recommend! ,5.0
33,"October 26, 2018","The whole crew at Blake Fulenwidwider were amazing. They are a lively bunch that kept me entertained during the wait for the financials. They gave me 5 grand more for my trade than I was offered at another dealership. They made me feel comfortable about my decisions and answered all of my questions. My salesman, Wesley, is very knowledgeable and down to earth. I didn't feel like they were out to take advantage of me a girl car shopping alone as had been my previous experience at other dealerships. I highly recommend using this dealership, and ask for Wesley! ",5.0
34,"October 25, 2018","Everyone was courteous and helpful.  We got a great deal.  Due to the rain the day of purchase the car wasn't able to be detailed but they told me to come back the next week and they would detail it for me.  I did, and everything was great.  ",5.0
35,"October 24, 2018",Heaven our salesperson was very helpful and friendly. The whole staff was very personable and efficient. They found us a financier in a fast amount of time and had us in the vehicle we purchased in prolly less than 2 hours !!,5.0
36,"October 18, 2018","Me and wife just bought a 2015 Tahoe from Wesley he was very helpfully even after sale was done with a few little issues 
All in all my time there was enjoyably ",5.0
37,"October 18, 2018",They were very easy to work with. I got a very nice deal on my used vehicle. Very impressed by the customer service. Also delivered directly to me from the dealership!,5.0
38,"October 16, 2018",Got me in and out quicklywithout an appointment. First free oil change went painless. The gentleman at the front desk was very friendly and helpful.,4.2
39,"October 11, 2018",All employees were nice and professional...work was done in a timely manner .  I have never had a problem with this service department in Eastland.,5.0
40,"October 10, 2018","Had a recall on my Ram 1500. Another Dodge house was about 35 days out before they could get to it. I called Blake Fulenwider, 24 hours later they had the part. I took my truck in after they called and had the part and was back out in 20 minutes. Great service!!!!",5.0
41,"October 09, 2018",Being this was our 2nd vehicle with Shawn this year alone and he makes the process painless! It is always the easiest buying experience and who doesn't love that?! ,5.0
42,"October 08, 2018",Repaired recall part every thing Is good  I have not had any problem since they changed the recall part for my parking brake. Thank you and have a great day ,4.4
43,"October 03, 2018","I love my new Ram 2500, except for the AM radio. Radio station WBAP 820 picks up engine noise and I have been told that Chrysler has no fix for it. I would appreciate Chrysler Corporation investigating this and providing a fix.",5.0
44,"October 02, 2018","The service department staff was very friendly and helpful. I personally felt they made fixing my vehicle quickly a priority. I was told it could take a few hours so they placed me in a loaner car so me and my infant daughter didn’t have to stay sitting up there. Cody was the staff member who assisted me, he notified me and informed me throughout the whole process. Once they were finished I received a phone call letting me know my car was ready for pick up. The whole process was easygoing and effortless on my part, which is nice when your dealing with anything car related.",5.0
45,"October 02, 2018",I came in with an electrical issue that really concerned me. The fellas at Blake service dept were very efficient with the diag and repairs needed. ,5.0
46,"October 02, 2018",I came in the to get some work done on my old truck and after talking to sales we drove off in a great new family car that’s just right for us ,5.0
47,"October 02, 2018","Great job done. People are friendly 
Job finished in timely manner 
Haven’t had any other issues 
Will go back for more service to be done",4.6
48,"October 01, 2018","Cody made the process easy, brought my car in without an appointment and they had it ready to go in no time! Plus the price was great!",5.0
49,"September 26, 2018","Blake Fulenwider Dodge is very friendly and very knowledgeable. I would not take my vehicle anywhere else. Every time I go in to get  my vehicle serviced, they go above and beyond to make my wait comfortable. Cody is very professional and very knowledgeable.",5.0
50,"September 24, 2018",They said it would take 2 to 4 hours they had me back on the road in 2 so good job getting this taken care of in a short period of time ,5.0
51,"September 22, 2018",Very relxed. Tried very hard to get me what i wanted  and worked very hard to get the price i needed.  Small town atmosphere.   I need to be able to drop by and get help learniing the technology. They are always very glad to help me. ,5.0
52,"September 21, 2018","I have used Fulenwider for service across all of my fleet trucks for a couple of years now. I am plagued here locally with service dept out 6-8 weeks or more and the team at Fuldenwider always gets me taken care of promptly. Everything from simple recalls, PM's and major repairs they communicate effectively to let you know whats going on and never leave you in the dark. Service repairs are generally complete in 3-5 days or less! ",5.0
53,"September 19, 2018",Everyone at Blake Fulenwider was a great help and helped in any way they could to help get the issue resolved. Would recommend everyone to take thir vehicle to the service dept. ,5.0
54,"September 18, 2018","I was treated very well, staff was professional and knowledgeable and even informed me that there’s was 3 recalls that had to be addressed. They completed work in a timely manor and you facilitate was clean and comfortable. I enjoyed my visit as l have always done. Thanks to your Service Dept!",5.0
55,"September 11, 2018","I bought my vehicle here and it has been a great truck! I always let the dealer do the service in my truck and they are just easy to deal with, great costumer service!",5.0
56,"September 11, 2018","We got a call from Reileigh letting us know that our Ram truck had to recalls, she even make an appointment for us. Very professional.
At the service department Cody took care of all the problem and my husband is so happy.",5.0
57,"September 10, 2018","My car wouldn't start, but the Blake Fulenwider service team replaced my battery and got me up and running fast on a Friday afternoon.
",4.6
58,"September 04, 2018",Thanks so much for your prompt service. I was a last minute thing and on a Friday. I was in and out in a timely manner and able to continue my trip. ,4.8
59,"September 03, 2018",Always a perfect experience with the Blake fulenwider service department. Cody and his team always get me in and out as fast as they can and alsways does quality work ,5.0
