,Date,Reviews,Ratings
0,"June 20, 2020",My girlfriend and I had been looking for the perfect Jeep for us for a long time. We stopped into Sams Bastrop just to look at the options. We met the nicest salesman by the name of Kyle Butler. He made are Buying experience awesome. He went out of his way to make sure we where able to get what we wanted. Everyone there was extremely nice. I highly suggest if you were purchasing a vehicle go to Sam’s Bastrop.,5.0
1,"June 10, 2020","I worked with Chip by email for a couple of weeks before purchasing my new vehicle. He showed me that he cared and wanted to help me make the right decision. I was definitely THAT customer with my many questions, concerns, and indecisiveness, but Chip was patient with me. I drove away in a brand new Jeep Cherokee Latitude Plus which I never expected was possible! Thank you, Chip! We will be lifelong customers. ",5.0
2,"June 08, 2020","I live in Bastrop and have taken my Ram 3500 truck here several time with the service being just tolerable.  This last time I was quoted $468.00 out the door for battery issue and oil change. Walked into the service area, two guys behind the counters with one of them talking to a mechanic and neither one of them seeming to care that I was in the room.  When the conversation was over with the mechanic, the service writer put his head down and continued to write, still ignoring me.  I said that I was here to PU by Ram truck, still no response, until finally the other service writer asked my name.  Went to pay and the total came to $606.00!!!  Wow, what happened to the $468.00 ""out the door""?  Service writer came to the pay window and reviewed the paperwork and said that the difference was the oil change for about $100.00 and tax.  OK, so; what happened to the $468.00 ""out the door"" when you called to tell me how much everything was going to cost?  He didn't care to help or provide any kind of customer service at all.  Simply amazing what a terribly run service department this is.  The service writers are on the front lines, liaison's between shop and customer, these guys don't give a crap about customer service.  When the quote $468 and charge $606, there should, at the very least, be an apology.  So now they have an extra $130.00 of mine, but have lost all future business with myself, my wife and my son's cars.  We will drive to Austin before returning to this dealership.  They certainly don't understand the value of good customer service.  BTW, took my truck in on Wednesday, did hear from them at all until I called them on Saturday, at that point it was going to be Monday before they could get to it.  The battery was draining overnight, so they did a drain test on all my electrical systems only to discover that the problem was a bad battery.  Anybody in their right mind would have tested the battery first!!!  OMG!  So the $606 got me a new battery and oil change.  They deserve zero stars.",1.0
3,"June 02, 2020",Buying a new Ram from them was very easy & quick! We were in & out from appraisal to driving off the lot in 3 hours! Joshua Perez was the BEST! ,5.0
4,"May 31, 2020",Jamie was extremely knowledgeable -went out of his way to make sure we were informed- he continues to give advise on our Jeep  Wrangler on aftermarket modifications! ,5.0
5,"May 28, 2020","Raymond is great and we continued to do service with him. When it was time to buy our daughter her senior gift, to Sames we went ",5.0
6,"May 19, 2020","Great team we worked with. Met several of the team members, and all delivered a good experience for my wife and I. We liked the truck, and feel it will be an improvement for pulling our boat. ",5.0
7,"May 16, 2020","We drove over 50 miles. Had a great salesman , Raymond Banks. He went above and beyond. We recommend him and this dealership above all others.   ",5.0
8,"May 11, 2020","Amazing service and attention. I live in Hutto  Texas and Sames Bastrop Chrysler Dodge Jeep Ram has amazing prices and is flexible in any negotiation. Keep a good job, as always ",5.0
9,"May 08, 2020","Drove 60 miles to Sames Dodge and sooo glad we did!  Kyle Butler was a friendly and professional salesman who kept in contact with us, (text, calls, and email) to ensure they had the truck we were looking for.  The folks here are the best and we would make the drive again to purchase a vehicle from Sames!   Thank you Kyle!  We love our first truck!",5.0
10,"May 04, 2020",My experience with sames was great thanks to Jamie cooper he made me feel very confident with my purchase and I couldn’t be any happier with my new ram 1500.,5.0
11,"April 28, 2020","I have been been to Sames before this purchase. Jamie Cooper was a pleasure to deal with on my truck purchase. Very helpful and knowledgeable about the vehicles 
",5.0
12,"April 26, 2020","Personable, friendly and world class customer service. John was great to work with and really listened to what I wanted. Will definitely recommend Sames to my friends and family.",5.0
13,"April 23, 2020","Excellent sales, staff and service. Nick was a pleasure to work with. The service department is fast and super nice. I highly recommend this dealership!",5.0
14,"April 03, 2020","No pressure got a great deal from Charles Juarez, he was fantastic. Completed 99% of deal online. Thanks for the good work. I will surely refer other customers your way.",5.0
15,"March 31, 2020","Jaime Cooper did a great job. He was very professional and  made my car buying experience exceptional .He also went above and beyond by calling that he had some items that I left in my trade in vehicle.Thank you Jaime Cooper , I love My Pacifica. This is My second vehicle purchase with Sames Bastrop.",5.0
16,"March 29, 2020",Awesome car buying experience. They made everything simple and easy. Made me a fair offer on my trade in. Also provided me with a beautiful 2020 Dodge Charger Scat Pack. This is my second car purchased from this dealership and I will continue to come back!!,5.0
17,"March 18, 2020",This is the best car buying experience I have ever had. Chris Herod was exceptional!! I would recommend Sames to all of my friends and family! See you when I am ready for my next car!,5.0
18,"March 14, 2020","Just purchased a new Jeep Wrangler Unlimited Sierra edition in Bikini blue.  It is gorgeous and I have gotten so many comments/complements. My salesman, Joshua Perez, was extremely helpful.  The whole buying experience was a joy! This is the 6th vehicle our family have bought from this dealership. The finance officer, Reid Hoyle, could not have been more helpful.  After all the paperwork was completed, Josh patiently explained and set up all the “whistles and bells” on my Uconnect system.  Our family trusts their Service Department for all our Jeep’s maintenance.  I can wholeheartedly recommend this dealership.  I have been their customer for close to 13 years.",5.0
19,"March 13, 2020","I traded in my beloved Jeep for a Ram truck for towing. Salesman Chris Herod listened to what I wanted/didn't want and had the PERFECT truck waiting for me to test drive when I arrived. I ended up purchasing that truck - and I love it. Although I was emotional (I get attached to vehicles) everyone treated me with patience and respect. 

Jamie wasn't even my Salesperson and he took the time to help me with my Trailer Brakes. 

I had a tonneau bed cover installed and Justin in Service took time to show me how it worked, and even put my license plates on.  They sent me texts (optional) to keep me updated on the installation progress. I'm not even from the area, but would shop here again. ",5.0
20,"February 04, 2020",I worked with Chip and he was awesome to work with. He didn't try to push to a car I didn't want or upsell me on a car. Very straightforward and listened to what I wanted. Easy process and great working with him on my purchase. ,5.0
21,"January 19, 2020",Great customer service ! Raymond banks is a great car salesman! Did a very great job listening and found me the perfect vehicle especially with the extra features I asked for with a great price! ,5.0
22,"January 15, 2020","We purchased a new Ram 1500 and it was the best car buying experience that we have ever had. Chris took the time to listen to our wants and needs without any pressure, taking the time to make us feel comfortable throughout the entire process. If your looking to purchase a vehicle go see Chris Herod. Outstanding customer service, very professional and very efficient with our time. Thanks again Chris we will send all of our friends and family your way!! ",5.0
23,"January 14, 2020",I purchased a Jeep Sierra from Sames and I am enjoying it. My sales person was Jamie Cooper who was awesome. He made my Jeep buying experience very exciting and he was very helpful.  It was worth the drive.,5.0
24,"January 14, 2020",Raymond spent the time to listen to what I wanted and found it for me.  Great experience! He was in constant contact with me throughout the entire process and checked in with me after the sale. ,5.0
25,"January 08, 2020",I searched several dealerships to compare prices.  Sames had competitive prices online and the sales team offered several additional deals/discounts to get the price even lower.  There was no pressure to decide and I was allowed to test drive the RAM I wanted several times. Thanks Raymond for your help. ,4.8
26,"January 06, 2020",Chris was very helpful and will work hard to get you in a vehicle of your needs. He is very professional and will explain the buying process for you to understand as you go. Speak with Chris if you come here to this dealership.,5.0
27,"December 31, 2019","After shopping various dealerships for a new pick up truck, we went with Sames Bastrop. Mr Jamie Cooper was our sales man. Mr. Cooper was professional on all levels and truly worked with us to get us a great deal on a 2019 Dodge Ram 1500 Classic.  He also got us top dollar on our trade in and made the purchase experience pretty painless, a quality we really appreciated.  Overall, it was a no pressure, take your time, experience for us, again, greatly appreciated.

We highly recommend Jamie Cooper if you are shopping at Sames Dodge in Bastrop.",5.0
28,"December 20, 2019",Came in to check out the new Ram Promaster City Cargo Van. Kyle was our salesman. He listened to our needs and answered any questions we had! We are now proud new owners of a 2019 Ram Promaster City Cargo Van!,4.6
29,"December 04, 2019","Had the awesome pleasure of working with Raymond. After having been to 10 plus dealerships only to be told no, he was able to get it done. Traded in my 2017 Camaro with 8500 in negative equity, and walked out with a brand new 2019 Ram 1500. Low down payment and low interest rate given my credit and situation. Thanks Raymond and Sames! Love my truck!!!!",5.0
30,"November 25, 2019",I had the pleasure of being served by Jamie Cooper. I traded in a 2017 Dodge Journey for a brand new 2019 Dodge Charger. Jamie was great and very helpful and informative for everything my car has to offer. Thank you Sames. Jamie is a great asset  to your company. ,5.0
31,"November 22, 2019","We had a fabulous experience at Sames trading in one Jeep for another! Raymond was quick, informative and made our entire visit at the dealership enjoyable. Everyone we came in contact with while there was friendly and concerned with our needs. We will for sure be back when our next vehicle need arises.",5.0
32,"November 19, 2019","My husband  and i trade in our 2014 dodge journey for a 2019 jeep compass. We had a great experience, and raymond banks went above and beyond for us. We will for sure be getting our future vehicle for raymond banks.",5.0
33,"November 18, 2019","Traded in my 2016 dodge charger for a new 2019 dodge charger - my sales rep, made it effortless ! Will only work with Charles Juarez - he has helped us with 4 cars so far !!",5.0
