,Date,Reviews,Ratings
0,"June 01, 2020","So far my experience with the Bert Ogden Service writers and Service team have been nothing to boast about. I am 1 phone call away from going to the Service Supervisor. My vehicle has been in the shop for over 20 days and I was told that I would need a new engine. I have yet to get a claim number or order number from them so I can get a rental car. Also was told by the service writer that the engine is back ordered and apparently has not been ordered yet. This whole time I have only received 3 phone calls from my service writer. I have had to reach out to her several times only to get no where. 
She has no customer service skills and does not follow through with what she promises.
I can not rate the quality of work BECAUSE MY TRUCK IS STILL SITTING IN THEIR PARKING LOT.
23 days in and they finally ordered a motor but can not give me an estimated time when this truck will be fixed. Motor is back ordered! Still did not offer to help get me into a loaner or rental car. Having to do this myself. Customer service skills....zero!",1.0
1,"October 04, 2019","It took 1 trip to Bert Ogden Kia in McAllen, Tx. & 3 trips to Bert Ogden in Harlingen, Tx. to get my A/C worked on. My A/C still isn't working right, at highway speed it only gets cool, City driving it does get cold. This is a 2019 kia Niro. The vehicle always got cold at highway or city speeds. I've driven over 200 miles total to get the A/C repaired & will never recommend Bert Ogden dealerships when buying or servicing any vehicle. I also called Kia U.S.A. to complain & they put me on hold while they called the dealership & the dealership told them they didn't know me or never worked on my vehicle,, the funny thing was as soon as I hung up from the complaint dept. the dealership called me to bring my car in for the repairs.",1.5
2,"April 22, 2019","Great service, would definitely come back.  Will recommend to family and friends.  Bert Ogden has great customer service I like bringing my vehicle here. Service advisor is helpful and friendly.",5.0
3,"April 10, 2019","Always greet you.  Your service us always completed in a timely manner.  Comfortable area if you are waiting on your vehicle.  Coffee, water, and pop orn.",5.0
4,"September 03, 2018",Always meets and exceeds my expectations.  Lupe always greets with a smile and very helpful.  Wait time is minimal and service department is ready to service my vehicle upon my arrival.,4.6
5,"December 26, 2017","It took about : 20 minutes from the time I arrived  to received my vehicle already serviced with an oil change, you guys deserve a round of applauses from a happy customer!",5.0
6,"December 23, 2017","Our salesman Mr. James Hernandez, did a great job as well as the other staff members.  Even though the dealership is over 40 miles from my house I will definitely be going back for my next vehicle purchase.",5.0
7,"December 21, 2017",Customer service was on point! Professionalism was on display at all times by the entire staff. I truly could not have asked for a better experience. ,5.0
8,"December 08, 2017",Staff did not explain the requarment  for for the insurance on a lease care when back to cancel the purchase but staff made it impossible to do not a very pleasant day,3.6
9,"December 03, 2017","knowledge of sales person (Juan Davila)
Most of all the respect he had for my spouse and me.. will definitely return to Bert Ogden Kia. ",5.0
10,"December 01, 2017","Great customer service, respected my decisions. They gave me everything I wanted in my car. Got my car cleaned and they were really friendly. They did make a mistake on my numbers and got me upset but they fix it.",5.0
