,Date,Reviews,Ratings
0,"June 02, 2020","My husband was looking for a Ram truck for himself. We decided on a Ram Rebel 2019. The salesman Jimmy, who was very nice, told my husband of a $1900 extra fee placed on all vehicles that were on their lot. My husband and I thought that was ridiculous and stupid. So, basically the red tag sales on their lot do not save you anything because they recoup the money with this required fee! We were uncomfortable with that but we liked the truck so much that we were going to agree to it. The kicker that made us leave was when we had to meet the sales manager requested by  our salesman. The sales manager would not even consider us financing through anyone but them even though we had a better interest rate through our bank. He lost a sale and he could have cared less with his arrogant stance.  I guess he didn’t need to sell a truck that bad! I have never seen that in my life and we have bought many vehicles over the years!",1.8
1,"May 22, 2020","Today I had the worst experience in all of my car purchasing history. My husband and I were shopping for a particular truck and heard that Grapevine Dodge would be the place to find it. And we actually found the truck that we were shopping for however the treatment we received was extremely humiliating. Our salesman Leo sat with us to talk about the purchase and we explained to him that we would like to work on the pricing before any further actions could take place. He then handed my husband his IPAD and asked that he complete all of the boxes in red. Listed on the IPAD was a box that required his social security number. We asked Leo, if we provide the number would there be any type of credit pulled and he said no this information would be placed in the dealership files for future transactions. After completing the fields, we again stated that we absolutely did not want the credit pulled and he said they would not pull credit. Trusting what he stated was the truth we then proceeded to complete the requested information. After completion he took the IPAD went into another office and came back with my husband’s credit score written on a sheet of paper. We were puzzled as to how he had obtained this information without pulling my husband’s credit, we looked at him and said we both stated to you several times that we did not want the credit pulled. He began to explain that it was a soft inquiry and not a hard one therefore it would not show up on the credit report. In efforts to verify what he stated was true we immediately looked at the credit report and there it was, a hard inquiry from Grapevine Dodge. We said to him again, we told you that we did not want this to happen. He then proceeded to talk about the sale as if he didn't hear what we said about the credit being pulled without our permission. While talking about the purchase, still bothered by the lie he told, we explained to him that we would be seeking outside financing and he stated the dealership did not allow outside financing. We asked if we could bring the full amount of the purchase basically in cashier's check or check and he said no to that as well. It was at that point that we realized this dealership did not want to transact business with us. In this case it was apparent that this dealership had a problem with us. Their actions and treatment towards us would suggest that the issue was racially motivated. I have never felt so humiliated, frustrated and just down right disgusted. This dealership has a salesman that will look right into your eyes lie and manipulate in efforts to try and deceive you to get your information only to turn you away. Once we confronted him about his actions he asked to wait while he went to get his manager, Richard, who initially supported his actions until we informed him that Leo purposely deceived us. He then decided he would try to somewhat smooth things over by saying the dealership would do business with us. By this time, we were furious and felt as if we could not trust anyone. I asked Richard for the name of the owner and he proceeded to tell us that he was the one in charge and there was no one higher than him. If he isn't the owner wouldn't there be someone over him? Perhaps another lie! DO NOT USE THIS DEALERSHIP!",1.0
2,"May 20, 2020","I am not sure they fix the vehicles. We brought our Jeep Wrangler in for an AC malfunction where over 75mph the fan would stop blowing and there was no AC. 5 times!! It is under a lifetime warranty, but each time the ""fix"" lasts pretty much until we drive it over 75mph again...therefore never really being fixed. Each time we pay a deductible and they get paid out for the warranty repair I'm sure. Never has it ever been fixed. Not being unreasonable at all, you try going in for the SAME ISSUE 5x over and over. I don't care if it is covered and we are not paying full price....FIX IT. We dropped off the Jeep again this week left the engine running to show them what the issue is...and 3 days later someone calls and goes...so yeah...can you tell me what the issue is? The Service manager then says ""Next time can you like...leave the engine running when you get here so we can see what the issue is?"" ARE YOU KIDDING ME OR ARE YOU JUST AN IDIOT? Then proceeded to say...look we don't need your business when we asked why after 5x the same issue was happening. 

I find their service super slow and unresponsive as well. It always takes a week for any fixes even small to happen, no one calls when it is done, there are no updates. You have to call directly and ask, to which they say...oh...so and so have gone home so...not sure. So if your advisor has gone home, too bad, you cannot really find out a thing. This is for anything...even an oil change. 

In the end, I find their practice sketchy. I would not buy from here, use their service center or go anywhere near this place. Their dishonesty, lack of service, and incompetence to fix the issue is enough, added onto the ""I don't care"" attitude just tops it off. May karma take care of people like this, especially at tough times like now. If you go here, good luck to you!",1.2
3,"May 15, 2020",I WORK FOR ANOTHER DEALERSHIP DOWN HERE IN SHERMAN AND HAVE BEEN DEALING WITH A TIRE TICKET FOR A MONTH AND DANIEL HAS HELPED ME GET IT WORKED OUT THE LAST TWO TIMES Y'ALL SHOULD GIVE HIM A RAISE,5.0
4,"February 20, 2020","I believe that a blind squirrel will eventually find a nut, and this is how I believe Grapevine CDJR has gotten their 2.8 star average review rating.  I have been searching for a RAM, and saw a couple that interested me, so I submitted an internet inquiry.  I reached out through email to initiate the process, and received an email stating they would have someone contact me.

Jimmie Merriweather was my salesman, and reached out to me with the current advertised price of the truck.  I was expecting a little more conversation on the vehicle and further advertised discounts, so I inquired about a few that were listed.  Jimmie stated that there were no additional discounts available.

Jimmie then inquired what my “out the door” price would be.  I had already gotten the sense that time was not of the essence, due to the fact that responses were extremely late.  I finally provided a low price, figuring it was now time to negotiate in earnest.  Jimmie provides me with a quote for the asking price, plus additional add-ons, raising the price significantly.  I politely thanked him for his time; this was the final contact by Jimmie.  (It's called work; if you want something you have to be willing to work for it.)

I then reached out to the E-Commerce Concierge explaining that I felt my time was wasted, and did not feel they wanted to work very hard for a sale.  She let me know she would pass along my concerns to her manager.  I heard nothing back, and sent her an email asking what her manager’s name was; it has been almost two weeks, and I haven’t received a response.

I work hard for my money, and I would expect those trying to earn my business work just as hard.  I take reviews very seriously, and realize that some people are never satisfied, but when a business receives mediocre reviews consistently across different review platforms, it may be time to heed the warnings.

Fortunately, there are many RAM dealers across the Dallas-Fort Worth area that appreciate the customer, and is willing to take the time and effort to provide a satisfying end result that is beneficial to both parties.
 ",1.0
5,"January 10, 2020","Listen very carefully. I already did the work for you. There is no reason to come here. I already got treated poorly for everybody before me. Please do not make my terrible experience worth nothing. If you come here looking to buy a car, It means that everything I went through was for nothing. Buying a car should be really simple and goals should be met or get a customer as close to that goal as possible. This place wants to ream you and leave you paying the most they can possibly get you. I was at $42K on a 2019 scat pack (stars and stripes) 7.39% email was sent on that invoice that I need to be under $40K and we have a deal. With $20K cash down on the vehicle and there is no way im doing that apr as well. sales rep sent me an email stating. I was able to get the price to $41,750. I did not reply to that email for 2hrs and a second email was sent stating I also negotiated an additional $1K off of the price do we have a deal. The answer is yes please send the Invoice. The invoice was sent for $42,461.44 at 6% Called the sales manager Jay and he was a xxxxx who did not want to sell this car to me because he knew at that point he would not be able to xxxx me on the car. The car has been sitting at that lot for over a year. My offer was fair 5% 20K down 72 months $39,999 OTD. My business credit was pulled and I did not sign a Credit app for that and I will be moving forward with an investigation on that. The app for Business was forged.",1.0
6,"January 03, 2020","I took my JL Wrangler in to Grapevine Dodge, Chrysler, Jeep to get a steering recall fixed.  Supposedly, they fixed that.

I also mentioned when it is below 40 degrees, and at highway speed, the steering only gives 2-3"" of steering before it feels like it hits the post.  This feels very dangerous.  It felt like something was going to break if I forced it past that spot.  I looked online and found others who had experienced the same issue.  The dealership called back, and said they fixed the steering recall issue but were unable to reproduce the cold weather steering issue.  I picked it up the next morning, when it was 20 degrees, and it was doing it again.  There were very few people there at the time, so I went back the following morning when it was again in the 20’s.  I asked for someone to ride with me to see what it was doing.  The tech who fixed the steering recall issue was brought out.  Before we got on the highway, he told me to pull over to the side.  His response to the cold steering issue was to turn the steering wheel all the way to the left, then right 5 times.  (Not a solution).  He said it was because moisture was getting inside, and when it is cold, it freezes, and causes the blockage.  Turning the steering wheel post to post a few times clears that out.  Yes, it prevented the issue on that morning.  But I’m not going to do that every day before I drive my Jeep.  That’s just stupid.  

After driving it over 1000 miles on vacation (including 80+ mph on the highway, and some off-roading), I installed a bull bar.  As soon as I pulled the splash guard off to start the install, I noticed the sway bar link on the driver's side just hanging loose.  It had obviously been removed when it was being serviced for the recall, and never re-attached.

I set up an appointment for them to fix this, and was told my the service advisor that ""Yeah, looks like that came loose.""  Came loose?  No.  It was taken off, and never re-attached.  There would not be a loaner available for another week.  I asked if it would be quick to fix, and I could just wait.  ""No.  That's not a quick fix.""  I know I could do it, and will this afternoon.  I don't have the nice tools and setup they do.  I told them I would leave, and let them know if I could bring it in later.  

""Be careful, and don't make any quick or sharp turns."" 

Really?  It's a shame that they obviously don't care about their customers.  A brand new Jeep has work done by someone who tells a customer to ""turn the wheel all the way to the left and right"" to fix a dangerous issue.  He removes the sway bar link, and just doesn't re-attach it.  And the service advisor thinks it just ""came loose"".  

1. A dangerous steering issue is just ignored.  ""Just turn it all the way to the left.....""
2. A part is disconnected and left loose.  Potentially a huge safety issue.
3. ""Looks like that came loose."" Even though I told him it was done when it was in for service (at their dealership).
4. Be careful driving the vehicle.  It could be dangerous.  And we could fix it in a few minutes, but, no.  You have to leave it for days, and we don't have a loaner available.",2.0
7,"December 30, 2019","Aaron Cameron was very helpful with a 2020 Grand Cherokee. He did everything he could to match a quote I received elsewhere and was very upfront and honest opposed to the typical ""car salesman"" stereotype. I also appreciate him communicating with me via text to save me the drive out to Grapevine. I will keep his information and reach out should I need further help in the future.",5.0
8,"December 20, 2019","They list vehicles prices that are not real, after asking for the final price I was sent a quote including a ""Grapevine protection package"" which is window tint, door edge protectors, wheel locks and a gps tracker for $2.000.
They said this is added as soon as the vehicle is delivered to the store and can't be taken off. So if it is added as soon as they get the vehicle, they already know that the price will increase by $2.000 on every single vehicle. Why not just list the real price instead of luring the people with a false advertising? this is a total waste of time. After you add those 2k, the price won't be competitive compared to other dealers.
Jeep should watch how the dealers are advertising.

I would expect the usual reply with an email to contact them with any concern, they should be the ones concerned. I should have read all the 1-star reviews before.",1.0
9,"October 13, 2019","Worked with Aaron Cameron in new car sales. My husband and I were not sure about what grand cherokee would work to fit in our budget. He explained the different choices and showed us the vehicle that would meet our needs and help keep is within our budget! He made the process painless and super easy. Highly recommend working with Aaron, he will listen to you and make sure you feel comfortable with your purchase. ",5.0
