,Date,Reviews,Ratings
0,"February 27, 2020",I just bought a used 1500. Second time purchasing from them. Very disappointed they sold me a rental truck without telling me it was a rental. No call back from salesman or manager. Will not be going back. Expect them to take the truck back,2.0
1,"January 26, 2020","I called with a problem with my transmission ,Bryce said bring it in we have a truck you can use till we check it out this was a Friday afternoon they know I make a living out of my truck, Jesse came out checked on what his computer said they would need to check it out hopefully not to major had truck ready Tuesday appreciate the use of the truck and the quick return of mine",5.0
2,"January 21, 2020",Let me know cost and progress of the work that was needed.  Courtesy of the staff very much appreciated.  Completed work in a timely manor,5.0
3,"January 21, 2020","Disappointed in the service I received. When I arrived the guy was too busy on the phone had me standing for about 15 minutes until he finally asked me to sit. The 2 customers who were behind me seemed to be regular customers and were pushed in line in front of me, my car was finished and parked in the front and I waited for someone to come talk to me and I had to approach the front and tell them my car was ready. I used a coupon that was oil service and tire Rotation, since I was in a hurry the gentleman didn’t even acknowledge the fact that I used a coupon and he didn’t validate everything that it was offering. He didn’t explain any of e notes that they found in the inspection nor did he offer or try to advise me in what they could to fix the issues and how much it would cost. Not going back ",1.0
4,"January 19, 2020",First time we went there!It was a tough decision to make but we're satisfied with our vehicle.Thank you for helping us with our purchase.Very friendly and courteous.,5.0
5,"January 19, 2020",Thoroughly enjoyed my experience! Everyone was extremely courteous and gracious. I would highly recommend Allways Atascosa to anyone looking to purchase their next truck! Thanks!,5.0
6,"January 16, 2020"," Needed a new key fob for vehicle . 1st trip, no fob ordered!  2nd trip, machine to do work not there. Took 3 days to finish! ",1.0
7,"January 16, 2020","Fast, Pleasant service. Attendant was quick to get me in and out. He explained what was wrong and what they were doing to fix it. ",5.0
8,"January 16, 2020",They provide Super service. They’re knowledgeable and friendly and very professional. I’m a widow and I trust my service writer to take care of me. ,5.0
9,"January 16, 2020","Great service with a professional experience and quick out door appointments.  Took care of my warranty issue and had great experience with dealership.  I will return.
",5.0
10,"January 12, 2020",I have taken both our Pacifica and the Dakota in and I have never been disappointed in the service and the people who work in the service department.  I usually have to wait on the vehicle and they are very good at keeping me updated as to what is going on and how much more time it'll be (which has never been too long).,5.0
11,"January 11, 2020",Best place to buy a vehicle in South Texas!!! Ask for Bryce Jupe and he will get you in your dream truck and make sure you get the best  deal!! ,5.0
12,"January 10, 2020",We had superb service at Allways Atascosa Dodge.  Eric went above and beyond and even waited for us after closing hours. Amazing service all around! ,5.0
13,"January 10, 2020","This dealership has come a long way. I used them years ago and said I wasn't going back. Although, I bought another Dodge so wanted to give them another chance. I am glad I chose to use the service department again. Jesse has definitely made all the service I have had done easy. ",5.0
14,"January 10, 2020",Great service! Amazing price on my 2018 Jeep Wrangler Unlimited. Altogether the process was straightforward and all staff I encountered were very honest and helpful. ,5.0
15,"January 04, 2020",Had two vehicles to get inspected and they got them right in and out for me. I get all my service work done there and Jesse is always pleasant and friendly. I don’t see me going anywhere else. ,5.0
16,"January 04, 2020",Defined would recommend this dealership if your looking for affordable cars!!  And understanding salesmen they worked with me and helping me find the car I was looking for and the price I wanted!!!,5.0
17,"January 04, 2020","The guys in service were so great. I’m from out of town, they worked me in and I was out in a half day",5.0
18,"January 04, 2020","Were very prompt and curtious ,and got me in and out  right away ,also called back and explained repairs, dealership was waiting room was very clean ",4.0
19,"January 04, 2020",Everyone was very helpful. Charlie and especially Emilio. I explained what I wanted and what my price was and he gave me several options. Great experience and love my new car. ,5.0
20,"January 04, 2020",Everything went well with all the recalls. Truck is running well. Service department assisted me in getting all recalls done within a week . Thank you  for your great service,5.0
21,"January 03, 2020","Jesse was great, prompt and attentive.  Quick and efficient in and out. Def recommend. Wish I did not have to write so many words on Thus review lol",5.0
22,"December 31, 2019","Called every dealer in SA and was having a hard time finding one that would install a MOPAR electronic trailer brake controller in the dash of my RAM 1500. I was very pleased when I called Allways and not only did they know what I was asking for, they had one in stock and could fit me in two business days later.  Very pleased, I would definitely use them again for dealer service needs. ",5.0
23,"December 28, 2019",They go above and beyond to insure that you are getting exactly what you want and there are absolutely no surprises even delivered the truck to  me! ,5.0
24,"December 27, 2019",Needed an oil change and rotation. But also had concern about noisy mirrors. Joey greeted me by name and a handshake. Kept me informed during service. Mirrors were a known issue so he ordered and will take truck back for install. I actually look forward to doing so. ,5.0
25,"December 27, 2019",I ordered my 3500 truck with Chase. He was awesome the whole way through..not pushy and he knew all the bells and whistles on the truck. He even delivered it to me and spent several hours walking me through the technology. I highly recommend Chase and the owner Pat.,5.0
26,"December 26, 2019",It was a great experience working with Bryce.   He was knowable on the vehicle and was able to track down exactly what I was looking for.   ,5.0
27,"December 25, 2019","Best service experience ever, I used to service my vehicle at Northstar that place is horrible 
It’s worth the nice drive out to atascosa dodge 
the people are great the environment is great 
What more can you ask for.. 5 🌟🌟🌟🌟🌟",5.0
28,"December 25, 2019","There expertise,  friendly service. and professionalism. They got me what I wanted. Very well pleased. I would recommend to my friends and relatives. Thank you.",5.0
29,"December 21, 2019",I did not have a tire lug security socket for my custom wheels. The mechanic searched the shop until he found one that would work,5.0
30,"December 21, 2019","Right before Christmas, on a Friday,  and my engine light comes on.
I expected them to be too busy with holiday travelers but they fit me  and had the necessary parts in stock to do the repair.   Thank you and Merry Christmas!",5.0
31,"December 19, 2019","Had my oil changed, tires rotated, and inspection done. Jesse was very polite and professional as always. Waiting room has cold bottled water, snacks, and good tv shows to watch. I love taking my Jeep there. ",5.0
32,"December 19, 2019",I worked with Joey at the service desk. My appointment was at 9am.  He told me it would be done at 11am. At 11:02 I was driving off the lot. Can’t beat the service ,5.0
33,"December 18, 2019","I was extremely upset with the High price that I was quoted  for a complete brake job. I was quoted a reasonable fee at IPAC and the labor cost here was doubled. I went ahead and let them do the front brakes but after taking my truck to Brake Check, found out that they did not resurface the rotors on the front. Not did they offer any warranty on the brake pads. I do urge folks to not use them for service unless it is warranty work. Buyer beware!!!",1.0
34,"December 18, 2019",Mike Booth and his team always takes great car of me and my family. I always like purchasing from Small City dealerships..feels like family.,5.0
35,"December 18, 2019",Wanted an accessory added to my truck and they did the job in one day and provided me a loaner truck.  The price was also very fair and competitive with other vendors.,5.0
