,Date,Reviews,Ratings
0,"June 25, 2020",Theresa did a good job. need to protect with mask and gloves. awaiting dealer to offer to lower my interest rate on jeep. no offer,4.6
1,"June 22, 2020",Friendly and knowledgeable employee's. Clean facility. Good attention to customer's needs and requests. Very accurate estimate for labor and time to complete the work.,5.0
2,"June 17, 2020",Awesome! We had to leave my car for a few days but Theresa kept me up to date on everything!! Theresa is a gem!! Thanks for taking care of our mechanical needs!!,5.0
3,"June 17, 2020",Teresa did a great job and got my truck repaired quickly. The service dept at this dealership always does a great job. Thank you Teresa. ,5.0
4,"June 16, 2020",The Management team and the salesman were very professional. They had an issue with the trade-in and they handled it professionally as expected. I will be using them in any future purchases.,4.8
5,"June 15, 2020","They have always been very helpful with very little wait time when we're there, hoping to do more business with then at a later date for our next vehicle. ",5.0
6,"June 15, 2020",I have purchased several new vehicles over the years and I do believe that this was the best purchasing experience that I have ever had. In the future they will be the first place I will look to purchase another new vehicle when the need arrives. ,5.0
7,"June 12, 2020","Easy and quick , nice staff and excellent service , sales staff was great they got me in and out without taking op my time . Will recommend ",5.0
8,"June 10, 2020",They seem to care about the people that buy from them not like this one in Conroe. I will use them now till they are die.,5.0
9,"June 10, 2020",They have always treated me like I was their only customer. They always greet me by my name and always ask how my wife and son are doing. ,5.0
10,"June 09, 2020",The service Dept is always very professional and attentive to our service needs! Theresa is very helpful and a jewel to deal with! We appreciate you!,5.0
11,"June 08, 2020",I just want to say that the service department and the parts department are absolutely awesome! Brandi and Lisa are the best!! Amazingly helpful and knowledgeable!!! Thanks again!!,5.0
12,"June 08, 2020","I don't really enjoy buying new trucks, but Herman made the experience as painless as possible.  He listened to me and work the deal within the parameters I set. He answered my questions with answers not more questions and he treated me will respect.  All of which I greatly appreciate.  ",4.0
13,"June 02, 2020","Brandi is the best! Most informative and helpful!! Very professional and knowledgeable! Wouldn’t want to deal with anyone else!!! She makes an otherwise pain in the butt a pleasurable experience! 
Lance Mize. 
Thanks again! ",5.0
14,"May 27, 2020","We love this dealership! Always clean, everyone is friendly. They know you by name when you go in.  We will always take our Durango there.",5.0
15,"May 25, 2020","Excellent service! Met the price and needs I had and delivered vehicle 30 miles! Definitely recommend! I was able to perform almost all of the transaction over the phone and online, the sales team worked and gave me the highest value for my trade and were able to beet the price of much larger volume dealers in my area! Would definitely go back to them for future vehicles! 10/10 recommend. ",5.0
16,"May 24, 2020",Outstanding dealership with the best employees on the planet!  They go above and beyond to help you out whether it is buying a new vehicle or the service department. ,5.0
17,"May 19, 2020",This is our 4th work truck we have purchased in less than 12 months. Great friendly service. Cameron has assisted us on all 4 purchases. We plan on purchasing 1 more before the end if the year.,5.0
18,"May 18, 2020",David and your staff worked tirelessly with us to overcome obstacles to enable us to leave in the vehicle the day we visited.  I appreciate all the patience and extra effort you made to make this purchase a success.,5.0
19,"May 18, 2020",I have been taking Mr. Wobble to Liberty/Chrysler Jeep for years.  I absolutely LOVE every person I come into contact there. They go above and beyond trying to help you.,5.0
20,"May 16, 2020",Very unprofessional. Not customer friendly. No explanation of work performed. Didn’t clean my truck like other dealerships do. Will try to not take my truck back there. ,1.0
21,"May 15, 2020",Had to return the next day to have oil change and tire rotation that was not accomplished the first day.  Very unhappy that my seat settings were totally changed.  Radio was changed but could have been an accident.  Steering wheel position was changed.  My seat was even lowered to the bottom position.  I understand moving seat back.  They are only driving 200 yards.  My seat adjustment is all mechanical not electric.,4.0
22,"May 13, 2020",Awesome service. Cameron was very nice and stayed two hours after closing to help. Other staff were also helpful. Definitely would recommend. Thank you all. ,5.0
23,"May 13, 2020",Had an oil change.  Great service with a very friendly staff.   Always very helpful and welcoming.  They recommended future maintenance items with no pressure.   I will be back!,4.8
24,"May 11, 2020","Very good experience.  They had a truck in stock, work  out a deal, got the truck ready, and then spent time going over the controls and how to use the equipment. 
",5.0
25,"May 11, 2020","Detailed inspection finally located problem and fixed it. It was a coolleak around the timing chain gasket tthat was running off the back of the engine

 ",4.0
26,"May 10, 2020","Cameron is always amazing
We have bought 8 cars from there and would return if we ever need another one 
Best dealership in Texas period",5.0
27,"May 08, 2020",The very best experience I have ever had buying a vehicle..Great Salesmen no pressure very up front and honest and a awesome price very pleased 👍,5.0
28,"May 07, 2020","The individuals I deal with are very helpful and kind. But, I don’t understand why it has taken 4 months to replace my remote fob for my 2019 Dodge Ram 2500. I have been doing business with this dealership for 20 years and have purchased 4 trucks during that time. I purchased the extended warranty for this truck and the remote fob was lost. The warranty covers the cost. I know for a fact that there are two fobs per new truck  on that parking lot. Why can’t you give me one of them and replace it with The one that has been on order for the last 4 months. Your actions with this subject determines  my future business with this dealership. This is not a threat, it’s just a fact. Im wishing to do another 20 years business with your dealership. Thank you, Daniel Thomas",5.0
29,"May 05, 2020",All of the staff @ Liberty/Dayton Dodge were very helpful and friendly! My truck buying experience was very pleasent and enjoyable! a great selection of the best trucks on the road today!,5.0
30,"May 04, 2020","Great service, Josh Chason was simply awesome. He brought the truck to me to test drive and also delivered it and signed all at home. ",5.0
31,"May 01, 2020","Excellent service all around. From the moment that I stepped on the lot there was nothing but kind, curious, and professionalism. They gave me a heck of a deal when others said there was nothing that we can do. I will shop at Liberty-Dayton Chrysler for the rest of my life. ",5.0
32,"May 01, 2020","Awesome Dealership!!! We are Repeat Customers for over 30 yrs!  You won’t find better Sales and Service Dept.’s  Anywhere!  Love these Guys! Give Them A Try, you won’t be Disappointed!!❤️❤️",5.0
33,"April 30, 2020",GREAT service and sales department! Everyone is friendly and helpful.  They keep you informed step by step whether you are buying a new vehicle or there for service/repairs,5.0
34,"April 29, 2020",Brandi in the service dept is so helpful and very nice every time I come in or call. They work on my vechile and do my oil change ,5.0
35,"April 29, 2020",Poor craftsmanship and poor communication as well as poor professionals from top to bottom even after they didn’t tighten all of my lug nuts after a tire rotation and my entire wheel came off while driving home ,1.0
36,"April 29, 2020",Great people to work with I was please with their services. That place runs like a well maintained dealership. I was pleased to see that during this time of a global pandemic.,5.0
37,"April 27, 2020",I was early for my appointment and the service writer talked to the tech he went ahead and knocked out my recall early. They are always very helpful and easy to work with.,5.0
38,"April 27, 2020","i was very pleased with the service dept""

excellent service friendly people would recommend to anyone for service are sales needs they took me right in and took care of .my problem even with everything going on.",4.2
39,"April 27, 2020","I received excellent service from this dealership. I used to go to Texan Dodge and purchased my current truck from Texan Dodge, but from now on, I will use the Liberty Dodge dealership because of the great service that I received there. I brought it to the dealership for two recalls as well as an airbag light that keeps coming on. Liberty Dealership did not charge me a dime to look at my vehicle and kept in touch with me as far as updates and called me immediately when my vehicle was ready to be picked up. Thank you. ",5.0
40,"April 17, 2020",Everyone at the dealership is alway so friendly and courteous from the sales department to service and the office.  We will alway but from them ,5.0
41,"April 17, 2020",I have been very satisfied with Liberty Dayton Chrysler I have been buying trucks from them for 5 years and the service has always been top knoch. I had one of my company trucks that broke down in Georgia and they could not figure what was wrong with it so I sent it to Liberty and the had it going in 2 days .They always take care of us @ Speed Field Services  ,5.0
42,"April 17, 2020","Very professional and timely with new truck deal!    Always a great experience, either with a new deal or maintenance!   Local dealer!   Overall a great experience and a great team!!",5.0
43,"April 16, 2020",The service department was very quick and the process was very easy. They kept me informed on the amount of time left on my visit and they were quick to offer me and inform me on things that I needed that I was unaware of.,5.0
44,"April 16, 2020","Always a pleasure  and professional experience when I need to get my vehicles attended to, regret not buying from here, just did not have the truck I was looking for, but will shop there first in the future. ",5.0
45,"April 09, 2020",My experience was outstanding at liberty Dayton Chrysler. They made me feel welcomed and listened to my wants and needs. I would recommend them to anyone. ,5.0
46,"April 03, 2020",They were easy to communicate with and made the buying process very simple. The truck was super clean when I got there from 3 hours away and I was in and out within an hour! Good Job!,5.0
47,"March 25, 2020","The service manager took my truck in as soon as I arrived, and told me they would call with an update as soon as they had checked it out.  I am very pleased with their service personnel and with the work they did.",5.0
48,"March 23, 2020",Excellent  customer service from the attentive and informed lady that attended to me. I can’t remember her name now but she made me fulfilled.,1.0
49,"March 20, 2020",great service and great people--keep hiring good people to take care of us seniors who are not computer literate --highly recommended and will always do business at this location,5.0
50,"March 18, 2020","The staff at this dealership are very courteous, although we have closer dealerships near Huffman, we will pass. This smaller dealership in the country, beats the big city boys any day and yes it’s worth the drive. ",5.0
51,"March 18, 2020",Experience with the service writer was seem less and wonderful. Tech did a great job and have had no issues with work done. Always a pleasure to deal with!,5.0
52,"March 14, 2020",Wonderful experience. Went above and beyond what I was expecting. Came out with a excellent vehicle suitable for my needs and within my price range. Appreciate it Cameron 🤘🏼,5.0
53,"March 12, 2020","Friendly, quality service, the service dept did everything I asked them to do, engine oil and oil filter, flush cooling system and replace engine coolant, it's all good.",5.0
54,"March 11, 2020",This is a great dealership to have your vehicle service work done.I am very happy with the excellent work done and will return for next service. ,5.0
55,"March 11, 2020",Fast friendly dealership. Unfortunately I still have vibration issue when highway driving. Was told they couldn't find out even didn't feel the problem. Truck had less than 15000 miles and shouldn't have issues. ,4.0
56,"March 11, 2020",Took care of all my needs in one visit. Service adviser keep me updated through out the entire process made me feel special. All the employees that walk through spoke and were very friendly. ,5.0
57,"March 11, 2020",We Love Liberty Dayton Dodge.. There the Best. We have bought our Last two trucks from them.  They are quick with getting you in and out from picking our truck and taking it home.. Wouldn't go anywhere else..,5.0
58,"June 18, 2019","When other dealers failed to understand my need... When other dealers failed to get right on my trade... When other dealers tried to scale back and give less but still ask more. 
When other dealers (LARGER DEALERS) who boast about being # 1 in customer service but forgot to call the customer back or listen to what you need.... 
Then you NEED Liberty Dayton Chrysler and Cameron... You know what you need them from the start! 
I work long hours six to seven days a week and really didn’t have time to take an ENTIRE day off and deal with the nightmare of sitting all day at a dealership. I tried 5, yes FIVE other dealers in the Beaumont and surrounding areas before someone connected me with the owner of LDC... I spoke, to the OWNER for nearly 1/2 hour about a host of things before we hung up the phone. He assured me that he would put his best man on the job and he did just that! Cameron called me that afternoon got details of my situation and used that information to pick the PERFECT Ram for me. I mean exactly what I had in mind. From a phone call y’all!!! 
They did what five others claimed was impossible! 
I arrived early (technically before normal business hours) the next business day and observed a man shining up my dream truck. That man wasn’t a porter, it was Cameron! He trained me on ALL the features of my 2019 Ram. I was so well informed that I just finished training a friend in Baton Rouge who purchased his Ram weeks ago and still trying to figure it all out. 
Folks. You WILL NOT go wrong if you take the drive out to Liberty for your next vehicle! 
The customer service is real and not just an ad slogan with them. 
If you buy anywhere else you payed too much and wasn’t treated like you deserve to be. 
This has been the BEST vehicle purchasing experience of my life! 
OUTSTANDING!!! 10 ??",5.0
59,"December 05, 2018","I am so sad and depressed about my experience with this dealership. I am left feeling so played and defeated because I am a women and now the service manager is being so rude. My car ran hot on my on Nov 6 I decided to bring my car to my local Dodge to make sure the repairs would be do properly especially because I have a 5.7L. I soo regret this decision now. Brandi the service advisor keep me up to date with information and I wrote down everything she told me every time she called. First I was told I needed a new radiator which I expected and that was going to cost my about 1200 dollars and I agreed to it. Then the next day she called me and said that coolant was leaking into my 3rd cylinder and it would be 600 dollars to diagnosis because of the labor. I agreed to that as well. Then she called me and said that I need a right and left head gasket, new value covers, and spark plug seals. I wrote all this down.I still have the paper!! She said it would be 2625 dollars. Anyways I reluctantly agreed to the repair because I still have a loan on this car and I would be upside down on a trade in. I should have known something was suspicious when my car was ready the same day after a head gasket repair.  I am a nurse by trade so I don't know any thing about cars but when I google a head gasket repair it usually take 3 or more days. But I still picked my car up only to find out that its still broke. The coolant is boiling in the radiator reservoir.  I took it right back. They said that it was a thermostat problem and they fixed the thermostat for free. 2 days later the same thing, coolant boiling but now my check engine light is on with code P0303 which is a misfire in cylinder 3. The same cylinder that was leaking coolant into it! So I go back to the dealership and the service manager is saying that not only did they never change my head gaskets they also never said that I had coolant leaking into my 3rd cylinder.  I'm no looking over my receipts and I don't know what to make of all this. I had to take out loans to get this repair done and now I don't have money to do anything else. I am a single mother of 3 kids and its the holidays. This just sucks. Don't bring you car here. Don't buy Dodge period.",1.0
60,"January 17, 2017",I brought my Dodge 2500 in for a recall. Everyone was very friendly and professional. To my surprise I got my truck back in the same day. I would recommend this dealership to anyone who needs service work done. 😁,5.0
61,"June 27, 2015","Looked up car on the Internet, found what I wanted.  Went to dealership, car was still on lot.  Had trouble with my finance company, so dealership held my car till I could get it straightend out. Lucille was great she explained everything to a T.  Papa even did a grat job detailing my car before I came to pick it up.",5.0
62,"April 15, 2015","Over Easter weekend my 2014 Avenger started to develop a major oil leak (due to a third party oil change breaking something).  The service department was very pleasant to deal with.  They were able to determine what was wrong and get it fixed in just 1 day.  I then asked them to look at something 2 other dealerships (including the one I bought it from) had said nothing could be done(severe road noise coming in from the driver side door seal).  They found the issue and replaced the gaskets on the door.  This took an extra day, but was well worth it.  When it was all said and done, I was out nothing (as covered by warranty), and have a great experience with them.  If that is an example of their service, I will drive an hour to deal with them compared to the 3 dealerships I live near.  The closest one to me is a NIGHTMARE and I would never go to due to extremely poor customer service!
",5.0
63,"February 04, 2014",Worst service department in America. Brought my truck specifically for rear end work. A week later I get a call about an exhaust leak and brakes needed. They hadn't even looked at the rear end yet. Wouldn't call me and update me and wanted to $2000 for the work and $700 not to do the work. They are literally thieves. Special place in xxxx for these clowns.,1.0
64,"November 09, 2012","I ordered a new vehicle from liberty dayton dodge, waited 6 weeks for it to come in. when it arrived I traded in my truck and was asked to leave a programmer in my old truck for a few days then I could come and pick it up. As I arrived to pick up my personal property I was told it was missing , and they were not sure it was ever even there. Being that the car salesmen ( Cameron) saw it in the truck. I asked what happend. They said it just dissapeared and i was out $500 and there was nothing i could do about it. The man that owns 75% of the company didnt even have the courage to answer the phone. You would figure after spending 45K on a truck they would treat you with respect, but I guessed wrong. Never again well me nor anyone in my family give these worthless pigs a penny out of pocket.",1.6
65,"March 24, 2012",This was the most knowledgeable and friendly staff.  The whole process from beginning to end was pleasant.  Would definitely recommend a friend and return for my next car purchase.,5.0
66,"March 20, 2012",Came in and told Dustin what I wanted and within minutes he had the car that I was looking for pulled up to the door. After the test drive Dustin and Mike worked to get me THAT car at a payment that worked for me.  If you are looking for a new car then go see this guy.,5.0
