,Date,Reviews,Ratings
0,"April 11, 2020","Purchased $65,000.00 vehicle 4 years ago.  Have done all our service since.  This week dropped the ball big time on ""showroom ready"" car wash for over $150.00 that had to be redone and still able to wipe dirt of wheel wells.  Very dissatisfied with efforts to retain loyal customer.  Our intentions to keep their service employees in work during this pandemic was a mistake.   Do not utilize their car wash services at all!
Gene & Rhonda Evans
04/11/20",1.0
1,"January 29, 2020","Bought a vehicle from them had it 2 months and it has been in 3 different shops due to the ""Death Wobble and Death Sway"".  Sadly they could not fix their own vehicle that they sold to me after having 4 chances to try. They got mad when I said I was bringing my lawyer into it and they kicked us out of the dealership along with my broken down vehicle. It took 3 dealerships to finally get it fixed. How sad that they do not own up to their mistakes. This could have been easily taken care of. I put a good down payment on it and did the extended warranty. They charged me the downpayment for the warranty to fix the Lemon that they sold. They will screw you over just to get money. DO NOT BUY FROM THEM.

Nikki Padilla",1.0
2,"January 10, 2020","Muy buena experiencia, atienden super bien, la vendedora Leslie muy amable y servicial, y muy buenos descuentos en carros nuevos.
Me encanta mi Jeep compass 2020 y recomiendo este dealer, si buscas un carro nuevo",5.0
3,"November 20, 2019","I found a car online through Autotrader and checked it on their website. I called the dealership first thing in the morning (9am) Saturday and got a salesman (either called DJ or JD not sure). I asked him to confirm the price and that they had it in stock still, he said he'd check and call me back. About an hour later I got a call back to confirm they had the car (in fact it was still wrapped in plastic) and that the price was good. I asked for an out the door price and he said he'd get back to me. After that I heard nothing. I called him about noon and was told he was too busy to speak to me but I could leave a message, which I did. No call back at all. Around 1pm I decide to drive over since I couldn't get hold of him so I take the hour long drive to the dealership. I arrive and DJ/JD shows me to his office and asks me to wait a moment. That's the last time we see that guy, he stayed hidden in the sales office for the rest of our time there. He sends in a ""sales manager"" who says the price online is wrong, there is no dealer discount on the car but maybe I'd like to look at it? Well that was a waste of a day. What's worse? It's now Sunday, and they STILL haven't fixed the price on their website, what a coincidence... I thought most of these cheap car dealer tricks were a thing of the past with the advent of internet competition, but apparently not.",1.2
4,"June 05, 2019","Great experience tonight with 2 great guys ( Brentley & Obed), both worked hard to get us the best deal.  Would recommend to all my friends and family.",5.0
5,"March 29, 2019",Brently chaves is a awesome salesman! he's very friendly and patient he goes above and beyond for his customers. He worked with me and husband and helped us get into a 2018 dodge journey. If you're looking for great customer service I definitely recommend seeing brently Chaves ,5.0
6,"March 19, 2019",They sold me a lemon! Basedon my credit I was told there was only 1 vehicle I qualify for 2017 jeep renegade. At 30000 miles transmission started doing hard shift at 30 moh. After a number if times in service they simply said they coukd not duplicate even thougha known issue. Now at 40000 miles the car burns up all the oil before the 5000 interval and im told its normal. Clearly Ive been taken advantage of. Thankfully I found dealership in Pasadena willing to do fuel consumption test. I will NEVER buy Chrysler dodge jeepor anything. Never had a problem with nissan or toyota ,1.0
7,"September 15, 2018","My sales rep., Roger Guerra, was very patient and friendly, throughout the whole process. He showed me their inventory and gave options for my budget range.",5.0
8,"July 29, 2018","Roger Guerra, my salesman, made this an excellent buying experience. He was knowledgeable, very personable, and I purchased exactly what I wanted with no hassle. Would highly recommend him as well as the dealer for a car purchase. Thank you Roger for such a pleasurable experience!!",5.0
9,"July 18, 2018","There is not enough words to explain what has happen to me. Find a place that has some  integrity , values and understanding this company don’t have nothing but lies. ",1.2
