,Date,Reviews,Ratings
0,"May 06, 2019",Had been looking for truck for weeks. Went my closest dealer with the printout of the truck I wanted and where it was located. The sales manager told me if I didn't want the similar truck at his dealer he couldn't help me then he walked away. I called Elder and told salesman Oliver Beltran what wanted and here it was. Oliver called me back in a few hours and told me that truck will be at his dealer in morning and he would have everything ready to sign Worked with Mandy in business office and she was  great also. ,5.0
1,"October 15, 2018","I purchased a pre-owned from Elder, Alexis Johnson and Forrest Elder are the BEST at customer service ! The truck was exactly what I was looking for and at a very good price . Alexis made sure that my buying experience was that of what I receive from the luxury dealers in Dallas. Bringing my vehicle and paper work to me in another town was A+++++++. Thanks Alexis.    ",5.0
2,"August 15, 2017","I found this dealership through the Ram website. They had the exact vehicle I was interested in. I was contacted by Internet manager-Kris who answered my questions and set up an appointment. 
I drove 124 miles to get there. On my arrival, Salesman-JT was waiting on me. We took a test drive and he was able to answer all my questions.

JT got the deal I wanted. I met both of the Mr. Elder's who treated my like I was an old friend. 

When its time for another Ram, I'll be back!",5.0
3,"July 02, 2015","I have bought many vehicles, by far this is was the best experience I've had.  There's absolutely no pressure they talk to you like your family and sales staff was very polite.  Hayden Elder is like  no other owner I've ever met.  I will gladly drive another two hours for my next vehicle. ",5.0
4,"October 13, 2014",They WANT to get you in a vehicle! They will work with you and make sure you are happy! They are a great place and I will always reccomend them!,4.8
5,"September 22, 2014","I live in a small town with 3 dealerships. I have bought a new car from each. My purchase last week was by far the best! I walked in at 2pm and left 2 hours later with my new truck! My salesman Stephen was great! Friendly, knowledgable and made the process effortless. I needed to go pick my son up from football practice and one of the managers handed me the keys to his personal vehicle and said ""we will have you ready to go as soon as you get back."" Sure enough 20 mins later my new ride was ready to go! My other purchase experiences at ""other"" dealerships were terrible....xxxx I felt like it took an ENTIRE day to buy a car! Elder dodge has a new life long customer! Efficient, friendly, and I got a great price for my trade and on my new ride! Thank you to everyone at Elder's for a great experience! ",5.0
6,"September 21, 2014",This was the best car buying experience to date! Service was great and personal and stress free! I was treated as if I was the only person there to purchase are car although I was indeed not. I never felt rushed or hassled at any point in time. Amazing!!!    ,5.0
7,"September 06, 2014","I already knew what type of vehicle I wanted and I did a website search for it. Elder Dodge had exactly what I was wanting. I talked to several people that lived in Athens and all their responses where excellent. I called and spoke with Stephen Magee and he was very patient and attentive to my wants, needs, expectations and even my work schedule. We worked out the rough details on the phone before I drove 45 minutes to the dealership. Once we arrived we were greeted immediately with smiles and hello's. At no point did we ever feel pressured. The deal went smoothly and we were treated like we were the only ones they cared about. Thank you to all of them for our experience and there family type atmosphere. I would also like to add that there website was very user friendly!!

Thanks again

Greg and Morgan Kerr ",5.0
8,"August 15, 2014",I traded my compact for an SUV and received an excellent value! Stephen worked with me and found a vehicle that would suit my needs without wrecking my budget! We reviewed a couple of different models and found the ideal solution to keep payments within my budget.  Hats off to Stephen! Thanks!,5.0
9,"July 19, 2014","I would recommend Elder Dodge to anyone , we got the truck and the deal we needed , finding the vehicle we wanted and financing was done in a timely manner.",5.0
10,"January 09, 2014","Stephen MaGee is a awesome asset to your dealership. Super friendly and very knowledgeable of the product he is selling. The finance office is wonderful also, very helpful and answered any question's that we had. We will be back for our next new vehicle. ",5.0
11,"January 05, 2014","I went to Elder Dodge to look at purchasing a Jeep Patriot.  Stephen Magee helped me with the Jeep Patriot.  He was very nice and helpful and the best part was no ""hard sell"" tactics.  Everyone at the dealership were very nice and friendly.  I would definitely go back to Elder for another vehicle.  ",4.8
12,"December 31, 2013","My husband and I visited this dealership to look at a Jeep. Although our circumstances changed and we ended going in a different direction, I wholeheartedly recommend working with the team at Elder, particularly Stephen Magee. He responded to our questions promptly and went out of his way to help us. He was very knowledgeable and friendly without being pushy at all. I do hope to have the opportunity to work with Stephen and the folks at Elder in the future.",5.0
13,"December 29, 2013","Keven came  to meet us, was very friendly and knowledgable and helped us with the application for a new car. He also talked to us about a used car. He made both of us very comfortable during our time there. The payments were higher than we felt comfortable with so therefore we declined to buy a car at this time. Would like to have keven again when we return at a later time, if possible.....Thanks.....Sincerely, Larry and Gwen Lamp",4.6
14,"December 27, 2013","They were very friendly, courteous  and helpful. They did not push any one particular car. He was very knowledgeable about the cars, and when he did not know about a certain vehicle he was very honest about it. ",5.0
15,"December 20, 2013",I have been buying from the Elder since 2009 and no longer even look anywhere else. Kevin is an excellent salesman who will go out of his way to work with you. They give a fair price on your trade and don't try to gouge you on the vehicle you are buying.,5.0
16,"December 13, 2013",Nice home town people. Everyone seemed to be nice and went out of their way to make me happy. Andrew was a very nice young man and showed me a great amount of respect. ,4.4
17,"November 30, 2013","Enjoyed the experience of a ""Business"" Transaction - Keven is a No-Nonsense Professional who appreciated the value of my trade-in - maintained the balance of staying in touch but not pushy.  Mr. Elder's interaction helps you feel you are getting the best deal possible, not just for show.  No ""oh by the ways"" at closing - just $'s for ""Drive-out with a Full Tank of Gas"".",5.0
18,"November 21, 2013","Beyond my expectations!  Thank you for the amazing service we received.  We will buy all our cars from Tim Powell at Elder Dodge in Athens. 
Great experience.  Thank you again ",5.0
19,"November 08, 2013","Very helpful.Lead me to make the decision of buying a new vehichle instead of getting a used. would buy agin from them any time. And gave me a great dill on the car. 
",5.0
20,"October 17, 2013","Was in the market for a Ram 2500 and after spending hours online looking through inventories at several dealerships, I found one in stock here that fit the bill.  I took off work to make the 1.5 hour drive from Frisco to look at it and was sold on the spot, but that was the easy part.  I've purchased many vehicles, but none of my previous experiences came even close to this one.  By far the best service I've ever had and it was worth every minute of the drive.  The staff makes you feel at home and very appreciated, and growing up in a small town, I felt at home.  The owner even dropped by to say a few words.  Many companies can take a lesson from these guys.  I will even continue to make the drive to have the servicing done by this team and will be a customer for life.",5.0
21,"October 01, 2013",LOVE Elder Dodge. 2nd vehicle purchase & couldn't be happier. Alex in service dept & Mike Trevino in svc. dept are 2 of the nicest guys & go 110% for customer. New car or having an older one serviced this Dealer is the best. Hayden Elder is always on hand & lets you know you are appreciated. Highly recommend Elder Dodge in Athens Texas. I won't do business with anyone else. ,5.0
22,"September 23, 2013","WE HAVE BEEN LOYAL CUSTOMERS OF THIS DEALERSHIP FOR THE LAST TWELVE YEARS.
MY HUSBAND IS VERY HARD TO PLEASE.TIM IS AN EXCELLENT SALESMAN, AND THE SERVICE DEPARTMENT IS A GREAT HELP.
ALEX HAS BEEN OUR SERVICE REP. FOR AS LONG AS I CAN REMEMBER .THIS IS THE EIGHTH TRUCK WE HAVE PURCHASED. MY HUSBAND LIKES TO MAKE SURE WE HAVE DEPENDABLE VEHICLES,FOR MYSELF AND OR SON. WE HAVE HAD VERY FEW NEGATIVE EXPERIENCES. WOULD RECOMMEND THIS DEALERSHIP TO ANYONE, AND TRUST ME WE DO.
  
   ",4.8
23,"September 07, 2013","In my first experience with buying a truck for personal and business use Kevin Cruz, Elder Dodge, and their whole team were on the mark of perfection. I told them exactly what I was looking for and they exceeded expectations. Kevin went above and beyond to get the deal done and he moved promptly just like I needed. They did not ride the negotiation process out like a lot of dealerships and salesman. Kevin and his whole team were super friendly and they are in the customer service business not just the car business. They build relationships and add value to your experience. Thank you Kevin and Elder Dodge for a great experience and a great vehicle!! I will be back to see you again!!",5.0
24,"September 06, 2013","Very friendly and answered all my questions.  The sales person was very patient at showing me all about the Jeep I choose, and said I could come back anytime if I need to know more about the vehicle.  Very Nice!

",5.0
