,Date,Reviews,Ratings
0,"December 25, 2019","




My Subaru has many problems now. Service inept and sell me things that don't fix the problem. Almost as if they are rolling the dice at my expense. If the computer can’t give them a code they understand, problem will never be fixed. Why? Because they are not professional mechanics!
They don’t fix anything, they just replace things and hope it’s the right item. Then plug the computer and read code again. I ended up going to a real professional mechanic, it was much cheaper and they gave me a loner unlike Gilman Subaru. BTW, I immediately noticed all sort of parts were missing after Gilman worked on my car. They forgot to bolt all sorts of shrouds and things back on. The oil was changed even though I told them (Don’t change my oil please). Even a simple battery replacement and they forget to put covers or shroud back over battery terminals. Something went wrong with the oil change and engine compartment is covered in oil. My new professional mechanic cleaned it up and explained the situation to me. I basically need to sell the vehicle since it’s been permanently damaged by Gilman. Just save yourself the trouble and shop someplace else. Definitely! Don't Get Service Done Here! The children here that work on $43,000+ new cars are so incapable, you may find tires way over inflated, missing valve caps or just didn't even do the multi-point inspection at all. I know this for certain!
",1.0
1,"December 21, 2019","Is your Subaru a Lemon? I'm afraid mine is. My list of problems is quite long. Surely I am not alone when I say Gilman will not fix any problems until the car has to be towed in. They waited until control arms broke and bushings failed causing a wreck before a single repair. I began asking at 4K miles, they marked my visit as an oil change?  Even the windshield seal is popping out and looks awful, vibrates, leaks. Tailgate won’t open, windows roll down and won’t roll up until rolled all the way down then up, they immediately roll back down halfway. This is so horrible on highway rainstorms.  Car stalls, surging destroyed suspension, I’ve gone through 4 sets of 60k mile tires in under 30k miles (tire warranty is useless)  plus many alignments over $100 per. Oil was overfilled by large volume at dealership which damaged engine which is covered in oil mist. The cvt wouldn’t shift! It redlined and oil leaks from turbo now. Oil and gas consumption is very high, cvt locked up on me and made a full skid stop, so scary! Police stopped me!  They wont fix until the warranty is out. Beware of this auto manufacturer! The head of store Michael Mynatt greeted me with a baseball bat! I never yelled, cursed or gave a reason for this cruel treatment. Then he called me 10 times screaming at me for complaining to corporate and hiring lawyer, I had to block his cell number!  RUN!! and Never look back! Worst auto experience ever and I’ve owned so many nice cars. Lexus has far less lemons than any other auto. My brother beats his old Lexus up and it still runs great! My old dodge Cummins has over half a million miles on it, no unusual problems! SUBARU IS NOT GOOD OR CHEAP ANYMORE, RUN!!
",1.0
2,"August 30, 2019","I purchased my Forester brand new in 2016 from this dealership and I’ve already had to change out my break switch and now my AC is out. It’s three years old..
Today At the dealership the technician tells my husband not only is the AC evaporator bad (which we knew already) but also the compressor is too. My husband knows enough about cars to call them out on their BS. He ask the tech how he knew, he said because it won’t turn on. My husband told him because it’s low blah blah.. Turns out the tech tells my husband “ well it’s not bad, we just recommend getting it changed out” so our quote went from $1500 to $3000 to add a compressor in there. Just because why not. TOTAL SCAMMERS.so first it’s bad then it’s not.  If they were speaking to someone who knew nothing about cars they wouldn’t question it. It’s bad enough we’re having to replace a part that is supposed to last 10-15 years in only 3 years but then they try to scam us!? 
These Mechanics are a joke (like many of them out there).
",1.0
3,"August 29, 2019","I have always been a Subaru Fan from the very beginning and with way Paul Steinberg introduced me to the reality of owning a Subaru, this brand will forever be a benchmark for me. My hands down to Paul for giving me the opportunity to own one now. I very satisfied on how he handled the whole transaction and facilitating a very good deal to me. I love the 2019 Forester. I won’t trade it for another except if ever an XT model will come around again. Thank you Paul for getting me own one for real.",5.0
4,"July 13, 2019","Fantastic. The service and friendliness war great.  Matthew Dobek was so helpful and very professional. I will be back.  Than you so much.  When I buy another Subaru and I will, it will be at clear lake Subaru. ",5.0
5,"June 18, 2019",If you want your car returned not fixed and taken apart go to this dealership. Car returned with bolts missing.   You walk in and you will be told  “no work will be done to vehicle without error code produced by your car”.   This dealership should not be allowed to operate.  Two trips to this dealership with same problem.   Service Manager along with service department inept.  They have no mechanics and no professionals in service Department.  Do yourself a favor and avoid this dealership.  ,1.0
6,"March 30, 2019","Subaru of Clear Lake (Gillman) broke my daughter’s heart and ensured that we will never shop at a Gillman brand ever again. 

We had a deal to purchase a vehicle on Monday at 5. At 4:23, we got a text saying the vehicle had been sold to someone else. After confirming the schedule at 3:40. 

We saw the vehicle just before closing on Saturday evening. I texted our salesman, Jacob Moniz, on Sunday morning to tell him we wanted to purchase the vehicle. On Monday morning, we texted back and forth about the details (the price had increased, but the manager agreed to honor Saturday’s promotional price). We set a time for us to come in and complete the paperwork. My husband left work early, so we could get there at 5.  He wanted the kids to witness the purchasing process since the car would be their first car. My daughter was over the moon. Until we got the text saying it had been sold to someone else just as we were on our way to the dealership. She was devastated. We all were. 

I saved the entire text history and planned to share it with anyone who would listen. Thank you to the manager for asking my opinion. I hope that the request was genuine and that the manager will use this information to improve their employees’ unethical practices. I have never been more disappointed in a business transaction. My guess is they got an offer to purchase the car at the increased price, so threw my family under the bus. I would have happily come in earlier to purchase the car, if necessary. The only reason we were coming in later was so the kids could fully participate in the purchase of their first car. 

It was a big deal. It was special. And this dealership made it a horrible experience. 

We will never shop at a Gillman brand dealership, again. ",1.6
7,"March 30, 2019","I bought my first Subaru forester in 2016 Robbie was the salesman we had the pleasure of working with ,I fell in love with the forester. I am really short and the forester seat will raise up to a position most people sit naturally. Robbie was full of information and explained every option the car had and how to use it .He shared where everything and everywhere in the dealership we may ever need. Mt car was involved in an accident and I needed a new car .You guessed it I went back to see Robbie and as always he went above and beyond to meet my needs In the purchase of a new replacement . Thanks Robbie, TaTa  and Tippy Toes. It was nice meeting snake eyes as well. My suggestion to anyone with a negative to say is Go talk to these guys they will make it right .",5.0
8,"March 09, 2019","I came in wanting to get an outback or forester for $350, brought my approval letter from USAA (FCU).

Ended up getting a better deal leasing through the dealer, no APR. Fantastic deal, and gained more features.

Really happy with Subaru, the sales representative Brandon was by far the best car salesman I've ever encountered. He was funny and polite, really good talking to him.

As for the finance guy, absolutely the best as well. When I was at other dealers (Honda of Clear Lake and Toyota of Alvin) they both had rude finance managers that try to sell you a million warranties and argue about it.  However at Subaru, the finance guy understood that my budget was met and that I didn't want any warranties and didn't spend more than two minutes letting me think then telling me I knew what was best etc. I really liked Subaru's no pressure sales and finance teams, they really understand how to make me feel comfortable buying.

Many thanks again to Brandon, I highly recommend this auto dealer.",5.0
9,"October 17, 2018","Oil & filter change...OK..I think.  Claimed a multitude of checks were also made...not so.  Said I needed a new engine air filter and cabin air filter at 15,900 miles.  Don’t think so!  Said tire pressure was OK.  Got tire pressure warning three days later.  This is no longer a Lithia Subaru operation, it is a Gilman shop now!  Purchased my Outback in January 2017.  Will not return.",1.8
10,"August 27, 2018","Love my Subaru Outback, not the dealer! They TRIED to sell me a car over the sticker price by $5,000 and tried to make me think I was getting a great deal and they were having a BIG 2 day sale. My husband found the sticker price in the glove box just when we were getting ready to sign the papers. They reduced the price when we were ready to walk, I don’t like dealers that waste your time and play games! David Kircus was the swindler!",1.3
11,"August 27, 2018","First both Crystal and Eral were great in house. The problem was after...I bought a used vehicle, paid in full and I dare say that since I did so it resulted in my lack of continued service after driving off the lot. One week after buying I have over $650 in issues resulting from a headlight that was out. Mind you the dealership inspected and passed the vehicle. Any other inspector would not have passed it simply due to a headlight being out. Had they caught that they would have discussed the costly fix. It is my hope that they did not pass off this vehicle knowing the issue but how could you not IF it had indeed been inspected correctly? I was told there was a 60 warranty but have zero replies when I reached out before i paid out of my pocket for the fix. Beware...",2.8
12,"August 25, 2018","Quick, efficient, and friendly. What more could you ask for? Oh, a nice kids room, big clean window to watch your car being serviced, and free coffee, drinks, and snacks.",5.0
13,"August 25, 2018","
Need to spend more time with vehicle orientation. Also, car not ready, needed license plate holes in front Shop closed. No hitch as ordered. Found out that info received on computer as far as trade 
value is no longer accepted. Why is it on the internet? SUBARU should get with the program!",4.2
14,"August 22, 2018","Had a super time buying our third Subaru from this Dealer in last three years.  We are now a three Subaru family - son, wife and now me.  If your looking for personal service before and after the sale, I would highly recommend contacting Crystal at Clear Lake.  Once again she came thru for us.",4.8
15,"August 21, 2018",I had no problems during the purchase. I found the car that I wanted at a reasonable price. I was surprised that they gave me the car with a full tank of gas.,4.7
16,"August 21, 2018",Looks like a great team of services here that get the job done fast and efficiently.  Very professional and clean shop and waiting area!  I would highly recommend!,5.0
17,"August 20, 2018","The services was excellent. The technicians were very accommodating and professional.
Service location is accessible. Nice waiting area. Complimentary snacks and coffee were okay. Overall was good.",5.0
18,"August 20, 2018",Answered all my questions and was very patient with me  I had never purchased a used vehicle before and I was very apprehensive about it. They allowed me to have a professional technician to come in and check it out bei would sign anything. ,4.5
19,"August 20, 2018","The sales department is always a bit slow as was the case on ...day but Andy Hollister to the immediate rescue! I was about to walk out but saw my initial contact person was in the middle of an “intense negotiation” that deserved his total focus. I understood and would want that too when needed. But I alas was left hanging. I Saw Andy and knew him from past dealings and told him the situation. Well he immediately stepped up and lucky for him he made the sale! Thanks so much Andrew Hollister. You’re the best, best, best! 👍😎🐬🌴 
The guys in service go out of their way to help you, inform you and research your specific needs and warranty at the time you need to know, on your timeline, not theirs necessarily. And always a car spritz too! “Smilin Service”! Thanks all, great dealership. ",5.0
20,"August 17, 2018",They are always awesome and have my car ready in the shortest amount of time possible. They are very attentive to my needs and concerns. Thank you for the great service.,5.0
21,"August 16, 2018", As always very good about getting me in and out with my appointment.  Very helpful and friendly.  Very knowledgeable.  They do not try to push things on me. ,5.0
22,"August 16, 2018","This dealership's service crew rocks! I came in 30 mins before service dept closing. Explained my problem (sluggish start/engine turnover and no engine turnover first time this day). Battery failed load test, got a new battery under warranty. Thank you Subaru, and thank you Luis!",5.0
23,"August 16, 2018","The service center fixed the slow leak in my tire, but broke the guage that gives an automatic readout on the daskboard... still waiting to hear when the part comes in... then I 'get' to make another trip to the dealership... as if I have nothing else to do. 😣",4.2
24,"August 15, 2018",Had to have the dealership re-tint my windows. The person or company they chose to use did not use quality film for the tint.  After two weeks of a serious run around I finally got an appointment. ,5.0
25,"August 15, 2018", They make sure you feel comfortable with the vehicle that you are buying and never try to force you into something you’re not sure of ,4.4
26,"August 15, 2018", The service department was friendly they were fast and did everything exactly like I wanted they were terrific team I want to thank them so much ,5.0
