,Date,Reviews,Ratings
0,"June 20, 2020","I recently purchased a new Subaru Forester at Subaru of Georgetown. I can’t express enough what a pleasant experience it was. My salesman, Ihab Reda, was great. First of all, I had just come from one of the Toyota dealerships where I had a stressful and disappointing experience. The Subaru dealership was the complete opposite. Very calm, no pressure whatsoever, friendly staff, and Ihab gave me his undivided attention. I feel appreciated as a customer and I love my car!",5.0
1,"June 09, 2020","From the beginning to the end of the car buying process, this dealership made the experience pleasant & efficient. Ihab Reda was my salesperson. He went the extra mile to make sure I got what I wanted. Ihab's relaxed attitude paired with his motivation that WASN'T influenced by receiving a commission was refreshing.
Michael ""Hogge"" was a thorough finance officer with a no-nonsense, keep-it-real, fun-loving demeanor. The finance stage of the game is usually an anxiety inducing experience for me, but not this time!
Jason, the new car sales manager, approached me while I was waiting for my new car to be ready. I got the feeling that he's a cool guy who appreciates his co-workers & actually cares about the customers who make the long trek from south Austin to Georgetown for a good deal & a good experience.
I'm referring my sister & a friend to Subaru of Georgetown. I'm very happy with my new ride!

",5.0
2,"June 01, 2020","I had the absolute pleasure of connecting with Ken Bell. No idea how this dealership secured him on their team, but trust they know what a asset he is for them. No pressure- committed to customer first- dealership and brand loyalty- yet perhaps the best buying experience i have had in 60+ years- yes I overpaid and knew it- hoping in these trying times Ken will get a share- and yes i Love my 2020 Forester - Touring - i now call it my sports car with room for luggage",4.6
3,"May 29, 2020",Kris Tippins did an awesome job helping us buy our fourth car from Subaru Georgetown. He made the process very easy and was very helpful. ,5.0
4,"May 28, 2020","Spencer worked with my wife and me expertly as we decided which new Subaru we wanted to buy. His efforts went far beyond any other car salesman we have dealt with in over 30 years. As an example, when we were called away to complete paperwork from going over the car, Spencer offered and did put in our favorite locations in the GPS. Outstanding.  Pat and Jim Mc",5.0
5,"May 18, 2020",Kris Tippens was a professional he worked diligently and efficiently throughout the entire car buying process to find me the car I wanted.  The entire staff was great as well!! Thanks Kris and we will always come back to make future vehicle purchases.,5.0
6,"May 11, 2020",Subaru of Georgetown and Steve Paul specifically are just great people.! I have purchased 4 cars from Steve Paul and will always purchase any car I am in the market for from Steve Paul. In the latest case I bought a used car from Steve for my daughter.,5.0
7,"May 01, 2020","If you want a great deal and great people to work with go with Subaru of Georgetown.  My salesperson Yohanna made the experience easy and safe.  She is super knowledgeable and was on top of all the things I asked for.  I appreciate not being pushed into things I don't want or need. Most things were all done online! I had car picked out and pre-approved. Also had a very relaxed safe signing of documents with Mr. Hogge in finance.  No pressure, just facts.  Thanks Subaru of Georgetown.  You have my business for life!",5.0
8,"April 30, 2020",Recently purchased a Forester Limited FROM Georgetown Subaru! Great Experience! Kris Tippens went above and beyond to ensure that I became familiar with all the Bells and Whistles on the vehicle. Kris was not your pushey type of salesperson. He allowed me to contemplate my decision at a leisurely pace. Kris is knowledgable and confident in in the car business. Georgetown Subaru has a KEEPER in MR. TIPPENS,4.6
9,"April 24, 2020","Nathan was awesome! This was my first time buying a car and he made it super easy. He was able to get me the perfect car at an amazing price that really worked for me! None of the other dealerships I shopped around at had the experience that I got at Subaru, definitely recommend! ",5.0
10,"April 22, 2020","This was my first Subaru car buying experience and I could not have asked for anything better. It was an extremely smooth process, especially for it being during COVID. I was able to do almost everything, besides drive my car off the lot, from home. Nathan was extremely professional, kind, and very easy to work with. I am SO excited about my new Subaru and the fact that the process was so seamless, thanks to Nathan, makes it even better! ",5.0
11,"April 22, 2020","Great experience great staff my salesman, Ihab made what is normally a tense experience a very easy one! I will be back & refer friends, thanks👍",5.0
12,"March 21, 2020","What a fantastic experience!  The price of the car I wanted was great compared to similar cars at nearby dealerships.  But the customer service I received from Ken Bell was amazing!  I had looked at several other dealers and he knew the car, took time to answer all my questions and address all my concerns. ",5.0
13,"March 10, 2020","Ken Bell helped me purchase my first car and he was very knowledgeable. I have minimal knowledge about cars but with his help, I didn’t feel intimidated at all when I have to choose between my options. Everyone was so helpful and friendly. ",5.0
