,Date,Reviews,Ratings
0,"April 29, 2020","Purchase a 2020 Subaru Crosstrek from Randall Noe Subaru.  Shannon Wagoner is the best Sales Manager I have ever worked with, she made my purchase happen after another Dealership would not.  Everyone in the dealership is friendly & helpful from the moment you open the door.  Would not hesitate to recommend Randall Noe Subaru for your car purchase, what a great team.",5.0
1,"April 20, 2020","Service agents always present and on there waiting on customer for scheduled service visit.
Will have sustenance on hand with a warm welcome and smile.",5.0
2,"June 01, 2019","Purchased a 2018 Subaru BRZ from Randall Noe Subaru a few months back, it was by far the best experience I have ever had! The sales managers Kayla and Shannon went above and beyond to make sure my vehicle needs were met, they were both very courteous and friendly. From the experience I've received from them, I will only buy and have my vehicle serviced with Randall Noe Subaru! ",5.0
3,"July 28, 2018","When I purchased my 2017 Outback from Sam it was a fantastic experience.  I greatly enjoy this vehicle.  I now wondered, ""How will they treat me in the Service Department""?  I came in for my oil change and tire rotation today.  The Service Manager, DC, examined my vehicle and Cory took it to the service bay with no time wasted.  Service Consultant, Stephen was the ultimate gem of my visit.  He treated me with great respect and I watched him handle other service appointments.  He also was very personable with these customers.  I am a bit finicky with my vehicle and Stephen answered all of my questions.  To my surprise, he also had the service team change my interior air filter to make sure that the airflow stayed consistent in this extremely hot weather.  

This is what the Randall Noe group should continue to do...hire people like Stephen!  Thanks again, Mr. Noe.  I would love to offer this type of testimony on one of your upcoming marketing projects and media spots.  

Every day is a new day and I will be back at Randall Noe for my vehicle needs!

Best regards,
Mark K.     ",5.0
4,"August 24, 2017","DO NOT BUY A USED VEHICLE FROM THEM.  I purchased a 2014 Subaru Forester from them less than 2 Months ago.  After signing the papers I discovered that the radio did not function at all and the AC Compressor begin to work intermittently.  I contacted the dealership and they offered to have the radio fixed which was the least they could do.  When I had another dealership confirm that the AC compressor was bad,  I contacted Randall Noe and they said since I didn't buy the ""extended warranty"" they wouldn't help me at all.  That repair costs around $1000 and Randall Noe said they wouldn't even give me a penny toward it.   Obviously, they do not care about taking care of the customer or being honest about the vehicles they offer for sale.  I will never do business with them again... and if you have read this review, you should reconsider purchasing a broken vehicle from them. ",1.2
5,"June 28, 2017"," Very  courteous, friendly but not overly so and very knowledgeable.   Not pushy, very patient, work with us on the price .   I would by there again. ",5.0
6,"May 25, 2017","After checking the web page on line, I decided to drive to Terrell ( approximately 45 miles from my home in Dallas ). This visit was not only well worth the 45 minute drive, but  the contact with my Sales Consultant ( Brent Billingsly ) was the perfect blend of knowledge & sales without the aggressive push to close the deal on the spot. There was no excessive calling and he had all my contact info. Jason in finance and the Sales Manager Shannon Wagoner were outstanding partners in securing my business. Thanks "" Randall Noe "" of Tyler Texas you're the best!       Marva J. ",5.0
7,"May 14, 2017","This was my first car buying experience and I didn't know it could be this painless. Everyone at Randall Noe Subaru was wonderful to say the least. Sam is an awesome salesman, friendly but in no way pushy at all. He answered every one of my questions. Justin the finance manager helped ease my tension even more, working with me to get the numbers right where I wanted them and really helping me understand it all in layman's terms. If this is how car buying is supposed to be I will definitely keep my business with these guys at Randall Noe Subaru. I also wanted to give a special shout out to Charis, their internet sales manager in getting me started on the path to being an extremely happy customer. Thanks!!!",5.0
8,"May 06, 2017",I've always had a great experience with this dealership. Sales and service department personnel are friendly and truly care about customer service! I've recommended them to my family !,4.8
9,"May 05, 2017","Price was exactly what I wanted to pay and what I wanted in my Forester, Excellent service, prompt with paper work, all staff friendly and helpful. Same staff was there from 2 yrs ago when my daughter bought her Subaru Crosstrek 2015. ",5.0
10,"May 02, 2017","All parties were on point.  They made great use of my time and were very fair....
Will do business with them on the future.
Thank you Brent ,Kayla, and Richard.",5.0
11,"April 08, 2017","I want to thank Randall Noe Subaru for great customer service.  I found my 2017 Outback with help from Sam and Kayla.  This was an easy transaction that took less than 30 minutes.  I am also taking advantage of of the additional Love closing where a rep is coming to my residence to go over the enhanced technology that is on my Outback.  I highly recommend the Subaru Outback and if you are in the DFW area, Randall Noe is the best place to buy one.  The staff there is the best I have seen in new car sales.  Thanks again!
.    ",5.0
