,Date,Reviews,Ratings
0,"April 06, 2020","Friendly, they meet me on arrival, make sure I know my way around the waiting area and tell me when I can expect to get my car back.",5.0
1,"March 30, 2020","Changed battery and hatch would not open and alarm sounding. Turned out needed a reset due to battery going down.......
No charge to reset was best outcome....",4.8
2,"March 23, 2020","Patrick Clausen was the salesman we dealt with when we leased a 2017 Legacy and then purchased a 2018 Legacy.  He was the only salesman among the 6 dealerships we dealt with on the 2017 Legacy that gave a price and would not then haggle.  I had done research on pricing and reliability in advance, so I was also satisfied the price was reasonable.  We returned to Gillman North to purchase the 2018 Legacy without considering contacting anyone else, both because of Patrick and because the Subaru Legacy is a great car.  The service department is efficient, takes the time to answer questions, and delivers timely.  I cannot imagine even a so-called ""luxury"" dealer offering a nicer waiting area or better service.",5.0
3,"March 15, 2020",Very professional and courteous staff; prompt completion of service and notification that service was done. Also I was able to secure a loaner car allowing me to get to work without having to wait.,5.0
4,"March 06, 2020","made a deal with the salesman who was great with a pre-buying condition, but as soon as the dealership thought it would cost them more than they wanted to spend they were quick to unwind the deal. what a joke. I couldn't break the contract so why are they able to? Management wouldn't take responsibility for the promises made by their salesman.",1.0
5,"March 02, 2020",From sales Markee Rudy to service Manager Bryan Foster to technicians you feel like you are the most important person in the world to serve & take care of. This is my first Subaru I've purchased so I'm still in my free maintenance time period. When I have to start paying for services rendered I'm sure I'll be asked for another review. So far I absolutely love my Subaru Outback. ,5.0
6,"February 28, 2020",Got me in and with oil change and tire rotation very quickly. Service advisor was great let me know how long it would take and made sure I was comfortable waiting.,5.0
7,"February 17, 2020",Everyone is very pleasant to work with. I thought the price was a bit high for front brake pads. The Toyota dealer in Tomball charges less for the same service,3.6
8,"January 27, 2020","Gillman really does treat you like family. Mike Leroy was such a great help, and made our first time buying experience SO easy. Will definitely be going back in the future for any other car purchases!",5.0
9,"January 27, 2020","Gillman Subaru North was friendly, efficient and professional. Routine maintenance was done, they told us what needed to be done, and they replaced the carpet and part of the seat.
Very happy with the experience.",5.0
10,"January 06, 2020","I bought a Forester.  I was pleased with everyone I had interaction with. An excellent experience.
Have had the SUV for a month and am enjoying the ride.",5.0
11,"November 08, 2019",Didn’t  have a great experience my sales lady was very nice service guy George was very nice that all I can say. Never buying here again,1.0
12,"November 04, 2019","I came in to buy a new part and to check availability for an oil change and tire rotation. They were able to schedule me that same day and had my car back to me very quick! They have an amazing waiting area, movie theatre and plenty of refreshments. I normally dread going to the dealer for any work but I honestly don’t mind going here at all. ",5.0
