,Date,Reviews,Ratings
0,"March 12, 2020"," Un año atras conpre un tundra a Toyota de Irving 
Hace unos meses Recibí una llamada de Toyota de Irving ofreciéndome un nuevo vehículo y yo les dije que estaba interesada en refinanciar la respuesta que me dieron que ellos no refinanansean cuando compré mi troca jose Benitez  Me dijeron que en 6 meses podía refinanciar si hasia los pagon a tiempo I que me daria in interes bajo de 4%",1.0
1,"January 10, 2020","Bought my daughter a car, 2019 Corolla,  12/14 from Toyota Of Irving. On 01/06 I receive a text msg saying they need me to come back in due to some good news. Please see photos. I go to the dealership and they instead meet me and say the car was not salvageable and should t not have been sold due to the carfax. They tell me they need my keys immediately. I refuse, pull up Carfax and purchase the $40 report and there’s not one single alert on the car. I leave the dealership and text them back to say they are shady and I will not be returning to the dealership until someone is truthful. They text me back and say the person that traded in the car I bought deal fell through and I HAVE to return the car to them. Absolutely not! I have a contract with signed documents where you sold me this car and why should I be inconvenienced due to your lies and mismanagement???? I WILL NEVER DO BUSINESS WITH THEM AGAIN. BE AWARE OF THIS HORRIBLE COMPANY! ",1.0
2,"December 14, 2019",I wish every business had the customer service that Toyota of Irving does. From Ashley who took all my information about my recall and made the appointment to Robert who handled my car when I arrived at the dealership. All super polite and they made you feel appreciated and they took pride in the job they did. And lets not forget about Nelson who drove me back to my apartment and picked me up when my car was finished. All top notch employees and Toyota is lucky to have them!!,5.0
3,"November 03, 2019",Toyota of Irving has very poor customer service. I went there at lease 5 times had similar experiences. My last visit was yesterday. I requested for car wash they did not do it.,1.2
4,"September 09, 2019","The AC in my 2016 4Runner stopped blowing last Friday 9/6. The light had recently come on telling me it was time for my regular maintenance and I had made an appt for 9/21.  When I got in my car to come home from work and the AC was not blowing I called Toyota of Irving to see if I could come in on Saturday 9/7 to get this problem fixed immediately.  The person on the phone told me that was no problem to bring in in Saturday Morning and they could diagnose the problem.  

When I arrived on Saturday Morning I was greeted by Shawn Williams who took my car in to get the problem diagnosed..  I told him I'd be waiting in the waiting room during the repair.  He quickly contacted me to let me know that they had determined the issue was the Blower motor.  He also let me know that I should consider replacement of my break pads, which I knew was coming due also.  I approved both repairs and asked how long the repair would take.  He went to find out and then returned to tell me that the blower motor was not in stock and I'd have to come back later to get that fixed.  This was frustrating but I understood, they continued to do the break work and I continued to wait.  A little bit later Shawn came over to the waiting area to find me and told me he had located a blower motor at another Toyota shop in Dallas and If I wanted them to he could send someone to get it and have it repaired that day for me!  Yes this meant I would have to wait there a bit longer but that was fine with me.

I really feel that Shawn Williams did an amazing job and went above and beyond to make sure I was satisfied.    I have had my 4Runner for 4 years now and have had all of my service done at Toyota of Irving.  And it is because of service like this that will keep me coming back.  I love that they have the waiting room for the service department in the showroom floor.  Most other dealers I have been to have a separating waiting area for service customers.  They do not want them talking to potential new customers.  Toyota of Irving does not do this and I am happy to tell potential customers that they have an amazing service department and if they purchase a Toyota from them they will be happy for years to come.  

Thank you Shawn for doing a great job!  Please never loose that customer service attitude!  

",5.0
5,"June 01, 2019","Never ever work with Daniel Luna
Never met most arrogant and disrespectful person 
Instead of listening to customer needs and budget he was so off guard to even meet to finalize the deal and raised voice and spoke arrogantly. He spoke very rudely to us,  instead he asked one of the car sales representative to come forward and speak to us while he was sitting in his office and ignoring us completely  We were fooled by him 
i had super bad experience that i would not want to have any services or deal with toyota of irving Somebody has to teach Daniel Luna how to behave with customers rathar than being arrogant and raising voice I would not recommend toyota of irving in my group 
",1.0
6,"February 06, 2019","José is a person who tells you lies in order to sell you what he wants, not what you want. I lost a lot of money because of the lies of this man, very bad experience in Toyota of Irving  with jose Benitez and his financing team.
Jose es una perzona que te dice mentiras por vender lo que el quiere no es una perzona onesta perdi micho dinero por mentiras de esa perzona mala experiencia en toyta de Irving tx con sode benitez I su Grupo de financiadoeres  ",1.0
7,"January 30, 2019",They worked with us together towards a comfortable zone both for us buyers  and them seller!! Great service!! would definitely recommend to family and friends!!,5.0
8,"January 29, 2019","Everybody was very friendly and professional. I did not feel pushed in any way to buy the car. That is what makes a difference. 
I would recommend this dealer. ",5.0
9,"November 30, 2018","Brought my truck in for recommended repairs costing over 3,000.  Repairs included the water pump and associated hoses.  After returning the truck, I had to limp back into the dealership with no coolant after it was found out that one of their ""qualified technicians"" couldn't tell how to install the main water hose even though the diameters of both ends were significantly different.  Then after those supposed repairs, had to take the truck to another dealership to repair the engine plate because the Irving dealership technicans had stripped all of the screws and then just put the plate back on.  I was lucky that the unit didn't come off while going down the highway. ",1.4
10,"November 10, 2018","Thanks for the help you gave us, for the options they gave us and excellent services since you arrive at the place until you leave. very pleased with your deal and help me have my vehicle. Thanks ",5.0
11,"October 29, 2018","Great customer service, Efren Robles helped me choose the best financing option possible. Thanks Efren, 100% recommended to my family and friends. Thanks Toyota Irving ",5.0
12,"October 16, 2018","Gave 5 star, because they were very welcoming & very helpful on looking for the car I wanted color & everything, they answered all questions that were asked, returned 6hrs in my brand new 2019 Toyota Camry! Loving it! ?? ",5.0
13,"August 30, 2018","Excellente porque el vendedor fue muy amable y respondió todas mis preguntas, adicional de cubrir todas mis necesidades de compra. A mi hijo le encantaron las galletas que ofrecen a los clientes.",5.0
14,"August 30, 2018","I planned and researched for a new Tacoma truck prior to visiting a dealership.  I found that Toyota of Irving was my best choice.  Salesman Brian Smith and Marketing manager Mark Baker answered all of my questions and made me a deal on a truck that I couldn't and hadn't matched on line.  I was shown all of the insights  and drove it away 2 days after financing ""with a full tank of gas!""  Very impressed with the courtesy, the friendliness, the time spent to talk to me and work with my desires and then the pricing.  This is my first Toyota and I am very pleased so far with my decision, my experience and my purchase.",5.0
15,"August 24, 2018",Amazing! fast Honest came back with the numbers that fir my current budget!! I was not harrased and I actually went to another dealership to compare the numbers and Toyota of Irving Beat them out!,5.0
16,"August 08, 2018",My service was done on time. The service writer Lionel was courteous and kept me informed throughout the day. The car was delivered cleaned and on time,4.8
17,"August 03, 2018",The Hidalgo/Prado family is extremely happy to work with The Sales person Hugo Cantarero in the purchase of Our beautiful truck  2018 4 Runner TRD Pro he understood our needs and concerns with our purchase decision. Toyota should be proud to have an excellent Sales representative who thrives customers concerns.Thanks for everything Hugo.,5.0
18,"August 01, 2018","The team at Toyota of Irving was amazing! Everyone was extremely  patient with all of our (many) questions and accommodating to all of our requests. Peter was so kind and helpful; he really moved mountains to find us the vehicle we wanted with the exact features we requested. He was also quick to respond to phone calls/texts and just overall a real pleasure to work with. Peter also took the time to explain the warranty and after-sales service, which are both top notch. There are a lot of dealerships in the metroplex, and it’s the staff and service that make this one stand out. Highly recommended!",5.0
19,"July 30, 2018",I had an oil change done today and it’s about the typical wait time. They were friendly and they gave the best apples in the wait room. They gave me the car feeling brand new ,5.0
