,Date,Reviews,Ratings
0,"April 28, 2020",Alex was our guy willing to help us out with our needs and wants. Defiantly can't wait to get my fifth vehicle from Mike Calvert. Thanks for the help.,5.0
1,"April 19, 2020","i came in to Mike Cavert Toyota, i had great experience with all staff dealership specilaty 
( Gil Christ)/ sales consultant.hes great person, helpful, friendly, smile face, very patient and professional, very knowledgeable assist, i wasted a good part of my day..
million star for him, highly i recommend Mike Calvert Toyota to anyone to purchase next vehicle...Great staff and Great experience...",5.0
2,"January 06, 2020","Found a 2019 used Avalon on line described as just what I wanted.  Visited the dealership and found the car as advertised.  The salesman was pleasant but not very knowledgeable of the car's features.  I arranged to pay cash and pickup the car on Friday, December 27th.  Due to holiday schedules (Christmas on Wednesday), I couldn't get funds into my checking account until Friday.  I offered a $500 deposit to hold the car but was assured no deposit was needed and the car would be ready Friday.    I arrived at the dealership at 9:30 AM Friday morning and found that paperwork was being finalized at that very minute selling the car to another customer.  An insincere apology was offered, but I will not again get involved with a Mike Calvert Dealership.",2.6
3,"January 04, 2020","Great service

As always, the level of professionalism shown by the service technicians at Mike Calvert Toyota are outstanding. Especially the service of Cheryl James. ",5.0
4,"July 27, 2019","I came in to Mike Calvert Toyota to buy a used 2019 Toyota Corolla that I saw online. I asked about the condition of the car and was told that the car was a trade-in by a rich kid who changed his mind about the car after a few months. The car was in pretty good condition, but had a few stains and scratches here and there, of which they told me could easily be taken out. I specifically asked if the car had ever been in an accident and they said “no way”. AFTER I put my downpayment down they told me they could no longer take them out. I was in a rush to get a car, so I put that aside and continued the purchasing process. After everything was finalized I took my car to a friend of mine and he ran his hand across the car and right away he said that this car had been in an accident, and not only that but that it was a terrible paint job and that’s how I could tell. He went ahead and looked up the VIN and lo and behold it had been in an accident and was actually received from the auction, so their little trade in story was a lie.

I went back to the dealer and the manager told me it was MY fault, because everyone who buys a used car signs a CarFax. I said regardless they should have been honest when I verbally asked, but they just continued saying it didn’t matter because the CarFax was signed. I did not recall signing a CarFax, so I asked to see it and that’s when they told me they ""accidentally"" forgot to present it with me. During this time, the general manager, Mike Grewenig, came out and instead of making the situation better he justified and defended what was going on. At one point he even rolled his eyes at me. Imagine a 60 year old man rolling his eyes at a 22 year old girl who just got cheated to and lied to by his employees. He then told me he was offering me to return the car and no other dealer in Texas would allow that.. That was another lie.. They are required to do so by law since not disclosing an accident is considered dealer fraud.

Nonetheless, I ended up keeping the car, because I was moving soon and out of a car, and didn’t have time to spend another 4 days car shopping and going through the closing process. 

This happened about a month ago, and what motivated me to write a review was the fact that someone recently had a similar experience. The manager repeatedly told me this was an accident and that he would assure it would never happen again, but here it is happening again. This dealership needs to be shut down or at least barred from used car sales. All the bad reviews come from there.. The only reason they have any good reviews are because of their new car sales. You can't really scam someone with a new car, but look at all of their bad reviews and it either comes from their sketchy used car sales or their terrible service department. 

If you have a similar experience I highly encourage you to submit formal complaints to the appropriate department in Texas, so that other consumers do not fall victim to their predatory practices.",1.0
5,"July 21, 2019",I had a good experience with this dealership. The staff was very friendly and helpful specially Miguel Iraheta. He made the dream of having new Highlander true. I really appreciate the kindness from Miguel and the other staff. ,5.0
6,"July 11, 2019","The salesperson (Jaymie McKevitt) was great. The purchased process took a long time and wasted a good part of my day. I understand the process takes a while, but I should not have to wait around for 4 to 8 hours.",4.8
7,"July 05, 2019","Mathew is a great asset to Toyota. There are not enough stars to rate his professionalism, enthusiasm, expertise, and authenticity. He has extensive knowledge of the manufacturer /products/services and  benefits. He knew exactly what I needed before I knew. He is very patient and professional . He made this process pain-free. A million stars for this wonderful soul!!!!
",5.0
8,"July 04, 2019","I have to say that I was very impressed with Mike Calvert Toyota's customer service. From my salesman (Franklyn O.) to the manager (Brian Hartland). the entire finance and showroom departments (inc. Adam N. Steve V.) and finally the General Manager Mike Gorbert,  who made sure I did not leave his dealership until I was completely satisfied will all aspects of my vehicle purchase. I would gladly recommend Mike Calvert Toyota to anyone interested in purchasing or leasing a new vehicle. ",5.0
9,"July 01, 2019",La manera en que fui atendido desde que entre al dealer fue un excelente trato hasta el momento que me entregaron las llaves de mi highlander 2019. Con mucho gusto los recomiendo.,5.0
10,"June 29, 2019", They are not honest person lie  and meke me lost my time never have truck I want meke appointment to see  never want goback no,1.5
11,"June 29, 2019","I had a great experience here.  The internet price was fair, and the salesperson was open to further negotiation.  The finance manager who handled our financing was outstanding and offered to find ways to save us money.",5.0
12,"June 25, 2019",Salesman was very knowledgeable assisted in setting up my dashboard and other information about warranty. The salesman returns call and check on me also concerns about how i'm enjoying the new car,5.0
13,"June 23, 2019","Both salesmen we worked with were friendly, understanding , and worked with me to make sur that I understood every step of the process as I am a new car buyer. My car was set up technology wise and overall I had a great experience! ",5.0
14,"June 23, 2019","Excellent sales staff, gave me a great deal. I would recommend Mike Calvert Toyota to anyone needing to purchase their next vehicle. Great staff, great experience.",5.0
15,"June 22, 2019","I'm glad I turned into Mike Calvert Toyota, I was going somewhere els & just turned in. This was a very peaceful buy, I felt no pressure. Everyone I came in contact with was very professional & friendly.",5.0
