,Date,Reviews,Ratings
0,"October 01, 2019","After stopping by after work one Wednesday afternoon, I intended to look at a new truck I had my eye on. I met with Jimmy Buckner who went out of his way to explain the features of the vehicle and explain why purchasing that vehicle was a sound investment. I decided to see what kind of deal I could get, so went inside. Jimmy worked diligently right up to quitting time to get me a price I agreed on, so I ended up purchasing the truck that afternoon. The buying experience was low stress and I really felt that he was truly working for me to get me the best deal possible on the truck. I will definitely be back for all of my sales and service needs. Thanks to the entire Cecil Atkission team for helping me purchase my dream truck. ",5.0
1,"May 27, 2017","Safety & style are definitely my #1 priority when it comes to driving. From test driving to showing me absolutly everything I needed to know about they're huge variety, the team at Cecil Atkinson Toyota in Orange went above and beyond to help find the perfect fit for me. Their team provided amazing customer service and I would highly recommend them to everyone. Hands down, I am 100% satisfied with my new Rav4!!! Thank you for everything Cecil Atkinson Toyota!!! ",5.0
2,"May 27, 2017","Monty and Memory made our car buying experience awesome.  They were super nice, and answered all of my questions fully.  I will definitely be recommending them to anyone who is looking for a new car",5.0
3,"May 12, 2017","We had the pleasure working with Monty and he truly was awesome to deal with. We are totally satisfied, not only with Monty but with Cecil Toyota. We recommend them to anyone looking around. I wanted to buy local and they made it so easy for us to make that happen. Thanks again guys!!!! ",5.0
4,"April 21, 2017",The fastest and easiest experience in purchasing a new vehicle . I will use this dealership from now on !! Miss Sara was great to work with and so accommodating . ,5.0
5,"April 19, 2017",They were so very helpful. Got my brother and I the best deal as they could. Will recommend Cecil's to anyone who needs a new are used vehicle. ,5.0
6,"April 18, 2017","I really enjoyed my experience, Monty did everything he could to make sure that I saw everything I wanted to see, answered all my questions, and was very professional the whole time.  I got a great deal on a new car.  I wasn't planning on buying anything and certainly not a new car.  However, the great prices and different options available made the decision quite easy.
",5.0
7,"April 14, 2017","Salesman was open, honest, and  super friendly. They gave us a great deal. I would defiantly recomend this dealership to everyone! Love my new car!",5.0
8,"April 13, 2017","Service with a smile.  Very knowledgeable
With tech features.  Tee, Monty. Memory, Blake were very friendly and professional in dealing with us and patiently answered all of our questions. We had a very positive experience!.",5.0
9,"April 06, 2017",Sara Martin is the best sales person I've ever dealt with. She went above and beyond to explain everything to me about my purchase. The whole crew at Cecil Atkission Toyota make you feel like family and they are very helpful through the whole process. I enjoyed my time there and would recommend Cecil Atikission Toyota for your next auto purchase.,5.0
10,"April 06, 2017","Management and staff was truly compassionate, understand, and help with everything needed. Such a professional mannerism! Would highly recommend Kyle at Cecil Atkission Motors! So grateful! ",5.0
11,"April 03, 2017","I had an excellent experience at Cecil Atkission
Everyone was very patient and helpful too me and I got my 2017 Camery with no hassles or problems. 😁😁😁",4.6
12,"February 01, 2017",I am a new nurse needing a way to get around more securely and with a decrease in gas consumption. This Buick Encore is simply wonderful. The process of buying was simple and easy with great assistance from the salesman. Overall a easy and pain free process. No complaints and will definitely recommend.,5.0
13,"February 01, 2017",Kyle was very helpful and made it very easy for everything my overall experience was great. Memory was also a great help with the financing.  ,5.0
14,"January 31, 2017",Kyle was very informed about the Highlander I eventually purchased.  He answered all my questions and was not a pushy salesman.  I would definitely recommend purchasing from Kyle and Cecil Toyota in Orange!,5.0
15,"April 22, 2008",Excellent experience,5.0
