,Date,Reviews,Ratings
0,"February 19, 2019", It was customer service and pricing and also atmosphere everyone was so friendly and of course pricing was my first priority they made me feel like I wanted to spend my money there   ,5.0
1,"May 05, 2018","Repair work  at this dealership is good, but be very vigilant with the service advisors; make sure to get everything in writing and ask lots of questions; don't assume they will do everything you ask, make sure to get an update before they drive your vehicle out of the service department; they get very defensive when you question them; also double check your bill, question everything ",3.2
2,"January 04, 2018",Excellent service and knowledge. The dealership reached out to other in state dealerships to find what I was looking for. I am grateful for their collaboration.,5.0
3,"November 11, 2016",Worst service ever. They took around 2 hours to get my car ready. I learned from last time to get there early for my apt. I got there 30 min early for my 12:30 apt and they didn't even move my car to a bay until 12:45...i asked the guy how long it would take and he told me about 45 min. That was a lie. I get the car back and they hadn't even filled up the tires like I had asked them to do. I literally went in for an oil change and tire rotation. This was pathetic service. ,1.0
4,"August 30, 2016","I just want to start of by saying what a great salesperson Pedro Diaz was! It was my first time buying a new car from a Toyota dealership and everything went how I wanted it to he answered all my questions , wasn't pushy about me getting the car. I DEFENETLY recommend this dealership to anyone !!👍🏼",5.0
5,"May 08, 2016",Always a pleasure working with these guys. My husband and I have bought several vehicles from Loving. We ALWAYS receive great service. Best part is they are never pushy and very patient!!!!!,5.0
6,"April 28, 2016","AT 67 YEARS OF AGE,I HAVE SEEN AND BEEN SEEN BY MANY SALESMEN.ROBERTO RODRIGUEZ IS BY FAR THE MOST PROFESSIONAL I HAVE EVER HAD.MY HUSBAND AND I BOTH REMARKED ON HOW RESPECTFUL AND INFORMED HE IS.WE FELT LIKE WE WERE TAKEN CARE OF FROM THE MINUTE WE MET HIM.HE ACTUALLY LISTENED TO OUR CONCERNS AND EXPLAINED EVERY STEP TAKEN.I HOPE YOUR COMPANY KNOWS WHAT A GEM YOU HAVE IN THIS YOUNG MAN.I WILL SPREAD THE WORD TO OUR FRIENDS AND FAMILY ABOUT THE SERVICE HE GAVE TO US.


SHERRY HYDE ",5.0
7,"September 25, 2015","I knew what I wanted--an affordable truck--and I was not pressured to add costly features. I was in a hurry and things were done quickly and efficiently. Discussion about the price of the new truck and the allowance on my trade was straightforward. Extended warranty and service plan options were clearly explained. Once the new Tundra was ordered, I was kept informed regarding the arrival date and there was no hassle when I brought in my trade and switched. ",4.8
8,"July 12, 2015","First off. I don't write reviews. Ever. But I will make an exception here. Loving Mazda in Lufkin sold my dad the works on a little hatchback CX-5. I think he financed around 35K on the car. I was hot when I found out because my dad has Frontal Lobe dementia and cant speak or write. In fact he cant drive now, less than a year after buying the car from Loving. Before I go any further let me say that I was in the process of moving my dad out of the area when I first approached the Loving dealerships. It was an extremely weird and awful time for me in my life because of the stress I was taking on by moving my dad out of his home. I explained to Loving that I wanted to get my dad into a different car that would make sense for us (we were moving into the mountains of Colorado). To make a very long story short...They ignored me; they waited for me to call repeatedly before making any effort to find a suitable vehicle. And when one was found, I drove to Lufkin and it wasn't on the lot.  By this time I was desperate because we were leaving town and I had to tow his belongings back to my house. In my desperation I traded his car in for something else. And, I was jerked around for hours waiting for a trade value, the process was miss-managed and convoluted. I was lied to about the towing capacity, mislead about the interest rate and generally treated like I was in the way. Why in the xxxx I ever let myself fall for it I'll never know. I can say this about Loving, they know how to make tons of money off of gullible people that are hurting like I was at the time.  In fact, even after writing a letter to upper management they still ignore me to this day. If your looking for a company with 0 integrity and an eye for stuffing their own pockets then find a Loving dealership near you and buy a car from them. They will love your money all the way to the bank.",1.0
9,"January 30, 2015","Prior to going to Loving Toyota in Lufkin, I had bad experiences with car dealerships.  I was MORE than pleased with their very helpful and caring staff. I got exactly what I wanted and I didn't feel pressured at all. They worked hard to get me the best deal possible. I recommend this dealership to everyone from first time buyers to experienced buyers.",5.0
