,Date,Reviews,Ratings
0,"June 05, 2020","I want to say the product salesman, Austin, at Toyota of Alvin did an excellent job helping us to buy a used car. He was ready with the car when we arrived since we called ahead to see the vehicle. He was very pleasant and patient while we made a decision! See Austin for your next vehicle!  Mary F.",4.0
1,"May 21, 2020","Just received a used car I bought from out of state. I worked with Al Ruiz as the sales guy, and it took basically two calls to agree to a sales price (me calling in an offer, and him reasonably countering).  I had 4 dealers at the time I was trying to buy from similar car and they would basically laugh at my offers, not even considering (bs about reasonable price already). No pressure during the sale from Al, only courtesy and respect from him. I have not come across a single salesperson in my car buying history who was as nice as he was.  I might (no, i WAS) probably more rude to him due to the history of the typical salesperson one thinks of, and Al is far from it.  Big thanks to him and his management for working on the sale.  Even shipping department was quick to follow up once the car was in my driveway to make sure it was to my satisfaction.  This remote buying could have been a horrible experience, but i was as happy as a kid when it arrived yesterday. Cheers Al!  
PS: in typical fashion, 3 of those dealers have contacted me in the last three days wanting to negotiate... Too late buddy...",5.0
2,"May 11, 2020","I could repeat all the things everyone else says about what con men these people are, but I won't bother.  Just don't be fooled by the occasional glowing 5.0 review here.  Those have to be fake.  Nobody could possibly find anything legitimate good to say about this dealership.  This is the worst place, and the most dishonest people I have ever been to and tried to buy a car from.  When they were under the previous owners, it was a good place, but not anymore.  ",1.0
3,"April 22, 2020",We needed a Cash car for my daughter and found one online. The salesman called me and made an appointment to look at the car. We drove an hour to get there. The car wasn't even there. It was at a repair shop then they tried to sell us cars we were not interested in at all. BiG BiG disappointment. Don't come here I got the feeling they do a lot of bait and switch tactics. VERY UNPROFESSIONAL. ,1.0
4,"February 26, 2020","I just recently purchased a 2020 Toyota Highlander. I am super happy with my experience overall with my salesman, finance department, and the sales managers! All sweet, honest people and play no games when it comes to getting what you want! They beat every offer I had, I definitely recommend them to anyone! ",5.0
5,"February 26, 2020",Toyota of Alvin contacted me saying they can beat any price. I took my offer from another dealer to them and they beat it!! Great staff and great experience!! I love my new Tundra!!,5.0
6,"February 26, 2020",Great overall experience! I love my new Toyota Camry and I got the best deal! They beat my best offer from my local dealership too!!,5.0
7,"February 22, 2020","THE CLASSIC BAIT AND SWITCH ROUTINE
They quote you a low price, then when it's time to sign the contract, they distract you from seeing the insanely high final cost.
They specialize in taking advantage of women that are not automobile and paperwork savvy.",1.0
8,"February 22, 2020",Buyers and customers beware - their sales staff lie and rip off customers. Just check online! I would stay well clear until this business cleans up their practices and apologizes to their customers.,1.0
9,"February 22, 2020",They really scammed my mom out of her paid off car when she traded it for a Tacoma. The Tacoma was supposedly being sold for 31k then minus 11k for her trade in. But somehow when she got her payment notice a month later it showed the pay off at 45k. So they really screwed her and then stole her car. ,1.0
