,Date,Reviews,Ratings
0,"June 04, 2020","I contacted your dealership for a vehicle that I had seen online, in doing so I was connected with Tommy nguyen. 

Tommy was communicative efficient and ready for me.

I arrive to see the vehicle and talk numbers I discuss numbers with Tommy while another family was looking at the vehicle and test driving it.

He warned me that if they come into the building they’re looking to buy so I simply go to the car take a look drive it it within the parking lot And immediately signed

I signed an agreement that said the final price of the vehicle and to proceed with providing my preapproval from the bank as well as my drivers license and insurance to now put my down payment

When Mr. Tommy delivered the news to the counter some other man who said he was a manager in a suit
Cussed underneath his breath and rolled his eyes at us

This same manager came to me within five minutes and ripped up my paper that I had signed and said that someone else bought the car sorry I reiterate on what I signed first he goes this is not a legal document it doesn’t matter if you signed they already got the car I said but have a signed and he said no once again and then I reminded him that I signed why did I sign and provide all my paperwork to show that I’m ready to own this car and he yelled at me and told me to calm down and proceeded to again because underneath his breath

This same manager came to me within five minutes and ripped up my paper that I had signed and said that someone else bought the car sorry I reiterate on what I signed first he goes this is not a legal document it doesn’t matter if you signed they already got the car I said but have a signed and he said no once again and then I reminded him that I signed why did I sign and provide all my paperwork to show that I’m ready to own this car and he yelled at me and told me to calm down and proceeded to again because underneath his breath

Tommy did not want to reveal this man’s name I guess out of protection but I wanted to let you know so you can figure out and find me a solution because I signed for a vehicle and I was Miss treated like to miss lead in my experience at your dealership

I actually hope to hear a phone call from you due to the lack of professionalism empathy and character that your leader ship and salesman carry while you’re not in the building",1.0
1,"May 18, 2020","We found a car we wanted, a Toyota Certified 2018 RAV4, and drove in on Saturday morning to make the deal.  Our sales rep asked us “what will it take to sell you this car?”  We told him we were willing to pay the asking price, but we wanted a new map micro USB card and a cargo net.  The map had a 2017 date on it and the net was missing, plus these are relatively inexpensive items.  

He went to confer with his boss and came back with an estimate sheet.  It had the agreed price and had another $995 added on for window tint and nitrogen in the tires.  According to the CarFax they provided us, window tint was installed when the car was new, in 2018, so why were they trying to add on additional amounts for that?  This is dishonest.  And nitrogen - who needs that?  They took it off, but grudgingly. 

The sales rep then proceeded to tell us that they could not do anything about the map and we would have to deal directly with the parts department.  There was no offer to wrap it into the purchase or to find a way to satisfy us.  He just said “not possible” and pretty much ignored our request.  

The sales rep said the manager gave him permission to rob a cargo net from another car on the lot, but that he was not allowed to put in a new net.  This sounded a bit sleazy and underhanded to us.  Honestly, the retail of the net was $69 and probably cost them $19 - which made us feel bad at first.  However when we got home we found that the net that they folded up and placed in the hatch area could not possibly fit the car we purchased as it is ridiculously big and could not be installed - which made us pretty mad.

When it was time to accept delivery of the car, the sales rep stated that there was only 1 key so that’s what he was giving us.  We told him that the Certified statement said there were 2 keys and he said, “oh yes” and took the car to have a second electronic box/key made.  He did not argue much about it, but tried to get away without giving us everything we should have received.

The cherry-on-top for this miserable transaction is that when we got home, we found that the electronic part of the second key was set up properly, but the mechanical key was uncut.  This is a safety mechanism to be used if the battery is depleted on the electronic box.  So now I have to go back completely across Houston and insist that they make this right.  

Never again with this dealership.",1.0
2,"April 24, 2020","This facility is not to be trusted, bought a used car, salesman assure there was no problem. Took to a trusted mechanic, in 5 minutes found MAJOR issues. Informed my salesman and never got a response. The repairs cost 2/3 the value I purchased the car. This car shouldn't have ever been sold on the lot. It was a mechanic special.",1.0
3,"September 03, 2019",Excellent customer service by Donald Hubbard. Walked in only to look at cars and bought one that visit. He is very friendly and very approachable. ,5.0
4,"March 20, 2019","Total Nightmare at Fort Bend Toyota I purchased a 2018 4RUNNER back in August and up to this date I have not gotten my plates every month I have to follow up since they do not bother to follow up with me to let me the status they always tell me every time they will call me to let me know my status but they don’t. Once again they temp tags have expired and no one has bothered to call me. I have asked to speak with the manager there but they just have the sales person or sales manager Jerry Dismuke speak with me and all they tell me is this has not happened before, I have the finance company and they said wrong paperwork was submitted, if the Toyota vehicles were not so dependable I would recommend not to buy them but they are but don’t get it from this Dealership Fort Bend Toyota!!! WORST EVER!!!! ",1.0
5,"June 08, 2018","It used to be good place to go for services, but becomes one of those where you go for simple maintenance and get bills for unnecessary services for few hundred or thousand $. I went there last weekend to change oil which usually costs about $70 and ended up having estimate to make repairs north of $1100.",1.6
6,"May 28, 2018","Initially, I did not want to deal with Fort Bend Toyota due to location and it’s customer service reputation, but when we were in the market to buy a new car for my wife in Feb ‘18, we decided to purchase at Fort Bend Toyota and the buying experience was good, and the salesman Victor, was extremely courteous and professional.

We brought the new auto in today for the first scheduled service visit and while there I was attempting to get a quote for truck rims in the parts department and the customer service was extremely terrible and it seemed the parts & cashier persons were not in the mood to be working.

It was difficult to give this visit experience a one star.

There is one more scheduled visit that needs to be performed for the new vehicle but after that will not be going back to Fort Bend Toyota.   Fred Bultman",1.8
7,"May 15, 2018",Johnny Nguyen has changed my mind about Fort Bend Toyota. Excellent service by him and the service department on my Tundra. In and out on oil and tires rotation. I will be back soon for more service on my 2007 Toyota Tundra.,4.8
8,"April 15, 2018",Just bought 2015 Toyota Highlander from a well knowlegable sales man. Victor Emebo provided an exceptional customer service with a great attitude and seems very knowlegable about the vehicle. i will surely recommend Fort Bend Toyota.,4.8
9,"February 21, 2018",Ms. Ruthann provided an amazing customer service! Wonderful sales rep! With a great attitude. Gave us all of the information we needed to complete our purchase. I  will definitely recomend Fort Bend Toyota!,4.0
10,"January 16, 2018",I’m always treated wonderfully. I always feel important and my car is always washed for me. Juan Perez works so hard to take care of all his customers.,5.0
11,"January 16, 2018",From the sales man of Mr. Popejoy to the service guys. They all are amazing the staff as well i feel just at home when i take my car to get it service thank you Fort bend staff Anabel Ortiz ,5.0
12,"January 15, 2018",I bought your 2017 Tacoma since March 2017 with loud noise in rear. I took the truck many times to complaint and all I got was a run around with bs from your service reps. Greg is the only one of your whole team recognized the problem and got it fix once and for all. Hurray to Greg. I will only trust Greg and no one else in your service team. The rest of the team is unprofessionally running off your customers with very limited knowledge if your products.,5.0
