,Date,Reviews,Ratings
0,"December 23, 2019","I'm sure it's intentional to get you in the shop, but Tony absolutely refused to look up our service history and answer warranty questions prior to service visit.  Rude, went from ""no cost, free"" to ""full cost, $250.""  Battery warranties are pro-rated and based on how long since Toyota installed them.  Bought 2 vehicles here, no more.",1.0
1,"April 25, 2019","0 STAR!
Scammers. Thieves. Liars. Don't EVER GO HERE FOR YOUR CAR MAINTENANCE! I ALMOST GOT SCREWED OVER BY FELIPE!

What kind of ethics do they not have?
Felipe Bibian, the service advisor tried to scam me out and lie to me that my tire alignment was off showing some technology that showed my car had some. Didn't even bother being nice or getting to know me, went straight for the sale and pushed into getting a throttle body intake service for my 2017 corolla. Showed me the pricing estimate and they were RIDICULOUSLY OVERPRICED!I've got sales experience and I knew right away something was fishy and fake.
Luckily I called my original place I take my car in for maintenance in baytown Toyota and the service advisor told me he used to work there and that this location would shove sales and unnecessary expenses down customers pockets and wallets for them to shell out. 

Food for thought: do your homework on how much maintenance should cost for your vehicle. Shop around and find someone that isn't lying to your face and be friend the dealership and stay loyal to them.",1.0
2,"December 29, 2018",I got timely service. in the sales side the management was very helpful and it worked out really good. From sales associate to the GM everybody was professional and they understood my need and I got the best deal in the town. I am so happy to be the member of Toyota Family. I love my Toyota vehicle. ,5.0
3,"December 27, 2018","My neighbor pass me their number, but he wasn't sure,  I try to make sure if it is the correct number,
but the line was cut off, I try many times after that, but I couldn't get through, then I realize that wasn't a bad cell signal,  she rejects my calls every time after hangup on me!

I called in this morning, but I have never received a callback",1.0
4,"September 28, 2018","DO NOT DO BUSINESS WITH AUTO NATION TOYOTA...
We went last year to Autonation Toyota in Pasadena to get a Nissan Pathfinder. We were happy with it until we started having the ""check engine"" light on. We had the vehicle for only a few days... We took it back to them and they told us that the vehicle needed a part and the part had to be order. It was ""free"" of charge since we had just purchase the vehicle. The vehicle was at the dealership for over 3 days. Keep in mind we had traded our car that was appraised for about 8k. So they let us use one of the vehicles they had available, while ours was getting fixed. Once we had our vehicle back the check engine light turned on again. Took it back to Auto Nation and they told me that they ""just forgot to reset"" the vehicle.... I was in and out within 15min. Well.... I went home, put a white towel underneath the vehicle and in the morning oil was everywhere! I took it back to the shop, told them I did NOT want the vehicle because it was having a lot of mechanical issues... This time they said they forgot to ""tighten the oil filter"". I said NO, I want my car back.... They said they had sold our vehicle but that they will try to get us another Pathfinder and in the meantime they would let us drive another vehicle while they find us another one. Took them about another week or 2 to be able to get us another one. Well after we finally got to see the new Pathfinder they noticed that the back door wouldn't lock and it would automatically open. They said it was ""just and electronic issue"". At that point it's been over a month and a half and we need a reliable vehicle and we didn't want to keep doing business with them. So the manager at the time Rick (which he is no longer working for them) was going to refund us our money. He did tell us it would take 4 to 6 weeks for them to get the title back and that they would payoff the loan and refund us for our vehicle trade in plus all the packages (which was about 6k in just add ons) we got at origination of the loan. Its about to be over 8 months and they are ignoring our calls and no one is taking ownership of the situation. We didn't get any money back from our trade in or the packages, and we also didn't get our car back. I will NEVER do any business with them. I wonder how they take accountability for this kind of transaction. How do they report this when it comes to the IRS? At this point my spouse and I have decided to proceed with legal action.",1.0
5,"July 15, 2018","Went there to return my leased 2015 Camry, and pick up a new one. I had a good sales man that spent good time explaining the features and we test drove the car. 

Keep in mind my 2015 camry was leased from this dearlership; when it was time to get the lease payment and price I asked the the salesman to check what would be the montly payment, he ask me to fill out a credit app, I told him that I will once I know what would be the price of the car and the payment amount. I am still shopping for a car and I can't fill out a credit app. at every dealerships, since it lower my credit score by getting hit with a hard inquiry on your credit report. I understand the payment depend on the score worthiness and I told him that my credit score is over 800 and if its not I understand if the payment amount changes.

The funny part start here.
His Genuis finance manager came back with these numbers
$445 monthly payment with $5000

$338 monthly payment with $7000
I got confused if i was leasing a Camery or Mercedes 
I thanked the sales person and I went to Mr.. Genuis and I asked him what the xxxx he was thinking? and if he really want to sell. 
He told me (It is the law that you have to fill out a credit app) not sure who told him about this law) I am sure not in Texas, second I am a repeated customer and they have all my info.
I left the dearlership and I went to Joe Meyers Toyota and I got a sweet deal. Never ever coming back to this dealership.

",1.0
6,"October 31, 2017",We went to take a look at a 2015 Scion tC 9.0 Series which was the only car I was interested in..we talk about the deal and everything seems to go great. We sign papers and go on our way with the new car home. We go back the next day to pick up our spare key and they tell us to go into the finance office only to tell us that we cant keep the car and to return it. I understand banks kick back a deal but they let you take the car home and tell you everything is set and you're good to go. The reason my deal was kicked back was because $30.000 was too much for me to finance. 3 days later I bought a Charger RT at Gulfgate with 0 down and financed $38.000. I dont mind deals being kicked back but the fact that they let you take the car home and tell you to bring back the car is just sad. ,2.0
7,"September 16, 2017","Waited 6 hours, had an agreement then they go back against what they said and now we are leaving without anything. Won't be coming back to this dealership.",1.8
8,"June 02, 2017","I had a great experience buying a new Toyota Tundra at this dealership. I found exactly what I was looking for, I got an extremely good trade in on my old vehicle, a good price on the new vehicle, a good rate on my financing and a good price on a 100 thousand mile warranty. Sales staff was superb and the management was Outstanding. 
I'll never buy a vehicle anywhere else.",5.0
9,"January 01, 2017","Best experience buying a car ever. I  walked into AutoNation Toyota Gulf Freeway and met with Scott Savage, sales rep. I told him what I was looking for and how much I was willing to pay after much research of course. Within 1 hour, out the door with a brand new RAV4. I would recommend Scott Savage anytime to anyone. 
Thanks Scott",5.0
