,Date,Reviews,Ratings
0,"May 26, 2020",I bought my second Passat at Clay. Salesman Herman Mansel was the most professional sales guy. I'm a customer for life because of Herman.,5.0
1,"March 26, 2020",Bryan Jackson was extremely helpful and went above and beyond on the purchase of our new vehicle. It truly was one of the best car buying experiences I have had and would recommend reaching out to him!  ,5.0
2,"March 13, 2020","When you go to a dealership with something printed off of the internet from the dealerships website......they NEVER have that vehicle in stock(this is called ""baiting"")!!!! Then I had a sales manager try to sell me a used vehicle after I showed him the NEW vehicle that I wanted and also told him that i wanted a ""NEW"" vehicle. To make things worse for me.....I called the next day to try to get someone to help me with regards to buying a new vehicle and they NEVER called me back. HOW CAN A COMPANY BE IN BUSINESS WHEN THIS IS WHAT THEY DO TO THEIR OWN CUSTOMERS????????? Clay Cooley is NOT a reputable business to do business with. RUN FROM THIS COMPANY!!!!!!!!!",1.0
3,"February 27, 2020","My sales person was Joseph and the manager I worked with was Bryan Jackson. Both these gentleman were very knowledgeable with the car, a  2019 (Golf GTI). The price and over all deal was very competitive and fair. It was a seamless transaction. I got good value for my trade also. The whole process was stress less  unlike previous car purchases I made in the past. I also was directed to the parts department and want to also complement the parts manager for his attention to customer service. It was a pleasure doing business with Clay Cooley Volkswagen of Richardson through the whole process, Joseph in sales, Bryan in management, and the parts manager! I would not hesitate to purchase another car from them if the need ever arises. Thanks, JR Stafford ",4.8
4,"February 27, 2020","Went to Clay Cooley, right at the parking we met with Herman Mansel who was very welcoming and helped us finding our perfect car. He made the whole process a breeze for us and remained patient throughout. He had a professional demeanor and is a true gentleman. Thank you, Herman for your help. We truly appreciate your professionalism.
- Guys with the Pure gray GLI.

",5.0
5,"January 29, 2020","This is the worst dealer for VW car service. I dont have experience with their sales, but i have been there multiple times for service.  Do yourself a favor and stay away if you need your car serviced. I had multiple bad experiences there, but the last time I went there was so bad it practically tipped the scale, ill never go back again.  They were bad before Clay Cooley took over the dealership, but its even worst now.  Just real bad customer service.",1.0
6,"December 18, 2019","Clay Cooley Volkswagen will not fail you!! My husband and I got new cars on the same day at the same time!! I brought my old car in for an oil change, and the rest is history. The staff here truly listens when you talk, I was just speaking out loud that I wish I could get a new car... well While I was waiting, I was met by Herman, he was so nice and made me laugh often. He asked me about all of my preferences, what I wanted and what I didn't want. He took some info and was back with results quickly.
I called my husband to meet me and we then met with Bryan Jackson in finance... omg he is an angel!! He took the time to explain all the financial information and what he was going to do. Well all I can say is, he is awesome!! He got us both 2019 new vehicles ( EVERYTHING I WANTED IN MY CAR by the way) and Lower payments then what we expected! I love this place!! I came back to get my car washed, yes the service dept is Amazing too! Everyone was still nice and helpful! If your looking for a car dealer, who makes things happen, and with a smile, you need to make a trip asap!! oh did I tell y'all that we do not have perfect or good credit.. go head, take a trip to Clay Cooley Volkswagen Richardson and tell them I sent you!!",5.0
7,"October 15, 2019",I was worried I wouldn’t be able to make the deal I needed and buy the car I wanted but everyone from my sales people to the general manager worked to get the deal done and I’m very grateful and happy with my new Jetta!,5.0
8,"July 30, 2019","
Sold me car extended warranty contract Not active
The dealership sold me extended warranty contract in 09/08/2017 for $3000 and when I sold my car later in 4/5/2019 went to the dealership to cancel my warranty for the car 2013 Lexus gs350 and one of the finance manager filled cancellation form and after 3 month still no refund, so I stop by and talked with one of the finance managers and his name Salvador Garcia told me he will find out with the corporate office about my refund in 7/5/2019 till today 7/30/2019 once telling me the corporate said they gave you the refund then said oh they said no one submitted cancellation to us then later said oh the warranty already expired and that is why no refund then said oh I don't know where your refund give me more time to see what the corporate office find out , so I contacted the warranty company direct to see what is going on and the told me this warranty contact never exit never been activated by the dealership and look like the dealership charged me in the financing the warranty cost without activating the warranty contract and today when I told the dealership about it that never been activated they said not our job to handle it we just trying to help you . Go by yourself handle it with the corporate office , it is been 4 months now and no one know where is my money , and I was without warranty while driving my car for almost one year and half .... the payment for warranty cost was add to the finance amount paid by usbank ( warranty cost $3000) ... need the full cost of the warranty refund it to me plus interest I paid on it  ",1.2
9,"April 30, 2019","
I have to say a BIG shout out and thank you to Darius in New Car Sales,  Todd the Used Car Manager and JR the New Car Manager for their patience, their humor, their drive to find exactly what we wanted in a car, for going above and beyond in every aspect of our recent New 2019 Jetta purchase. I was not all impressed with Terry in finance which is the reason we purchased it out right. Sorry Terry, no paycheck for you! Oh and I can't forget the guy who explained all the warranty options (i forgot his name but very much nicely dressed). No one really likes car salesman but I have to say these guys were 100% top-notch stand up guys during the entire process. I can't forget Kathy who answered the phone when I called to get pricing, she was not nice at all. I think she was at a different location though.  
",5.0
