,Date,Reviews,Ratings
0,"April 11, 2020","I had a great experience buying my new VW. Jay Richardson and Enrico Wood were very helpful. During COVID19, I was uncertain about going out to buy a car. However, they were safe and reassuring.",5.0
1,"April 07, 2020",The very best! Best in class dealership and service department. I wouldn’t consider going anywhere else for my service or new car needs. Amen!,5.0
2,"March 14, 2020","I have been a loyal customer to Momentum VW in Upper Kirby since 2017. Brought my 2017 CC Rline for service along with fixing the window rattering issue in September, 2019 and was put in wait list of loaner car by service consultant. Mr. Artif. I was told the availability of the loaner car will be in the final week of November or 1st week of December, 2019. 4 months after September 2019, I did not receive any calls or emails in regard to my loaner car so that I called to the dealership. Service consultant, Mr. Artif told me that the wait list had been discontinued since December of 2019. Because of the new management with the new system in 2020 at the VW Upper Kirby dealership, all the old loaner wait list of 2019 did not carry over to 2020. Immediately afterward, the service consultant, Mr. Artif transferred me directly to the 800 number to book a loaner car reservation without providing me an apology. At the 3rd week of January, 2020, I was scheduled to pick up my loaner car at the dealership in order to have my CC window's rattling noice to be fixed. Unfortunately, the VW Upper Kirby dealership did not have any loaner car available for me so that I was sent to the nearby Enterprise Rent A Car location for my scheduled loaner car. Upon arrival to the Enterprise Rent A Car, I was being asked to put a car rental deposit in regardless of whether VW Upper Kirby dealership sent me for loaner car purpose. I immediately called to the service consultant Mr. Artif of VW Upper Kirby dealership to resolve the situation because I am not renting the car for pleasure initially and I was sent to pick up my loaner car while my CC is in the service for several days. Should it be my fault that VW Upper Kirby dealership did not have it's own loaner car available for me on the day I was scheduled for pick up? Why do I need to put a deposit to a car from Enterprise Rent A Car which I am not renting it for pleasure initially by contacting Enterprise Rent A Car myself originally? I was asked to return to the VW Upper Kirby dealership. Upon my arrival, I talked to the service consultant, Mr. Artif and he promised me to escalate my situation to the newbie manager, Mr. Scott in order to have in house loaner car for me without having to use their 3rd party business. Now, it has been 2 months since the 3rd week of January, 2020 (today is March 14th) and I still am not being contacted by the service consultant, Mr. Artif or newbie manager Mr. Scott from VW Upper Kirby dealership. In my case, you can clearly see how is the current business ethic of VW Upper Kirby dealership in the new management of 2020. Are you actually being valued as a value customer? Where is their promising word? Should you seek for somewhere else for your next car service? ",1.0
3,"January 26, 2020","Jason Richardson went above and beyond to help me find the perfect car I was looking for!  After he showed me several cars at the dealership, I settled on the exact one I wanted. Adam made the final purchase possible, and I drove my new car home on the same day. Thank you Jason and Adam!",5.0
4,"January 24, 2020","Eli did a great job of presenting the vehicle and himself as a sales person! The price was right, and was satisfied with how all the people involved assisted in making the deal happen!",5.0
5,"January 21, 2020","Jesus made the transaction as painless as a car negotiation can be.  There were no surprises when I arrived to make the purchase, no last minute additional fees.  The ""out the door"" price was exactly what we agreed.  Jesus also fully explained the cars features before I left.  I will recommend Momentum (and especially Jesus) to others.",4.8
6,"November 17, 2019", Ashone Johnson thank you for everything. Love my car. Easy process sent me all the information I needed. I truly appreciate him and Momentum VW.,5.0
7,"September 30, 2019",Called concerning a used car they just listed. Salesman put me on hold while he went and personally made sure the car was available. Made an appointment to test drive the car that afternoon and was greeted promptly when I walked in. Casual atmosphere and people made the experience worth the drive.,5.0
8,"July 05, 2019",I purchased a 2019 Jetta SEL Premium. The sales team was knowledgeable and friendly. They gave me a great deal on my trade-in and purchase. I would highly recommend purchasing from this dealership.,5.0
9,"January 05, 2019","Purchased a 2019 Tiguan SEL Premium from Momentum even though I live in Austin.  Did all dealer price quotes and negotiations on out the door price via email and Momentum beat the best local dealer price by ~$1200 so it was worth a drive to Houston for the purchase.  The dealership looks first rate and the staff are professional.  I ran into a couple issues which I realized only after taking delivery of the vehicle and driving back to Austin.  First was with the paperwork having the incorrect VIN but this was corrected quickly via email and FedEx.  The second was with the Tiguan containing an incorrect owner's manual in the glovebox, this was also handled quickly via email and FedEx.  Overall the dealership was unbeatable on price, provided great feedback during the info gathering stage and provided great support to resolve issues that arose post-sale.  I did not use their service center so have no feedback there",5.0
