,Date,Reviews,Ratings
0,"June 10, 2020","I was very disappointed in the way your dealership did business this past weekend.  I drove from Laredo, Texas to buy a used Ford mustang posted online. I made an appointment and drove 2 hours and 45 minutes from Laredo to buy the vehicle. I also took the day off of work. The internet manager called me when I was on the road to make sure I was going to make the appointment. Upon arrival I was notified that the vehicle was going to be sold wholesale. I was upset considering I lost a day off of work,fuel and time. I then requested to speak with manager. I approached the manager Chris to address my concern, his response was I'm on a phone call and I dont want to lose my spot. I proceeded to voice my concern and he apologized while waiting on the phone. I was not his concern obviously since his phone call was more important than a would be customer. I am very disappointed with vw of alamo heights if I could give a negative star rating I definitely would. 




",1.0
1,"September 19, 2019","We just bought our 2nd new vehicle from them. Not going to lie.It started off on a bad foot, however the team rallied together and made us beyond happy. Unpleasant experiences will happen from time to time. What is most important is how they are handled. Oscar, Charles, the managers Chris and Ron, and the GM Tim went well out of their way to make sure were taken care of and excited about the buying experience. They all put in countless hours to make the deal happen.",5.0
2,"July 06, 2019","I was welcomed by Maricela and treated like a VIP.  She explained what service would be preformed and kept me advised as the work was in process. 

Excellent employee. ",5.0
3,"May 22, 2019","If you consider buying a vehicle from this dealership be very, very careful and review everything in detail.  My husband and I attempted to purchase a used vehicle paying cash.  We were told at the very beginning of the transaction, and prior to a test drive, the vehicle was a certified pre-owned and came with a 2yr/24K warranty.  We were told this again later in the transaction while negotiating price, and also when we came to pick up the vehicle.  As we were signing paperwork and right before writing the check I asked to see the warranty in writing.  At that time everyone acted like they didn't know what we were talking about and after we became upset and demanded the paperwork be shredded in front of us they admitted they took the warranty off because of the price they agreed to sell the vehicle to us.  Very underhanded practices at this dealership.  BTW we waited 2 1/2 hours for something that was supposed to take 30 minutes while they hatched this little plan.  Be very cautious.  Dealerships can be very scary with their practices.",1.4
4,"November 30, 2018","Completely unprofessional. Long story short, we reached a deal over the phone (  I live out of state) was approved financially, was told to call back the next day to complete the purchasing. So I canceled a hold of $500 on another car ( non-refundable) and low and behold, vw of Alamo dodged my calls the next day and sold it later that night. I seriously think they are complete  xxxx bags and I I hope they stub their toes late at night. But seriously, this place sucks. Not only because they sold the car we had an agreement on, also because they had  zero urgency with everything. One guy told me North Carolina bbq was better than Texas bbq, too. I thought Texans loved their bbq. That sums it up. Garbage. ",1.0
5,"January 15, 2018","Great people there at AH VW.  Also just decided to purchase my daughters Tiguan (which so far has been a great reliable little SUV) out of end of lease.  The VW call center people were really pleasant, helpful and well trained.",5.0
6,"January 15, 2018","This place provides very very good service, I have been there twice. I would certainly recommend Volkswagen of Alamo Heights to all my friends and relatives. ",5.0
7,"January 13, 2018","Serviced my car and got me out quicker than expected, and less charge than quote. Let me know what other service to my car I should check on soon.",4.2
8,"January 09, 2018",They new my name when they greeted me both when I dropped off my vehicle and when I picked it up.   They had everything ready for me to sign and explained everything.   Michelle in service was very personable and made me feel like party of the team. ,5.0
9,"November 30, 2017",Very friendly and knowledgeable staff.  High quality service. Recommendations of service options very low pressure. Service very prompt. I recommend highly.  Location perfect for San Antonio ,4.8
10,"November 25, 2017","Very efficient,  friendly, fast and pleasant experience 
Car was cleaned excellent service and price of maintainence reasonable would recommend my friends to Alamo Heights Volkswagen ",5.0
11,"November 10, 2017","My current vehicle was purchased new at VW of Alamo Heights, and I continue to use them for the service. Most times when I am having the oil changed I'll wait, but today I couldn't. The dealership got me home and then came to pick me up when my car was ready.

On every visit the service team has been consistently helpful and always prompt with repairs and accurate in estimates. Couldn't ask for better.",5.0
12,"November 09, 2017","Michelle Santivanez , very professional and helpful. Thank you very much for your help I appreciate.
And the service was very professional and fast. Thank again!!!!",5.0
13,"November 07, 2017","I did bring my VW car for oil change service during my lunch time. I got done on time and very professional, not to mentioned it's also got a complementary  wash and vacuum.",5.0
14,"October 31, 2017",Good personal service  need to return for other details pending thank you  I will off corse some time soon check your inventory for your 2018 models. Thanks again JCR,5.0
15,"October 31, 2017",I Was happy the custumer service. Excellant dealers and very helpful with everything. I Was very satisfid with all the help and will defently will come back.,5.0
16,"October 31, 2017","This dealership has been one of the best, if not the best one i have ever workwd with. Joe Garza was an exceptional salesperson, great experience. ",5.0
17,"October 30, 2017",Drove in from Laredo to get a Jetta and was so pleased with the dealership I ended up leaving with an Atlas too. Definitely night and day compared to service and attention compared to the local VW dealer in Laredo. ,5.0
18,"October 27, 2017",Very helpful in explaining what they were completing before and kept me updated throughout the day on status. Shuttle service provided to get me home. Price on the oil change is hard to beat. Washed and vacuumed inside my car. Very happy with the service and would highly recommend.,5.0
19,"October 18, 2017","Service was complete and was fully explained to me. Got full computerized report and price was reasonable. John is always ready to serve and friendly, customer-oriented. ",5.0
20,"October 17, 2017","Had an extra key made and programmed. The service writer, Chuck Hosek, was professional and courteous. He honored what they quoted me on the phone and got the car completed same day. ",5.0
21,"October 07, 2017","Mr. Serna, went way above and beyond and gave me the best deal in the services I was getting for my jetta. Best dealerships ever and will always purchase and gt my services there!!

Thank you all, ",5.0
22,"October 03, 2017","Michelle you have a winner’s attitude and I appreciate the fact that you take your customers seriously. I am extremely pleased with the quality of customer service provided to me. 
",4.5
23,"September 20, 2017",Terri our sales woman was the best at what she does. She went over and beyond our expectations. She worked with us to get the vehicle we wanted and for that we are greatful. Rodney the financial personal was also very helpful informing us of all the different type of options we had and so forth. Overall our experience was AWESOME. ,5.0
24,"September 14, 2017",We're clear with what the car needed now and in the future.  Fast and good service ! Ofered good options for transportation home.  Good and friendly environment ,5.0
25,"September 05, 2017","Thank you Alamo VW for pleasant experience in very convenient location. 
Don't move, we will be back. The location was also deciding factor for us . ",5.0
26,"September 02, 2017",From inception there was one on one service given. Mr. Kraft took the time to listen to our needs and then present the options that most closely met our desires. Once we established availability we narrowed down our selection compared the two top choices. This dealership truly demonstrated their commitment on ensuring that  we left fully satisfied with our purchase and not settle with any regrets. In the end we walked out soon thereafter with keys in hand and extremely satisfied with our purchase.,4.8
27,"September 01, 2017",David went above and beyond to make sure we were happy with our visit. Great customer service. We will be bringing our car back to this location. ,5.0
28,"August 25, 2017",I have been buying cars from here for years. It's the number one place to go for my family. I am never disappointed about the work they do,5.0
29,"August 03, 2017","A nice dealership, with friendly and helpful service people. My only negative, as minor as it is, was they forgot one of my valve stem caps.",4.6
30,"August 01, 2017",Chuck the service manager gave big welcome when I drove up and quickly diagnosed the sound coming from the engine compartment. Repair work was promptly done and shuttle ride was swift. Glad that I could use them passing thru San Antonio. Highly recommend the service department!,4.8
31,"July 29, 2017","Great people, great staff, great service. Will be back. I'm a person short of words. Not sure what else to say. If you have an issue with your vw, talk it here.",4.6
32,"July 28, 2017", I really like the place of how the people are nice to the  customer and I'm very satisfied customer and thanks and I will continue my service there ,5.0
33,"July 21, 2017","Minh Thach, my service advisor, was a big help. He dealt with my insurance company and communicated with me the entire time. He saved me both time and money. Appreciated all he did and the excellent service we received v",5.0
34,"July 14, 2017","We love our VW Passat. Our experience was amazing, again. Yes, this is our second VW. We we were lucky enough to get the same cars salesmen.  He (Ralph) made picking out a vehicle easy. Explained all the gadgets in our car and was very patient. ",4.8
35,"July 14, 2017",Service was outstanding. Highly recommend for service. Had wheel locks removed and was done quickly.  Also got car washed included in service and really appreciated that. ,4.8
36,"May 19, 2017",First time to use service- had an oil change done. Very fast Chuck Hosek took excellent car of me. The free car wash much better than other dealers included a vacuum of the interior,5.0
37,"May 30, 2016",I am completely satisfied with my buying experience with JD De La Rosa. He did everything he could to make sure I was not only happy with the vehicle but that it was exactly what I wanted. Never at any point did I feel pressured to buy. In fact it was quite the opposite. He was very patient with me. I will recommend JD and the staff at Volkswagen of Alamo Heights to anyone I know wanting to buy a car and I will definitely buy from him again when looking to make another purchase. ?,5.0
38,"January 30, 2016","Bought a used 2015 Passat from Terri and I want to say between her and Andy in finance, they made it the easiest car buying experience I have ever had. It was quick and painless. Thank you again Terri you where awesome!!!!

Judy Perez",5.0
39,"September 23, 2015",This place is a joke.  Don't buy a vehicle here.  I bought a low mileage used vehicle from them and car was found to have bent rims. Tried contacting Michael Davila and got no response.  Took them almost five weeks to pay off my trade and was one day shy of getting a 30 day late charge on my previous loan.  Still after over a month haven't received my plates because when they sent them out in the mail they didn't send them priority with a tracking number.  Worst dealership ever.  Buy from bluebonnet dodge next time.,1.0
40,"September 06, 2015","I purchased two cars from this dealership when it was Rod East, a 2006 GTi and a 2009 CC.  I wanted to trade both cars in on a new 2015 Golf Sportwagon. With Victoria's assistance I got an excellent deal and a fine automobile. I'm sure Bryan Pyle helped since he was my service contact from 2006 on. I do not hesitate to recommend Victoria Hammond in Sales and Bryan Pyle in Service.  I am most satisfied.",5.0
41,"August 21, 2015","This place was unbelievably great, especially our dealer; Val.  He went above and beyond, he really cares and wanted to help us whether is was late in the evening or any of the other many issues we presented.  He really worked with us to not only make the buy happen, but insure us that sometimes people really do take pride in what they do and simply want to help.  We even met with management who was also outstanding.  Thank you so much VW and Val. We will definitely be referring you as well as return in the future. ",5.0
42,"August 01, 2015","We recently purchased a 2015 Golf at this dealership.  This was the 3rd VW dealer we visited, and though all were great to work with, we really connected with Val at Alamo Heights.  Val was very personable and he gave straight, honest answers to our inquiries.  We appreciated his no pressure sales style and the fact that he was open to letting us view various cars.  In the end, we agreed on a price that we felt was very fair, and I was able to drive home in a brand new car!  ",5.0
