,Date,Reviews,Ratings
0,"February 26, 2020","My experience with this dealership has been exemplary!  Everything from the first meeting with our sales person, Cody, to getting the car through service for pickup.  We purchased the car within 24 hours of the car hitting the lot and it was over a holiday.  We agreed to the purchase prior to the car even making it to service to inspect the car.  They found a couple of items and corrected all of those issues.  Service had to order a part or two and I brought the car back a couple of weeks later and they repaired that item and also another item that was discovered with no hassle what so ever.  Brian was my service adviser and was amazing.  As I was heading out, one of the issues that was repaired triggered the warning light again.  He told me to schedule to bring it back in and they will get it taken care of.  I have not had the opportunity to do that as of yet, but hope to soon.  I have the car out of state and bringing it back is difficult to schedule.  They have bent over backwards to work with me.  It is for these reasons that I will return to Onion Creek VW.  I plan on upgrading in a couple of years and with this level of service, I will return to Austin to make the deal happen!!!  ",5.0
1,"November 07, 2019","I was devastated after I found out that my (newly bought) used car had $4K+ problems. An oil leak, water pump leak, torn bushing, alignment, the list goes on. Clearly the dealership I bought it from did nothing for it. Luckily, I bought an extended warranty for it and Felipe spent hours on the phone with them making claims and handling the inspector that the dealership sent. He helped me get EVERYTHING accounted for through the warranty I bought with the small exception of an oil change. Thank you for your excellent service!!!",5.0
2,"February 12, 2018",Always happy with their service and professionalism! I appreciate y’all always staying on top of the repair and not leaving me wondering where we are in the process. ,5.0
3,"February 10, 2018",Steve and the texhnician did a giod job of explaining what neeeded to be done and how long it would take. Needed to be somewhere later on a Friday so they even got me out early. Great dealer and great service! ,4.8
4,"February 07, 2018",I have taken my two cars to Onion Creek Volkswagen for regular maintenance and various service needs ever since they opened. They always provide quality service and really take care of their customers.,5.0
5,"February 07, 2018",I have owned my Jetta for just over 2 years now and have had all scheduled maintenance done here. Ken Wiley is great to work with and provided fantastic service. While waiting he kept me up to date on the process and the video from the service tech  going over the process was a awesome touch. ,5.0
6,"February 07, 2018","Happy as always working with Steven.  I was a same-day walk-on, and he kept me informed about what was going on, how long it will take.  There was a problem on the bill, and he saw it and got it corrected even though it was an issue with parts.  He is on top of his job and gets things done.",5.0
7,"February 03, 2018",Everything great except Carwash. Got there at 7am. Steven had me out by 7:30. He told me Carwash people got there at 7:30. But I left at 8 and still Carwash people hadn’t showed up.,5.0
8,"February 02, 2018",Scott is professional and honest. He made the time out of his busy schedule to deliver my new vehicle in person.  Can't get better than that!,4.8
9,"February 01, 2018","I always receive great service.  Stephen, the advisor is always very helpful and honest. The video sent by tech was very informative.  Wish the price wasn't as much as it was.",4.4
10,"January 12, 2018","I had a great buying experience at Onion Creek Volkswagen. Kendall Blythe, our salesperson, was knowledable and never pushy. I absolutely love my new VW Atlas. ",5.0
11,"January 08, 2018","First, the service entry area as well as the servicing areas are immaculate.  Second, every staff member I encountered was friendly. Lastly, all of my concerns, questions and service repairs were communicated clearly, leaving me with zero anxiety or questions.  Its always a pleasurable experience coming here.",5.0
12,"January 07, 2018",Outstanding customer service.  Thank you Logan  for assisting me on my trade-in.   The process was simple and fast. Pleased with my new  vehicle. I  recommend onion creek Volkswagen to anybody that is wanting to trade their vehicle in. ,5.0
13,"December 26, 2017","They are always friendly, always offer a quote, provide great service (a lot of times they check/diagnose for free), and do everything they can to make sure your experience is great!",5.0
14,"December 15, 2017","Kendall was very kind and friendly on our purchase.  He was very informative on our VW.  Went through all about the features on the radio, navigation, ac, backup camera, adjusting our rear truck door, etc.   Very good salesman ",5.0
15,"December 09, 2017","In and out service. As expected a slight wait. But I still don't understand why everyone complains??? If you ""don't have time"" do what I did, take the shuttle or get a loaner and let the dealer figure out the rest. The quick video was GREAT!!!! Will continue to return here.",5.0
16,"December 01, 2017","Stephen Berczik was very courteous and professional in directing the service of my car, and Casey Diriso provided excellent technical assistance. 
Steve followed up several times to make sure my car was functioning properly. ",5.0
17,"November 12, 2017",The overall experience was quick and easy. Ruben was very helpful. He helped me purchase the truck of my dreams. Very happy with my purchase!,4.8
18,"October 27, 2017","James Wilson and techs took great care of me. Timely, and professional service. Exceeded my expectations. They need to know they’ve got it right",5.0
19,"October 26, 2017","Purchased a part and tried to return it in less than 5 minutes, without ever leaving the parking lot; was flatly denied.
Sorry, buy I would never go back to this particular location.",1.0
20,"September 08, 2017",Ruben helped us get out of a bad car and into a good one SEAMLESSLY! His attention to our needs and our previous negative experience at another dealership made us feel understood. Ruben was patient and worked with us through our scenarios (purchasing vs. leasing) and gave us the space we needed to make our decision. Many thanks Ruben!!!,5.0
