,Date,Reviews,Ratings
0,"June 26, 2020","I waited a week to write this review, and all I can say is THANK YOU THANK YOU THANK YOU to Russ Ali and his team. I literally texted Russ on Thursday evening about a convertible I wanted, and by Friday lunch, I was signing papers and getting ready to drive out my vehicle. If you are looking to buy a car in Houston, even if it's not a VW, call Russ Ali first. Why?
1) He's super honest and direct: this was my first car and he gave me all of the details I needed to make an informed decision. He knew I had a demanding job so didn't play the ""tricks"" or put unnecessary pressure on me. He made what is usually a stressful process super easy.
2) They are all about quality: my car is 2016 but looks brand new. I can tell that they pride themselves on offering solid cars and I am forever grateful
3) He cares: he took time to listen to my situation and concerns. He made sure I found something that was within my budget, my style, and safe / reliable. He also gave me advice and guidance on not only the car buying process but everything else. He knew that I wanted to show my parents the car so patiently waited for me to get their opinion before finishing
4) The whole team is amazing: buying a car during a pandemic is not easy for anyone, and they showed me and my family so much compassion and care. From sanitizing / wearing masks to reducing my need to do any extraneous tasks or jump through unnecessary hoops, every member of the staff was a pleasure to work with.
5) Transparency: There were no hidden costs or bait and switch. He honored what he advertised and was transparent about what deals / specials he offered other customers which I appreciated.

It's really hard to put into words how amazing the team at West Houston VW is but I'll close with this: no matter where I go or what I do, I have a feeling I'll be getting any and all of my cars from West Houston VW from now on.

",5.0
1,"December 26, 2019","West Houston VW had a vehicle I was interested in purchasing; I contacted them through their website, where they ask you to do so for today’s best price; I did so and I included the fair price I was ready and willing to pay; I received a follow up phone call from Matt Nazar stating they don’t negotiate over the phone or email for fear of being undercut by another dealer—that seemed reasonable; he suggested I come out to the dealership, so, I scheduled a meeting day/time. I was told they would have the car outside ready to review and drive; that didn't happen, the car was on the showroom floor when I arrived, and I was told something I thought very odd for a car dealer...  “they don't allow test drives before purchasing”.  
They also told me they are the #1 VW dealer in the state, their website says family owned and operated… we treat you like family… truly committed to having Really, Really Happy Customers, etc., yet, they don’t allow test drives before you purchase one of their automobiles.  So much for treating customers like family or being committed to having Really, Really Happy Customers, etc. Hopefully VW North America can confirm to me their status as #1 and the policy of not test driving a car before purchase. In the meantime, here’s one cash buyer who will not recommend West Houston VW to my family, friends, employees, customers or their friends and family, etc.  Can you imagine not test driving a car you want to buy?  Me either.
",1.0
2,"November 06, 2019","We bought a new Volkswagen in October.  Lorie helped us thru the whole process.  She was very patient and professional.  We test drove few different vehicles. Lorie rode with us, explained the functions thoroughly and answered all of our questions.     We purchased the car the same afternoon.  The finance person was very nice also.  
  ",5.0
3,"November 01, 2019","I will try to make this as succinct as possible as my unabridged story is a long one.  I purchased a second VW Golf at WHVW (11/17/17) the first flooded in Hurricane Harvey.  Eduardo was the salesman for both…Good guy.  They took it to the back for washing and presale inspection (shown on invoice).  After completing paperwork, I went out to drive off the lot.  Prior to driving off I did a walk around and found a fairly savage door ding with associated paint damage (to the metal) that was not there 30 min prior (after a presale inspection, mind you).  They supplied me with a loaner and had their body shop do the repairs.  I picked up some days later and drove off (11/24/17).  Noticed a vibration about the car as though a wheel was out of balance and assumed that it was the textured or uneven concrete of the highway but later recognized it wasn’t the pavement.  I brought it back in a few days because of a fuel door that wouldn’t close properly (11/28/17).  I explained the vibration to the service guy (Reginald) he drove it and said he could not feel the vibration.  I asked if he had checked the wheel balance as requested, he then asked the guys in the back to check the balance.  Said one was out “a little” holding his fingers to show a little.  I drove off and continued to feel the vibration as before.  This went on for my 10k, 20k, and 30k scheduled maintenance, each time bringing up the vibration.  The 10K scheduled service invoice does not show that I mentioned the vibration.  However, It does mention that the “Next Service recommended 70 k 6 cyl Touareg”  (which I do not own).  But, I recall bringing it up with (Nicole 6/9/18).  All in all, I ended up with two “wheel balancing’s”, one 4 corner “alignment” two rotations and three to four test drives.  Each time they denied feeling the vibration, yet all of my friends could feel a vibration.  I moved to another city and took it to the Abilene, TX dealership ASAP.  The service guy said he could definitely feel the vibration and put the car up on a rack.  He found a bent rim and a “very” out of balance wheel (.75 inner/1.50 outer).  He balanced the wheel and the vibration was almost removed but I could feel the out of true rim.  The Abilene service representative also said that an alignment didn’t appear to be performed on the car as he showed me the factory markings across the nuts demonstrating that they were not turned since initial assembly.  In addition, there were no tool markings on the nuts and such.   So, these folks at WHVW stated they performed a wheel alignment, by the evidence available to me and a service mechanic (in another city) with 17 years of experience, no alignment was done.  It also appears that no balancing was done or they would have noticed and remedied the out of balance and bent wheel.  It seems as though the inventory at WHVW is mishandled, as I had a significant door ding and a bent rim at the time of purchase.  I identified the door ding but did not identify the wheel problem till I went to another dealership which noticed quickly.  BTW, I had the rim fixed at Wheel of America in Houston (Great shop!) and now the ride is as smooth as silk.  Also, I have all my service paperwork from WHVW to back up my story.  Most of the folks at WHVW seem quite nice but something is amiss in the service department and I really hope it doesn’t run anywhere else.  I called Corporate explaining my issue to them.  Corporate said that they would forward my issue to WHVW and that since most/all VW dealerships are franchises there was little more that corporate could do.  I asked the young woman at Corporate VW (customer care, I think) if this was it??  Is there anything else that was going to be done, like a refund of the services that arguably were not done.  She said well, I could call you and let you that WHVW received the forwarded complaint.  I said ok and thanks for hearing me out.  Have not heard from anyone at VW so I have to decide to write a review outlining my experiences at WHVW.",2.0
4,"August 29, 2019","Been going to this place for over 5 years, thought they were ‘a little’ expensive but obviously happy enough with the service. However 2 days ago I was told my crankshaft was worn and presented with a $2500 invoice. I told them I had a power train warranty on this car. Hi he warranty company obviously doesn’t want to pay up and now I’m being told they just needed to top up the oil and things should be ok!!! Without warranty I would have trusted the technician and paid up $2500 for what’s apparently an oil top up!!!!!

Needless to say I don’t trust a word they say anymore and I’m questioning the $9000 (!!!!) worth of invoices I picked up from them over the last 6 years.........

When asked what they can do for me the answer from the Service Manager (Chris) was quite simply ‘nothing’, please pick up your car with topped up oil and return the loaner.....

This weekend I need to go to Dallas and they obviously want to use me as a guinea pig to see if the car is driving ok now.....

I’ll rent a car for the weekend (not taking that gamble with 2 kids in the back) and will never ever return to this dealership (except maybe to talk to the GM and see what he thinks).

I’m from Europe and I was always told customer service in the US is great.....well it definitely isn’t at VW West Houston.....going from a $2500 invoice to an oil top up......SHAMBLES!




",1.4
5,"August 05, 2019","I am so happy with my new Atlas, if you looking for a new or use car you need to go with Lori she is not the sale team that is pushing you to buy, when i talked to her she explained to me the whole process and let me decided, I am from Dallas and drove 4.5 hours because I couldn’t find a good sell person in my area, Lori know what a word means and I am so happy everything works out. If you looking to buy a car Lori is the way you need to go.",5.0
6,"July 18, 2019","Service/parts Manager (I only use manager in the sense it is his official title - not how he handled the situation) CHRIS, is nowhere near having the attitude of a manager very rude basically saying Im lying about having bought my Vw car battery there because to begin with it has some letters on it that only They should have possession of. The battery just lasted a little over a year and a half and that is why I am going back to get a replacement. He didn’t even bother checking his system to find a receipt for us since we don’t have it... he kept saying nobody of his employees could have sold it to me so again he was insinuating that I stole it from there?! We gave him specific month and year when we bought it so he can check his cameras or his system easily, for proof, but something was keeping him from even wanting to check. He says his cameras can’t go back two years and there was no way he could find a receipt in his system for 2017... with this technology it is impossible to believe. It has been such a bad experience after being a customer year after year to get our oil changes since we bought our VW. Something is very fishy in that location.. his face said it all. Won’t ever go back. ",1.0
7,"June 20, 2019","I took my car to your dealership and will never go back the staff was very polite but it was heartbreaking to see the employees without AC in this Texas heat. They were soaked with sweat
What kind of owner does not value his employees enough to give them AC at least during the summer!!!!! Not enough profits to share a little! Wow ",3.8
8,"June 18, 2019","This is my 10th VW since 2006 and I purchased 8 of them right here at West Houston Volkswagen!! 

Lorie Haines was my salesperson for the last 2 bought in January & May of 2019!! Great deal in January so I came back for another car in June!! I'll definitely be back when I'm ready for a new car in a few months!!",5.0
9,"June 10, 2019",We had such a great experience at West Houston Volkswagen! Ms. Lorie came out to greet us right away and was SO helpful and knowledgeable about the cars. She was extra sweet and patient with me and my Mom. I ended up going home with a super cute Tiguan SE and I could not be more happy with it. We got a smokin' deal and Lorie made the process so smooth and enjoyable. She even put a big bow on it and let me pose for a picture. Overall definitely recommend!  ,5.0
