,Date,Reviews,Ratings
0,"April 26, 2020",Very disappointed.  They call me to say I have 4 recalls and need my car for 2 days.  But they do NOT have a loaner car.  Will never buy from them again,1.0
1,"February 07, 2019","Excellent service and price, I was surprised. Plus got a nice bonus car wash and a detailed service history of what is needed in the future",5.0
2,"February 06, 2019","My 2013 VW was having an over-heating problem , I called and Willie got me in the same day! I barely made it into the service center before my car overheated. I was so worried, Willie helped reassure me, I was provided a loaner until my car was ready- which only took a couple of days. They had a big job ahead of them replacing many damaged parts.

Upon the return of my car, the battery decided to die with no previous warning. The Service Manager and Willie truly went above and beyond to make my ordeal as painless as possible.  I really appreciate all their help.  They were truly my hero’s!  I’ve never had better service anywhere!

Thanks JV VW!!",5.0
3,"November 30, 2018","Where do I start? Wellie you are a lifesaver (Hint). I had an issue with the heating. I was given a loaner for a couple days. Once my part arrived,I was in and out In 30 minutes.Hands down Willie you are the best.",5.0
4,"November 21, 2018","Great as usual. Facilities are superb. Staff is friendly and very efficient. Would strongly recommend this to friends and family, work is always performed correctly the first time",5.0
5,"September 26, 2018","I contacted the dealership the day before to coordinate a visit for the next day for a new car purchase and to verify the vehicle I had been looking at on line was still available.  I arrived the next morning and met with Richard Acosta and we checked out the vehicle, he was very helpful in explaining the various items and accessories in the vehicle, he arranged for the inspection of my trade in vehicle and worked with the department manager to make the purchase happen.  I met the Service Center manager and the Sales Manager and everyone was very friendly and made me feel welcome in their dealership.  After finalizing the purchase Richard spent some more time with me in the vehicle demonstrating the operation of the systems and even helped sync my mobile phone to the cars system.  I highly recommend Momentum VW of Jersey Village for your next new vehicle purchase, fair prices and honest people make for a stress free purchasing experience.",5.0
6,"June 28, 2018",VW Jersey Village did a great job servicing my Jetta. Greg Johnson was very thorough and I appreciated him for helping me even after I changed my mind last minute about my battery replacement. ,5.0
7,"May 21, 2018","This review is more based on the vehicle service center and not the sales floor. I arrived at the service center at 6:50am in need of an oil change. I was the first person there and another gentleman showed up about 5 minutes later. The center opens at 7:00am so I had no problem waiting for them to open. That wasn't my point of concern, it was the amount of time I had to sit there just for an oil change. I was told it would take about 45 minutes to complete the oil change. That in itself is not an absurd amount of time but quite a bit longer than I had expected at the dealership when it was just another man and myself. Once again that wasn't the timing issue I had, it was the fact that I watched my car be lifted, the oil changed, and then taken down off of the lift. I waited about 15 minutes and inquired about my car. I was told that it was probably getting washed since they hadn't pulled it around to me yet. Another 10 minutes passed and still nothing so I went to search for my car. I found it sitting by the car wash all by itself still not washed. I had to argue with the service advisor to pull my car around so that I could leave. I didn't need or want the wash at this point. Now to the second part of my title. Online it was stated that the oil change would cost $79.95 but in store the price was $89.95. When I brought that to the service advisor attention he told me he couldn't find that price online but that he found a $25 coupon that he could apply. I found the price online and showed it to him on my tablet. I was told that it was a special sales price and that he couldn't apply the sales price and the $25 coupon. It was not stated anywhere on their webpage that it was a specially discounted price, it was just the regular price for an oil change. I'm thankful for the coupon but if I hadn't said anything I would have been charged $89.95, $10 more than what was stated online. Overall I was not happy about the service I received. I wasn't happy about having to argue to have my car pulled to the front after it had been sitting unattended for no reason for a lengthy amount of time. If this place was busy I could forgive them for taking longer than usual but when it's just another guy and myself. There is no reason I should have had to wait an hour and 15 minutes past their opening time to get something as simple as an oil change. I assume the car was forgotten about since it was just sitting there for no reason. ",1.6
8,"May 11, 2018","The visit was awesome, everyone was friendly,and professional. I would most definitely return, and would recommend to family and friends. Thanks again for as all that you did. 
",4.6
9,"January 27, 2018","Was professional, open and efficient in getting the car we wanted for a fair price.  We communicated first on line for a specific model and form there it went smoothly.  Highly recommend this dealership.",5.0
10,"November 03, 2017","Everyone that worked there were very nice and outgoing. Especially John, he made the 3 days I spent there better than the first day, overall great salesman!! ",5.0
11,"September 14, 2017","Expensive, but they do quality work provided that you can afford it. May want to get estimates elsewhere especially with regard to parts, before proceeding with any repairs here. ",2.0
