,Date,Reviews,Ratings
0,"June 22, 2020",I had a great experience when I dropped the car off for a recall notice and a scratched tire.  I would definitely bring it  back again. ,5.0
1,"June 21, 2020","Having a problem with my 2013 Volvo XC 90, I thought I would follow Ray to this location to check out their service department. He knew immediately what the problem was and took the time to answer all my questions. A loaner vehicle was offered and stated they would have to get the part. To Cut my story short, I am a satisfied customer. Thanks",5.0
2,"June 06, 2020","The method for which this dealership runs its service department check-in process as well as the estimate for repair cost process has proven to me that my vehicle will be serviced and repaired with the standard of Excellence and I will not have to be concerned about quality. 
Raymond Coleman check me in and was very knowledgeable about my concerns  and asked additional questions to ensure always properly understood. Then Richard foresight in the service department provided and easy to understand cost estimate detailing repairs that were needed immediately and why they needed to be repaired with photos.
I have confidence in this dealership that my service and repairs will be done to a high standard of Excellence and I will not need to be concerned about quality.",5.0
3,"June 02, 2020",We had a great experience and Chris was awesome to work with.  The finance dept. was effieicent and professional as well.  Probably the best new car experience we've ever had.,5.0
4,"May 30, 2020",Christopher and Daniel were very pleasant to deal with and excellent follow up service to see how we were doing.  Very pleased with the car ,5.0
5,"May 30, 2020","Ray was great! Spoke with him on the phone about getting my tire repaired and he was fast, friendly, and helpful. My husband took my car in where they repaired the tire and after inspection we had 2 brake pads replaced. The service was great and they even washed my car! I have been to other dealerships that are significantly less friendly and everything takes 5x longer than expected. The service and speed was superior to anywhere I have been before. Definitely going to come back again for any future services needed. Kudos to Ray and the whole team at Volvo!",5.0
6,"May 27, 2020",This was my first appointment with the service department. Everyone was very pleasant and they all wore a mask.  I waited for my car and it was serviced within a short waiting period.  They also washed my car for me!,5.0
7,"May 23, 2020","I had my car (Volvo XC 60) serviced at this dealership and service advisor, Ariel Flores was very helpful and did an exceptional job. Really satisfied with work done on my vehicle.",5.0
8,"May 12, 2020","To date, I've probably been to this dealership 5 times, mostly for service but once for a test drive.  The overall customer service is very good.  I never feel pressured when I go in there. I dealt with about 5 people there and the level of service was consistent.  Would definitely recommend.  ",5.0
9,"May 08, 2020","Excellent service. as always. Very modern and beautiful facility. 
Also a pleasure to visit and enjoy the atmosphere while having the services.

Thanks to everyone for your time.",5.0
10,"April 25, 2020","Normal service visit, easy to schedule, reminders as well.   Used the valet service, the Volvo valet app was very useful.   Great experience all round, and a very nice job with cleaning the car.   ",5.0
11,"April 25, 2020","Outstanding experience, worth the drive.  Never rode in a Volvo until the day I purchased one.  Cannot believe the quality.  Very upfront and honest people. ",5.0
12,"March 25, 2020","Chris and Maurice have been very professional and very patient in helping us selecting the car that meets our needs, and in accommodating our preference on color, and in closing the deal. The whole process has been a pleasant experience.",4.8
13,"March 21, 2020","Ariel has been outstanding in calling me daily and keeping me up to date and explaining what's being done and what needed to be done.
I would have give five stars on quality of work but they gave me the car back with it still making noises and the brakes acting weird so I had to bring it back to them to be fixed better. ",4.2
14,"March 15, 2020","Ray is always great! He will definitely be a pro with the Volvo Care program, because I have definitely used it. Already ordering another one.  ",5.0
15,"March 08, 2020","Volvo West Houston is the most amazing Volvo dealership! I just truly cannot say enough wonderful things about them. We owned a 2012 Volvo XC90. It was a dependable well built SUV. We had no problems with it. We decided to trade it in for another Volvo XC90. The new design the amazing tech ,there dependably and above all Volvo’s commitment to safety. Are the reason why we love Volvo. We purchased a CPO 2017 XC90 t5. I don’t think I would get any other SUV for so many reasons. The customer service is outstanding. Everyone is so helpful and attentive. Adrian Isaacs always goes above and beyond and he should be recognized! The service department shines. Every single employee is so decimated to their job and they run like a well oiled machine. When having some work done on our new CPO Volvo XC90. The service tech explained everything that would be done. On picking it up the same detail of what was done explaining everything!Plus the Volvo was detailed it looked beautiful! There is never any waiting around or wondering what is going on. You are always taken care of. The communication is superb. 
The waiting area is always so clean. There is TV., drinks, snacks, whatever you want. They make you feel so comfortable. 
The dealership is always sparkling clean , even the shop...it’s insane! People are always holding doors open for you, greeting you, making sure you are taken care of, getting stuff out of your car and transferring to the complimentary loaner they provide, which is always nice. 
Thank you Volvo West Houston and Adrian for taking care of my family and  would also thank the GM  Lionel Garcia of Volvo West Houston extremely helpful in getting us the right deal for my family. My wife loves her new Volvo XC90 you’ve made her very happy! 
Thanks, from the Royster family
",5.0
16,"March 01, 2020","Absolutely the most professional, welcoming, and hands-down positive car-buying experience I have ever had. Everyone at Volvo Cars West Houston made me feel so welcome and I  have to specifically thank both Adrian and Daylan, who made the experience leaps and bounds better than I hoped for. I never thought I would be driving a Volvo again so soon, but Adrian went above and beyond to get me into a safe, reliable, and stellar Volvo that makes me feel so incredibly safe and taken care of each time I get in it. He knew exactly what I was looking for without even having to ask and got me the best deal on the perfect car. I can't thank the staff at this location enough. They truly know what they are doing and look out for the needs of their customers. I absolutely would recommend to anyone looking at purchasing a new vehicle. I am so incredibly happy with my decision and can't recommend this location enough. They are top tier when it comes to customer satisfaction, knowledge, and truly knowing how to connect with their guests and meet their needs. 5/5 stars; I'd rate them higher if I could. Thank you again to everyone at this location for you superior help. ",5.0
17,"February 25, 2020","“Excellent Car Buying Experience”
This was my first experience with Volvo West Houston. BEST car buying experience I have ever had!  Adrian Isaacs was our sales rep and he was fantastic. Only had to deal with one person for the entire purchase. My wife and I purchased a certified ore-owned 2917 Volvo XC90 that was impeccable condition and the price was below market! Adrian was very personable, professional and efficient in processing the sale. I would highly recommend both Adrian and Volvo West Houston for your next car purchase. 
Thanks again, from the Royster family",5.0
18,"February 18, 2020","Clearly explained 
All possible scenarios if delayed repairs .
Suggestions for continued proper vehicle operation and safety of operators and passengers, are welcomed. The customer care is awesome ",5.0
19,"February 09, 2020",Very professional service representative. They kept me informed on the status of the repair on my vehicle. Notified promptly when the service was completed and the vehicle was ready to be picked up. ,5.0
20,"February 08, 2020",Dealership failed to provide me with a license plate before my temporary paper plates expired.  They refused to offer plates with extended expiration dates. They (management) efused to offer a loaner vehicle and told me I would be contacted a  full 4 days after my temporary plates expired. Their service to customers who have made purchases is bottom level at best.,1.0
21,"February 03, 2020",Very hard working and professional in his approach. He was able to work me in since I had no appointment and repaired my vehicle and even had it washed. How great is that.,5.0
22,"February 01, 2020","As usual, Ray at Volvo West Houston was incredible!  Our SUV had been broken into and the repair exceeded expectations.  They also worked with our insurance to make it an easy experience.",5.0
23,"January 29, 2020",My routine maintenance with the service department was superb. I was kept informed the entire time and the services performed were explained fully and completley. ,5.0
24,"January 25, 2020",Great help!  Great service and they were very accommodating to customers needs.  No pressure towards us purchasing the 2018 S90 Volvo!  Love my new car!  Will definitely recommend!,5.0
25,"January 23, 2020",Dennis was a great salesman. He was very helpful and funny aswell. The dealership as a whole was beautiful and service throughout was great. I wish every car buying experience could be this enjoyable ,5.0
26,"January 18, 2020",Good work. Exceptional service and friendly treatment. Like to visit dealership time to time for any new models. Will go again to be serviced at the San]me dealership. ,4.8
27,"January 16, 2020",It's great to have such a reliable dealership conveniently located to my home.  I wish all businesses were this trustworthy and professional.  The mechanics really are experts in their field.  ,5.0
28,"January 14, 2020","They did a great job to really address my issues. I appreciate how they took time to make sure things were truly resolved, not just get me out of the door. ",5.0
29,"January 08, 2020","When I came into the dealership there was no pressure at all, I stated I was just looking and the response was have a look around and I will check with you if you have any questions.  Daniel Hensley was the person who met me on arrival and was attentive but not a pest.  My wife was not with me so my daughter and I just were having a look at different options of the XC40 and 60.  We came back the next day with my wife and drove both deciding on the 60.  The dealer did not have the exact car we wanted but found one without any issues and had it delivered.   The experience was a good one from Daniel and his manager in getting the car to the dealership especially with the holiday's.  Truly a great car purchase experience and wonderful folks at the dealership to deal with.  ",5.0
30,"January 04, 2020","The service was fast as well as very simple and easy. The salesman that helped me, Daniel, made it a simple and pleasant buying experience. Thank you Daniel!",5.0
31,"December 20, 2019",My wife and I just walked in to see what the XC90 had to offer over our Audi Q7. I have to admit that the service and attentiveness provided by Adrian and Maurice sold us faster than the car itself. The XC90 became our next adventure but the top shelf experience is what closed the deal. Stay great guys !! Ill chase as many folks as I can your way ........,4.8
32,"December 16, 2019",I hate buying cars...but this dealershiphas an amazing salesman.   The dealership made the experience easy and enjoyable.  Will definitely return when in the market.  ,4.7
33,"December 11, 2019","Welcoming & Service are the most important words that describe my experience. Non of the high pressure, fast talking, sell at all costs experience. 
Highly recommended.",5.0
34,"December 10, 2019","The service team listens to my concerns and then addresses them. None of the ""we couldn't find the issue"" type of response from this dealership. I recommend making the trip to get your service here.",5.0
35,"December 10, 2019",Needed service on a quick turnaround during the holidays.  Made an appointment and had the car ready for the road the next day.  The complementary car wash was a much appreciated bonus.,5.0
36,"December 05, 2019","Ariel was very attentive and kept me updated on the progress of my service. He was also very accommodating even though I accidentally showed up 2 hours late for my service appointment. Thank you, Ariel for your kind smile and rear customer service! ",4.8
37,"November 27, 2019","Great all around service - Raymond was great - it was very friendly, fast, and reliable.  The dealership the cleanest and most efficient I have ever experienced.",5.0
