,Date,Reviews,Ratings
0,"June 26, 2020","This was not the first time I purchased a Volvo from the Austin dealership. Brian made this purchase smooth and flawless. On top of that, he delivered the car right to my house, some 30 minutes drive from the dealership. Great experience overall.",4.8
1,"June 13, 2020","Emmett Vick was fantastic! He loves his job, made my husband and I feel welcome and unpressured to make a decision, and very well versed in all things Volvo (and more)! Highly recommend purchasing from him at Volvo Cars of Austin (Texas)!",5.0
2,"June 13, 2020",Michael Froelich was great to work with!  Very attentive and very thorough.  Third car purchased from Volvo of Austin and really appreciate the way they took care of me.  Michael is my dealer of choice!,5.0
3,"June 01, 2020",Chris White was great! We purchased our new XC40 and the experience was very pleasant. The rest of the staff was also very professional. Highly recommended!,5.0
4,"May 27, 2020","Dylan at Volvo of Austin turned the usually tedious task of buying a new vehicle into a super fun, effortlessly smooth and personally tailored experience. He was incredibly knowledgeable, superbly attentive, and genuinely friendly. Stellar customer service- even the finance office had me in and out in a breeze! I would 100% recommend Volvo of Austin to anyone looking for quality customer service and selection. Thanks, Dylan! ",5.0
5,"May 18, 2020","For the last several years, I have bought only Volvo Certified Pre-owned vehicles.  Finding them can sometimes be a challenge...I live in NW Louisiana and I've bought cars from Volvo dealers in Dallas, Houston and now Austin. The negative thing about buying cars is always the games dealerships play - I hate that. I'm happy to say that Volvo Cars of Austin played no games. Dylan Radzavich was a pleasure to deal with. I recommend him whole-heartedly.",5.0
6,"May 14, 2020",This is genuinely the very BEST car dealership in Austin and Dylan Radzavich is a big part of that! I had to replace my car because unfortunately it was totaled from a car accident. I had contacted a few dealerships in the area and scheduled showings to view them but I also had questions about the difference in features as some were 2014 and some were 2016 models right from the get go Dylan was genuinely warm and friendly and answered all my questions with enthusiasm and genuine concern about my wants and needs. I never once felt pressured or pushed; rather Dylan and his manager Brian just wanted to make sure that I felt confident in purchasing this vehicle from them and that this would be a safe and reliable car. Also worth noting was how CLEAN the dealership was which is especially important admist what's going on in the world right now! I don't want to get too much in to speaking ill of other dealerships but this one truly gleams above the rest in everyway! Dylan and his manager Brian and Lee (I believe that was is name) in the finance department are all truly wonderful and kind people and they stand behind the vehicles they sell. It is particularly endearing about a dealership that runs on ethics and golden rule in general and this place absolutely does!!! They deserve so many more stars then just 5 I'd give em a million if I could...,5.0
7,"April 29, 2020",Very helpful and friendly staff willing to work with me and answer any and all questions I had!  Would recommend for anyone looking for a new nice vehicle! : o) ,5.0
8,"April 10, 2020","My son found the vehicle he was looking for (pre-owned VW Golf-R) at this dealership. He was able to engage Mr. Frohlich online and got the details he needed, negotiate an acceptable price for the vehicle, the valuation of the trade, and the rate we were willing to accept on the car loan. Then we went to test drive it and make sure we were happy. Total time at the dealership was about 90 minutes.",5.0
9,"March 03, 2020","We had the best, most stress free car buying experience at Volvo of Austin with Emmett. He is super knowledgeable, upfront and fun to work with. ",5.0
10,"February 27, 2020","My experience buying at Volvo of Austin with Emmett was one of the best car buying experiences I've had. We came in with limited knowledge about Volvo but were quickly impressed with the facilities, our sales rep,Volvo's approach to building safe cars and adoption of PHEV technology (a requirement for our buy). Emmett worked with our schedule and our needs and ultimately went went to bat for us to complete the deal. Also, having been to a number of dealerships over the last few months, I was impressed how well he knew their product as compared to other reps at competing brands. We worked off and on throughout the week in a flexible manner ( while not onsite ) to finalize numbers and then came in to finalize it. It was an incredibly smooth experience overall. The car has been impressive since then and we are so far extremely happy with the purchase. I will be recommending Volvo Cars of Austin and Emmett in particular.",5.0
11,"February 21, 2020",I recently purchased a car from Dennis Cardona. He was incredibly knowledgeable and patient and made sure to keep me informed about the entire process. I felt comfortable and cared for with Dennis and he made sure to address all my concerns and let me know all of my options. He also went above and beyond to make sure I could get my tint taken care of the same day. Dennis really stood out to me and went the extra mile to make sure I left satisfied and happy with my purchase. ,5.0
12,"February 18, 2020","I really enjoyed working with Chris White at the Austin dealership!  He tirelessly answered my questions, was prompt with communication, and even handled scheduling my window tint before pickup!  Very pleasant and super knowledgeable!

Appreciatively,
Patrice Biermann",5.0
13,"February 09, 2020","Emmett and Grant were really great to work with.  We had worked with Emmett to get my wife's XC60 about a year ago, and while I was in the market for my new car they helped me find exactly what I was looking for.  Shannon is also extremely helpful and pleasant to work with.  My favorite car-buying experience, hands down.  ",5.0
14,"February 07, 2020","My husband and I came in just to test drive the XC40... Had other cars in mind at the time.
But, with the knowledge and information that Dennis had on this great car we actually ended up not even thinking about the other cars, and drove off the lot in an amazing and FUN to drive Volvo. What really sold us was the safety features and the drivability of the XC40. Dennis new so much about the car it was nice to finally go some place where they did not have to ""look up"" your questions to find the answers, He really did his homework!!  All in all, the experience at Volvo Cars of Austin was amazing, no stress or pressure and Ilia Pauloo was great with all the finance and paperwork. Finally a stress free experience in the car buying world. The Adams ",5.0
15,"February 01, 2020",Great service. I was looking for a used car and came in to Volvo dealership. Dylan Radzavich was very helpfull and professional. He was very attentive to each detail and made sure all my questions were answered. Thank to him I got a good car and Volvo cars of Austin one more happy customer :) ,5.0
16,"January 31, 2020",Emmett Vick was awesome as he worked with my husband and me to make it happen to drive away in our dream car. His personality and business sense was truly professional and friendly. I recommend Emmett and Volvo of Austin definitely.,5.0
17,"January 31, 2020",We have bought three cars in the last year for various family members thanks to working with Dylan Radzavich. He is such an excellent salesman and is very patient and kind and not pushy. We enjoy working with him so much that we are now convinced we will only buy vehicles from him at Volvo Cars of Austin in the future. If you find yourself shopping at Volvo cars of Austin definitely asked to work with Dylan Radzavich. You will be very pleased with your car shopping experience if he’s involved. He’s a great guy.,5.0
18,"January 31, 2020","We had an excellent experience working with Dylan Radzavich to purchase our Used 2015 Nissan Armada. We traveled a long distance to get it and Dylan helped make sure the experience was seamless. Not only was the car immaculate after he had I detailed for us on arrival, he had it pulled up out front waiting for us. We really appreciate the attention to detail and time Dylan took with us and I would highly recommend asking for him if your interested in buying a new or used car at Volvo Cars of Austin. ",5.0
19,"January 28, 2020",Dylan and Ilya made my experience sooooo quick and easy. Dylan was quick to reply to answer questions I had and they both made the paperwork go by like a breeze. I couldn’t be happier with my new car!,5.0
20,"January 13, 2020",Our car buying experience at Volvo of Austin was fantastic.  I would highly recommend buying a car from this dealership and specifically working with Dylan.  From the minute we stepped on the lot until we drove away with our car we were treated with kindness and respect.  If you are looking at buying a new car you need to check Volvo of Austin first.  ,5.0
21,"January 11, 2020","Jacob Selbe and Joe Salazar went out of their way to help us celebrate our 31st wedding anniversary, everything was first class.  We had to celebrate our Anniversary separate by long distance; Earline was completely surprised and excited about the XC90 and has been bragging on Facebook ever since. 
 
This is our fourth Volvo and the third Volvo we have bought sight unseen and that is because we know Volvo is the best car company out there, we can trust Volvo’s quality of engineering, work, and customer service and we also know Volvo stands behind it’s vehicles and provides excellent customer service. 
",5.0
22,"January 08, 2020","After spending more than a year looking for a vehicle to replace our beloved Honda minivan, my sister encouraged us to check out Volvo (she had just purchased an XC40). The vertical touchscreen and head-up display with the speed limit sign is definitely a game changer, and my husband was especially thrilled with all the technology and safety features packed into the XC60. Emmett Vick’s expertise and patience was very much appreciated. In addition, a few weeks after we purchased the SUV, I went by for a quick follow-up meeting to get my license plates. Emmett was kind enough to go over some of the vehicle’s features again - I vaguely remembered what some of the features did when we first looked at the vehicle and was thankful for the refresher. It was a great car-buying experience. We LOVE our new Volvo! 
",5.0
23,"January 07, 2020","I recently bought a used Volvo S60 at Volvo Cars of Austin.  Dennis Cardona assisted me, and it was by far the easiest and fairest car buying experience I have ever had.  If you think you can't afford a Volvo, I assure you that you can at Volvo Cars of Austin!",5.0
24,"January 03, 2020","We bought our first Volvo X 90 from Volvo Cars of Austin, and the whole experience has been great.
Emmett Vick has been very helpful and knowledgeable person to guide us through out the whole process.
He helped us in understanding all the features of the car , plus has been helpful after the Car sale as well.
 ",4.8
25,"January 03, 2020","Joe Salazar at Volvo Cars of Austin delivered a terrific car buying experience for me! I haven't bought a new car in 10 years and this is my first Volvo and wow, Joe was awesome! He was thorough, explained my options, confirmed my bike rack would work on the car which was a priority and the negotiations were painless as what I normally remember them to be. I am super pleased with Joe's honesty, integrity and empathy for buyers. I will definitely send friends his way! THANK YOU, JOE! I'm so happy with my XC60 Inscription!",5.0
26,"January 02, 2020","My husband and I had a very good experience working with Joe Salazar at Volvo of Austin recently.  He was such a refreshing change of pace from the usual car salesman and I really appreciated his calm, knowledgeable approach to showing us the car that we were interested in.  Joe explained a lot to us about the different models, features, and was very patient with us as we made up our minds on such a big purchase.  I was happy to be a customer of his and am thankful to know him so that we can return for future purchases.  My only criticism isn't of Joe but more just of car buying in general and the ""sales games"" that seem to take place.  It is almost impossible to know if a good deal has been negotiated or if we could have gotten a better price but in the end I got a shiny new car that I really do love and at a price I was willing to pay.  I will also say that once we were past the negotiating phase they really did not try to continue pushing more costs or slip in any fees like other dealerships.  Overall I give the experience 5 stars and especially Joe, I highly recommend him, he will really take care of you throughout the process!  ",5.0
27,"December 31, 2019","Top notch, hassle free experience with volvo cars of austin. Exceed my expectations using the internet sales.
Sales rep very knowledgeable and made every effort to meet my requests.",5.0
28,"December 12, 2019","Top notch experience at Volvo Austin.  Stress-free vehicle purchase, knowledgeable sales professionals and amazing customer service. Brian Clevlen and Dylan Radzavick were wonderful to work with.  ",5.0
29,"December 09, 2019","Had such a wonderful experience purchasing a vehicle through Emmett Vick. He was patient, knowledgeable and creative when it came to working with me and did everything he could to get me the vehicle I wanted with out being too pushy or aggressive. Definitely the best choice in choosing Volvo of Austin. You don’t always get a good deal AND good customer service all in one. But I definitely got all of that! ",5.0
30,"November 30, 2019",I bought a car via email with Chris White as I was relocating from Los Angeles to Austin. Chris helped me find the perfect vehicle to our wishes and even delivered it once we arrived in Austin. The best car buying experience I've ever had. ,5.0
