,Date,Reviews,Ratings
0,"May 20, 2020","I am totally pleased with my new Volvo purchase and the sales support I received from Billy Havlik. His background in the Volvo Service Department was very informative and helpful in making my final decision. He was able to answer all my questions clearly and honestly, which I greatly appreciated. He didn't try to talk around anything I asked him about the car I was interested in or the warranty and service support provided by the dealership. He has also been very helpful in keeping me informed about some good used cars for my granddaughter that have come in there, which I had asked him to do, if possible. I recommended him to a friend of mine who is in the market for a new car. I wouldn't do that unless I truly thought he was an outstanding salesman AND person. I just hope he is still working there when I purchase my next Volvo. ",5.0
1,"May 19, 2020","Ray, was very good in offering a fare price for the car.  He did not give me everything I asked but at least his numbers fit into my budget.
Jiles.",4.2
2,"May 09, 2020",Ricco made our purchase process seamless and stress free.  During this difficult time during the pandemic our safety and customer service were his utmost concern.,5.0
3,"November 07, 2019","We always visit Volvo of San Antonio on a regular basis because the staff and environment are so friendly.   Each time we have an ask or need they exceed our expectations.   Ricco has handled our sales process for years and he provides top quality advice and assistance.  Highly recommend this location and asking for the best when you want to commit to a purchase on a Volvo.   My husband and I have been customers for over ten years and always walk away smiling after our purchase.  Make sure you see Ricco when in the market for fair, honest, candid feedback regarding shopping requirements.  I will continue to be an avid Volvo customer due to the reliability, safety and overall quality. ",5.0
4,"August 29, 2019",I would highly recommend Ray Aguilar and Danny Lozano.  They were excellent to work with.  It was a delightful experience and I would highly recommend them.,5.0
5,"May 31, 2019","My husband and I intended to make a short visit a take our first look at new Volvos.
After driving Cadillacs for many years we were surprised to be so impressed by the smooth, quiet  ride, 
beautiful interiors, impressive electronics , and new styling.  Our visit resulted in the purchase of a new
XC90.  We are extremely happy with our choice.
",5.0
6,"May 01, 2019","Brought my vehicle in for a 20K Service Maintenance.  Also, expressed a concern that on occasion when accelerating, my vehicle would hesitate which would not be normal for a 2017 car.  The service agent ""Jim"" made every attempt to assure me that a thorough inspection of the issue would be resolved.  Was provided a loaner (which was awesome) and had been told that the part correcting the issue would not be in for several business. Once my car was ready for pick-up, there was no wait time because it was waiting for me and all the need to be done was to exchange keys and off I went.  Great Job Volvo of San Antonio!   ",5.0
7,"May 01, 2019","Fleet vehicle... but always treated as a personal customer by you staff and mechanics.  Thank you so much for completing 60,000 mile maintenance in one day.  Heroric effort considering all the check points at this milage marker.",4.8
8,"May 01, 2019","Great service. Needed something replaced under the extended warranty, and they took care of everything. Definitely will take my vehicle back here in the future, if needed. ",5.0
9,"April 25, 2019","Awesome salesman, no pressure , found the
vehicle I was looking for and at the price I had budgeted for, it wan an zero pressure sales, great dealership!",5.0
10,"April 25, 2019","A simple alignment was no problem for the Volvo service department! They did the work quickly and for a reasonable price.  Plus, I have confidence i knowing that the work they did was done correctly since they only service Volvos.",5.0
11,"April 25, 2019","Prompt, courteous, efficient service. All adjectives apply to all staff at the service center. In addition I spent time with a friend whom I had not seen in while. He too owns a Volvo!",5.0
12,"April 24, 2019",Thanks everyone was so helpful and polite.  My Volvo was serviced quickly and thoroughly!  The new service and waiting area is really nice. We always appreciate the snacks!,4.8
13,"April 24, 2019",Purchased a vehicle from this Dealership via long distance.  Drove into town and was in and out in no more than an hour and a half.  The salesperson was FANTASTIC and the Finance Manager was equally FANTASTIC!!!  This vehicle is probably the 10 vehicle I’ve purchased over the years from different Dealers but it is by far the most pleasant experience O have ever had.  This Dealership has spoiled me rotten and I know where my next vehicle purchase will be from.,5.0
14,"April 23, 2019",But there was a no car waiting for me as they promised from Volvo but they drove me up to a car rental place . I won’t do that again I hope the next time I take my car again for service they won’t let me down.From volvo ps I have bought 4or5 .,5.0
15,"April 23, 2019",Principle Volvo is top tier with dealing with customers and providing outstanding customer service. Payton and Rocco are the best at their craft. Great people providing great service! ,5.0
16,"April 22, 2019","I had an appointment for oil change and car wash.  The oil change alone took nearly 2 hours.  I got my vehicle back with oily finger prints on the driver door and no car wash.  Was told my vehicle was clean inside and out.  I also found that to drive my vehicle from the service portico to the service area, my seat, radio, a/c and rear view mirror had all been ""adjusted"".  ",2.6
