,Date,Reviews,Ratings
0,"June 27, 2020","I trust Autobahn Volvo to always take great care of my vehicle and to assure that I am always happy with my service. I recently had my windshield replaced at a collision facility. When they set my sensors they were not done correctly. I called Micheal and he got me right in. Assured I had a loaner so that I would not be inconvenienced. This is my 3rd Volvo and because of Micheal Montes and the excellent service department, I will always own a Volvo from Autobahn.",5.0
1,"June 27, 2020","This was my 2nd visit to this place 
The facility was very clean and they followed Coronavirus protection protocols.I would recommend Volvo Autobahn Fort worth without hesitation.",4.0
2,"June 24, 2020",Wonderful experience. Everything went smoothly. Very friendly and professional. My car will now continue to run great. Thanks for being friendly and professional. I enjoy bringing the car to the Fort Worth Volvo team.,5.0
3,"June 24, 2020",The Autobahn Volvo service center has Always provided excellent and professional service on All levels. We have been overly pleased with their service on our Volvo and have exclusively used their service from the day we bought our XC90 in 2016.,5.0
4,"June 19, 2020",Service was great as usual. I always have the best experience at Autobahn. No other dealer has come close. I'd have a hard time going elsewhere.,5.0
5,"June 08, 2020","The wonderful lady at the front desk who helps me with my loaner car.  is such a wonderful part of my visit. Helpful, thorough and so nice to visit with.  Makes me feel like I am stopping to visit with a friend.
When I returned to pick up my car I spoke to Hector, service manager, (I hope that was  his name) He answered so many questions and was sincere and honest.  You make it worth the extra few dollars to keep my business at Autobahn.
Thanks!!",5.0
6,"June 06, 2020",Autobahn provides great service for all of my Volvos.  I rely on Mike and the excellent technical staff to keep them well maintained and providing safe and dependable driving experience.,5.0
7,"May 23, 2020","I needed my care inspected and Hector Zavala and his team were a great help.  Courteous, helpful, efficient, clean and quick.  They took care of me.  Many Thanks.",5.0
8,"May 16, 2020",Polite and quick and very cognizant of the current pandemic situation.  Took precautions and made me safe throughout the process.  An excellent dealership that I continue to use.,4.8
9,"May 14, 2020",Great service and communication. I needed a part due to a recall. Gary picked up my car and returned it to me in a timely and courteous manner.,5.0
10,"May 11, 2020","Great experience. Employees were courteous, informative, and professional in every way. Jessica Samson is the young lady’s name that took care of us, and she knew exactly how to handle our needs and kept us informed of the progress being made. The young man that handled the Payment portion was equally helpful.",5.0
11,"April 24, 2020","Thanks for another great service experience. Mike Montes did a great job and he is the reason that we will always own a Autobaun Volvo
John Almarez",5.0
12,"April 15, 2020","Autobahn FW has, for the past 15 years for me, been the only place to take a Volvo (I've have purchased 9 since 2005).  There are closer locations from where I live or my office but Autobahn is well above everyone else from sales staff to the service department guys to the mechanics.   Wouldn't go anywhere else.",4.8
13,"April 05, 2020","Gary Keller made our lease deal on a new Volvo XC 60 an easy experience. He was helpful and informative.  He is also nicely easy going, not pushing the sale.  Nice work!",5.0
14,"April 01, 2020","As always, an awesome experience.  Fast, efficient, and super nice  Autobahn has been my dealer of choice since 1990 and I've bought Volvo's a couple of times just to be able to go THERE for service",5.0
15,"March 29, 2020","It was easy to schedule service around my need for a courtesy car. Fixed right the first time, which is always appreciated! The complete detail topped of a great service experience.",4.8
16,"March 28, 2020","Great service!  Friendly staff, nice waiting area, and my car gets washed!  They will even drive me somewhere if I don’t want to wait!",5.0
17,"March 15, 2020",It was easy to schedule service. The required service and fees were clearly explained. Easy to arrange courtesy car. Very pleasant people with whom to work.  ,5.0
18,"February 26, 2020","From Start to finish, I was treated with professionalism and respect.  Comfortable wait area and plenty of refreshments for the time while there.  Would highly recommend to anyone.
",5.0
