Unnamed: 0,Unnamed: 0,Date,Reviews,Ratings,Serial,Name
10153,0,13-Jun-20,"I purchased a 2019 ""new"" Ford Ranger from Tommy Ellis. I say ""new"" because it was previously used as a loaner vehicle for the dealership so it had about 2,400 miles on it.

You'll find that the dealership is split from Sherman and Denison and if you show up to the wrong location, you get to drive back and forth (roughly a 15 minute drive one way). Not a huge deal, just inefficient and a waste of time.

They gave a lowball offer for my trade-in (significantly lower than the KBB instant cash value price), but I accepted it. They listed the vehicle on their website for just under three times more than what they offered within a couple days.

I didn't much care for negotiating with the sales manager who proceeded to just walk away while talking. It may be a negotiating tactic, albeit a rude one.

The finance manager, Chris McClour, was probably the best finance person I'd ever worked with. He offered the standard extended warranties and gap insurance pitch, but in no way did he push it further when you said no. He was the best interaction I had during the entire process.

Speaking of finance, I opted to use the Ford financing since you get an additional $750 rebate for doing so. My credit score was 815. The rate they gave me was 7.4%. Read that again. Credit score of 815 gets an APR of 7.4%. xxx kind of rate do you get if your credit score was in the 600s? 20%??? Are they using a loan shark?

Whoever did the tint job on the driver side window applied the tint on top of some writing on the window. They had to remove it and reapply the tint. How that happened to begin with was a solid ""not my job"". When asked how long that would take, I was told 20 minutes. In reality, it took 40 minutes. I had been there four hours by this point. The tint they redid has a bunch of bubbles at the top. They tacked on $299 onto the cost of the truck for tint. For $299, I would expect a better job. The rear windows and back windows came standard with privacy glass and no tint was applied to those windows. It was $299 for TWO windows, the driver and passenger. I've had an entire SUV tinted (all 4 windows + massive sunroof + rear) tinted for $300 with a lifetime warranty included. Complete ripoff that comes with poor workmanship. There's also no way to remove this charge since they just go ahead and do it to their vehicles. The charge isn't listed online, but when you show up, your financial sheet will have an additional $299 on it for tint. Go ahead and add that amount to whatever price you see online.

The vehicle itself was not detailed or cleaned prior to being available for purchase. There were still loaner contracts in the glovebox and dirt / scratches / scuffs inside.

My biggest gripe is I have been trying to reach Tommy to address a few minor issues I found with the truck. I have left him a voicemail on his cell AND on his office phone, two different days. Four days later, still no callback. They take your money and then disappear off the face of the earth. I'll update this review if they ever actually call back, which I highly doubt.",2.2,596,Texas_without_threshold\Ford9 Reviews of Bob Utter Ford Lincoln .csv
18460,0,11-Jun-20,"Found a truck on Autotrader, also looked it up on the dealership website, and sent an inquiry from their website. Asked for the out the door (OTD) price in the initial inquiry. Received a response from two different individuals from the sales department, neither addressed, nor included the OTD quote. Most places require two prompts for the OTD price, so nothing out of the ordinary yet.

One response included the subject “Crest Nissan is honored to assist you”. Sounds good, but as the communications continue, seemingly just empty words in the end, no substance. The email I received from the “Internet Sales Manager” included this phrase: “My ultimate goal is to make sure you have an exceptional experience here at Crest Nissan, and to make sure you have all the information you need to make an informed decision.” More placebo.

Also of note is that when I first found the truck the advertised price on both platforms was $16498. That was Saturday, and by Sunday it was $17548. A couple of days later it showed to be $16952, with a note on one of the pictures of the truck (on their website) price lowered! Is it really lowered when you raised the price previously? And on 6/11/2020 the price shows $16948.

Asked for the OTD price a third time, still no response, just another question about when I could come see the truck. At this point I began to question the lack of pricing transparency, first red flag. Second red flag, the changing sales price.

I requested the OTD price again explaining that my financial institution needed to know the OTD price to provide an accurate interest rate, since that is based on the loan to value ratio. I did not hear back from Shon (he might have been busy, or off that day), so I forwarded the email to Mark. I was then informed of this bit of info by Mark: “We price our vehicles assuming our customers will be financing with us.” Reading between the lines I asked if this meant the price of the truck would be higher if I had my own financing. Mark replied with: “It's 10% higher, and we can most likely get whatever your bank is giving you.” Third red flag! This was not disclosed anywhere on either platform.

Why would a stealership “force” you to finance with them??? So they can make their money on an inflated interest rate. The advice has always been, have your financing lined up prior to stepping foot into a dealership. This is helpful in determining how much you are able to borrow, and the interest rate, which too will impact what you can afford on a monthly basis… remember the phrase “to make sure you have all the information you need to make an informed decision.”

Oddly enough I also received an email from the Internet Sales Director to check in with me. His email included this phrase: “I also wanted to let you know about our Best Price Guarantee and our 3-day, no hassle, return policy. Overall, I want to make sure you are completely satisfied! “

I replied to the Internet Sales Director to state my observations up to this point. It appears that this was forwarded to Shon, who then replied. In his reply he stated: “negotiations are always done best in person to make sure you're serious, and not curious”. The reason for internet departments is to cut through the chase, agree on a price (which is listed online), and barring any issues with the vehicle makes it a done deal. Regarding “serious, and not curious”, does that not contradict the “make an informed decision” comment? If you are not willing to inform a curious customer, he will not turn into a serious buyer.

He also stated: “If you would like me to print the numbers up for you so we can work a deal before you arrive, I have no problem with that.” To which I commented “I have asked for the out the door price three, or four times, so I am unclear as to why this would still be a question at this point.” Regarding his statement “So we can work a deal before I arrive” What is there left to negotiate? The price should be the advertised price, plus applicable taxes (inventory tax, sales tax, title & registration fees), and any document fees your dealership charges.”

When I inquired with my financial institution about an estimated OTD price of $18500, that was already at 108% loan to value. So if Crest were to add many of the fees on that are mentioned in many of other reviews, it would increase the interest rate even more.

Oddly enough, no response back from Shon, not even 24 hours later - why would that be? Because he already knows that the bogus, and unrealistic additional charges will not be accepted? It makes it appear as they only like to deal with customers they can bully, or are so timid that they will just accept all of the charges they want to tack on, after they get you in the door. Any dealership that is truly transparent with their pricing will let you know up front what the out the door price is and honor it when you walk in the door.

Many reviews have mentioned this stealerships practice of listing a sales price, want you to come into the stealership and then inflate the price. As well as wanting to run a credit check right away. 

Most dealerships have adopted to the new age, this dealership appears to still use sales tactics from the 1970's.

Same standard reply on negative reviews: ""we take customer satisfaction very seriously here at Crest Nissan, and we’d love to hear more about your experience."" How about fixing the issues from the start, change your unprofessional business tactics, and you will not have a need to fix them after the fact.

When reviewers mention the additional charges for dealer prep, etc. that they refused to pay the response from Crest is usually ""Unfortunately, we are not always able to come to an agreement on pricing"". This has nothing to do with ""pricing"", you advertised a sales price online, that:
a. you increase when outside financing is used
b. apparently charge for certified warranties on vehicle that were advertised as certified to begin with
c. apparently  charge dealer prep/dealer added ""options"" on used cars",1,1084,Texas_without_threshold\Nissan38 Reviews of Crest Nissan.csv
5408,0,02-Jun-20,"My husband was looking for a Ram truck for himself. We decided on a Ram Rebel 2019. The salesman Jimmy, who was very nice, told my husband of a $1900 extra fee placed on all vehicles that were on their lot. My husband and I thought that was ridiculous and stupid. So, basically the red tag sales on their lot do not save you anything because they recoup the money with this required fee! We were uncomfortable with that but we liked the truck so much that we were going to agree to it. The kicker that made us leave was when we had to meet the sales manager requested by  our salesman. The sales manager would not even consider us financing through anyone but them even though we had a better interest rate through our bank. He lost a sale and he could have cared less with his arrogant stance.  I guess he didn’t need to sell a truck that bad! I have never seen that in my life and we have bought many vehicles over the years!",1.8,355,Texas_without_threshold\Chrysler91 Reviews of Grapevine Dodge Chrysler Jeep.csv
4823,0,28-May-20,I told my salesman many times that I was repairing credit for 4 years. Do not run my credit yet. They did x 2. They have you sign a paper and reword it as they put it in front of you. I called back the next day and was told a different story. Horrible business. ,1,337,Texas_without_threshold\Chrysler6 Reviews of Star Dodge Chrysler Jeep RAM.csv
19134,1,27-May-20,"DECEPTIVE & SHADY... Take your business elsewhere. The prices they post on Autotrader and their dealership website are $6k-$7k less than the true sales prices. Online, the car we were interested in was marketed as $16,200 plus TT&L. When we got there, they let us know they couldn't sell it for less than $23k. They also marketed the APR as 0.9% for those with near perfect credit. Surprise, surprise when we came in, their best interest rate for 60 months on new cars was suddenly 3.99%. When we walked out, they followed us saying that if we'd stay, they'd give us the car for $16,900 out the door after ALL fees and features. We agreed, but while we were signing final paperwork, they removed features originally included with the car without telling us even though those features were part of the car we agreed to purchase. Now, no one at the dealership will take our calls, return our emails, or send us copies of the paperwork we signed showing that these features were specifically listed on the paperwork we initially signed for the vehicle. Our 18 yr old daughter is now forced to either return the new car she worked so hard to earn or get over the fact they stripped it of the bells and whistles we were specifically looking for to protect her and her new car. ",1,1109,Texas_without_threshold\Nissan90 Reviews of AutoNation Nissan Lewisville.csv
17853,3,25-May-20,"IF I COULD I WOULD GIVE THIS DEALER A NEGATIVE RATING!!!!!!!!!!!!

I currently Have a 2018 Nissan Armada,   Like it except two things, outdated technology and bad gas mileage.   However this dealer promoted 0% interest rates this weekend and reached out to ask questions about  2020 models, if technology had been updated since 2018, their advertised discounts on the vehicle I was interested in and the 0% interest rates.  Financially it would make sense to buy a new 2020 vehicle at 0% interest  vs. keeping my current vehicle at my current rate.   

I chatted with or spoke to 4-5 ppl over 3 days.  I even texted with a finance manager who verified the car had Apple Car Play and Also said I could 0% interest based on my reported credit score after they validated my credit score. I explained i will only come if these two items can be assured.  Which he did.   

Thinking I was dealing with a reputable dealer and getting confirmation on my deal breakers I went to the dealer.   Thats when I realized all the lies multiple ppl told me.   In fact, apple care play is not available on any Aramada even though their website specifically says other wise.  The lie is repeated on every individual Aramada SL and Platinum models in stock.   I'm Smart enough not to fall for their sleazy car sales lingo and after a lengthy conversation they admitted their website was wrong.   They know they are mis advertising their cars to get you to come in.  Then they asked what I was currently paying on my Aramada.   Again, Im smart enough Never to fall for this sleazy sales tactic.    Dont for fall for that trick,  you'll Get screwed. Its another way they try and manipulate you.  

Thinking a  0% loan on a 2020 would be a better financial move, I started talking price and financial Terms and they repeatedly lied again.   Suddenly the sales price increased from the online posted  sticker price online for the specific car I was interested in.    Their offer also didnt discount the car the same amt as advertised online.   More lies.   Next they tried to add a $2995.00  junk fee for the dealer to provide their regular day to day services you get buying a car. I called them out on every lie and manipulation.  On round three of negotiations,   I was now told 0% interest rate was not available on Armadas at all.   Hard to know where the degree of lying occurred here.  Either 0% is never offered on Armada's or they will only Give you 0% interest rate if you are willing to way over pay on a vehicle to the tune of $5-6K in my instance.  

Buyer beware!   I will never buy a car from Clay Cooley!   They  tell lies after lies after lies to sell over priced cars

Be an educated consumer.   Get approved for financing at a bank before going to dealer.   Make them itemize every detail About your deal before agreeing or signing anything.  If they tried to offer a deal with a piece of paper consisting of 4 blocks with their offer.  Tear it up in front of them.  Demand to have a formal
Line item detailed offer with all the specifics of the offer.   Sales price, discounts,   Any additional dealer junk fees they try to add, interest rate, term of loan, etc.     Then verify the sales price and discounts available against what is listed online for The specific vehicle ID number you want.  

Also, never answer their question about what you want your car payment to be.  Another sleazy sales tactic that will cause you to over pay!",1,1058,Texas_without_threshold\Nissan114 Reviews of Clay Cooley Nissan.csv
12496,0,17-May-20,"I was told by ""Acia"" (over the phone) that I could get the online price (~$44K ($14,850 in discounts/cash)) PLUS 0% financing through Nissan. She had no idea what she was talking - I only found that out once I started working with Heather.  Heather then told me I could get the 0% financing through Nissan, but I wasn't eligible for the Nissan Cash (now the price is ~$49K).  When I went to sign my paperwork for my new vehicle, the finance guy (can't remember his name) told I could get the 0% financing through Nissan, but the not all the discounts Heather told me I could get.  NOW the price of the truck is well over $50K.  In the short span of an hour, the truck I wanted went from $44K to over $50K.  Talk about a bait and switch.  So, I'm still at the dealership and faced with a decision; do I take the high-priced bait and switch offer to get 0% from Nissan, or do I get my own loan though my bank to get the original $44K online offer?  While I'm crunching the numbers and determining the benefit of 0% (with a higher priced truck) or a substantially lower priced truck (with a loan from my bank), the General Manager (GM) decides to run my credit (hard credit pull).  I called my bank (not knowing what the General Manager was doing) and spoke with them about my loan application - I negotiated a MUCH better rate (2.69%) than when I checked the rates earlier in the morning.  After the GM pulled my credit, I'm brought a piece of paper with other bank offers - none of them came close to my bank.  I rejected the other bank offers and then...  The senior finance guy comes out (I don't remember his name).  He tries to tell me that I'd ""really being helping out World Car Nissan and other customers"" if I took one of their preferred banks' offers.  I explained to the finance guy how three different people told me three different prices for the exact same truck and then told him I was not interested in helping out the dealership that deals the way they do.  During this whole process, I spoke with the GM (Leon Reid) three times.  Each time, he heard what I was saying, but I could see he wasn't listening (he was already preparing what he wanted to say while I was speaking).  Each time, he never addressed the issue - his people are completely untrained and don't know how the rebates/discounts work.  His response each time was how he was basically doing me a favor by speaking with me (while trying to be my pal and telling me how he's ""down in the trenches with all the sales people"").  I was completely underwhelmed with him and his staff.  Bottom Line:  Don't trust what is on their website, or what you are told by anyone there.  Get EVERYTHING in writing from EVERYONE and hold them accountable.",1.8,733,Texas_without_threshold\Hyundai43 Reviews of World Car Nissan Hyundai North.csv
2145,1,16-May-20,"I have NEVER experienced such dishonesty in my life! I went in because they had a 2019 Acadia that was priced great! I think they had accidentally mis-priced it, and wouldn't admit it to me. So, they obviously decided they would get my money somehow!! I told the salesman that I decided that I would buy it, and told them that I would be putting 2k down. 

The next day, I was supposed to show up and sign the paperwork and told the salesman that I had gotten pre-approved financing through a credit union. He then proceeded to tell me that they would only sell me the car if I financed through GM Financial. Needless to say, I was LIVID!! No dealership can tell you who you can finance with. I had a 2.7% APR from the Credit Union. They couldn't even come close to that with GM Financial. I told him (and his ""manager"") what I thought of them. 

Two hours later, I had purchased a beautiful 2018 Silver Acadia with 2.39% from another dealership (GMC). (I have Excellent credit, so don't expect they could get you anything quite that low.) They had found that APR because of their relationship with Capital One!! So I saved even more!!
",1,165,Texas_without_threshold\Chevrolet19 Reviews of Galleria Chevrolet.csv
4374,0,06-May-20,"Horrible experience. They prey on uninformed people. My father and I bought 2 mega cabs. The next day they said financing fell through for my father but had another contract ""for just a little bit more interest"" this is called spot delivery and is done because the dealer gets all of this added interest, and ITS ILLEGAL he didn't have to sign the new contract but he did. Weeks later driving in my new truck and they call me saying my financing fell through, but I didn't fall for that. We signed a contract if I can't back out when it's signed neither can the dealer. But they have been harrassing me and my father for a month now, Carlos the finance manager has been threatening me and my father and so has Zachary owens. Even after the sheriff has told them they can't do anything they still keep lying and harassing me. If you're looking to get harassed and taken advantage of go ahead and come here. They prey on un informed and people that can't afford an attorney for stuff like this, but they're getting a rude awakening with me ill see you in court cjdr of midland.",1,322,Texas_without_threshold\Chrysler40 Reviews of All American Chrysler Dodge Jeep Ram of Midland.csv
22208,3,24-Apr-20,"Total scammers! Worst experience. Hoping to save time, we had worked out the pricing terms via email prior to coming to the dealership to sign paperwork and pick up the car. Our financing was pre-approved through USAA. It took them 3 1/2 hours to bring us the final loan paper, but it was TOYOTA financing not USAA! They said they could not do outside financing because of COVID-19 and we would just have to refinance with USAA later (LIE!). When we threatened to leave, suddenly USAA financing was okay. What a CROCK!",1.6,1260,Texas_without_threshold\Toyota124 Reviews of Texas Toyota of Grapevine.csv
