Serial,Name,,,,,
2,Hiley Acura,,,,,
19,Audi Central Houston,,,,,
21,Audi Plano,,,,,
41,BMW of Beaumont,,,,,
51,Gateway Buick GMC,,,,,
96,Patriot Buick GMC,,,,,
138,Bert Ogden Chevrolet Cadillac Maserati,,,,,
164,Ancira Winton Chevrolet ,,,,,
189,Stonebriar Chevrolet,,,,,
227,Clay Cooley Chevrolet,,,,,
240,Classic Chevrolet of Houston,,,,,
242,Sterling McCall Chevrolet,,,,,
263,Clear Lake Dodge Chrysler Jeep FIAT,,,,,
285,Huffines Chrysler Jeep Dodge Ram Plano,,,,,
290,Gulfgate Dodge Chrysler Jeep Ram,,,,,
291,Mac Haik Dodge Chrysler Jeep,,,,,
295,Bossier Chrysler Dodge Jeep,,,,,
305,Peters Chevrolet Chrysler Jeep Dodge Ram Fiat,,,,,
311,AutoNation Chrysler Dodge Jeep Ram North Fort Worth,,,,,
312,AutoNation Chrysler Dodge Jeep Ram Katy,,,,,
314,Bayway Chrysler Dodge Jeep Ram,,,,,
327,San Marcos Chrysler Dodge Jeep Ram,,,,,
332,Nyle Maxwell Chrysler Dodge Jeep Ram of Austin,,,,,
337,Star Dodge Chrysler Jeep RAM,,,,,
338,Boerne Dodge Chrysler Jeep,,,,,
340,Tomball Dodge Jeep Chrysler,,,,,
355,Grapevine Dodge Chrysler Jeep,,,,,
475,Grapevine Ford Lincoln,,,,,
484,College Station Ford,,,,,
516,Park Cities Ford of Dallas,,,,,
518,AutoNation Ford Gulf Freeway,,,,,
527,Bayer Ford Mercury Inc,,,,,
575,Automax Ford,,,,,
583,Ford of Boerne,,,,,
600,Tyler Ford ,,,,,
670,Honda of Lake Jackson,,,,,
689,Burleson Honda,,,,,
691,John Eagle Honda of Houston,,,,,
699,Honda of Clear Lake,,,,,
701,Fenton Hyundai,,,,,
727,Sterling McCall Hyundai,,,,,
744,Hyundai of Longview,,,,,
875,Huffines Kia Subaru Corinth,,,,,
888,Kia of South Austin,,,,,
915,Sewell Lexus of Dallas,,,,,
1056,Texas Nissan of Grapevine,,,,,
1058,Clay Cooley Nissan,,,,,
1066,Central Houston Nissan,,,,,
1083,Clear Lake Nissan,,,,,
1096,Tom Peacock Nissan,,,,,
1106,Viva Nissan,,,,,
1109,AutoNation Nissan Lewisville,,,,,
1233,Gillman Subaru Southwest,,,,,
1237, Hiley Subaru,,,,,
1260,Texas Toyota of Grapevine,,,,,
1289,John Eagle Sport City Toyota,,,,,
1295,Toyota of Alvin,,,,,
1322,Clay Cooley Volkswagen Of Richardson,,,,,3.6
